Date,Team 1,FT,Team 2
Sat Apr 14 2018,Cruzeiro EC,0-1,Gremio Porto Alegre
Sun Apr 15 2018,EC Vitoria Ba,2-2,Flamengo RJ
Sun Apr 15 2018,Santos FC,2-0,Ceara SC
Sun Apr 15 2018,America MG,3-0,Sport Club Recife
Sun Apr 15 2018,Vasco Da Gama,2-1,Atletico Mineiro
Sun Apr 15 2018,Corinthians SP,2-1,Fluminense RJ
Sun Apr 15 2018,Internacional,2-0,EC Bahia
Mon Apr 16 2018,Atletico Paranaense,5-1,Chapecoense
Tue Apr 17 2018,Botafogo RJ,1-1,Se Palmeiras
Tue Apr 17 2018,Sao Paulo FC,1-0,Parana Clube
Sat Apr 21 2018,EC Bahia,1-0,Santos FC
Sun Apr 22 2018,Flamengo RJ,2-0,America MG
Sun Apr 22 2018,Parana Clube,0-4,Corinthians SP
Sun Apr 22 2018,Atletico Mineiro,2-1,EC Vitoria Ba
Sun Apr 22 2018,Chapecoense,1-1,Vasco Da Gama
Sun Apr 22 2018,Fluminense RJ,1-0,Cruzeiro EC
Sun Apr 22 2018,Ceara SC,0-0,Sao Paulo FC
Sun Apr 22 2018,Se Palmeiras,1-0,Internacional
Mon Apr 23 2018,Gremio Porto Alegre,0-0,Atletico Paranaense
Tue Apr 24 2018,Sport Club Recife,1-1,Botafogo RJ
Sat Apr 28 2018,Botafogo RJ,2-1,Gremio Porto Alegre
Sun Apr 29 2018,Atletico Mineiro,1-0,Corinthians SP
Sun Apr 29 2018,Parana Clube,1-2,Sport Club Recife
Sun Apr 29 2018,EC Bahia,0-0,Atletico Paranaense
Sun Apr 29 2018,Fluminense RJ,1-1,Sao Paulo FC
Sun Apr 29 2018,Ceara SC,0-3,Flamengo RJ
Sun Apr 29 2018,Se Palmeiras,0-0,Chapecoense
Mon Apr 30 2018,Internacional,0-0,Cruzeiro EC
Tue May 1 2018,America MG,2-1,EC Vitoria Ba
Sun May 6 2018,Vasco Da Gama,4-1,America MG
Sun May 6 2018,Sao Paulo FC,2-2,Atletico Mineiro
Sun May 6 2018,Corinthians SP,1-1,Ceara SC
Sun May 6 2018,Cruzeiro EC,1-0,Botafogo RJ
Sun May 6 2018,Atletico Paranaense,1-3,Se Palmeiras
Sun May 6 2018,EC Vitoria Ba,1-2,Fluminense RJ
Sun May 6 2018,Flamengo RJ,2-0,Internacional
Mon May 7 2018,Sport Club Recife,2-0,EC Bahia
Mon May 7 2018,Gremio Porto Alegre,5-1,Santos FC
Tue May 8 2018,Chapecoense,1-1,Parana Clube
Sat May 12 2018,Gremio Porto Alegre,0-0,Internacional
Sun May 13 2018,Cruzeiro EC,2-0,Sport Club Recife
Sun May 13 2018,Atletico Paranaense,1-2,Atletico Mineiro
Sun May 13 2018,Chapecoense,3-2,Flamengo RJ
Sun May 13 2018,EC Bahia,2-2,Sao Paulo FC
Sun May 13 2018,Vasco Da Gama,2-3,EC Vitoria Ba
Sun May 13 2018,Corinthians SP,1-0,Se Palmeiras
Mon May 14 2018,Santos FC,3-1,Parana Clube
Tue May 15 2018,Botafogo RJ,2-1,Fluminense RJ
Tue May 15 2018,Ceara SC,2-2,America MG
Sat May 19 2018,Atletico Mineiro,1-0,Cruzeiro EC
Sun May 20 2018,Flamengo RJ,1-1,Vasco Da Gama
Sun May 20 2018,Se Palmeiras,3-0,EC Bahia
Sun May 20 2018,EC Vitoria Ba,2-1,Ceara SC
Sun May 20 2018,Parana Clube,0-0,Gremio Porto Alegre
Sun May 20 2018,America MG,1-0,Botafogo RJ
Sun May 20 2018,Sao Paulo FC,1-0,Santos FC
Sun May 20 2018,Sport Club Recife,1-1,Corinthians SP
Mon May 21 2018,Fluminense RJ,2-0,Atletico Paranaense
Tue May 22 2018,Internacional,3-0,Chapecoense
Sat May 26 2018,Fluminense RJ,3-1,Chapecoense
Sun May 27 2018,Se Palmeiras,2-3,Sport Club Recife
Sun May 27 2018,Atletico Mineiro,0-1,Flamengo RJ
Sun May 27 2018,Parana Clube,0-0,Atletico Paranaense
