Round,Date,Team 1,Team 2,FT,HT,Day,Week
?,2015-07-31,Ajaccio,Dijon,0-0,0-0,Fri,30
?,2015-07-31,Auxerre,Brest,0-0,0-0,Fri,30
?,2015-07-31,Bourg Peronnas,Le Havre,1-3,1-1,Fri,30
?,2015-07-31,Clermont,Sochaux,0-0,0-0,Fri,30
?,2015-07-31,Nimes,Evian Thonon Gaillard,0-0,0-0,Fri,30
?,2015-07-31,Niort,Valenciennes,0-1,0-1,Fri,30
?,2015-07-31,Paris FC,Laval,1-1,0-0,Fri,30
?,2015-07-31,Red Star,Creteil,0-1,0-0,Fri,30
?,2015-08-01,Metz,Lens,0-0,0-0,Sat,30
?,2015-08-03,Nancy,Tours,0-0,0-0,Mon,31
?,2015-08-07,Brest,Nimes,2-0,1-0,Fri,31
?,2015-08-07,Creteil,Bourg Peronnas,2-1,1-0,Fri,31
?,2015-08-07,Dijon,Niort,3-0,1-0,Fri,31
?,2015-08-07,Evian Thonon Gaillard,Clermont,2-2,1-1,Fri,31
?,2015-08-07,Laval,Nancy,0-1,0-0,Fri,31
?,2015-08-07,Le Havre,Ajaccio,1-0,0-0,Fri,31
?,2015-08-07,Sochaux,Metz,0-1,0-1,Fri,31
?,2015-08-07,Tours,Paris FC,0-0,0-0,Fri,31
?,2015-08-07,Valenciennes,Auxerre,0-0,0-0,Fri,31
?,2015-08-08,Lens,Red Star,1-1,0-1,Sat,31
?,2015-08-14,Ajaccio,Evian Thonon Gaillard,1-1,1-1,Fri,32
?,2015-08-14,Auxerre,Laval,2-3,0-0,Fri,32
?,2015-08-14,Bourg Peronnas,Dijon,2-1,1-0,Fri,32
?,2015-08-14,Clermont,Nimes,1-0,0-0,Fri,32
?,2015-08-14,Lens,Creteil,1-1,1-0,Fri,32
?,2015-08-14,Niort,Sochaux,1-1,0-1,Fri,32
?,2015-08-14,Paris FC,Le Havre,3-0,1-0,Fri,32
?,2015-08-14,Red Star,Tours,1-1,1-0,Fri,32
?,2015-08-15,Nancy,Brest,3-0,3-0,Sat,32
?,2015-08-17,Metz,Valenciennes,2-0,0-0,Mon,33
?,2015-08-21,Brest,Ajaccio,1-0,0-0,Fri,33
?,2015-08-21,Creteil,Metz,1-2,1-0,Fri,33
?,2015-08-21,Dijon,Lens,2-0,1-0,Fri,33
?,2015-08-21,Evian Thonon Gaillard,Niort,0-0,0-0,Fri,33
?,2015-08-21,Laval,Red Star,2-1,0-1,Fri,33
?,2015-08-21,Le Havre,Clermont,0-1,0-1,Fri,33
?,2015-08-21,Sochaux,Paris FC,1-1,0-0,Fri,33
?,2015-08-21,Tours,Auxerre,3-1,1-0,Fri,33
?,2015-08-21,Valenciennes,Bourg Peronnas,1-1,1-1,Fri,33
?,2015-08-22,Nimes,Nancy,2-2,1-1,Sat,33
?,2015-08-28,Ajaccio,Tours,1-2,1-0,Fri,34
?,2015-08-28,Auxerre,Nimes,1-0,1-0,Fri,34
?,2015-08-28,Bourg Peronnas,Sochaux,2-1,1-1,Fri,34
?,2015-08-28,Clermont,Nancy,1-2,0-0,Fri,34
?,2015-08-28,Dijon,Creteil,4-1,2-0,Fri,34
?,2015-08-28,Niort,Laval,0-1,0-0,Fri,34
?,2015-08-28,Paris FC,Brest,1-1,0-1,Fri,34
?,2015-08-28,Red Star,Valenciennes,1-5,0-1,Fri,34
?,2015-08-29,Metz,Evian Thonon Gaillard,2-1,1-0,Sat,34
?,2015-08-31,Lens,Le Havre,0-4,0-3,Mon,35
?,2015-09-11,Clermont,Paris FC,1-1,0-1,Fri,36
?,2015-09-11,Evian Thonon Gaillard,Auxerre,4-0,1-0,Fri,36
?,2015-09-11,Laval,Metz,0-1,0-0,Fri,36
?,2015-09-11,Le Havre,Red Star,0-2,0-1,Fri,36
?,2015-09-11,Nancy,Niort,1-1,0-0,Fri,36
?,2015-09-11,Nimes,Ajaccio,0-0,0-0,Fri,36
?,2015-09-11,Sochaux,Creteil,0-3,0-2,Fri,36
?,2015-09-11,Tours,Bourg Peronnas,0-1,0-0,Fri,36
?,2015-09-12,Valenciennes,Dijon,1-3,0-2,Sat,36
?,2015-09-14,Brest,Lens,2-1,1-0,Mon,37
?,2015-09-18,Ajaccio,Laval,0-0,0-0,Fri,37
?,2015-09-18,Auxerre,Clermont,1-0,0-0,Fri,37
?,2015-09-18,Bourg Peronnas,Brest,3-1,1-0,Fri,37
?,2015-09-18,Creteil,Valenciennes,0-1,0-0,Fri,37
?,2015-09-18,Dijon,Le Havre,2-1,0-1,Fri,37
?,2015-09-18,Lens,Tours,1-1,1-0,Fri,37
?,2015-09-18,Metz,Nancy,0-0,0-0,Fri,37
?,2015-09-18,Niort,Nimes,1-0,0-0,Fri,37
?,2015-09-18,Red Star,Sochaux,0-0,0-0,Fri,37
?,2015-09-19,Paris FC,Evian Thonon Gaillard,0-0,0-0,Sat,37
?,2015-09-21,Valenciennes,Lens,0-1,0-1,Mon,38
?,2015-09-22,Brest,Niort,1-1,1-1,Tue,38
?,2015-09-22,Clermont,Ajaccio,2-1,2-0,Tue,38
?,2015-09-22,Evian Thonon Gaillard,Red Star,0-1,0-0,Tue,38
?,2015-09-22,Laval,Bourg Peronnas,1-3,0-2,Tue,38
?,2015-09-22,Le Havre,Metz,1-1,1-1,Tue,38
?,2015-09-22,Nancy,Auxerre,0-1,0-0,Tue,38
?,2015-09-22,Nimes,Paris FC,1-1,0-1,Tue,38
?,2015-09-22,Sochaux,Dijon,0-1,0-0,Tue,38
?,2015-09-22,Tours,Creteil,1-2,0-1,Tue,38
?,2015-09-25,Ajaccio,Auxerre,1-0,1-0,Fri,38
?,2015-09-25,Bourg Peronnas,Evian Thonon Gaillard,0-2,0-0,Fri,38
?,2015-09-25,Creteil,Le Havre,2-1,1-0,Fri,38
?,2015-09-25,Lens,Sochaux,1-0,0-0,Fri,38
?,2015-09-25,Metz,Nimes,1-2,1-0,Fri,38
?,2015-09-25,Niort,Clermont,1-1,0-0,Fri,38
?,2015-09-25,Red Star,Brest,1-0,0-0,Fri,38
?,2015-09-25,Valenciennes,Tours,0-0,0-0,Fri,38
?,2015-09-26,Dijon,Laval,2-0,2-0,Sat,38
?,2015-09-28,Paris FC,Nancy,1-1,1-0,Mon,39
?,2015-10-02,Auxerre,Paris FC,2-0,1-0,Fri,39
?,2015-10-02,Clermont,Bourg Peronnas,3-2,1-0,Fri,39
?,2015-10-02,Evian Thonon Gaillard,Lens,2-1,2-0,Fri,39
?,2015-10-02,Laval,Creteil,3-2,2-0,Fri,39
?,2015-10-02,Le Havre,Niort,0-0,0-0,Fri,39
?,2015-10-02,Nancy,Ajaccio,3-0,1-0,Fri,39
?,2015-10-02,Nimes,Red Star,1-1,0-0,Fri,39
?,2015-10-02,Sochaux,Valenciennes,1-0,0-0,Fri,39
?,2015-10-03,Brest,Metz,1-1,1-0,Sat,39
?,2015-10-05,Tours,Dijon,1-0,0-0,Mon,40
?,2015-10-16,Bourg Peronnas,Nimes,4-2,1-0,Fri,41
?,2015-10-16,Creteil,Brest,0-2,0-1,Fri,41
?,2015-10-16,Metz,Clermont,2-2,0-2,Fri,41
?,2015-10-16,Niort,Auxerre,2-3,1-3,Fri,41
?,2015-10-16,Paris FC,Ajaccio,0-0,0-0,Fri,41
?,2015-10-16,Red Star,Nancy,0-1,0-1,Fri,41
?,2015-10-16,Sochaux,Tours,0-0,0-0,Fri,41
?,2015-10-16,Valenciennes,Le Havre,0-1,0-1,Fri,41
?,2015-10-17,Dijon,Evian Thonon Gaillard,1-3,1-1,Sat,41
?,2015-10-19,Lens,Laval,1-1,0-1,Mon,42
?,2015-10-23,Ajaccio,Metz,0-1,0-0,Fri,42
?,2015-10-23,Auxerre,Red Star,0-1,0-1,Fri,42
?,2015-10-23,Brest,Valenciennes,1-2,0-2,Fri,42
?,2015-10-23,Evian Thonon Gaillard,Creteil,1-2,1-1,Fri,42
?,2015-10-23,Laval,Tours,1-1,1-0,Fri,42
?,2015-10-23,Le Havre,Sochaux,2-1,1-1,Fri,42
?,2015-10-23,Nancy,Bourg Peronnas,3-1,1-1,Fri,42
?,2015-10-23,Paris FC,Niort,1-1,0-0,Fri,42
?,2015-10-24,Nimes,Dijon,1-1,1-1,Sat,42
?,2015-10-26,Clermont,Lens,2-2,0-1,Mon,43
?,2015-10-30,Creteil,Nimes,1-2,0-0,Fri,43
?,2015-10-30,Metz,Paris FC,2-1,2-1,Fri,43
?,2015-10-30,Niort,Ajaccio,3-1,1-1,Fri,43
?,2015-10-30,Red Star,Clermont,2-1,0-0,Fri,43
?,2015-10-30,Sochaux,Evian Thonon Gaillard,1-0,1-0,Fri,43
?,2015-10-30,Tours,Le Havre,0-1,0-1,Fri,43
?,2015-10-30,Valenciennes,Laval,0-0,0-0,Fri,43
?,2015-10-31,Bourg Peronnas,Auxerre,1-1,1-0,Sat,43
?,2015-10-31,Dijon,Brest,3-1,0-1,Sat,43
?,2015-11-02,Lens,Nancy,1-0,0-0,Mon,44
?,2015-11-06,Ajaccio,Bourg Peronnas,2-0,2-0,Fri,44
?,2015-11-06,Auxerre,Lens,1-2,0-0,Fri,44
?,2015-11-06,Brest,Tours,3-0,1-0,Fri,44
?,2015-11-06,Clermont,Creteil,1-0,0-0,Fri,44
?,2015-11-06,Evian Thonon Gaillard,Valenciennes,4-0,2-0,Fri,44
?,2015-11-06,Laval,Le Havre,0-1,0-0,Fri,44
?,2015-11-06,Nimes,Sochaux,0-2,0-0,Fri,44
?,2015-11-06,Niort,Metz,1-1,0-1,Fri,44
?,2015-11-07,Paris FC,Red Star,0-1,0-0,Sat,44
?,2015-11-09,Nancy,Dijon,3-1,2-0,Mon,45
?,2015-11-20,Creteil,Nancy,0-3,0-1,Fri,46
?,2015-11-20,Dijon,Clermont,4-1,4-0,Fri,46
?,2015-11-20,Tours,Evian Thonon Gaillard,2-1,1-0,Fri,46
?,2015-11-21,Metz,Auxerre,0-1,0-1,Sat,46
?,2015-11-23,Le Havre,Brest,0-0,0-0,Mon,47
?,2015-11-24,Bourg Peronnas,Paris FC,4-1,2-0,Tue,47
?,2015-11-24,Lens,Niort,1-1,0-1,Tue,47
?,2015-11-24,Red Star,Ajaccio,1-1,0-1,Tue,47
?,2015-11-24,Sochaux,Laval,0-0,0-0,Tue,47
?,2015-11-24,Valenciennes,Nimes,2-2,0-1,Tue,47
?,2015-11-27,Ajaccio,Lens,1-1,0-0,Fri,47
?,2015-11-27,Auxerre,Creteil,3-1,1-1,Fri,47
?,2015-11-27,Brest,Sochaux,1-0,1-0,Fri,47
?,2015-11-27,Clermont,Valenciennes,2-0,2-0,Fri,47
?,2015-11-27,Evian Thonon Gaillard,Laval,0-0,0-0,Fri,47
?,2015-11-27,Metz,Bourg Peronnas,5-0,2-0,Fri,47
?,2015-11-27,Nimes,Tours,2-1,0-1,Fri,47
?,2015-11-27,Niort,Red Star,0-0,0-0,Fri,47
?,2015-11-27,Paris FC,Dijon,0-3,0-2,Fri,47
?,2015-11-28,Nancy,Le Havre,3-1,1-1,Sat,47
?,2015-11-30,Lens,Nimes,1-0,0-0,Mon,48
?,2015-12-01,Bourg Peronnas,Niort,2-1,1-0,Tue,48
?,2015-12-01,Creteil,Paris FC,0-0,0-0,Tue,48
?,2015-12-01,Dijon,Auxerre,0-0,0-0,Tue,48
?,2015-12-01,Laval,Brest,2-0,1-0,Tue,48
?,2015-12-01,Le Havre,Evian Thonon Gaillard,3-2,1-1,Tue,48
?,2015-12-01,Red Star,Metz,3-1,0-0,Tue,48
?,2015-12-01,Sochaux,Nancy,2-2,0-1,Tue,48
?,2015-12-01,Tours,Clermont,1-1,0-1,Tue,48
?,2015-12-01,Valenciennes,Ajaccio,1-1,0-1,Tue,48
?,2015-12-11,Ajaccio,Creteil,3-0,1-0,Fri,49
?,2015-12-11,Auxerre,Sochaux,2-1,0-1,Fri,49
?,2015-12-11,Bourg Peronnas,Red Star,0-1,0-0,Fri,49
?,2015-12-11,Clermont,Laval,4-1,1-0,Fri,49
?,2015-12-11,Evian Thonon Gaillard,Brest,0-2,0-1,Fri,49
?,2015-12-11,Nimes,Le Havre,2-2,0-1,Fri,49
?,2015-12-11,Niort,Tours,0-0,0-0,Fri,49
?,2015-12-11,Paris FC,Lens,0-1,0-1,Fri,49
?,2015-12-12,Metz,Dijon,1-2,0-1,Sat,49
?,2015-12-14,Nancy,Valenciennes,1-0,0-0,Mon,50
?,2015-12-17,Evian Thonon Gaillard,Nancy,0-1,0-0,Thu,50
?,2015-12-18,Brest,Clermont,1-2,1-0,Fri,50
?,2015-12-18,Creteil,Niort,2-3,1-1,Fri,50
?,2015-12-18,Dijon,Red Star,0-0,0-0,Fri,50
?,2015-12-18,Laval,Nimes,3-2,1-1,Fri,50
?,2015-12-18,Le Havre,Auxerre,1-0,0-0,Fri,50
?,2015-12-18,Sochaux,Ajaccio,3-0,0-0,Fri,50
?,2015-12-18,Valenciennes,Paris FC,1-1,1-1,Fri,50
?,2015-12-19,Lens,Bourg Peronnas,2-0,2-0,Sat,50
?,2015-12-19,Tours,Metz,2-0,1-0,Sat,50
?,2016-01-08,Ajaccio,Le Havre,1-1,1-0,Fri,1
?,2016-01-08,Auxerre,Valenciennes,1-1,0-0,Fri,1
?,2016-01-08,Bourg Peronnas,Creteil,5-1,1-1,Fri,1
?,2016-01-08,Clermont,Evian Thonon Gaillard,4-1,4-0,Fri,1
?,2016-01-08,Nancy,Laval,1-0,1-0,Fri,1
?,2016-01-08,Nimes,Brest,2-0,0-0,Fri,1
?,2016-01-08,Niort,Dijon,2-2,1-1,Fri,1
