Date,Team 1,FT,Team 2
Fri Aug 14 2015,Bayern Muenchen,5-0,Hamburger SV
Sat Aug 15 2015,Bayer Leverkusen,2-1,1899 Hoffenheim
Sat Aug 15 2015,FC Augsburg,0-1,Hertha BSC Berlin
Sat Aug 15 2015,Werder Bremen,0-3,FC Schalke 04
Sat Aug 15 2015,1 Fsv Mainz 05,0-1,FC Ingolstadt 04
Sat Aug 15 2015,SV Darmstadt 98,2-2,Hannover 96
Sat Aug 15 2015,Borussia Dortmund,4-0,Bor Moenchengladbach
Sun Aug 16 2015,Vfl Wolfsburg,2-1,Eintracht Frankfurt
Sun Aug 16 2015,Vfb Stuttgart,1-3,1 FC Koeln
Fri Aug 21 2015,Hertha BSC Berlin,1-1,Werder Bremen
Sat Aug 22 2015,FC Schalke 04,1-1,SV Darmstadt 98
Sat Aug 22 2015,Eintracht Frankfurt,1-1,FC Augsburg
Sat Aug 22 2015,1 FC Koeln,1-1,Vfl Wolfsburg
Sat Aug 22 2015,Hannover 96,0-1,Bayer Leverkusen
Sat Aug 22 2015,1899 Hoffenheim,1-2,Bayern Muenchen
Sat Aug 22 2015,Hamburger SV,3-2,Vfb Stuttgart
Sun Aug 23 2015,FC Ingolstadt 04,0-4,Borussia Dortmund
Sun Aug 23 2015,Bor Moenchengladbach,1-2,1 Fsv Mainz 05
Fri Aug 28 2015,Vfl Wolfsburg,3-0,FC Schalke 04
Sat Aug 29 2015,Vfb Stuttgart,1-4,Eintracht Frankfurt
Sat Aug 29 2015,FC Augsburg,0-1,FC Ingolstadt 04
Sat Aug 29 2015,1 FC Koeln,2-1,Hamburger SV
Sat Aug 29 2015,1 Fsv Mainz 05,3-0,Hannover 96
Sat Aug 29 2015,SV Darmstadt 98,0-0,1899 Hoffenheim
Sat Aug 29 2015,Bayern Muenchen,3-0,Bayer Leverkusen
Sun Aug 30 2015,Borussia Dortmund,3-1,Hertha BSC Berlin
Sun Aug 30 2015,Werder Bremen,2-1,Bor Moenchengladbach
Fri Sep 11 2015,Bor Moenchengladbach,0-3,Hamburger SV
Sat Sep 12 2015,Bayern Muenchen,2-1,FC Augsburg
Sat Sep 12 2015,Bayer Leverkusen,0-1,SV Darmstadt 98
Sat Sep 12 2015,Hannover 96,2-4,Borussia Dortmund
Sat Sep 12 2015,Hertha BSC Berlin,2-1,Vfb Stuttgart
Sat Sep 12 2015,FC Ingolstadt 04,0-0,Vfl Wolfsburg
Sat Sep 12 2015,Eintracht Frankfurt,6-2,1 FC Koeln
Sun Sep 13 2015,1899 Hoffenheim,1-3,Werder Bremen
Sun Sep 13 2015,FC Schalke 04,2-1,1 Fsv Mainz 05
Fri Sep 18 2015,1 Fsv Mainz 05,3-1,1899 Hoffenheim
Sat Sep 19 2015,Vfl Wolfsburg,2-0,Hertha BSC Berlin
Sat Sep 19 2015,Hamburger SV,0-0,Eintracht Frankfurt
Sat Sep 19 2015,Werder Bremen,0-1,FC Ingolstadt 04
