Date,Team 1,FT,Team 2
Sat Aug 8 2015,Roda JC Kerkrade,3-1,Heracles Almelo
Sat Aug 8 2015,Feyenoord,3-2,FC Utrecht
Sun Aug 9 2015,AZ Alkmaar,0-3,AFC Ajax
Sun Aug 9 2015,Willem II,1-1,Vitesse
Tue Aug 11 2015,ADO Den Haag,2-2,PSV Eindhoven
Tue Aug 11 2015,SC Heerenveen,3-1,De Graafschap
Wed Aug 12 2015,FC Groningen,1-1,FC Twente
Wed Aug 12 2015,PEC Zwolle,2-2,SC Cambuur
Wed Aug 12 2015,NEC Nijmegen,1-0,Sbv Excelsior
Fri Aug 14 2015,Vitesse,3-0,Roda JC Kerkrade
Sat Aug 15 2015,De Graafschap,0-3,PEC Zwolle
Sat Aug 15 2015,AFC Ajax,3-0,Willem II
Sat Aug 15 2015,FC Twente,1-4,ADO Den Haag
Sat Aug 15 2015,Sbv Excelsior,2-2,AZ Alkmaar
Sun Aug 16 2015,PSV Eindhoven,2-0,FC Groningen
Sun Aug 16 2015,SC Cambuur,0-2,Feyenoord
Sun Aug 16 2015,FC Utrecht,1-1,SC Heerenveen
Sun Aug 16 2015,Heracles Almelo,3-0,NEC Nijmegen
Fri Aug 21 2015,FC Groningen,2-0,Sbv Excelsior
Sat Aug 22 2015,Roda JC Kerkrade,1-0,De Graafschap
Sat Aug 22 2015,SC Heerenveen,1-1,PSV Eindhoven
Sat Aug 22 2015,SC Cambuur,1-6,Heracles Almelo
Sun Aug 23 2015,PEC Zwolle,2-1,FC Twente
Sun Aug 23 2015,NEC Nijmegen,0-2,AFC Ajax
Sun Aug 23 2015,AZ Alkmaar,0-0,Willem II
Sun Aug 23 2015,ADO Den Haag,1-1,FC Utrecht
Sun Aug 23 2015,Feyenoord,2-0,Vitesse
Fri Aug 28 2015,Willem II,0-1,NEC Nijmegen
Sat Aug 29 2015,FC Utrecht,2-0,FC Groningen
Sat Aug 29 2015,SC Heerenveen,1-1,PEC Zwolle
Sat Aug 29 2015,Sbv Excelsior,3-0,De Graafschap
Sat Aug 29 2015,Heracles Almelo,2-0,FC Twente
Sun Aug 30 2015,AFC Ajax,4-0,ADO Den Haag
Sun Aug 30 2015,AZ Alkmaar,0-1,Roda JC Kerkrade
Sun Aug 30 2015,Vitesse,4-1,SC Cambuur
Sun Aug 30 2015,PSV Eindhoven,3-1,Feyenoord
Sat Sep 12 2015,De Graafschap,1-3,AZ Alkmaar
Sat Sep 12 2015,Roda JC Kerkrade,0-0,NEC Nijmegen
Sat Sep 12 2015,FC Twente,2-2,AFC Ajax
Sat Sep 12 2015,SC Cambuur,0-6,PSV Eindhoven
Sat Sep 12 2015,PEC Zwolle,3-0,Sbv Excelsior
Sun Sep 13 2015,FC Groningen,3-1,SC Heerenveen
Sun Sep 13 2015,Feyenoord,1-0,Willem II
Sun Sep 13 2015,ADO Den Haag,0-1,Heracles Almelo
Sun Sep 13 2015,FC Utrecht,2-1,Vitesse
Fri Sep 18 2015,NEC Nijmegen,2-0,SC Heerenveen
Sat Sep 19 2015,SC Cambuur,0-0,FC Twente
Sat Sep 19 2015,PEC Zwolle,2-1,ADO Den Haag
Sat Sep 19 2015,Heracles Almelo,2-1,PSV Eindhoven
Sat Sep 19 2015,Willem II,3-1,FC Utrecht
Sun Sep 20 2015,Roda JC Kerkrade,1-1,Feyenoord
Sun Sep 20 2015,Sbv Excelsior,0-2,AFC Ajax
Sun Sep 20 2015,Vitesse,3-0,De Graafschap
Sun Sep 20 2015,FC Groningen,2-0,AZ Alkmaar
Sat Sep 26 2015,SC Heerenveen,0-0,Vitesse
Sat Sep 26 2015,FC Utrecht,3-3,SC Cambuur
Sat Sep 26 2015,AFC Ajax,2-0,FC Groningen
Sat Sep 26 2015,AZ Alkmaar,3-1,Heracles Almelo
Sat Sep 26 2015,PSV Eindhoven,2-1,NEC Nijmegen
Sun Sep 27 2015,De Graafschap,2-2,Willem II
Sun Sep 27 2015,Feyenoord,2-0,PEC Zwolle
Sun Sep 27 2015,ADO Den Haag,3-3,Sbv Excelsior
Sun Sep 27 2015,FC Twente,2-1,Roda JC Kerkrade
Fri Oct 2 2015,Heracles Almelo,2-0,SC Heerenveen
Sat Oct 3 2015,NEC Nijmegen,4-1,ADO Den Haag
Sat Oct 3 2015,Roda JC Kerkrade,1-1,SC Cambuur
Sat Oct 3 2015,Willem II,0-1,PEC Zwolle
Sat Oct 3 2015,Sbv Excelsior,1-0,FC Utrecht
Sun Oct 4 2015,De Graafschap,1-2,Feyenoord
Sun Oct 4 2015,AFC Ajax,1-2,PSV Eindhoven
