Date,Team 1,FT,Team 2
Sat Mar 29 2003,Atletico Paranaense,2-0,Gremio Porto Alegre
Sat Mar 29 2003,Guarani FC,4-2,Vasco Da Gama
Sun Mar 30 2003,Cruzeiro EC,2-2,Sao Caetano
Sun Mar 30 2003,Criciuma EC,2-0,Fluminense RJ
Sun Mar 30 2003,EC Vitoria Ba,1-1,Figueirense
Sun Mar 30 2003,Goias EC,2-2,Paysandu SC
Sun Mar 30 2003,Internacional,1-1,Ponte Preta
Sun Mar 30 2003,Juventude RS,2-2,Sao Paulo FC
Sun Mar 30 2003,Flamengo RJ,1-1,Coritiba FC
Sun Mar 30 2003,Santos FC,2-2,Parana Clube
Sun Mar 30 2003,Corinthians SP,0-3,Atletico Mineiro
Sun Mar 30 2003,Fortaleza,0-0,EC Bahia
Sat Apr 5 2003,Fluminense RJ,1-1,Fortaleza
Sat Apr 5 2003,Gremio Porto Alegre,3-1,Guarani FC
Sat Apr 5 2003,Atletico Mineiro,0-0,Santos FC
Sat Apr 5 2003,Coritiba FC,0-1,Internacional
Sun Apr 6 2003,Ponte Preta,1-0,Juventude RS
Sun Apr 6 2003,Sao Paulo FC,2-4,Cruzeiro EC
Sun Apr 6 2003,Figueirense,3-3,Corinthians SP
Sun Apr 6 2003,Parana Clube,3-0,Atletico Paranaense
Sun Apr 6 2003,Sao Caetano,3-2,Criciuma EC
Sun Apr 6 2003,Vasco Da Gama,6-4,Goias EC
Sun Apr 6 2003,Paysandu SC,1-2,EC Vitoria Ba
Sun Apr 6 2003,EC Bahia,1-2,Flamengo RJ
Wed Apr 9 2003,Paysandu SC,2-1,Santos FC
Sat Apr 12 2003,Internacional,2-0,EC Bahia
Sat Apr 12 2003,Atletico Paranaense,1-2,Atletico Mineiro
Sat Apr 12 2003,Santos FC,2-0,Figueirense
Sat Apr 12 2003,Corinthians SP,6-1,Paysandu SC
Sun Apr 13 2003,Cruzeiro EC,3-0,Ponte Preta
Sun Apr 13 2003,Criciuma EC,1-1,Sao Paulo FC
Sun Apr 13 2003,EC Vitoria Ba,2-1,Vasco Da Gama
