Date,Team 1,FT,Team 2
Sat Aug 28 1920,Aston Villa,5-0,Arsenal FC
Sat Aug 28 1920,Bradford Park Avenue,3-3,Everton FC
Sat Aug 28 1920,Burnley FC,1-4,Bradford City
Sat Aug 28 1920,Derby County,0-0,Chelsea FC
Sat Aug 28 1920,Liverpool FC,4-2,Manchester City
Sat Aug 28 1920,Manchester United,2-3,Bolton Wanderers
Sat Aug 28 1920,Middlesbrough FC,1-2,Oldham Athletic
Sat Aug 28 1920,Newcastle United,1-1,West Bromwich Albion
Sat Aug 28 1920,Preston North End,0-1,Huddersfield Town
Sat Aug 28 1920,Sheffield United,1-1,Sunderland Afc
Sat Aug 28 1920,Tottenham Hotspur,1-2,Blackburn Rovers
Mon Aug 30 1920,Arsenal FC,2-0,Manchester United
Mon Aug 30 1920,Bradford City,4-0,Sheffield United
Mon Aug 30 1920,Derby County,2-2,Tottenham Hotspur
Mon Aug 30 1920,Huddersfield Town,1-0,Burnley FC
Mon Aug 30 1920,Manchester City,3-1,Aston Villa
Mon Aug 30 1920,Middlesbrough FC,0-0,Preston North End
Mon Aug 30 1920,Oldham Athletic,1-0,Blackburn Rovers
Wed Sep 1 1920,Chelsea FC,1-0,Bolton Wanderers
Wed Sep 1 1920,Everton FC,3-1,Newcastle United
Wed Sep 1 1920,Sunderland Afc,5-1,Bradford Park Avenue
Wed Sep 1 1920,West Bromwich Albion,1-1,Liverpool FC
Sat Sep 4 1920,Arsenal FC,0-1,Aston Villa
Sat Sep 4 1920,Blackburn Rovers,1-1,Tottenham Hotspur
Sat Sep 4 1920,Bolton Wanderers,1-1,Manchester United
Sat Sep 4 1920,Bradford City,2-0,Burnley FC
Sat Sep 4 1920,Chelsea FC,1-1,Derby County
Sat Sep 4 1920,Everton FC,1-1,Bradford Park Avenue
Sat Sep 4 1920,Huddersfield Town,1-0,Preston North End
Sat Sep 4 1920,Manchester City,3-2,Liverpool FC
Sat Sep 4 1920,Oldham Athletic,3-3,Middlesbrough FC
Sat Sep 4 1920,Sunderland Afc,3-1,Sheffield United
Sat Sep 4 1920,West Bromwich Albion,0-0,Newcastle United
Mon Sep 6 1920,Aston Villa,3-1,Manchester City
Mon Sep 6 1920,Bolton Wanderers,3-1,Chelsea FC
Mon Sep 6 1920,Burnley FC,3-0,Huddersfield Town
Mon Sep 6 1920,Liverpool FC,0-0,West Bromwich Albion
Mon Sep 6 1920,Manchester United,1-1,Arsenal FC
Mon Sep 6 1920,Preston North End,2-0,Middlesbrough FC
