Date,Team 1,FT,Team 2
Wed Jul 20 1983,Girondins Bordeaux,4-1,Stade Rennes
Wed Jul 20 1983,FC Sochaux,4-1,Nimes Olympique
Wed Jul 20 1983,FC Rouen,2-0,Aj Auxerre
Wed Jul 20 1983,RC Lens,3-2,FC Metz
Wed Jul 20 1983,As Nancy,1-2,Lille OSC
Wed Jul 20 1983,Toulouse FC,1-1,Paris Saint Germain
Wed Jul 20 1983,Stade Laval,1-1,As Saint Etienne
Wed Jul 20 1983,Sporting Toulon Var,0-0,Stade Brest
Wed Jul 20 1983,RC Strasbourg,0-0,SC Bastia
Wed Jul 20 1983,FC Nantes,0-0,As Monaco
Wed Jul 27 1983,FC Sochaux,3-1,Girondins Bordeaux
Wed Jul 27 1983,As Saint Etienne,0-4,RC Lens
Wed Jul 27 1983,Stade Rennes,1-5,Toulouse FC
Wed Jul 27 1983,Paris Saint Germain,5-1,Sporting Toulon Var
Wed Jul 27 1983,As Monaco,3-0,Stade Laval
Wed Jul 27 1983,SC Bastia,0-0,FC Rouen
Wed Jul 27 1983,Lille OSC,1-1,RC Strasbourg
Wed Jul 27 1983,FC Metz,1-0,Stade Brest
Wed Jul 27 1983,Aj Auxerre,1-0,FC Nantes
Wed Jul 27 1983,Nimes Olympique,1-1,As Nancy
Wed Aug 3 1983,RC Lens,3-1,As Monaco
Wed Aug 3 1983,As Nancy,0-0,FC Sochaux
Wed Aug 3 1983,FC Rouen,3-1,Lille OSC
Wed Aug 3 1983,Girondins Bordeaux,4-0,Nimes Olympique
Wed Aug 3 1983,Toulouse FC,0-2,Aj Auxerre
Wed Aug 3 1983,FC Nantes,3-1,Paris Saint Germain
Wed Aug 3 1983,Sporting Toulon Var,0-0,FC Metz
Wed Aug 3 1983,Stade Brest,3-2,As Saint Etienne
Wed Aug 3 1983,RC Strasbourg,1-1,Stade Rennes
Wed Aug 3 1983,Stade Laval,1-0,SC Bastia
Wed Aug 10 1983,FC Sochaux,0-0,RC Strasbourg
Wed Aug 10 1983,Paris Saint Germain,3-0,RC Lens
Wed Aug 10 1983,Aj Auxerre,3-0,Stade Laval
Wed Aug 10 1983,Lille OSC,1-1,Girondins Bordeaux
Wed Aug 10 1983,Nimes Olympique,2-1,FC Rouen
Wed Aug 10 1983,As Monaco,2-0,Stade Brest
Wed Aug 10 1983,As Nancy,0-1,FC Nantes
Wed Aug 10 1983,As Saint Etienne,2-2,FC Metz
Wed Aug 10 1983,SC Bastia,3-2,Toulouse FC
Wed Aug 10 1983,Stade Rennes,1-2,Sporting Toulon Var
Wed Aug 17 1983,RC Lens,1-3,Aj Auxerre
Wed Aug 17 1983,FC Metz,0-4,As Monaco
Wed Aug 17 1983,Girondins Bordeaux,2-1,As Nancy
Wed Aug 17 1983,FC Rouen,1-0,FC Sochaux
Wed Aug 17 1983,FC Nantes,3-1,Stade Rennes
Wed Aug 17 1983,RC Strasbourg,1-0,Nimes Olympique
Wed Aug 17 1983,Stade Laval,2-0,Paris Saint Germain
Wed Aug 17 1983,Toulouse FC,2-1,Lille OSC
Wed Aug 17 1983,Stade Brest,3-0,SC Bastia
Wed Aug 17 1983,Sporting Toulon Var,0-1,As Saint Etienne
Sat Aug 20 1983,Aj Auxerre,5-0,Stade Brest
Sat Aug 20 1983,As Monaco,3-1,As Saint Etienne
Sat Aug 20 1983,Girondins Bordeaux,1-0,Sporting Toulon Var
Sat Aug 20 1983,Paris Saint Germain,2-0,FC Metz
Sat Aug 20 1983,Stade Rennes,2-1,FC Rouen
Sat Aug 20 1983,SC Bastia,2-2,RC Lens
Sat Aug 20 1983,Lille OSC,2-0,FC Nantes
