Date,Team 1,FT,Team 2
Sun Oct 6 1940,Ac Venezia,1-0,Inter
Sun Oct 6 1940,Torino FC,2-1,Unione Triestina
Sun Oct 6 1940,Lazio Roma,2-2,Juventus
Sun Oct 6 1940,AC Milan,4-0,Ssc Napoli
Sun Oct 6 1940,Bologna FC,2-1,As Roma
Sun Oct 6 1940,Atalanta,2-1,As Livorno
Sun Oct 6 1940,Acf Fiorentina,4-3,Genoa CFc
Sun Oct 6 1940,As Bari,1-2,Novara Calcio
Sun Oct 13 1940,As Livorno,3-1,Ac Venezia
Sun Oct 13 1940,Unione Triestina,3-3,Atalanta
Sun Oct 13 1940,As Roma,4-1,Torino FC
Sun Oct 13 1940,Ssc Napoli,0-2,Acf Fiorentina
Sun Oct 13 1940,Juventus,3-1,Bologna FC
Sun Oct 13 1940,Genoa CFc,2-2,Lazio Roma
Sun Oct 13 1940,Inter,5-0,As Bari
Sun Oct 13 1940,Novara Calcio,2-0,AC Milan
Sun Oct 20 1940,Acf Fiorentina,2-2,Novara Calcio
Sun Oct 20 1940,Juventus,2-0,Genoa CFc
Sun Oct 20 1940,Ac Venezia,4-3,Unione Triestina
Sun Oct 20 1940,AC Milan,0-1,Inter
Sun Oct 20 1940,Atalanta,0-0,As Roma
Sun Oct 20 1940,Bologna FC,3-0,Torino FC
Sun Oct 20 1940,As Bari,1-1,As Livorno
Sun Oct 20 1940,Lazio Roma,1-1,Ssc Napoli
Sun Oct 27 1940,Ssc Napoli,2-2,Juventus
Sun Oct 27 1940,Unione Triestina,2-4,As Bari
Sun Oct 27 1940,Torino FC,1-1,Atalanta
Sun Oct 27 1940,Novara Calcio,0-0,Lazio Roma
Sun Oct 27 1940,As Livorno,1-0,AC Milan
Sun Oct 27 1940,Genoa CFc,0-1,Bologna FC
Sun Oct 27 1940,Inter,0-2,Acf Fiorentina
Sun Oct 27 1940,As Roma,5-2,Ac Venezia
Sun Nov 3 1940,Genoa CFc,1-2,Ssc Napoli
Sun Nov 3 1940,Juventus,3-0,Novara Calcio
Sun Nov 3 1940,Ac Venezia,2-2,Torino FC
Sun Nov 3 1940,AC Milan,1-1,Unione Triestina
Sun Nov 3 1940,As Bari,2-2,As Roma
Sun Nov 3 1940,Acf Fiorentina,5-2,As Livorno
Sun Nov 3 1940,Bologna FC,1-0,Atalanta
Sun Nov 3 1940,Lazio Roma,2-4,Inter
Sun Nov 10 1940,Ssc Napoli,4-4,Bologna FC
Sun Nov 10 1940,Unione Triestina,1-0,Acf Fiorentina
Sun Nov 10 1940,Torino FC,4-0,As Bari
Sun Nov 10 1940,Novara Calcio,2-1,Genoa CFc
Sun Nov 10 1940,As Livorno,2-1,Lazio Roma
Sun Nov 10 1940,Atalanta,3-1,Ac Venezia
Sun Nov 10 1940,Inter,2-1,Juventus
Sun Nov 10 1940,As Roma,1-2,AC Milan
Sun Nov 17 1940,Genoa CFc,2-0,Inter
Sun Nov 17 1940,Juventus,2-1,As Livorno
Sun Nov 17 1940,Ssc Napoli,2-0,Novara Calcio
Sun Nov 17 1940,AC Milan,1-1,Torino FC
Sun Nov 17 1940,Acf Fiorentina,1-1,As Roma
Sun Nov 17 1940,Bologna FC,1-1,Ac Venezia
Sun Nov 17 1940,As Bari,2-2,Atalanta
Sun Nov 17 1940,Lazio Roma,2-1,Unione Triestina
Sun Nov 24 1940,Novara Calcio,0-1,Bologna FC
Sun Nov 24 1940,Unione Triestina,1-1,Juventus
Sun Nov 24 1940,As Roma,1-1,Lazio Roma
Sun Nov 24 1940,Ac Venezia,1-1,As Bari
Sun Nov 24 1940,As Livorno,2-2,Genoa CFc
Sun Nov 24 1940,Atalanta,2-1,AC Milan
Sun Nov 24 1940,Inter,1-0,Ssc Napoli
Sun Nov 24 1940,Torino FC,6-2,Acf Fiorentina
Sun Dec 8 1940,Novara Calcio,2-4,Inter
Sun Dec 8 1940,Ssc Napoli,1-2,As Livorno
Sun Dec 8 1940,Lazio Roma,0-2,Torino FC
Sun Dec 8 1940,AC Milan,0-0,Ac Venezia
Sun Dec 8 1940,Genoa CFc,2-1,Unione Triestina
Sun Dec 8 1940,Bologna FC,5-1,As Bari
Sun Dec 8 1940,Acf Fiorentina,1-1,Atalanta
Sun Dec 8 1940,Juventus,3-1,As Roma
Sun Dec 15 1940,As Livorno,1-1,Novara Calcio
