Date,Team 1,FT,Team 2
Fri Aug 19 2005,Sporting CP,2-1,Os Belenenses
Sat Aug 20 2005,Academica De Coimbra,0-0,Sl Benfica
Sat Aug 20 2005,Boavista Porto,0-0,Vitoria Setubal
Sun Aug 21 2005,Pacos De Ferreira,0-1,CD Nacional
Sun Aug 21 2005,Gil Vicente,1-0,CS Maritimo
Sun Aug 21 2005,Vitoria Guimaraes,0-2,Naval 1 De Maio
Sun Aug 21 2005,FC Penafiel,0-2,Rio Ave FC
Sun Aug 21 2005,FC Porto,1-0,Estrela Amadora
Mon Aug 22 2005,Uniao Leiria,0-1,Sporting Braga
Fri Aug 26 2005,Naval 1 De Maio,2-3,FC Porto
Sat Aug 27 2005,Os Belenenses,3-1,Uniao Leiria
Sat Aug 27 2005,Sl Benfica,0-2,Gil Vicente
Sun Aug 28 2005,Sporting Braga,1-0,FC Penafiel
Sun Aug 28 2005,CS Maritimo,1-2,Sporting CP
Sun Aug 28 2005,CD Nacional,2-2,Academica De Coimbra
Sun Aug 28 2005,Rio Ave FC,3-1,Vitoria Guimaraes
Sun Aug 28 2005,Vitoria Setubal,0-1,Pacos De Ferreira
Mon Aug 29 2005,Estrela Amadora,1-1,Boavista Porto
Fri Sep 9 2005,Vitoria Guimaraes,0-2,Sporting Braga
Sat Sep 10 2005,FC Porto,3-0,Rio Ave FC
Sat Sep 10 2005,Sporting CP,2-1,Sl Benfica
Sun Sep 11 2005,Academica De Coimbra,0-1,Vitoria Setubal
Sun Sep 11 2005,Estrela Amadora,2-1,Naval 1 De Maio
Sun Sep 11 2005,Boavista Porto,4-1,Pacos De Ferreira
Sun Sep 11 2005,Gil Vicente,0-1,CD Nacional
Sun Sep 11 2005,Uniao Leiria,0-0,CS Maritimo
Mon Sep 12 2005,FC Penafiel,0-3,Os Belenenses
Fri Sep 16 2005,Naval 1 De Maio,2-2,Boavista Porto
Sun Sep 18 2005,Sl Benfica,4-0,Uniao Leiria
Sun Sep 18 2005,Sporting Braga,0-0,FC Porto
Sun Sep 18 2005,Pacos De Ferreira,2-1,Academica De Coimbra
Sun Sep 18 2005,CS Maritimo,2-2,FC Penafiel
Sun Sep 18 2005,Rio Ave FC,2-1,Estrela Amadora
Sun Sep 18 2005,Vitoria Setubal,1-0,Gil Vicente
Mon Sep 19 2005,Os Belenenses,3-1,Vitoria Guimaraes
Mon Sep 19 2005,CD Nacional,2-1,Sporting CP
