Date,Team 1,FT,Team 2
Fri Jul 22 1988,Borussia Dortmund,1-2,Vfb Stuttgart
Fri Jul 22 1988,Waldhof Mannheim,1-1,Bayer Leverkusen
Sat Jul 23 1988,1 FC Koeln,1-1,KSC Uerdingen 05
Sat Jul 23 1988,FC St Pauli,0-1,1 FC Nuernberg
Sat Jul 23 1988,Stuttgarter Kickers,1-2,Vfl Bochum
Sat Jul 23 1988,Bayern Muenchen,3-0,Eintracht Frankfurt
Sat Jul 23 1988,Hannover 96,2-3,Karlsruher SC
Sat Jul 23 1988,Werder Bremen,2-1,Hamburger SV
Sat Jul 23 1988,Bor Moenchengladbach,4-1,1 FC Kaiserslautern
Fri Jul 29 1988,Hamburger SV,0-0,Borussia Dortmund
Fri Jul 29 1988,Vfb Stuttgart,2-1,Hannover 96
Sat Jul 30 1988,Bayer Leverkusen,3-1,Bor Moenchengladbach
Sat Jul 30 1988,Karlsruher SC,2-2,Bayern Muenchen
Sat Jul 30 1988,Eintracht Frankfurt,1-2,Stuttgarter Kickers
Sat Jul 30 1988,Vfl Bochum,0-0,FC St Pauli
Sat Jul 30 1988,1 FC Nuernberg,0-2,1 FC Koeln
Sat Jul 30 1988,KSC Uerdingen 05,0-0,Waldhof Mannheim
Sat Jul 30 1988,1 FC Kaiserslautern,0-0,Werder Bremen
Fri Aug 12 1988,Borussia Dortmund,1-1,1 FC Kaiserslautern
Sat Aug 13 1988,FC St Pauli,2-0,Eintracht Frankfurt
Sat Aug 13 1988,Stuttgarter Kickers,1-3,Karlsruher SC
Sat Aug 13 1988,Hannover 96,2-3,Hamburger SV
Sat Aug 13 1988,Werder Bremen,3-1,Bayer Leverkusen
Sat Aug 13 1988,KSC Uerdingen 05,3-2,1 FC Nuernberg
Sat Aug 13 1988,Waldhof Mannheim,4-1,Bor Moenchengladbach
Tue Aug 16 1988,1 FC Koeln,1-0,Vfl Bochum
Fri Aug 19 1988,Karlsruher SC,3-1,FC St Pauli
Fri Aug 19 1988,Eintracht Frankfurt,1-0,1 FC Koeln
Sat Aug 20 1988,Bayer Leverkusen,2-0,Borussia Dortmund
Sat Aug 20 1988,Hamburger SV,0-1,Bayern Muenchen
Sat Aug 20 1988,Vfb Stuttgart,4-0,Stuttgarter Kickers
Sat Aug 20 1988,Vfl Bochum,1-1,KSC Uerdingen 05
Sat Aug 20 1988,1 FC Nuernberg,1-0,Waldhof Mannheim
Sat Aug 20 1988,Bor Moenchengladbach,4-1,Werder Bremen
Sat Aug 20 1988,1 FC Kaiserslautern,0-0,Hannover 96
Fri Aug 26 1988,FC St Pauli,2-1,Vfb Stuttgart
Fri Aug 26 1988,KSC Uerdingen 05,4-1,Eintracht Frankfurt
Sat Aug 27 1988,1 FC Koeln,6-1,Karlsruher SC
Sat Aug 27 1988,Stuttgarter Kickers,2-0,Hamburger SV
Sat Aug 27 1988,Bayern Muenchen,5-1,1 FC Kaiserslautern
Sat Aug 27 1988,Hannover 96,2-2,Bayer Leverkusen
Sat Aug 27 1988,Borussia Dortmund,0-0,Bor Moenchengladbach
Sat Aug 27 1988,1 FC Nuernberg,3-1,Vfl Bochum
Sat Aug 27 1988,Waldhof Mannheim,1-1,Werder Bremen
Fri Sep 2 1988,Bor Moenchengladbach,2-0,Hannover 96
Sat Sep 3 1988,Bayer Leverkusen,1-1,Bayern Muenchen
Sat Sep 3 1988,Hamburger SV,1-1,FC St Pauli
Sat Sep 3 1988,Vfb Stuttgart,2-0,1 FC Koeln
Sat Sep 3 1988,Karlsruher SC,0-1,KSC Uerdingen 05
