Date,Team 1,FT,Team 2
Sun Aug 26 1951,As Saint Etienne,0-3,Racing Club De France
Sun Aug 26 1951,RC Roubaix,3-1,Le Havre Ac
Sun Aug 26 1951,FC Sochaux,2-0,OGC Nice
Sun Aug 26 1951,Stade Rennes,1-2,Olympique Marseille
Sun Aug 26 1951,RC Lens,0-1,FC Metz
Sun Aug 26 1951,Girondins Bordeaux,1-1,RC Strasbourg
Sun Aug 26 1951,As Nancy,1-1,Stade Reims
Sun Aug 26 1951,Nimes Olympique,0-0,Olympique Lyon
Sun Aug 26 1951,FC Sete,0-0,Lille OSC
Sun Sep 2 1951,FC Sochaux,1-2,RC Roubaix
Sun Sep 2 1951,Olympique Marseille,3-1,Nimes Olympique
Sun Sep 2 1951,Racing Club De France,1-2,FC Metz
Sun Sep 2 1951,Lille OSC,9-1,Stade Rennes
Sun Sep 2 1951,Olympique Lyon,3-0,Le Havre Ac
Sun Sep 2 1951,As Nancy,2-0,As Saint Etienne
Sun Sep 2 1951,OGC Nice,3-1,Girondins Bordeaux
Sun Sep 2 1951,Stade Reims,0-0,RC Strasbourg
Sun Sep 2 1951,FC Sete,1-1,RC Lens
Sun Sep 9 1951,RC Roubaix,3-0,OGC Nice
Sun Sep 9 1951,FC Metz,2-1,Olympique Marseille
Sun Sep 9 1951,RC Strasbourg,1-2,Olympique Lyon
Sun Sep 9 1951,Nimes Olympique,1-2,As Nancy
Sun Sep 9 1951,Le Havre Ac,0-2,Racing Club De France
Sun Sep 9 1951,Girondins Bordeaux,6-0,Lille OSC
Sun Sep 9 1951,RC Lens,3-1,FC Sochaux
Sun Sep 9 1951,As Saint Etienne,2-1,FC Sete
Sun Sep 9 1951,Stade Rennes,2-0,Stade Reims
Thu Sep 13 1951,FC Metz,4-0,Stade Rennes
Thu Sep 13 1951,Olympique Lyon,0-0,RC Roubaix
Thu Sep 13 1951,Racing Club De France,1-0,Girondins Bordeaux
Thu Sep 13 1951,Lille OSC,5-1,As Saint Etienne
Thu Sep 13 1951,Olympique Marseille,2-2,FC Sete
Thu Sep 13 1951,FC Sochaux,3-1,As Nancy
Thu Sep 13 1951,Stade Reims,5-2,RC Lens
Thu Sep 13 1951,OGC Nice,3-0,Nimes Olympique
Thu Sep 13 1951,Le Havre Ac,5-1,RC Strasbourg
Sun Sep 16 1951,As Nancy,0-2,RC Roubaix
Sun Sep 16 1951,Stade Reims,2-0,FC Metz
Sun Sep 16 1951,Olympique Lyon,1-1,Racing Club De France
Sun Sep 16 1951,FC Sochaux,5-1,Stade Rennes
Sun Sep 16 1951,OGC Nice,2-1,RC Strasbourg
Sun Sep 16 1951,Lille OSC,1-3,Le Havre Ac
Sun Sep 16 1951,FC Sete,1-0,Girondins Bordeaux
Sun Sep 16 1951,Olympique Marseille,3-10,As Saint Etienne
Sun Sep 16 1951,Nimes Olympique,4-1,RC Lens
Sun Sep 23 1951,RC Roubaix,4-0,FC Sete
Sun Sep 23 1951,FC Metz,2-0,Olympique Lyon
Sun Sep 23 1951,Racing Club De France,5-1,Olympique Marseille
Sun Sep 23 1951,Stade Rennes,0-3,OGC Nice
Sun Sep 23 1951,RC Strasbourg,0-2,Lille OSC
Sun Sep 23 1951,Girondins Bordeaux,2-1,FC Sochaux
Sun Sep 23 1951,Le Havre Ac,4-2,Stade Reims
Sun Sep 23 1951,RC Lens,4-0,As Nancy
Sun Sep 23 1951,As Saint Etienne,0-2,Nimes Olympique
Sun Sep 30 1951,RC Roubaix,1-0,Stade Reims
Sun Sep 30 1951,RC Strasbourg,1-2,FC Metz
Sun Sep 30 1951,RC Lens,0-2,Lille OSC
Sun Sep 30 1951,Stade Rennes,4-1,Racing Club De France
Sun Sep 30 1951,As Saint Etienne,1-1,OGC Nice
Sun Sep 30 1951,Le Havre Ac,2-0,Olympique Marseille
Sun Sep 30 1951,Girondins Bordeaux,6-1,Olympique Lyon
Sun Sep 30 1951,Nimes Olympique,3-1,FC Sochaux
Sun Sep 30 1951,As Nancy,2-2,FC Sete
Sun Oct 7 1951,Lille OSC,2-1,RC Roubaix
Sun Oct 7 1951,FC Metz,0-4,Le Havre Ac
Sun Oct 7 1951,Racing Club De France,5-2,RC Strasbourg
Sun Oct 7 1951,OGC Nice,3-2,RC Lens
Sun Oct 7 1951,FC Sete,1-3,Nimes Olympique
Sun Oct 7 1951,Olympique Lyon,3-2,Stade Rennes
Sun Oct 7 1951,Stade Reims,6-1,Girondins Bordeaux
Sun Oct 7 1951,FC Sochaux,1-1,As Saint Etienne
Sun Oct 7 1951,Olympique Marseille,3-2,As Nancy
Thu Oct 18 1951,RC Roubaix,3-2,Racing Club De France
Thu Oct 18 1951,As Nancy,1-1,OGC Nice
Thu Oct 18 1951,Girondins Bordeaux,3-2,FC Metz
Thu Oct 18 1951,Nimes Olympique,5-0,Lille OSC
Thu Oct 18 1951,Stade Rennes,2-2,Le Havre Ac
Thu Oct 18 1951,As Saint Etienne,1-1,Stade Reims
Thu Oct 18 1951,RC Lens,4-2,Olympique Lyon
Thu Oct 18 1951,FC Sete,3-1,FC Sochaux
Thu Oct 18 1951,RC Strasbourg,1-1,Olympique Marseille
Sun Oct 21 1951,Girondins Bordeaux,4-0,RC Roubaix
Sun Oct 21 1951,FC Metz,4-2,As Nancy
Sun Oct 21 1951,Le Havre Ac,2-0,Nimes Olympique
Sun Oct 21 1951,Lille OSC,3-3,Olympique Marseille
