Date,Team 1,FT,Team 2
Sat Aug 18 1951,Arsenal FC,2-2,Huddersfield Town
Sat Aug 18 1951,Blackpool FC,1-2,Chelsea FC
Sat Aug 18 1951,Bolton Wanderers,5-2,Aston Villa
Sat Aug 18 1951,Charlton Athletic,1-0,Burnley FC
Sat Aug 18 1951,Derby County,3-4,Sunderland Afc
Sat Aug 18 1951,Fulham FC,2-3,Preston North End
Sat Aug 18 1951,Liverpool FC,0-2,Portsmouth FC
Sat Aug 18 1951,Manchester City,0-0,Wolverhampton Wanderers
Sat Aug 18 1951,Middlesbrough FC,2-1,Tottenham Hotspur
Sat Aug 18 1951,Newcastle United,6-0,Stoke City
Sat Aug 18 1951,West Bromwich Albion,3-3,Manchester United
Mon Aug 20 1951,Stoke City,1-1,West Bromwich Albion
Mon Aug 20 1951,Tottenham Hotspur,1-0,Fulham FC
Tue Aug 21 1951,Burnley FC,0-0,Liverpool FC
Wed Aug 22 1951,Bolton Wanderers,0-0,Newcastle United
Wed Aug 22 1951,Chelsea FC,1-3,Arsenal FC
Wed Aug 22 1951,Huddersfield Town,5-1,Manchester City
Wed Aug 22 1951,Manchester United,4-2,Middlesbrough FC
Wed Aug 22 1951,Portsmouth FC,1-3,Blackpool FC
Wed Aug 22 1951,Preston North End,3-0,Charlton Athletic
Wed Aug 22 1951,Wolverhampton Wanderers,1-2,Derby County
Sat Aug 25 1951,Aston Villa,4-1,Derby County
Sat Aug 25 1951,Burnley FC,1-0,Fulham FC
Sat Aug 25 1951,Chelsea FC,1-3,Liverpool FC
Sat Aug 25 1951,Huddersfield Town,1-3,Blackpool FC
Sat Aug 25 1951,Manchester United,2-1,Newcastle United
Sat Aug 25 1951,Portsmouth FC,1-0,Charlton Athletic
Sat Aug 25 1951,Preston North End,0-1,Middlesbrough FC
Sat Aug 25 1951,Stoke City,1-2,Bolton Wanderers
Sat Aug 25 1951,Sunderland Afc,3-0,Manchester City
Sat Aug 25 1951,Tottenham Hotspur,3-1,West Bromwich Albion
Sat Aug 25 1951,Wolverhampton Wanderers,2-1,Arsenal FC
Mon Aug 27 1951,Aston Villa,2-1,Sunderland Afc
Mon Aug 27 1951,Blackpool FC,0-0,Portsmouth FC
Wed Aug 29 1951,Arsenal FC,2-1,Chelsea FC
Wed Aug 29 1951,Charlton Athletic,4-2,Preston North End
Wed Aug 29 1951,Derby County,1-3,Wolverhampton Wanderers
Wed Aug 29 1951,Fulham FC,1-2,Tottenham Hotspur
Wed Aug 29 1951,Liverpool FC,3-1,Burnley FC
Wed Aug 29 1951,Manchester City,3-0,Huddersfield Town
Wed Aug 29 1951,Middlesbrough FC,1-4,Manchester United
Wed Aug 29 1951,Newcastle United,0-1,Bolton Wanderers
Wed Aug 29 1951,West Bromwich Albion,1-0,Stoke City
Sat Sep 1 1951,Arsenal FC,3-0,Sunderland Afc
Sat Sep 1 1951,Blackpool FC,3-2,Wolverhampton Wanderers
Sat Sep 1 1951,Bolton Wanderers,1-0,Manchester United
Sat Sep 1 1951,Derby County,4-2,Stoke City
Sat Sep 1 1951,Fulham FC,3-3,Charlton Athletic
Sat Sep 1 1951,Liverpool FC,2-1,Huddersfield Town
Sat Sep 1 1951,Manchester City,2-2,Aston Villa
Sat Sep 1 1951,Middlesbrough FC,5-0,Burnley FC
Sat Sep 1 1951,Newcastle United,7-2,Tottenham Hotspur
Sat Sep 1 1951,Portsmouth FC,1-0,Chelsea FC
Sat Sep 1 1951,West Bromwich Albion,1-1,Preston North End
Mon Sep 3 1951,Bolton Wanderers,3-1,Middlesbrough FC
Mon Sep 3 1951,Burnley FC,1-1,Tottenham Hotspur
Mon Sep 3 1951,Stoke City,1-1,Fulham FC
Wed Sep 5 1951,Arsenal FC,0-0,Liverpool FC
Wed Sep 5 1951,Chelsea FC,0-1,Derby County
Wed Sep 5 1951,Manchester United,3-2,Charlton Athletic
Wed Sep 5 1951,Portsmouth FC,1-0,Manchester City
Wed Sep 5 1951,Preston North End,3-1,Blackpool FC
Wed Sep 5 1951,Sunderland Afc,1-3,Aston Villa
Wed Sep 5 1951,West Bromwich Albion,3-3,Newcastle United
Sat Sep 8 1951,Aston Villa,1-0,Arsenal FC
Sat Sep 8 1951,Burnley FC,6-1,West Bromwich Albion
Sat Sep 8 1951,Charlton Athletic,4-3,Middlesbrough FC
Sat Sep 8 1951,Chelsea FC,2-1,Fulham FC
Sat Sep 8 1951,Derby County,1-3,Manchester City
Sat Sep 8 1951,Huddersfield Town,0-1,Portsmouth FC
Sat Sep 8 1951,Manchester United,4-0,Stoke City
Sat Sep 8 1951,Preston North End,1-2,Newcastle United
Sat Sep 8 1951,Sunderland Afc,1-3,Blackpool FC
Sat Sep 8 1951,Tottenham Hotspur,2-1,Bolton Wanderers
Sat Sep 8 1951,Wolverhampton Wanderers,2-1,Liverpool FC
Mon Sep 10 1951,Aston Villa,1-0,Huddersfield Town
Mon Sep 10 1951,Blackpool FC,0-3,Preston North End
Mon Sep 10 1951,Tottenham Hotspur,1-1,Burnley FC
Wed Sep 12 1951,Charlton Athletic,2-2,Manchester United
Wed Sep 12 1951,Fulham FC,5-0,Stoke City
Wed Sep 12 1951,Liverpool FC,0-0,Arsenal FC
Sat Sep 15 1951,Arsenal FC,3-1,Derby County
Sat Sep 15 1951,Blackpool FC,0-3,Aston Villa
Sat Sep 15 1951,Bolton Wanderers,1-1,Preston North End
Sat Sep 15 1951,Chelsea FC,2-1,Huddersfield Town
Sat Sep 15 1951,Liverpool FC,2-2,Sunderland Afc
Sat Sep 15 1951,Manchester City,1-2,Manchester United
Sat Sep 15 1951,Middlesbrough FC,2-0,Fulham FC
Sat Sep 15 1951,Newcastle United,7-1,Burnley FC
