Date,Team 1,FT,Team 2
Fri Aug 20 1971,Grazer Ak,3-1,FC Blau Weiss Linz
Fri Aug 20 1971,LASK Linz,4-1,FC Admira Wacker
Fri Aug 20 1971,SC Eisenstadt,0-1,First Vienna FC
Sat Aug 21 1971,Austria Salzburg,6-1,1. Simmeringer SC
Sat Aug 21 1971,Austria Wien,2-2,WSV Donawitz
Sat Aug 21 1971,Rapid Wien,6-1,Sportclub
Sat Aug 21 1971,FC Wacker Innsbruck,2-0,SK Bischofshofen
Fri Aug 27 1971,FC Admira Wacker,4-3,Austria Salzburg
Sat Aug 28 1971,WSV Donawitz,1-0,FC Wacker Innsbruck
Sat Aug 28 1971,SK Bischofshofen,1-1,Grazer Ak
Sat Aug 28 1971,Sturm Graz,1-0,LASK Linz
Sat Aug 28 1971,First Vienna FC,0-0,Rapid Wien
Sun Aug 29 1971,1. Simmeringer SC,2-0,SC Eisenstadt
Sun Aug 29 1971,Sportclub,2-3,Austria Wien
Sun Aug 29 1971,Austria Salzburg,2-1,Sturm Graz
Sun Aug 29 1971,Austria Wien,2-1,First Vienna FC
Sun Aug 29 1971,Grazer Ak,0-0,WSV Donawitz
Sun Aug 29 1971,Rapid Wien,1-0,1. Simmeringer SC
Sun Aug 29 1971,SC Eisenstadt,1-1,FC Admira Wacker
Sun Aug 29 1971,FC Blau Weiss Linz,5-2,SK Bischofshofen
Sun Aug 29 1971,FC Wacker Innsbruck,3-1,Sportclub
Sat Sep 11 1971,FC Admira Wacker,0-0,Rapid Wien
Sat Sep 11 1971,WSV Donawitz,2-1,FC Blau Weiss Linz
Sat Sep 11 1971,LASK Linz,2-2,Austria Salzburg
Sat Sep 11 1971,Sturm Graz,1-1,SC Eisenstadt
Sun Sep 12 1971,1. Simmeringer SC,0-1,Austria Wien
Sun Sep 12 1971,First Vienna FC,0-2,FC Wacker Innsbruck
Sun Sep 12 1971,Sportclub,4-1,Grazer Ak
Fri Sep 17 1971,Grazer Ak,1-1,First Vienna FC
Fri Sep 17 1971,SC Eisenstadt,3-0,LASK Linz
Fri Sep 17 1971,FC Blau Weiss Linz,1-1,Sportclub
Sat Sep 18 1971,Austria Wien,2-0,FC Admira Wacker
Sat Sep 18 1971,Rapid Wien,1-0,Sturm Graz
Sat Sep 18 1971,SK Bischofshofen,1-3,WSV Donawitz
Sat Sep 18 1971,FC Wacker Innsbruck,4-0,1. Simmeringer SC
Wed Sep 22 1971,1. Simmeringer SC,2-1,Grazer Ak
