Date,Team 1,FT,Team 2
Wed Aug 11 1971,Olympique Marseille,1-1,Olympique Lyon
Wed Aug 11 1971,OGC Nice,1-1,FC Nantes
Wed Aug 11 1971,As Saint Etienne,1-3,Nimes Olympique
Wed Aug 11 1971,Girondins Bordeaux,0-0,FC Metz
Wed Aug 11 1971,As Nancy,0-0,Stade Reims
Wed Aug 11 1971,Stade Rennes,1-0,SC Bastia
Wed Aug 11 1971,Angers Sco,2-0,Paris Saint Germain
Wed Aug 11 1971,Lille OSC,2-3,FC Sochaux
Wed Aug 11 1971,AC Ajaccio,3-0,As Monaco
Wed Aug 11 1971,Red Star Olympique,1-1,Angouleme CFc
Wed Aug 18 1971,Olympique Lyon,0-2,Stade Rennes
Wed Aug 18 1971,FC Sochaux,2-1,As Nancy
Wed Aug 18 1971,AC Ajaccio,1-1,Olympique Marseille
Wed Aug 18 1971,Nimes Olympique,6-2,SC Bastia
Wed Aug 18 1971,As Monaco,3-0,Angers Sco
Wed Aug 18 1971,FC Metz,4-0,Lille OSC
Wed Aug 18 1971,FC Nantes,4-3,As Saint Etienne
Wed Aug 18 1971,Paris Saint Germain,0-0,Girondins Bordeaux
Wed Aug 18 1971,Stade Reims,0-1,Red Star Olympique
Wed Aug 18 1971,Angouleme CFc,1-1,OGC Nice
Wed Aug 25 1971,Red Star Olympique,2-1,FC Sochaux
Wed Aug 25 1971,Stade Rennes,1-2,Olympique Marseille
Wed Aug 25 1971,OGC Nice,1-1,FC Metz
Wed Aug 25 1971,Girondins Bordeaux,3-1,As Monaco
Wed Aug 25 1971,SC Bastia,2-1,FC Nantes
Wed Aug 25 1971,Lille OSC,3-1,AC Ajaccio
Wed Aug 25 1971,Angers Sco,2-1,Olympique Lyon
Wed Aug 25 1971,As Nancy,2-3,Paris Saint Germain
Wed Aug 25 1971,As Saint Etienne,9-1,Stade Reims
Wed Aug 25 1971,Nimes Olympique,3-0,Angouleme CFc
Sat Aug 28 1971,FC Nantes,2-0,Nimes Olympique
Sat Aug 28 1971,As Monaco,0-0,Red Star Olympique
Sat Aug 28 1971,FC Metz,0-1,As Nancy
Sat Aug 28 1971,AC Ajaccio,1-2,Stade Rennes
Sat Aug 28 1971,Olympique Lyon,2-2,Girondins Bordeaux
Sat Aug 28 1971,FC Sochaux,0-2,As Saint Etienne
Sat Aug 28 1971,Stade Reims,1-2,OGC Nice
Sat Aug 28 1971,Paris Saint Germain,4-1,Lille OSC
Sat Aug 28 1971,Angouleme CFc,2-1,SC Bastia
Sat Aug 28 1971,Olympique Marseille,2-1,Angers Sco
Wed Sep 1 1971,Girondins Bordeaux,0-2,Olympique Marseille
Wed Sep 1 1971,Nimes Olympique,2-1,Stade Reims
Wed Sep 1 1971,Red Star Olympique,1-1,FC Metz
Wed Sep 1 1971,Angers Sco,1-1,Stade Rennes
Wed Sep 1 1971,FC Nantes,6-0,Paris Saint Germain
Wed Sep 1 1971,OGC Nice,2-0,AC Ajaccio
Wed Sep 1 1971,As Saint Etienne,4-0,Angouleme CFc
Wed Sep 1 1971,SC Bastia,6-1,FC Sochaux
Wed Sep 1 1971,As Nancy,3-0,As Monaco
