Date,Team 1,FT,Team 2
Sun Dec 3 1939,Real Betis,0-3,Valencia CF
Sun Dec 3 1939,Athletic Bilbao,1-3,Atletico Madrid
Sun Dec 3 1939,Real Madrid,1-3,Sevilla FC
Sun Dec 3 1939,Real Zaragoza,3-2,Celta Vigo
Sun Dec 3 1939,Hercules CF,3-1,Racing Santander
Sun Dec 3 1939,FC Barcelona,0-1,Espanyol Barcelona
Sun Dec 10 1939,Racing Santander,2-1,Real Madrid
Sun Dec 10 1939,Celta Vigo,1-2,FC Barcelona
Sun Dec 10 1939,Sevilla FC,3-3,Athletic Bilbao
Sun Dec 10 1939,Valencia CF,0-0,Real Zaragoza
Sun Dec 10 1939,Atletico Madrid,0-0,Real Betis
Sun Dec 10 1939,Espanyol Barcelona,3-3,Hercules CF
Sun Dec 17 1939,Athletic Bilbao,6-1,Real Betis
Sun Dec 17 1939,Hercules CF,6-1,Celta Vigo
Sun Dec 17 1939,Real Madrid,3-1,Espanyol Barcelona
Sun Dec 17 1939,FC Barcelona,4-1,Valencia CF
Sun Dec 17 1939,Sevilla FC,8-2,Racing Santander
Sun Dec 17 1939,Real Zaragoza,4-3,Atletico Madrid
Sun Dec 24 1939,Real Betis,0-0,Real Zaragoza
Sun Dec 24 1939,Valencia CF,2-1,Hercules CF
Sun Dec 24 1939,Espanyol Barcelona,2-1,Sevilla FC
Sun Dec 24 1939,Racing Santander,3-0,Athletic Bilbao
Sun Dec 24 1939,Atletico Madrid,3-0,FC Barcelona
Sun Dec 24 1939,Celta Vigo,2-3,Real Madrid
Sun Dec 31 1939,Real Madrid,2-1,Valencia CF
Sun Dec 31 1939,Hercules CF,4-1,Atletico Madrid
Sun Dec 31 1939,Athletic Bilbao,1-1,Real Zaragoza
Sun Dec 31 1939,FC Barcelona,2-0,Real Betis
Sun Dec 31 1939,Sevilla FC,1-4,Celta Vigo
Sun Dec 31 1939,Racing Santander,2-3,Espanyol Barcelona
Sun Jan 7 1940,Valencia CF,2-2,Sevilla FC
Sun Jan 7 1940,Espanyol Barcelona,3-4,Athletic Bilbao
Sun Jan 7 1940,Atletico Madrid,2-1,Real Madrid
Sun Jan 7 1940,Real Zaragoza,3-1,FC Barcelona
Sun Jan 7 1940,Real Betis,4-3,Hercules CF
Tue Jan 9 1940,Celta Vigo,5-1,Racing Santander
Sun Jan 14 1940,Espanyol Barcelona,4-1,Celta Vigo
Sun Jan 14 1940,Athletic Bilbao,7-5,FC Barcelona
Sun Jan 14 1940,Racing Santander,2-1,Valencia CF
Sun Jan 14 1940,Sevilla FC,4-1,Atletico Madrid
Sun Jan 14 1940,Hercules CF,5-1,Real Zaragoza
Sun Jan 14 1940,Real Madrid,3-0,Real Betis
Sun Jan 21 1940,FC Barcelona,0-0,Hercules CF
Sun Jan 21 1940,Real Betis,3-2,Sevilla FC
Sun Jan 21 1940,Valencia CF,1-3,Espanyol Barcelona
Sun Jan 21 1940,Real Zaragoza,3-1,Real Madrid
Sun Jan 21 1940,Celta Vigo,2-4,Athletic Bilbao
Wed Jan 24 1940,Atletico Madrid,2-1,Racing Santander
Sun Jan 28 1940,Real Madrid,2-1,FC Barcelona
Sun Jan 28 1940,Athletic Bilbao,4-1,Hercules CF
Sun Jan 28 1940,Racing Santander,4-2,Real Betis
Sun Jan 28 1940,Sevilla FC,3-0,Real Zaragoza
Sun Jan 28 1940,Celta Vigo,3-2,Valencia CF
Sun Jan 28 1940,Espanyol Barcelona,2-0,Atletico Madrid
Sun Feb 4 1940,Hercules CF,0-2,Real Madrid
Sun Feb 4 1940,Real Betis,2-0,Espanyol Barcelona
Sun Feb 4 1940,Athletic Bilbao,1-2,Valencia CF
Sun Feb 4 1940,FC Barcelona,1-2,Sevilla FC
Sun Feb 4 1940,Atletico Madrid,4-1,Celta Vigo
Sun Feb 4 1940,Real Zaragoza,3-0,Racing Santander
Sun Feb 11 1940,Sevilla FC,1-1,Hercules CF
Sun Feb 11 1940,Racing Santander,2-3,FC Barcelona
