Date,Team 1,FT,Team 2
Fri Aug 5 2011,Sbv Excelsior,0-2,Feyenoord
Sat Aug 6 2011,Roda JC Kerkrade,2-1,FC Groningen
Sat Aug 6 2011,SC Heerenveen,2-2,NEC Nijmegen
Sat Aug 6 2011,RKC Waalwijk,2-2,Heracles Almelo
Sat Aug 6 2011,VVV Venlo,0-0,FC Utrecht
Sun Aug 7 2011,AZ Alkmaar,3-1,PSV Eindhoven
Sun Aug 7 2011,De Graafschap,1-4,AFC Ajax
Sun Aug 7 2011,ADO Den Haag,0-0,Vitesse
Sun Aug 7 2011,NAC Breda,0-1,FC Twente
Sat Aug 13 2011,FC Twente,2-0,AZ Alkmaar
Sat Aug 13 2011,Vitesse,4-0,VVV Venlo
Sat Aug 13 2011,PSV Eindhoven,1-0,RKC Waalwijk
Sat Aug 13 2011,Feyenoord,3-0,Roda JC Kerkrade
Sun Aug 14 2011,Heracles Almelo,2-1,NAC Breda
Sun Aug 14 2011,FC Utrecht,2-2,De Graafschap
Sun Aug 14 2011,AFC Ajax,5-1,SC Heerenveen
Sun Aug 14 2011,FC Groningen,4-2,ADO Den Haag
Mon Aug 15 2011,NEC Nijmegen,2-0,Sbv Excelsior
Fri Aug 19 2011,Roda JC Kerkrade,0-2,RKC Waalwijk
Sat Aug 20 2011,Vitesse,2-1,FC Utrecht
Sat Aug 20 2011,SC Heerenveen,1-5,FC Twente
Sat Aug 20 2011,Sbv Excelsior,1-1,De Graafschap
Sat Aug 20 2011,NAC Breda,2-2,FC Groningen
Sun Aug 21 2011,Heracles Almelo,1-1,Feyenoord
Sun Aug 21 2011,AZ Alkmaar,4-0,NEC Nijmegen
Sun Aug 21 2011,VVV Venlo,2-2,AFC Ajax
Sun Aug 21 2011,ADO Den Haag,0-3,PSV Eindhoven
Fri Aug 26 2011,AFC Ajax,4-1,Vitesse
Sat Aug 27 2011,RKC Waalwijk,2-1,NAC Breda
Sat Aug 27 2011,FC Twente,4-1,VVV Venlo
Sat Aug 27 2011,NEC Nijmegen,2-1,Heracles Almelo
Sat Aug 27 2011,FC Utrecht,3-1,Roda JC Kerkrade
Sun Aug 28 2011,De Graafschap,0-3,ADO Den Haag
Sun Aug 28 2011,Feyenoord,2-2,SC Heerenveen
Sun Aug 28 2011,FC Groningen,0-3,AZ Alkmaar
Sun Aug 28 2011,PSV Eindhoven,6-1,Sbv Excelsior
Sat Sep 10 2011,Roda JC Kerkrade,2-1,FC Twente
Sat Sep 10 2011,De Graafschap,1-0,NEC Nijmegen
Sat Sep 10 2011,ADO Den Haag,0-1,RKC Waalwijk
Sat Sep 10 2011,AZ Alkmaar,4-0,Vitesse
Sat Sep 10 2011,Heracles Almelo,2-3,AFC Ajax
