Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 6 Aug 2011 (31),AC Ajaccio (1),0-2,0-1,Toulouse FC (1)
?,(Sat) 6 Aug 2011 (31),Stade Brestois 29 (1),2-2,2-2,Evian Thonon Gaillard (1)
?,(Sat) 6 Aug 2011 (31),Stade Malherbe Caen (1),1-0,1-0,Valenciennes FC (1)
?,(Sat) 6 Aug 2011 (31),Olympique de Marseille (1),2-2,1-0,FC Sochaux-Montbéliard (1)
?,(Sat) 6 Aug 2011 (31),Montpellier HSC (1),3-1,1-1,AJ Auxerre (1)
?,(Sat) 6 Aug 2011 (31),AS Nancy Lorraine (1),1-1,0-0,Lille OSC (1)
?,(Sat) 6 Aug 2011 (31),OGC Nice (1),1-3,1-2,Olympique Lyonnais (1)
?,(Sat) 6 Aug 2011 (31),Paris Saint-Germain (1),0-1,0-1,FC Lorient (1)
?,(Sun) 7 Aug 2011 (31),Girondins de Bordeaux (1),1-2,0-2,AS Saint-Étienne (1)
?,(Sun) 7 Aug 2011 (31),Dijon FCO (1),1-5,1-2,Stade Rennais FC (1)
?,(Sat) 13 Aug 2011 (32),FC Lorient (2),1-1,0-0,Girondins de Bordeaux (2)
?,(Sat) 13 Aug 2011 (32),Olympique Lyonnais (2),1-1,0-0,AC Ajaccio (2)
?,(Sat) 13 Aug 2011 (32),Stade Rennais FC (2),1-1,0-0,Paris Saint-Germain (2)
?,(Sat) 13 Aug 2011 (32),FC Sochaux-Montbéliard (2),1-2,0-1,Stade Malherbe Caen (2)
?,(Sat) 13 Aug 2011 (32),AS Saint-Étienne (2),1-0,0-0,AS Nancy Lorraine (2)
?,(Sat) 13 Aug 2011 (32),Toulouse FC (2),2-0,0-0,Dijon FCO (2)
?,(Sat) 13 Aug 2011 (32),Valenciennes FC (2),0-0,0-0,Stade Brestois 29 (2)
?,(Sun) 14 Aug 2011 (32),AJ Auxerre (2),2-2,0-2,Olympique de Marseille (2)
?,(Sun) 14 Aug 2011 (32),Evian Thonon Gaillard (2),1-0,0-0,OGC Nice (2)
?,(Sun) 14 Aug 2011 (32),Lille OSC (2),0-1,0-0,Montpellier HSC (2)
?,(Sat) 20 Aug 2011 (33),AC Ajaccio (3),1-1,1-0,Evian Thonon Gaillard (3)
?,(Sat) 20 Aug 2011 (33),Girondins de Bordeaux (3),1-1,1-0,AJ Auxerre (3)
?,(Sat) 20 Aug 2011 (33),Stade Brestois 29 (3),1-1,1-0,Olympique Lyonnais (3)
?,(Sat) 20 Aug 2011 (33),Stade Malherbe Caen (3),1-2,0-0,Lille OSC (3)
?,(Sat) 20 Aug 2011 (33),Dijon FCO (3),2-0,1-0,FC Lorient (3)
?,(Sat) 20 Aug 2011 (33),OGC Nice (3),1-1,1-0,Toulouse FC (3)
?,(Sun) 21 Aug 2011 (33),Olympique de Marseille (3),0-0,0-0,AS Saint-Étienne (3)
