Date,Team 1,FT,Team 2
Sat Aug 25 1973,Arsenal FC,3-0,Manchester United
Sat Aug 25 1973,Coventry City,1-0,Tottenham Hotspur
Sat Aug 25 1973,Derby County,1-0,Chelsea FC
Sat Aug 25 1973,Ipswich Town,1-1,Leicester City
Sat Aug 25 1973,Leeds United,3-1,Everton FC
Sat Aug 25 1973,Liverpool FC,1-0,Stoke City
Sat Aug 25 1973,Manchester City,3-1,Birmingham City
Sat Aug 25 1973,Queens Park Rangers,1-1,Southampton FC
Sat Aug 25 1973,Sheffield United,0-2,Burnley FC
Sat Aug 25 1973,West Ham United,1-2,Newcastle United
Sat Aug 25 1973,Wolverhampton Wanderers,3-1,Norwich City
Mon Aug 27 1973,West Ham United,3-3,Ipswich Town
Tue Aug 28 1973,Arsenal FC,1-2,Leeds United
Tue Aug 28 1973,Birmingham City,1-2,Tottenham Hotspur
Tue Aug 28 1973,Burnley FC,1-0,Chelsea FC
Tue Aug 28 1973,Coventry City,1-0,Liverpool FC
Tue Aug 28 1973,Everton FC,1-1,Leicester City
Tue Aug 28 1973,Wolverhampton Wanderers,2-0,Sheffield United
Wed Aug 29 1973,Derby County,1-0,Manchester City
Wed Aug 29 1973,Manchester United,1-0,Stoke City
Wed Aug 29 1973,Newcastle United,0-1,Southampton FC
Wed Aug 29 1973,Norwich City,0-0,Queens Park Rangers
Sat Sep 1 1973,Birmingham City,0-0,Derby County
Sat Sep 1 1973,Burnley FC,2-2,Coventry City
Sat Sep 1 1973,Chelsea FC,1-2,Sheffield United
Sat Sep 1 1973,Everton FC,3-0,Ipswich Town
Sat Sep 1 1973,Leicester City,1-1,Liverpool FC
Sat Sep 1 1973,Manchester United,2-1,Queens Park Rangers
Sat Sep 1 1973,Newcastle United,1-1,Arsenal FC
Sat Sep 1 1973,Norwich City,2-2,West Ham United
Sat Sep 1 1973,Southampton FC,2-1,Wolverhampton Wanderers
Sat Sep 1 1973,Stoke City,1-1,Manchester City
Sat Sep 1 1973,Tottenham Hotspur,0-3,Leeds United
Tue Sep 4 1973,Ipswich Town,1-3,Newcastle United
Tue Sep 4 1973,Liverpool FC,2-0,Derby County
Tue Sep 4 1973,Queens Park Rangers,0-0,West Ham United
Tue Sep 4 1973,Sheffield United,5-0,Arsenal FC
Tue Sep 4 1973,Southampton FC,2-2,Norwich City
Wed Sep 5 1973,Chelsea FC,3-1,Birmingham City
Wed Sep 5 1973,Leeds United,4-1,Wolverhampton Wanderers
Wed Sep 5 1973,Leicester City,1-0,Manchester United
Wed Sep 5 1973,Manchester City,1-0,Coventry City
Wed Sep 5 1973,Stoke City,0-0,Everton FC
Wed Sep 5 1973,Tottenham Hotspur,2-3,Burnley FC
Sat Sep 8 1973,Arsenal FC,0-2,Leicester City
Sat Sep 8 1973,Coventry City,2-0,Southampton FC
Sat Sep 8 1973,Derby County,2-1,Everton FC
Sat Sep 8 1973,Ipswich Town,2-1,Manchester United
Sat Sep 8 1973,Leeds United,3-0,Birmingham City
Sat Sep 8 1973,Liverpool FC,1-0,Chelsea FC
Sat Sep 8 1973,Manchester City,2-1,Norwich City
Sat Sep 8 1973,Queens Park Rangers,3-3,Stoke City
Sat Sep 8 1973,Sheffield United,1-1,Newcastle United
Sat Sep 8 1973,West Ham United,0-1,Tottenham Hotspur
Sat Sep 8 1973,Wolverhampton Wanderers,0-2,Burnley FC
Mon Sep 10 1973,West Ham United,2-3,Queens Park Rangers
Tue Sep 11 1973,Arsenal FC,1-0,Sheffield United
Tue Sep 11 1973,Birmingham City,2-4,Chelsea FC
Tue Sep 11 1973,Burnley FC,2-2,Tottenham Hotspur
Tue Sep 11 1973,Coventry City,2-1,Manchester City
Tue Sep 11 1973,Everton FC,1-1,Stoke City
Tue Sep 11 1973,Wolverhampton Wanderers,0-2,Leeds United
Wed Sep 12 1973,Derby County,3-1,Liverpool FC
Wed Sep 12 1973,Manchester United,1-2,Leicester City
Wed Sep 12 1973,Newcastle United,3-1,Ipswich Town
Wed Sep 12 1973,Norwich City,2-0,Southampton FC
Sat Sep 15 1973,Birmingham City,1-1,Liverpool FC
Sat Sep 15 1973,Burnley FC,1-1,Derby County
Sat Sep 15 1973,Chelsea FC,1-0,Coventry City
Sat Sep 15 1973,Everton FC,1-0,Queens Park Rangers
Sat Sep 15 1973,Leicester City,1-1,Manchester City
Sat Sep 15 1973,Manchester United,3-1,West Ham United
Sat Sep 15 1973,Newcastle United,2-0,Wolverhampton Wanderers
Sat Sep 15 1973,Norwich City,0-4,Arsenal FC
Sat Sep 15 1973,Southampton FC,1-2,Leeds United
Sat Sep 15 1973,Stoke City,1-1,Ipswich Town
Sat Sep 15 1973,Tottenham Hotspur,1-2,Sheffield United
Tue Sep 18 1973,Coventry City,1-0,Derby County
Sat Sep 22 1973,Arsenal FC,2-1,Stoke City
Sat Sep 22 1973,Coventry City,2-2,Newcastle United
Sat Sep 22 1973,Derby County,6-2,Southampton FC
Sat Sep 22 1973,Ipswich Town,3-2,Burnley FC
Sat Sep 22 1973,Leeds United,0-0,Manchester United
Sat Sep 22 1973,Liverpool FC,3-2,Tottenham Hotspur
Sat Sep 22 1973,Manchester City,3-2,Chelsea FC
Sat Sep 22 1973,Queens Park Rangers,2-2,Birmingham City
Sat Sep 22 1973,Sheffield United,1-0,Norwich City
Sat Sep 22 1973,West Ham United,1-1,Leicester City
Sat Sep 22 1973,Wolverhampton Wanderers,1-1,Everton FC
Sat Sep 29 1973,Birmingham City,0-3,Ipswich Town
Sat Sep 29 1973,Burnley FC,3-0,Manchester City
Sat Sep 29 1973,Chelsea FC,2-2,Wolverhampton Wanderers
Sat Sep 29 1973,Everton FC,1-0,Arsenal FC
Sat Sep 29 1973,Leicester City,0-2,Coventry City
Sat Sep 29 1973,Manchester United,0-0,Liverpool FC
Sat Sep 29 1973,Newcastle United,2-3,Queens Park Rangers
Sat Sep 29 1973,Norwich City,0-1,Leeds United
Sat Sep 29 1973,Southampton FC,3-0,Sheffield United
Sat Sep 29 1973,Stoke City,2-0,West Ham United
Sat Sep 29 1973,Tottenham Hotspur,1-0,Derby County
Sat Oct 6 1973,Arsenal FC,1-0,Birmingham City
Sat Oct 6 1973,Coventry City,1-2,Everton FC
Sat Oct 6 1973,Derby County,1-1,Norwich City
Sat Oct 6 1973,Ipswich Town,0-0,Tottenham Hotspur
Sat Oct 6 1973,Leeds United,1-1,Stoke City
Sat Oct 6 1973,Liverpool FC,2-1,Newcastle United
Sat Oct 6 1973,Manchester City,1-1,Southampton FC
Sat Oct 6 1973,Queens Park Rangers,1-1,Chelsea FC
Sat Oct 6 1973,Sheffield United,1-1,Leicester City
Sat Oct 6 1973,West Ham United,0-1,Burnley FC
Sat Oct 6 1973,Wolverhampton Wanderers,2-1,Manchester United
Sat Oct 13 1973,Birmingham City,2-1,Wolverhampton Wanderers
Sat Oct 13 1973,Burnley FC,2-1,Queens Park Rangers
Sat Oct 13 1973,Chelsea FC,2-3,Ipswich Town
Sat Oct 13 1973,Everton FC,1-0,West Ham United
Sat Oct 13 1973,Leicester City,2-2,Leeds United
Sat Oct 13 1973,Manchester United,0-1,Derby County
Sat Oct 13 1973,Newcastle United,1-0,Manchester City
Sat Oct 13 1973,Norwich City,0-0,Coventry City
Sat Oct 13 1973,Southampton FC,1-0,Liverpool FC
Sat Oct 13 1973,Stoke City,1-2,Sheffield United
Sat Oct 13 1973,Tottenham Hotspur,2-0,Arsenal FC
Sat Oct 20 1973,Arsenal FC,1-1,Ipswich Town
Sat Oct 20 1973,Coventry City,0-1,West Ham United
Sat Oct 20 1973,Derby County,2-1,Leicester City
Sat Oct 20 1973,Everton FC,1-0,Burnley FC
Sat Oct 20 1973,Leeds United,1-0,Liverpool FC
Sat Oct 20 1973,Manchester United,1-0,Birmingham City
Sat Oct 20 1973,Newcastle United,2-0,Chelsea FC
Sat Oct 20 1973,Norwich City,1-1,Tottenham Hotspur
Sat Oct 20 1973,Sheffield United,1-2,Manchester City
Sat Oct 20 1973,Southampton FC,3-0,Stoke City
Sat Oct 20 1973,Wolverhampton Wanderers,2-4,Queens Park Rangers
Fri Oct 26 1973,Chelsea FC,3-0,Norwich City
Sat Oct 27 1973,Birmingham City,0-2,Everton FC
Sat Oct 27 1973,Burnley FC,0-0,Manchester United
Sat Oct 27 1973,Ipswich Town,2-0,Wolverhampton Wanderers
Sat Oct 27 1973,Leicester City,0-1,Southampton FC
Sat Oct 27 1973,Liverpool FC,1-0,Sheffield United
Sat Oct 27 1973,Manchester City,0-1,Leeds United
Sat Oct 27 1973,Queens Park Rangers,2-0,Arsenal FC
Sat Oct 27 1973,Stoke City,3-0,Coventry City
Sat Oct 27 1973,Tottenham Hotspur,0-2,Newcastle United
