Date,Team 1,FT,Team 2
Fri Aug 10 2001,Boavista Porto,3-0,SC Beira Mar
Sat Aug 11 2001,Sporting Braga,0-0,Uniao Leiria
Sat Aug 11 2001,Varzim SC,2-2,Sl Benfica
Sun Aug 12 2001,Sporting CP,1-0,FC Porto
Sun Aug 12 2001,Vitoria Guimaraes,0-2,Gil Vicente
Sun Aug 12 2001,Pacos De Ferreira,3-1,Os Belenenses
Sun Aug 12 2001,SC Salgueiros,0-2,Sporting Farense
Mon Aug 13 2001,CS Maritimo,3-1,Vitoria Setubal
Sat Aug 18 2001,Os Belenenses,3-0,Sporting CP
Sat Aug 18 2001,Gil Vicente,2-1,Sporting Braga
Sun Aug 19 2001,FC Porto,4-1,Boavista Porto
Sun Aug 19 2001,Sl Benfica,2-0,SC Salgueiros
Sun Aug 19 2001,Uniao Leiria,2-2,CD Santa Clara
Sun Aug 19 2001,SC Beira Mar,2-0,CS Maritimo
Sun Aug 19 2001,FC Alverca,1-0,Pacos De Ferreira
Sun Aug 19 2001,Vitoria Setubal,2-0,Varzim SC
Mon Aug 20 2001,Sporting Farense,0-1,Vitoria Guimaraes
Sat Aug 25 2001,Sl Benfica,3-2,Vitoria Setubal
Sat Aug 25 2001,Sporting CP,0-1,FC Alverca
Sat Aug 25 2001,CD Santa Clara,0-0,Gil Vicente
Sun Aug 26 2001,Sporting Braga,4-0,Sporting Farense
Sun Aug 26 2001,Boavista Porto,2-0,Os Belenenses
Sun Aug 26 2001,Pacos De Ferreira,1-2,Uniao Leiria
Sun Aug 26 2001,Varzim SC,1-1,SC Beira Mar
Mon Aug 27 2001,CS Maritimo,1-3,FC Porto
Mon Aug 27 2001,SC Salgueiros,1-3,Vitoria Guimaraes
Sun Sep 2 2001,CD Santa Clara,2-1,FC Alverca
Fri Sep 7 2001,FC Alverca,1-2,Boavista Porto
Sat Sep 8 2001,Uniao Leiria,1-1,Sporting CP
Sat Sep 8 2001,Os Belenenses,0-1,CS Maritimo
Sun Sep 9 2001,FC Porto,3-0,Varzim SC
Sun Sep 9 2001,SC Beira Mar,3-3,Sl Benfica
Sun Sep 9 2001,Vitoria Setubal,3-0,SC Salgueiros
Sun Sep 9 2001,Sporting Farense,1-0,CD Santa Clara
Sun Sep 9 2001,Gil Vicente,1-1,Pacos De Ferreira
Mon Sep 10 2001,Vitoria Guimaraes,2-1,Sporting Braga
Fri Sep 14 2001,Varzim SC,1-5,Os Belenenses
Sat Sep 15 2001,Sl Benfica,0-0,FC Porto
Sat Sep 15 2001,Boavista Porto,1-0,Uniao Leiria
Sun Sep 16 2001,Sporting CP,3-1,Gil Vicente
Sun Sep 16 2001,CS Maritimo,5-0,FC Alverca
Sun Sep 16 2001,Pacos De Ferreira,1-1,Sporting Farense
Sun Sep 16 2001,Vitoria Setubal,4-1,SC Beira Mar
Sun Sep 16 2001,SC Salgueiros,1-0,Sporting Braga
Sun Sep 16 2001,CD Santa Clara,2-0,Vitoria Guimaraes
Fri Sep 21 2001,Sporting Braga,6-0,CD Santa Clara
Sat Sep 22 2001,FC Porto,3-0,Vitoria Setubal
Sat Sep 22 2001,Gil Vicente,0-3,Boavista Porto
Sun Sep 23 2001,Uniao Leiria,2-0,CS Maritimo
Sun Sep 23 2001,SC Beira Mar,1-1,SC Salgueiros
Sun Sep 23 2001,Vitoria Guimaraes,1-1,Pacos De Ferreira
Sun Sep 23 2001,FC Alverca,4-2,Varzim SC
Sun Sep 23 2001,Os Belenenses,1-1,Sl Benfica
Sun Sep 23 2001,Sporting Farense,1-3,Sporting CP
Fri Sep 28 2001,Vitoria Setubal,0-1,Os Belenenses
Sat Sep 29 2001,SC Beira Mar,2-0,FC Porto
Sat Sep 29 2001,Pacos De Ferreira,0-0,Sporting Braga
Sun Sep 30 2001,Sl Benfica,3-2,FC Alverca
Sun Sep 30 2001,Boavista Porto,1-1,Sporting Farense
Sun Sep 30 2001,Varzim SC,2-0,Uniao Leiria
Sun Sep 30 2001,SC Salgueiros,2-1,CD Santa Clara
Mon Oct 1 2001,Sporting CP,5-0,Vitoria Guimaraes
Mon Oct 1 2001,CS Maritimo,2-1,Gil Vicente
Sun Oct 7 2001,CD Santa Clara,0-2,Boavista Porto
Fri Oct 12 2001,Vitoria Guimaraes,2-0,Boavista Porto
Sat Oct 13 2001,FC Porto,3-0,SC Salgueiros
Sat Oct 13 2001,Sporting Braga,2-1,Sporting CP
Sat Oct 13 2001,Uniao Leiria,1-1,Sl Benfica
Sat Oct 13 2001,CD Santa Clara,1-1,Pacos De Ferreira
Sun Oct 14 2001,FC Alverca,1-1,Vitoria Setubal
Sun Oct 14 2001,Sporting Farense,2-1,CS Maritimo
Sun Oct 14 2001,Gil Vicente,1-0,Varzim SC
Mon Oct 15 2001,Os Belenenses,1-5,SC Beira Mar
