Date,Team 1,Team 2,FT,HT
2001-07-28,Ajaccio,Nancy,4-2,1-1
2001-07-28,Amiens,Beauvais,0-1,0-0
2001-07-28,Grenoble,Caen,4-3,1-2
2001-07-28,Gueugnon,Nimes,4-3,3-1
2001-07-28,Le Mans,Creteil,0-1,0-1
2001-07-28,Nice,Laval,2-1,1-1
2001-07-28,St Etienne,Istres,1-2,0-1
2001-07-28,Wasquehal,Chateauroux,0-2,0-1
2001-07-29,Le Havre,Strasbourg,1-1,0-1
2001-07-29,Martigues,Niort,1-1,1-1
2001-08-04,Beauvais,Gueugnon,0-1,0-0
2001-08-04,Caen,Wasquehal,1-0,0-0
2001-08-04,Chateauroux,Ajaccio,0-2,0-1
2001-08-04,Grenoble,Le Mans,1-1,1-0
2001-08-04,Laval,Istres,2-0,0-0
2001-08-04,Nancy,Amiens,1-1,1-1
2001-08-04,Nimes,Martigues,0-0,0-0
2001-08-04,Niort,Le Havre,2-2,0-2
2001-08-04,Strasbourg,Nice,3-0,2-0
2001-08-05,Creteil,St Etienne,1-1,1-0
2001-08-10,Le Havre,Nancy,0-0,0-0
2001-08-11,Ajaccio,Caen,1-1,0-1
2001-08-11,Amiens,Grenoble,3-0,2-0
2001-08-11,Gueugnon,Chateauroux,2-0,1-0
2001-08-11,Istres,Strasbourg,0-1,0-0
2001-08-11,Laval,Niort,1-3,1-2
2001-08-11,Martigues,Beauvais,0-2,0-1
2001-08-11,Nice,Nimes,2-0,1-0
2001-08-11,St Etienne,Le Mans,2-2,0-2
2001-08-11,Wasquehal,Creteil,2-1,1-0
2001-08-17,Grenoble,St Etienne,1-0,0-0
2001-08-18,Beauvais,Nice,1-0,0-0
2001-08-18,Caen,Martigues,1-0,0-0
2001-08-18,Chateauroux,Amiens,2-0,0-0
2001-08-18,Creteil,Ajaccio,0-2,0-0
2001-08-18,Le Mans,Wasquehal,2-2,1-0
2001-08-18,Nancy,Gueugnon,0-1,0-1
2001-08-18,Nimes,Le Havre,0-0,0-0
2001-08-18,Niort,Istres,2-0,0-0
2001-08-18,Strasbourg,Laval,4-1,1-0
2001-08-24,Strasbourg,Chateauroux,2-0,1-0
2001-08-25,Ajaccio,Le Mans,1-0,1-0
2001-08-25,Amiens,Creteil,2-1,1-0
2001-08-25,Gueugnon,Caen,2-2,1-1
2001-08-25,Istres,Beauvais,0-2,0-0
2001-08-25,Laval,Nimes,1-0,1-0
2001-08-25,Le Havre,Grenoble,4-0,1-0
2001-08-25,Martigues,Nancy,0-0,0-0
2001-08-25,Nice,Niort,3-1,1-1
2001-08-25,Wasquehal,St Etienne,1-1,1-1
2001-08-28,St Etienne,Ajaccio,1-0,1-0
2001-08-29,Beauvais,Laval,2-0,0-0
2001-08-29,Caen,Amiens,2-4,2-1
2001-08-29,Chateauroux,Le Havre,4-2,2-1
2001-08-29,Creteil,Gueugnon,3-1,1-0
2001-08-29,Grenoble,Wasquehal,2-1,1-0
2001-08-29,Le Mans,Martigues,1-0,0-0
2001-08-29,Nancy,Nice,1-0,0-0
2001-08-29,Nimes,Istres,0-0,0-0
2001-08-29,Niort,Strasbourg,1-1,0-1
2001-09-07,Gueugnon,Le Mans,1-1,0-0
2001-09-08,Ajaccio,Wasquehal,2-0,1-0
2001-09-08,Amiens,St Etienne,2-1,1-1
2001-09-08,Istres,Nancy,1-0,0-0
2001-09-08,Laval,Caen,0-1,0-0
2001-09-08,Le Havre,Beauvais,0-0,0-0
2001-09-08,Martigues,Creteil,3-1,2-1
