Date,Team 1,FT,Team 2
Tue Jul 4 2000,FC Wacker Innsbruck,6-1,FC Admira Wacker
Wed Jul 5 2000,Austria Wien,4-0,Grazer Ak
Wed Jul 5 2000,Sturm Graz,5-1,LASK Linz
Wed Jul 5 2000,RB Salzburg,0-3,Rapid Wien
Wed Jul 5 2000,SV Ried,3-1,Schwarz Weiss Bregenz
Tue Jul 11 2000,FC Admira Wacker,0-0,Austria Wien
Wed Jul 12 2000,Grazer Ak,0-3,SV Ried
Wed Jul 12 2000,Rapid Wien,4-1,Sturm Graz
Wed Jul 12 2000,LASK Linz,0-2,RB Salzburg
Thu Jul 13 2000,Schwarz Weiss Bregenz,2-2,FC Wacker Innsbruck
Sat Jul 15 2000,FC Admira Wacker,0-1,Sturm Graz
Tue Jul 18 2000,Rapid Wien,2-0,LASK Linz
Wed Jul 19 2000,Sturm Graz,1-1,Austria Wien
Wed Jul 19 2000,RB Salzburg,2-0,Schwarz Weiss Bregenz
Wed Jul 19 2000,FC Wacker Innsbruck,1-1,Grazer Ak
Wed Jul 19 2000,SV Ried,3-2,FC Admira Wacker
Tue Jul 25 2000,LASK Linz,0-2,FC Wacker Innsbruck
Wed Jul 26 2000,Schwarz Weiss Bregenz,1-1,Rapid Wien
Sat Jul 29 2000,Rapid Wien,1-1,Grazer Ak
Sat Jul 29 2000,Sturm Graz,4-2,SV Ried
Sat Jul 29 2000,RB Salzburg,3-1,FC Admira Wacker
Sat Jul 29 2000,LASK Linz,3-1,Schwarz Weiss Bregenz
Sun Jul 30 2000,FC Wacker Innsbruck,0-2,Austria Wien
Wed Aug 2 2000,Grazer Ak,3-1,LASK Linz
Wed Aug 2 2000,FC Admira Wacker,2-4,Rapid Wien
Wed Aug 2 2000,SV Ried,1-1,FC Wacker Innsbruck
Sat Aug 5 2000,Grazer Ak,1-1,RB Salzburg
Sat Aug 5 2000,Austria Wien,2-1,SV Ried
Sat Aug 12 2000,Schwarz Weiss Bregenz,2-1,Grazer Ak
Sat Aug 12 2000,Sturm Graz,3-0,FC Wacker Innsbruck
Sat Aug 12 2000,RB Salzburg,0-0,SV Ried
Sat Aug 12 2000,LASK Linz,1-1,FC Admira Wacker
Sun Aug 13 2000,Rapid Wien,1-1,Austria Wien
Sat Aug 19 2000,Grazer Ak,2-0,Sturm Graz
Sat Aug 19 2000,Austria Wien,5-0,LASK Linz
Sat Aug 19 2000,FC Admira Wacker,0-1,Schwarz Weiss Bregenz
Sat Aug 19 2000,FC Wacker Innsbruck,2-0,RB Salzburg
Sun Aug 20 2000,SV Ried,2-3,Rapid Wien
Sat Aug 26 2000,Grazer Ak,5-1,FC Admira Wacker
Sat Aug 26 2000,RB Salzburg,1-0,Sturm Graz
Sat Aug 26 2000,LASK Linz,1-1,SV Ried
Sun Aug 27 2000,Rapid Wien,2-1,FC Wacker Innsbruck
Tue Sep 5 2000,Sturm Graz,1-2,RB Salzburg
Wed Sep 6 2000,Austria Wien,2-1,Schwarz Weiss Bregenz
Wed Sep 6 2000,FC Admira Wacker,0-4,Grazer Ak
Wed Sep 6 2000,SV Ried,1-0,LASK Linz
Fri Sep 8 2000,FC Wacker Innsbruck,1-0,Rapid Wien
Sat Sep 9 2000,Austria Wien,3-1,RB Salzburg
Sat Sep 9 2000,Schwarz Weiss Bregenz,2-1,Sturm Graz
Fri Sep 15 2000,LASK Linz,2-1,Sturm Graz
Sat Sep 16 2000,Rapid Wien,3-0,RB Salzburg
Sat Sep 16 2000,Schwarz Weiss Bregenz,0-0,SV Ried
Sun Sep 17 2000,Grazer Ak,1-0,Austria Wien
Sun Sep 17 2000,FC Admira Wacker,1-0,FC Wacker Innsbruck
Fri Sep 22 2000,SV Ried,2-3,Grazer Ak
Sat Sep 23 2000,Austria Wien,0-0,FC Admira Wacker
Sat Sep 23 2000,RB Salzburg,4-1,LASK Linz
Sat Sep 23 2000,FC Wacker Innsbruck,2-0,Schwarz Weiss Bregenz
Sun Sep 24 2000,Sturm Graz,1-1,Rapid Wien
Fri Sep 29 2000,FC Admira Wacker,0-5,SV Ried
Sat Sep 30 2000,Schwarz Weiss Bregenz,5-1,RB Salzburg
Sun Oct 1 2000,Grazer Ak,0-2,FC Wacker Innsbruck
Sun Oct 1 2000,Austria Wien,1-2,Sturm Graz
Sun Oct 1 2000,LASK Linz,2-1,Rapid Wien
Sat Oct 14 2000,Rapid Wien,2-1,Schwarz Weiss Bregenz
Sat Oct 14 2000,Sturm Graz,5-0,FC Admira Wacker
Sat Oct 14 2000,FC Wacker Innsbruck,3-0,LASK Linz
Sat Oct 14 2000,SV Ried,1-3,Austria Wien
Sun Oct 15 2000,RB Salzburg,4-0,Grazer Ak
Fri Oct 20 2000,Grazer Ak,2-0,Rapid Wien
Sat Oct 21 2000,Schwarz Weiss Bregenz,2-2,LASK Linz
Sat Oct 21 2000,FC Admira Wacker,2-0,RB Salzburg
Sat Oct 21 2000,SV Ried,2-1,Sturm Graz
Sun Oct 22 2000,Austria Wien,0-2,FC Wacker Innsbruck
Wed Oct 25 2000,Schwarz Weiss Bregenz,2-1,Austria Wien
Sat Oct 28 2000,Rapid Wien,1-0,FC Admira Wacker
Sat Oct 28 2000,Sturm Graz,4-2,Schwarz Weiss Bregenz
Sat Oct 28 2000,RB Salzburg,2-0,Austria Wien
Sun Oct 29 2000,FC Wacker Innsbruck,2-0,SV Ried
Sun Oct 29 2000,LASK Linz,0-1,Grazer Ak
Wed Nov 1 2000,Grazer Ak,2-0,Schwarz Weiss Bregenz
Wed Nov 1 2000,Austria Wien,3-2,Rapid Wien
Wed Nov 1 2000,FC Admira Wacker,2-2,LASK Linz
Wed Nov 1 2000,FC Wacker Innsbruck,3-0,Sturm Graz
Wed Nov 1 2000,SV Ried,1-1,RB Salzburg
Sat Nov 4 2000,Schwarz Weiss Bregenz,1-2,FC Admira Wacker
Sat Nov 4 2000,LASK Linz,1-3,Austria Wien
Fri Nov 10 2000,LASK Linz,1-1,RB Salzburg
Sat Nov 11 2000,Schwarz Weiss Bregenz,2-3,SV Ried
Sun Nov 12 2000,Grazer Ak,0-1,Rapid Wien
Sun Nov 12 2000,Austria Wien,1-0,Sturm Graz
Sun Nov 12 2000,FC Wacker Innsbruck,5-0,FC Admira Wacker
Fri Nov 17 2000,Sturm Graz,2-1,LASK Linz
Sat Nov 18 2000,FC Admira Wacker,1-0,Austria Wien
Sat Nov 18 2000,RB Salzburg,5-0,Schwarz Weiss Bregenz
Sat Nov 18 2000,SV Ried,2-1,Grazer Ak
Sun Nov 19 2000,Rapid Wien,2-2,FC Wacker Innsbruck
Fri Nov 24 2000,LASK Linz,3-3,Rapid Wien
Sat Nov 25 2000,Schwarz Weiss Bregenz,1-0,Grazer Ak
Sat Nov 25 2000,Sturm Graz,3-1,FC Admira Wacker
Sat Nov 25 2000,FC Wacker Innsbruck,3-1,SV Ried
Sun Nov 26 2000,Austria Wien,1-1,RB Salzburg
Wed Nov 29 2000,Rapid Wien,2-1,SV Ried
Wed Nov 29 2000,Sturm Graz,1-1,Grazer Ak
Wed Nov 29 2000,RB Salzburg,1-1,FC Wacker Innsbruck
Sat Dec 2 2000,Rapid Wien,5-0,Schwarz Weiss Bregenz
Sat Dec 2 2000,FC Admira Wacker,1-1,LASK Linz
Sat Dec 2 2000,RB Salzburg,0-1,Sturm Graz
Sat Dec 2 2000,SV Ried,0-0,Austria Wien
Sun Dec 3 2000,Grazer Ak,3-0,FC Wacker Innsbruck
Sat Feb 24 2001,Sturm Graz,1-1,FC Wacker Innsbruck
Sat Mar 3 2001,Sturm Graz,0-1,SV Ried
Sat Mar 3 2001,RB Salzburg,0-0,FC Admira Wacker
Sat Mar 3 2001,FC Wacker Innsbruck,4-1,Schwarz Weiss Bregenz
Sat Mar 3 2001,LASK Linz,0-0,Grazer Ak
Sun Mar 4 2001,Austria Wien,2-0,Rapid Wien
Fri Mar 9 2001,Rapid Wien,1-2,FC Admira Wacker
Sat Mar 10 2001,Grazer Ak,1-2,Sturm Graz
Sat Mar 10 2001,Schwarz Weiss Bregenz,2-1,Austria Wien
Sat Mar 10 2001,FC Wacker Innsbruck,1-1,LASK Linz
Sat Mar 10 2001,SV Ried,1-3,RB Salzburg
Tue Mar 13 2001,Austria Wien,0-1,Grazer Ak
Wed Mar 14 2001,FC Admira Wacker,1-1,Schwarz Weiss Bregenz
Wed Mar 14 2001,RB Salzburg,0-3,Rapid Wien
Wed Mar 14 2001,LASK Linz,2-0,SV Ried
Fri Mar 16 2001,FC Wacker Innsbruck,1-2,Austria Wien
Sat Mar 17 2001,Grazer Ak,1-1,RB Salzburg
Sat Mar 17 2001,Schwarz Weiss Bregenz,1-2,LASK Linz
Sat Mar 17 2001,SV Ried,0-1,FC Admira Wacker
Sun Mar 18 2001,Rapid Wien,0-0,Sturm Graz
Sat Mar 31 2001,Rapid Wien,1-1,SV Ried
Sat Mar 31 2001,FC Admira Wacker,1-0,Grazer Ak
Sat Mar 31 2001,Sturm Graz,3-1,Schwarz Weiss Bregenz
Sat Mar 31 2001,LASK Linz,4-1,Austria Wien
Sun Apr 1 2001,RB Salzburg,0-1,FC Wacker Innsbruck
Sat Apr 7 2001,Grazer Ak,1-1,FC Admira Wacker
Sat Apr 7 2001,Austria Wien,3-1,LASK Linz
Sat Apr 7 2001,Schwarz Weiss Bregenz,0-3,Sturm Graz
Sat Apr 7 2001,FC Wacker Innsbruck,1-0,RB Salzburg
Sun Apr 8 2001,SV Ried,2-0,Rapid Wien
Fri Apr 13 2001,FC Admira Wacker,0-2,FC Wacker Innsbruck
Sat Apr 14 2001,Rapid Wien,1-1,Grazer Ak
Sat Apr 14 2001,Sturm Graz,2-0,Austria Wien
Sat Apr 14 2001,RB Salzburg,3-1,LASK Linz
Sat Apr 14 2001,SV Ried,1-0,Schwarz Weiss Bregenz
Fri Apr 20 2001,LASK Linz,2-1,Sturm Graz
Sat Apr 21 2001,Grazer Ak,4-1,SV Ried
Sat Apr 21 2001,Austria Wien,2-0,FC Admira Wacker
Sat Apr 21 2001,FC Wacker Innsbruck,1-1,Rapid Wien
Sat Apr 28 2001,Grazer Ak,2-2,Schwarz Weiss Bregenz
Sat Apr 28 2001,Rapid Wien,6-0,LASK Linz
Sat Apr 28 2001,RB Salzburg,4-1,Austria Wien
Sat Apr 28 2001,SV Ried,3-1,FC Wacker Innsbruck
Sun Apr 29 2001,FC Admira Wacker,2-2,Sturm Graz
Tue May 1 2001,Austria Wien,1-1,SV Ried
Tue May 1 2001,Schwarz Weiss Bregenz,1-0,Rapid Wien
Tue May 1 2001,FC Wacker Innsbruck,3-0,Grazer Ak
Wed May 2 2001,Sturm Graz,2-1,RB Salzburg
Wed May 2 2001,LASK Linz,1-3,FC Admira Wacker
Fri May 4 2001,Schwarz Weiss Bregenz,1-0,FC Wacker Innsbruck
Sat May 5 2001,Grazer Ak,1-0,LASK Linz
Sat May 5 2001,FC Admira Wacker,0-0,RB Salzburg
Sat May 5 2001,SV Ried,1-3,Sturm Graz
Sun May 6 2001,Rapid Wien,2-0,Austria Wien
Tue May 8 2001,Schwarz Weiss Bregenz,2-0,RB Salzburg
Sat May 12 2001,Austria Wien,1-1,Schwarz Weiss Bregenz
Sat May 12 2001,FC Admira Wacker,0-2,Rapid Wien
Sat May 12 2001,Sturm Graz,0-1,Grazer Ak
Sat May 12 2001,RB Salzburg,4-3,SV Ried
Sat May 12 2001,LASK Linz,1-2,FC Wacker Innsbruck
Sat May 19 2001,Grazer Ak,2-0,Austria Wien
Sat May 19 2001,Rapid Wien,0-0,RB Salzburg
Sat May 19 2001,Schwarz Weiss Bregenz,0-0,FC Admira Wacker
Sat May 19 2001,FC Wacker Innsbruck,2-0,Sturm Graz
Sat May 19 2001,SV Ried,1-0,LASK Linz
Thu May 24 2001,Austria Wien,0-2,FC Wacker Innsbruck
Thu May 24 2001,FC Admira Wacker,0-0,SV Ried
Thu May 24 2001,Sturm Graz,1-1,Rapid Wien
Thu May 24 2001,RB Salzburg,1-2,Grazer Ak
Thu May 24 2001,LASK Linz,5-0,Schwarz Weiss Bregenz
