Round,Date,Team 1,Team 2,FT,HT
?,(Fri) Jul/28 2000 (30),Marseille (1),Troyes (1),3-1,2-1
?,(Fri) Jul/28 2000 (30),Paris SG (1),Strasbourg (1),3-1,1-1
?,(Sat) Jul/29 2000 (30),Auxerre (1),Sedan (1),0-1,0-1
?,(Sat) Jul/29 2000 (30),Bordeaux (1),Metz (1),1-1,1-0
?,(Sat) Jul/29 2000 (30),Guingamp (1),St Etienne (1),2-2,2-1
?,(Sat) Jul/29 2000 (30),Lille (1),Monaco (1),1-1,0-1
?,(Sat) Jul/29 2000 (30),Lyon (1),Rennes (1),2-2,0-2
?,(Sat) Jul/29 2000 (30),Nantes (1),Lens (1),0-2,0-0
?,(Sat) Jul/29 2000 (30),Toulouse (1),Bastia (1),0-1,0-0
?,(Thu) Aug/3 2000 (31),Sedan (2),Lyon (2),1-1,0-0
?,(Fri) Aug/4 2000 (31),Monaco (2),Nantes (2),2-5,1-4
?,(Fri) Aug/4 2000 (31),St Etienne (2),Marseille (2),3-0,1-0
?,(Sat) Aug/5 2000 (31),Bastia (2),Bordeaux (2),2-0,1-0
?,(Sat) Aug/5 2000 (31),Lens (2),Guingamp (2),3-2,1-0
?,(Sat) Aug/5 2000 (31),Metz (2),Auxerre (2),1-2,1-1
?,(Sat) Aug/5 2000 (31),Rennes (2),Paris SG (2),1-1,1-0
?,(Sat) Aug/5 2000 (31),Strasbourg (2),Lille (2),0-4,0-1
?,(Sat) Aug/5 2000 (31),Troyes (2),Toulouse (2),1-1,1-1
?,(Sat) Aug/12 2000 (32),Auxerre (3),Bastia (3),1-0,1-0
?,(Sat) Aug/12 2000 (32),Bordeaux (3),Troyes (3),2-2,1-1
?,(Sat) Aug/12 2000 (32),Guingamp (3),Nantes (3),0-1,0-1
?,(Sat) Aug/12 2000 (32),Lille (3),Rennes (3),1-0,0-0
?,(Sat) Aug/12 2000 (32),Lyon (3),Metz (3),0-0,0-0
?,(Sat) Aug/12 2000 (32),Strasbourg (3),Monaco (3),1-3,0-2
?,(Sat) Aug/12 2000 (32),Toulouse (3),St Etienne (3),1-1,1-1
?,(Sun) Aug/13 2000 (32),Marseille (3),Lens (3),0-0,0-0
?,(Sun) Aug/13 2000 (32),Paris SG (3),Sedan (3),2-1,1-1
