Round,Date,Team 1,Team 2,FT,HT,Day,Week
?,2000-11-29,Le Havre,Niort,2-2,1-1,Wed,48
?,2000-11-29,Le Mans,Chateauroux,2-1,1-0,Wed,48
?,2000-11-29,Lorient,Nice,3-0,1-0,Wed,48
?,2000-11-29,Nancy,Creteil,2-0,0-0,Wed,48
?,2000-11-29,Sochaux,Caen,3-0,2-0,Wed,48
?,2000-11-29,Wasquehal,Laval,2-1,1-0,Wed,48
?,2000-11-30,Montpellier,Nimes,3-1,2-1,Thu,48
?,2000-12-02,Ajaccio,Sochaux,0-0,0-0,Sat,48
?,2000-12-02,Caen,Laval,0-1,0-1,Sat,48
?,2000-12-02,Creteil,Gueugnon,1-2,0-1,Sat,48
?,2000-12-02,Le Mans,Angers,2-1,1-0,Sat,48
?,2000-12-02,Martigues,Cannes,0-1,0-0,Sat,48
?,2000-12-02,Nice,Wasquehal,1-0,0-0,Sat,48
?,2000-12-03,Nimes,Le Havre,2-2,1-1,Sun,48
?,2000-12-04,Niort,Montpellier,1-1,1-1,Mon,49
?,2000-12-08,Sochaux,Niort,3-0,2-0,Fri,49
?,2000-12-09,Angers,Chateauroux,2-1,0-0,Sat,49
?,2000-12-09,Cannes,Le Mans,0-0,0-0,Sat,49
?,2000-12-09,Gueugnon,Nimes,3-3,1-3,Sat,49
?,2000-12-09,Laval,Creteil,3-2,1-0,Sat,49
?,2000-12-09,Le Havre,Martigues,0-0,0-0,Sat,49
?,2000-12-09,Lorient,Caen,1-1,0-0,Sat,49
?,2000-12-09,Montpellier,Ajaccio,2-0,1-0,Sat,49
?,2000-12-09,Nancy,Nice,3-1,2-1,Sat,49
?,2000-12-09,Wasquehal,Beauvais,0-2,0-0,Sat,49
?,2000-12-13,Chateauroux,Lorient,2-0,1-0,Wed,50
?,2000-12-20,Le Mans,Sochaux,0-0,0-0,Wed,51
?,2000-12-21,Ajaccio,Le Havre,3-0,3-0,Thu,51
?,2000-12-21,Angers,Cannes,1-3,1-2,Thu,51
?,2000-12-21,Beauvais,Lorient,1-3,1-3,Thu,51
?,2000-12-21,Caen,Gueugnon,2-1,0-0,Thu,51
?,2000-12-21,Chateauroux,Creteil,0-1,0-1,Thu,51
?,2000-12-21,Martigues,Montpellier,0-1,0-0,Thu,51
?,2000-12-21,Nice,Laval,3-0,1-0,Thu,51
?,2000-12-21,Nimes,Nancy,1-2,1-0,Thu,51
?,2000-12-21,Niort,Wasquehal,1-1,1-1,Thu,51
?,2001-01-13,Cannes,Chateauroux,2-2,2-2,Sat,2
?,2001-01-13,Creteil,Nice,0-1,0-0,Sat,2
?,2001-01-13,Gueugnon,Niort,1-0,0-0,Sat,2
?,2001-01-13,Laval,Beauvais,0-2,0-0,Sat,2
?,2001-01-13,Le Havre,Angers,2-1,2-0,Sat,2
?,2001-01-13,Lorient,Ajaccio,0-1,0-0,Sat,2
?,2001-01-13,Montpellier,Le Mans,0-0,0-0,Sat,2
?,2001-01-13,Sochaux,Martigues,1-0,1-0,Sat,2
?,2001-01-13,Wasquehal,Nimes,1-1,1-1,Sat,2
?,2001-01-14,Nancy,Caen,4-0,2-0,Sun,2
?,2001-01-27,Ajaccio,Nice,2-1,1-0,Sat,4
?,2001-01-27,Beauvais,Creteil,1-1,0-0,Sat,4
?,2001-01-27,Caen,Wasquehal,1-2,0-2,Sat,4
?,2001-01-27,Cannes,Sochaux,2-2,1-0,Sat,4
?,2001-01-27,Le Mans,Gueugnon,2-1,1-1,Sat,4
?,2001-01-27,Martigues,Lorient,1-1,0-0,Sat,4
?,2001-01-27,Nimes,Laval,1-0,0-0,Sat,4
?,2001-01-27,Niort,Nancy,3-2,2-2,Sat,4
?,2001-01-28,Angers,Montpellier,0-0,0-0,Sun,4
?,2001-02-03,Creteil,Nimes,1-2,1-1,Sat,5
?,2001-02-03,Gueugnon,Ajaccio,0-0,0-0,Sat,5
?,2001-02-03,Laval,Le Mans,2-1,0-1,Sat,5
?,2001-02-03,Le Havre,Caen,2-1,1-0,Sat,5
?,2001-02-03,Montpellier,Chateauroux,0-0,0-0,Sat,5
?,2001-02-03,Nancy,Cannes,2-0,1-0,Sat,5
?,2001-02-03,Nice,Beauvais,0-1,0-1,Sat,5
?,2001-02-03,Sochaux,Angers,2-0,0-0,Sat,5
?,2001-02-03,Wasquehal,Martigues,2-0,1-0,Sat,5
?,2001-02-04,Lorient,Niort,0-0,0-0,Sun,5
?,2001-02-07,Ajaccio,Wasquehal,2-0,1-0,Wed,6
?,2001-02-07,Angers,Lorient,2-1,1-1,Wed,6
?,2001-02-07,Caen,Creteil,1-0,0-0,Wed,6
?,2001-02-07,Cannes,Le Havre,1-1,1-0,Wed,6
?,2001-02-07,Le Mans,Beauvais,0-4,0-2,Wed,6
?,2001-02-07,Martigues,Nancy,2-1,0-1,Wed,6
?,2001-02-07,Nimes,Nice,2-0,1-0,Wed,6
?,2001-02-07,Niort,Laval,2-2,2-1,Wed,6
?,2001-02-08,Sochaux,Montpellier,1-0,1-0,Thu,6
?,2001-02-16,Le Havre,Sochaux,2-3,0-2,Fri,7
?,2001-02-16,Nice,Caen,2-0,0-0,Fri,7
?,2001-02-17,Beauvais,Nimes,1-0,0-0,Sat,7
?,2001-02-17,Creteil,Niort,1-1,1-1,Sat,7
?,2001-02-17,Gueugnon,Martigues,0-1,0-1,Sat,7
?,2001-02-17,Laval,Ajaccio,0-0,0-0,Sat,7
?,2001-02-17,Lorient,Le Mans,3-1,0-1,Sat,7
?,2001-02-17,Montpellier,Cannes,2-0,0-0,Sat,7
?,2001-02-17,Nancy,Chateauroux,0-0,0-0,Sat,7
?,2001-02-17,Wasquehal,Angers,3-1,1-1,Sat,7
?,2001-03-02,Sochaux,Lorient,0-1,0-1,Fri,9
?,2001-03-03,Ajaccio,Creteil,0-0,0-0,Sat,9
?,2001-03-03,Angers,Nancy,1-2,1-1,Sat,9
?,2001-03-03,Caen,Nimes,2-2,1-2,Sat,9
?,2001-03-03,Cannes,Gueugnon,0-1,0-1,Sat,9
?,2001-03-03,Chateauroux,Beauvais,3-0,2-0,Sat,9
?,2001-03-03,Le Mans,Wasquehal,0-0,0-0,Sat,9
?,2001-03-03,Martigues,Laval,1-3,1-1,Sat,9
?,2001-03-03,Montpellier,Le Havre,1-0,0-0,Sat,9
?,2001-03-03,Niort,Nice,2-2,1-0,Sat,9
?,2001-03-09,Beauvais,Nancy,1-1,1-0,Fri,10
?,2001-03-16,Lorient,Montpellier,2-1,2-1,Fri,11
?,2001-03-16,Nancy,Ajaccio,2-0,1-0,Fri,11
?,2001-03-16,Wasquehal,Sochaux,1-1,0-0,Fri,11
?,2001-03-17,Beauvais,Caen,0-1,0-0,Sat,11
?,2001-03-17,Creteil,Martigues,0-0,0-0,Sat,11
?,2001-03-17,Gueugnon,Angers,2-0,1-0,Sat,11
?,2001-03-17,Laval,Cannes,2-1,0-1,Sat,11
?,2001-03-17,Le Havre,Le Mans,3-0,0-0,Sat,11
?,2001-03-17,Nice,Chateauroux,1-4,0-3,Sat,11
?,2001-03-17,Nimes,Niort,2-1,0-0,Sat,11
?,2001-03-21,Sochaux,Nancy,1-1,0-0,Wed,12
?,2001-03-23,Ajaccio,Caen,1-0,0-0,Fri,12
?,2001-03-23,Angers,Laval,1-0,1-0,Fri,12
?,2001-03-23,Cannes,Wasquehal,0-0,0-0,Fri,12
?,2001-03-23,Chateauroux,Nimes,1-1,0-1,Fri,12
?,2001-03-23,Le Mans,Creteil,2-1,2-1,Fri,12
?,2001-03-23,Martigues,Nice,0-1,0-0,Fri,12
?,2001-03-23,Montpellier,Gueugnon,5-0,1-0,Fri,12
?,2001-03-23,Niort,Beauvais,1-1,1-0,Fri,12
?,2001-03-27,Creteil,Angers,1-1,1-0,Tue,13
?,2001-03-27,Gueugnon,Sochaux,1-1,1-1,Tue,13
?,2001-03-27,Laval,Chateauroux,0-2,0-2,Tue,13
?,2001-03-27,Lorient,Cannes,4-0,3-0,Tue,13
?,2001-03-27,Nancy,Montpellier,0-3,0-2,Tue,13
?,2001-03-27,Nice,Le Mans,1-1,0-0,Tue,13
?,2001-03-27,Nimes,Ajaccio,1-0,0-0,Tue,13
?,2001-03-27,Wasquehal,Le Havre,0-1,0-0,Tue,13
?,2001-03-28,Caen,Niort,1-2,1-1,Wed,13
?,2001-04-03,Chateauroux,Le Havre,3-1,3-1,Tue,14
?,2001-04-07,Ajaccio,Beauvais,2-0,1-0,Sat,14
?,2001-04-07,Angers,Nice,0-0,0-0,Sat,14
?,2001-04-07,Cannes,Creteil,4-2,1-2,Sat,14
?,2001-04-07,Chateauroux,Caen,0-1,0-1,Sat,14
?,2001-04-07,Le Havre,Nancy,1-0,0-0,Sat,14
?,2001-04-07,Le Mans,Niort,2-1,1-0,Sat,14
?,2001-04-07,Lorient,Gueugnon,1-4,0-1,Sat,14
?,2001-04-07,Martigues,Nimes,1-0,0-0,Sat,14
?,2001-04-07,Montpellier,Wasquehal,2-1,0-0,Sat,14
?,2001-04-08,Sochaux,Laval,2-0,1-0,Sun,14
?,2001-04-13,Nancy,Lorient,0-1,0-1,Fri,15
?,2001-04-14,Beauvais,Martigues,3-1,1-1,Sat,15
?,2001-04-14,Creteil,Sochaux,1-0,0-0,Sat,15
?,2001-04-14,Gueugnon,Le Havre,1-2,1-1,Sat,15
?,2001-04-14,Laval,Montpellier,0-0,0-0,Sat,15
?,2001-04-14,Nice,Cannes,2-0,0-0,Sat,15
?,2001-04-14,Nimes,Le Mans,3-1,1-0,Sat,15
?,2001-04-14,Niort,Ajaccio,4-3,2-2,Sat,15
?,2001-04-14,Wasquehal,Chateauroux,3-1,3-1,Sat,15
?,2001-04-20,Beauvais,Angers,1-1,1-1,Fri,16
?,2001-04-20,Caen,Martigues,1-2,0-1,Fri,16
?,2001-04-20,Chateauroux,Gueugnon,1-1,1-0,Fri,16
?,2001-04-20,Le Havre,Lorient,1-1,1-1,Fri,16
?,2001-04-27,Montpellier,Creteil,1-1,0-1,Fri,17
?,2001-04-28,Angers,Nimes,3-0,0-0,Sat,17
?,2001-04-28,Cannes,Beauvais,0-1,0-0,Sat,17
?,2001-04-28,Chateauroux,Ajaccio,2-2,0-2,Sat,17
?,2001-04-28,Gueugnon,Nancy,1-1,1-1,Sat,17
?,2001-04-28,Le Havre,Laval,3-1,2-1,Sat,17
?,2001-04-28,Le Mans,Caen,1-1,0-0,Sat,17
?,2001-04-28,Lorient,Wasquehal,2-0,1-0,Sat,17
?,2001-04-28,Martigues,Niort,1-1,0-0,Sat,17
?,2001-04-28,Sochaux,Nice,5-1,2-0,Sat,17
?,2001-05-11,Ajaccio,Martigues,1-0,0-0,Fri,19
?,2001-05-11,Beauvais,Sochaux,1-2,0-1,Fri,19
?,2001-05-11,Caen,Angers,4-0,1-0,Fri,19
?,2001-05-11,Creteil,Le Havre,2-0,0-0,Fri,19
?,2001-05-11,Laval,Lorient,1-2,1-1,Fri,19
?,2001-05-11,Nancy,Le Mans,0-0,0-0,Fri,19
?,2001-05-11,Nice,Montpellier,2-1,2-1,Fri,19
?,2001-05-11,Nimes,Cannes,4-3,2-1,Fri,19
?,2001-05-11,Niort,Chateauroux,2-0,1-0,Fri,19
?,2001-05-11,Wasquehal,Gueugnon,2-1,0-1,Fri,19
?,2001-05-18,Angers,Niort,2-0,1-0,Fri,20
?,2001-05-18,Cannes,Caen,2-0,0-0,Fri,20
?,2001-05-18,Gueugnon,Laval,2-0,1-0,Fri,20
?,2001-05-18,Le Havre,Nice,1-0,1-0,Fri,20
?,2001-05-18,Le Mans,Ajaccio,1-1,0-0,Fri,20
?,2001-05-18,Lorient,Creteil,3-1,2-0,Fri,20
?,2001-05-18,Martigues,Chateauroux,0-1,0-1,Fri,20
?,2001-05-18,Montpellier,Beauvais,0-1,0-0,Fri,20
?,2001-05-18,Nancy,Wasquehal,0-2,0-0,Fri,20
?,2001-05-18,Sochaux,Nimes,4-1,4-0,Fri,20
