Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 28 Jul 2000 (W30),Olympique de Marseille (1),3-1,2-1,ES Troyes AC (1)
?,(Fri) 28 Jul 2000 (W30),Paris Saint-Germain (1),3-1,1-1,RC Strasbourg (1)
?,(Sat) 29 Jul 2000 (W30),AJ Auxerre (1),0-1,0-1,CS Sedan-Ardennes (1)
?,(Sat) 29 Jul 2000 (W30),Girondins de Bordeaux (1),1-1,1-0,FC Metz (1)
?,(Sat) 29 Jul 2000 (W30),EA Guingamp (1),2-2,2-1,AS Saint-Étienne (1)
?,(Sat) 29 Jul 2000 (W30),Lille OSC (1),1-1,0-1,AS Monaco (1)
?,(Sat) 29 Jul 2000 (W30),Olympique Lyonnais (1),2-2,0-2,Stade Rennais FC (1)
?,(Sat) 29 Jul 2000 (W30),FC Nantes (1),0-2,0-0,RC Lens (1)
?,(Sat) 29 Jul 2000 (W30),Toulouse FC (1),0-1,0-0,SC Bastia (1)
?,(Thu) 3 Aug 2000 (W31),CS Sedan-Ardennes (2),1-1,0-0,Olympique Lyonnais (2)
?,(Fri) 4 Aug 2000 (W31),AS Monaco (2),2-5,1-4,FC Nantes (2)
?,(Fri) 4 Aug 2000 (W31),AS Saint-Étienne (2),3-0,1-0,Olympique de Marseille (2)
?,(Sat) 5 Aug 2000 (W31),SC Bastia (2),2-0,1-0,Girondins de Bordeaux (2)
?,(Sat) 5 Aug 2000 (W31),RC Lens (2),3-2,1-0,EA Guingamp (2)
?,(Sat) 5 Aug 2000 (W31),FC Metz (2),1-2,1-1,AJ Auxerre (2)
?,(Sat) 5 Aug 2000 (W31),Stade Rennais FC (2),1-1,1-0,Paris Saint-Germain (2)
?,(Sat) 5 Aug 2000 (W31),RC Strasbourg (2),0-4,0-1,Lille OSC (2)
?,(Sat) 5 Aug 2000 (W31),ES Troyes AC (2),1-1,1-1,Toulouse FC (2)
?,(Sat) 12 Aug 2000 (W32),AJ Auxerre (3),1-0,1-0,SC Bastia (3)
?,(Sat) 12 Aug 2000 (W32),Girondins de Bordeaux (3),2-2,1-1,ES Troyes AC (3)
?,(Sat) 12 Aug 2000 (W32),EA Guingamp (3),0-1,0-1,FC Nantes (3)
?,(Sat) 12 Aug 2000 (W32),Lille OSC (3),1-0,0-0,Stade Rennais FC (3)
?,(Sat) 12 Aug 2000 (W32),Olympique Lyonnais (3),0-0,0-0,FC Metz (3)
?,(Sat) 12 Aug 2000 (W32),RC Strasbourg (3),1-3,0-2,AS Monaco (3)
?,(Sat) 12 Aug 2000 (W32),Toulouse FC (3),1-1,1-1,AS Saint-Étienne (3)
?,(Sun) 13 Aug 2000 (W32),Olympique de Marseille (3),0-0,0-0,RC Lens (3)
?,(Sun) 13 Aug 2000 (W32),Paris Saint-Germain (3),2-1,1-1,CS Sedan-Ardennes (3)
?,(Fri) 18 Aug 2000 (W33),SC Bastia (4),2-0,0-0,Olympique Lyonnais (4)
?,(Sat) 19 Aug 2000 (W33),RC Lens (4),2-1,1-1,Toulouse FC (4)
?,(Sat) 19 Aug 2000 (W33),FC Metz (4),1-0,0-0,Paris Saint-Germain (4)
?,(Sat) 19 Aug 2000 (W33),FC Nantes (4),3-2,1-1,Olympique de Marseille (4)
?,(Sat) 19 Aug 2000 (W33),Stade Rennais FC (4),3-0,1-0,RC Strasbourg (4)
?,(Sat) 19 Aug 2000 (W33),CS Sedan-Ardennes (4),1-0,0-0,Lille OSC (4)
?,(Sat) 19 Aug 2000 (W33),AS Saint-Étienne (4),1-0,1-0,Girondins de Bordeaux (4)
?,(Sat) 19 Aug 2000 (W33),ES Troyes AC (4),1-0,0-0,AJ Auxerre (4)
?,(Sun) 20 Aug 2000 (W33),AS Monaco (4),1-0,0-0,EA Guingamp (4)
?,(Sat) 26 Aug 2000 (W34),Girondins de Bordeaux (5),1-1,0-1,RC Lens (5)
?,(Sat) 26 Aug 2000 (W34),Lille OSC (5),2-1,0-1,FC Metz (5)
?,(Sat) 26 Aug 2000 (W34),Olympique Lyonnais (5),1-0,0-0,ES Troyes AC (5)
?,(Sat) 26 Aug 2000 (W34),Olympique de Marseille (5),3-1,1-0,EA Guingamp (5)
?,(Sat) 26 Aug 2000 (W34),Stade Rennais FC (5),1-1,1-0,AS Monaco (5)
?,(Sat) 26 Aug 2000 (W34),RC Strasbourg (5),3-2,1-1,CS Sedan-Ardennes (5)
?,(Sat) 26 Aug 2000 (W34),Toulouse FC (5),1-1,0-1,FC Nantes (5)
?,(Sun) 27 Aug 2000 (W34),AJ Auxerre (5),4-3,0-1,AS Saint-Étienne (5)
?,(Sun) 27 Aug 2000 (W34),Paris Saint-Germain (5),3-1,2-0,SC Bastia (5)
?,(Tue) 5 Sep 2000 (W36),AS Monaco (6),0-2,0-0,Olympique de Marseille (6)
?,(Wed) 6 Sep 2000 (W36),SC Bastia (6),1-0,0-0,Lille OSC (6)
?,(Wed) 6 Sep 2000 (W36),EA Guingamp (6),2-1,0-1,Toulouse FC (6)
?,(Wed) 6 Sep 2000 (W36),RC Lens (6),1-0,1-0,AJ Auxerre (6)
?,(Wed) 6 Sep 2000 (W36),FC Metz (6),1-0,0-0,RC Strasbourg (6)
?,(Wed) 6 Sep 2000 (W36),FC Nantes (6),0-5,0-2,Girondins de Bordeaux (6)
?,(Wed) 6 Sep 2000 (W36),AS Saint-Étienne (6),2-2,1-2,Olympique Lyonnais (6)
?,(Wed) 6 Sep 2000 (W36),ES Troyes AC (6),5-3,1-2,Paris Saint-Germain (6)
?,(Sat) 9 Sep 2000 (W36),AJ Auxerre (7),2-2,0-1,FC Nantes (7)
?,(Sat) 9 Sep 2000 (W36),Girondins de Bordeaux (7),0-2,0-1,EA Guingamp (7)
?,(Sat) 9 Sep 2000 (W36),Lille OSC (7),1-2,1-2,ES Troyes AC (7)
?,(Sat) 9 Sep 2000 (W36),Olympique Lyonnais (7),3-0,0-0,RC Lens (7)
?,(Sat) 9 Sep 2000 (W36),Paris Saint-Germain (7),5-1,1-0,AS Saint-Étienne (7)
?,(Sat) 9 Sep 2000 (W36),Stade Rennais FC (6),0-1,0-1,FC Metz (7)
?,(Sat) 9 Sep 2000 (W36),CS Sedan-Ardennes (6),1-0,0-0,AS Monaco (7)
?,(Sat) 9 Sep 2000 (W36),RC Strasbourg (7),1-4,1-1,SC Bastia (7)
?,(Sun) 10 Sep 2000 (W36),Toulouse FC (7),2-0,2-0,Olympique de Marseille (7)
?,(Sat) 16 Sep 2000 (W37),SC Bastia (8),0-2,0-0,Stade Rennais FC (7)
?,(Sat) 16 Sep 2000 (W37),EA Guingamp (8),1-0,1-0,AJ Auxerre (8)
?,(Sat) 16 Sep 2000 (W37),RC Lens (8),1-1,0-0,Paris Saint-Germain (8)
?,(Sat) 16 Sep 2000 (W37),Olympique de Marseille (8),0-1,0-0,Girondins de Bordeaux (8)
?,(Sat) 16 Sep 2000 (W37),FC Metz (8),1-0,0-0,CS Sedan-Ardennes (7)
?,(Sat) 16 Sep 2000 (W37),AS Monaco (8),3-0,2-0,Toulouse FC (8)
?,(Sat) 16 Sep 2000 (W37),ES Troyes AC (8),0-1,0-1,RC Strasbourg (8)
?,(Sun) 17 Sep 2000 (W37),FC Nantes (8),0-1,0-1,Olympique Lyonnais (8)
?,(Sun) 17 Sep 2000 (W37),AS Saint-Étienne (8),1-1,1-1,Lille OSC (8)
?,(Sat) 23 Sep 2000 (W38),AJ Auxerre (9),0-1,0-0,Olympique de Marseille (9)
?,(Sat) 23 Sep 2000 (W38),Girondins de Bordeaux (9),2-1,1-0,Toulouse FC (9)
?,(Sat) 23 Sep 2000 (W38),Olympique Lyonnais (9),0-1,0-0,EA Guingamp (9)
?,(Sat) 23 Sep 2000 (W38),FC Metz (9),1-3,1-1,AS Monaco (9)
?,(Sat) 23 Sep 2000 (W38),Paris Saint-Germain (9),2-1,1-0,FC Nantes (9)
?,(Sat) 23 Sep 2000 (W38),Stade Rennais FC (8),0-2,0-0,ES Troyes AC (9)
?,(Sat) 23 Sep 2000 (W38),CS Sedan-Ardennes (8),3-3,0-1,SC Bastia (9)
?,(Sat) 23 Sep 2000 (W38),RC Strasbourg (9),3-2,2-0,AS Saint-Étienne (9)
?,(Sun) 24 Sep 2000 (W38),Lille OSC (9),2-1,0-1,RC Lens (9)
?,(Sat) 30 Sep 2000 (W39),SC Bastia (10),1-0,1-0,FC Metz (10)
?,(Sat) 30 Sep 2000 (W39),EA Guingamp (10),1-1,0-0,Paris Saint-Germain (10)
?,(Sat) 30 Sep 2000 (W39),RC Lens (10),0-0,0-0,RC Strasbourg (10)
?,(Sat) 30 Sep 2000 (W39),AS Monaco (10),2-2,2-1,Girondins de Bordeaux (10)
?,(Sat) 30 Sep 2000 (W39),AS Saint-Étienne (10),0-2,0-1,Stade Rennais FC (9)
?,(Sat) 30 Sep 2000 (W39),Toulouse FC (10),0-1,0-1,AJ Auxerre (10)
?,(Sat) 30 Sep 2000 (W39),ES Troyes AC (10),1-1,0-1,CS Sedan-Ardennes (9)
?,(Sun) 1 Oct 2000 (W39),Olympique de Marseille (10),1-1,1-0,Olympique Lyonnais (10)
?,(Sun) 1 Oct 2000 (W39),FC Nantes (10),0-0,0-0,Lille OSC (10)
?,(Tue) 10 Oct 2000 (W41),CS Sedan-Ardennes (10),2-1,2-0,Stade Rennais FC (10)
?,(Fri) 13 Oct 2000 (W41),SC Bastia (11),0-2,0-0,AS Monaco (11)
?,(Fri) 13 Oct 2000 (W41),Paris Saint-Germain (11),2-0,0-0,Olympique de Marseille (11)
?,(Sat) 14 Oct 2000 (W41),Lille OSC (11),1-1,0-0,EA Guingamp (11)
?,(Sat) 14 Oct 2000 (W41),FC Metz (11),2-2,0-0,ES Troyes AC (11)
