Date,Team.1,Team.2,FT,HT
2016-09-09,Laval,Orleans,3-1,1-1
2016-09-09,Lens,Bourg Peronnas,1-1,0-0
2016-09-09,Niort,Nimes,1-3,0-2
2016-09-09,Reims,Ajaccio GFCO,2-0,1-0
2016-09-10,Le Havre,Valenciennes,2-2,1-2
2016-09-12,Strasbourg,Troyes,2-0,1-0
2016-09-16,Bourg Peronnas,Le Havre,2-1,1-1
2016-09-16,Clermont,Lens,1-1,0-0
2016-09-16,Orleans,Strasbourg,3-1,1-0
2016-09-16,Red Star,Laval,1-0,0-0
2016-09-16,Sochaux,Reims,1-1,0-1
2016-09-16,Tours,Nimes,1-3,1-2
2016-09-16,Troyes,Niort,1-1,0-1
2016-09-16,Valenciennes,Ajaccio,1-1,1-0
2016-09-17,Brest,Auxerre,1-0,0-0
2016-09-19,Strasbourg,Red Star,0-0,0-0
2016-09-20,Ajaccio,Auxerre,2-0,1-0
2016-09-20,Amiens,Valenciennes,0-0,0-0
2016-09-20,Laval,Sochaux,1-1,0-0
2016-09-20,Le Havre,Brest,1-1,0-1
2016-09-20,Lens,Orleans,4-2,1-2
2016-09-20,Nimes,Troyes,2-2,0-0
2016-09-20,Niort,Ajaccio GFCO,0-0,0-0
2016-09-20,Reims,Clermont,2-1,0-0
2016-09-20,Tours,Bourg Peronnas,0-2,0-0
2016-09-23,Ajaccio GFCO,Nimes,0-2,0-2
2016-09-23,Auxerre,Le Havre,0-1,0-0
2016-09-23,Bourg Peronnas,Laval,0-0,0-0
2016-09-23,Clermont,Strasbourg,0-0,0-0
2016-09-23,Orleans,Amiens,1-2,0-1
2016-09-23,Red Star,Niort,0-1,0-0
2016-09-23,Sochaux,Ajaccio,1-0,1-0
2016-09-23,Troyes,Tours,3-1,2-1
2016-09-24,Valenciennes,Lens,1-2,1-1
2016-09-26,Brest,Reims,2-1,0-0
2016-09-27,Ajaccio GFCO,Amiens,1-1,0-0
2016-09-30,Ajaccio,Brest,1-1,0-0
2016-09-30,Amiens,Troyes,0-1,0-0
2016-09-30,Laval,Clermont,1-1,0-1
2016-09-30,Lens,Red Star,2-0,1-0
2016-09-30,Nimes,Bourg Peronnas,0-0,0-0
2016-09-30,Niort,Orleans,1-0,1-0
2016-09-30,Reims,Auxerre,3-0,1-0
2016-09-30,Tours,Ajaccio GFCO,0-3,0-1
2016-10-01,Strasbourg,Valenciennes,2-4,1-2
2016-10-03,Le Havre,Sochaux,2-1,0-0
2016-10-14,Ajaccio,Reims,1-0,1-0
2016-10-14,Auxerre,Laval,2-0,1-0
2016-10-14,Bourg Peronnas,Amiens,2-4,1-1
2016-10-14,Clermont,Le Havre,1-3,0-1
2016-10-14,Orleans,Tours,0-0,0-0
2016-10-14,Red Star,Nimes,3-3,2-2
2016-10-14,Troyes,Ajaccio GFCO,1-0,1-0
2016-10-14,Valenciennes,Niort,3-1,0-0
2016-10-15,Brest,Strasbourg,2-1,1-1
2016-10-17,Sochaux,Lens,1-0,1-0
2016-10-21,Ajaccio GFCO,Orleans,2-0,1-0
2016-10-21,Laval,Brest,0-1,0-0
2016-10-21,Le Havre,Ajaccio,2-0,1-0
2016-10-21,Nimes,Sochaux,0-0,0-0
2016-10-21,Niort,Clermont,2-1,2-0
2016-10-21,Strasbourg,Auxerre,2-1,1-0
2016-10-21,Tours,Valenciennes,4-1,3-1
2016-10-21,Troyes,Bourg Peronnas,1-0,0-0
2016-10-22,Lens,Reims,1-1,0-0
2016-10-24,Amiens,Red Star,0-0,0-0
2016-10-28,Ajaccio,Laval,1-3,1-1
2016-10-28,Bourg Peronnas,Ajaccio GFCO,1-0,1-0
2016-10-28,Orleans,Troyes,1-1,0-1
2016-10-28,Red Star,Tours,3-1,3-0
2016-10-28,Reims,Le Havre,1-0,1-0
2016-10-28,Valenciennes,Nimes,2-3,1-0
2016-10-29,Auxerre,Niort,0-4,0-1
2016-10-29,Clermont,Amiens,1-0,0-0
2016-10-29,Sochaux,Strasbourg,1-2,0-1
2016-10-31,Brest,Lens,1-2,1-1
2016-11-04,Ajaccio GFCO,Red Star,2-1,1-0
2016-11-04,Amiens,Auxerre,0-0,0-0
2016-11-04,Bourg Peronnas,Orleans,0-0,0-0
2016-11-04,Laval,Le Havre,0-2,0-0
2016-11-04,Nimes,Clermont,1-1,1-0
2016-11-04,Niort,Sochaux,2-0,2-0
2016-11-04,Tours,Brest,0-1,0-1
2016-11-04,Troyes,Valenciennes,2-0,1-0
2016-11-05,Strasbourg,Reims,1-2,0-1
2016-11-07,Lens,Ajaccio,1-1,0-0
2016-11-18,Ajaccio,Strasbourg,2-0,1-0
2016-11-18,Auxerre,Lens,1-1,0-1
2016-11-18,Clermont,Ajaccio GFCO,3-1,1-1
2016-11-18,Orleans,Nimes,2-1,0-1
2016-11-18,Red Star,Troyes,1-2,0-1
2016-11-18,Reims,Laval,0-2,0-1
2016-11-18,Sochaux,Tours,2-1,1-0
2016-11-18,Valenciennes,Bourg Peronnas,3-3,1-1
2016-11-19,Le Havre,Amiens,0-0,0-0
