Date,Team 1,FT,Team 2
Sat Aug 27 2016,Sarmiento De Junin,1-0,Arsenal Sarandi
Sat Aug 27 2016,CD Godoy Cruz,1-0,Huracan
Sat Aug 27 2016,Gye La Plata,2-0,Velez Sarsfield
Sat Aug 27 2016,Rosario Central,0-0,Defensa Y Justicia
Sat Aug 27 2016,Racing Club,1-1,Talleres Cordoba
Sun Aug 28 2016,Atletico Tucuman,1-0,Atletico Rafaela
Sun Aug 28 2016,San Lorenzo,2-2,CA San Martin
Sun Aug 28 2016,Tigre,0-3,Estudiantes
Sun Aug 28 2016,Quilmes Ac,0-1,Newells Old Boys
Sun Aug 28 2016,Belgrano Cordoba,0-1,Independiente
Sun Aug 28 2016,Union De Santa Fe,1-0,Olimpo
Sun Aug 28 2016,River Plate,4-1,CA Banfield
Mon Aug 29 2016,CA Lanus,1-0,Boca Juniors
Tue Aug 30 2016,Aldosivi,0-2,CA Colon
Tue Aug 30 2016,CA Temperley,1-0,Patronato
Sat Sep 10 2016,Patronato,0-1,Gye La Plata
Sat Sep 10 2016,Huracan,1-1,Quilmes Ac
Sat Sep 10 2016,Olimpo,0-0,CA Lanus
Sat Sep 10 2016,CA Banfield,0-0,CA Colon
Sat Sep 10 2016,CA San Martin,0-2,Racing Club
Sat Sep 10 2016,Union De Santa Fe,0-0,Aldosivi
Sat Sep 10 2016,Defensa Y Justicia,0-2,San Lorenzo
Sun Sep 11 2016,Independiente,2-0,CD Godoy Cruz
Sun Sep 11 2016,Newells Old Boys,1-0,Tigre
Sun Sep 11 2016,Velez Sarsfield,2-0,Rosario Central
Sun Sep 11 2016,Estudiantes,1-0,Sarmiento De Junin
Sun Sep 11 2016,Boca Juniors,3-0,Belgrano Cordoba
Mon Sep 12 2016,Talleres Cordoba,0-1,River Plate
Tue Sep 13 2016,Arsenal Sarandi,1-3,Atletico Tucuman
Tue Sep 13 2016,Atletico Rafaela,1-0,CA Temperley
Sat Sep 17 2016,CA Colon,1-0,Talleres Cordoba
Sat Sep 17 2016,CA Lanus,0-1,Union De Santa Fe
Sat Sep 17 2016,San Lorenzo,2-1,Velez Sarsfield
Sat Sep 17 2016,Rosario Central,2-1,Patronato
Sat Sep 17 2016,Aldosivi,1-3,CA Banfield
Sat Sep 17 2016,Quilmes Ac,1-1,Independiente
Sun Sep 18 2016,Sarmiento De Junin,1-1,Newells Old Boys
Sun Sep 18 2016,Atletico Tucuman,0-2,Estudiantes
Sun Sep 18 2016,CA Temperley,1-1,Arsenal Sarandi
Sun Sep 18 2016,CD Godoy Cruz,1-1,Boca Juniors
Sun Sep 18 2016,Belgrano Cordoba,0-0,Olimpo
Sun Sep 18 2016,River Plate,1-1,CA San Martin
Mon Sep 19 2016,Racing Club,1-1,Defensa Y Justicia
Tue Sep 20 2016,Tigre,1-1,Huracan
Tue Sep 20 2016,Gye La Plata,0-1,Atletico Rafaela
Sat Sep 24 2016,Olimpo,3-0,CD Godoy Cruz
Sat Sep 24 2016,Newells Old Boys,3-1,Atletico Tucuman
Sat Sep 24 2016,Atletico Rafaela,0-0,Rosario Central
Sat Sep 24 2016,Velez Sarsfield,0-3,Racing Club
Sun Sep 25 2016,Independiente,1-1,Tigre
Sun Sep 25 2016,Huracan,0-0,Sarmiento De Junin
Sun Sep 25 2016,Estudiantes,3-0,CA Temperley
Sun Sep 25 2016,Union De Santa Fe,0-2,Belgrano Cordoba
Sun Sep 25 2016,Talleres Cordoba,0-0,CA Banfield
Sun Sep 25 2016,Patronato,1-1,San Lorenzo
Sun Sep 25 2016,CA Lanus,0-0,Aldosivi
Sun Sep 25 2016,Boca Juniors,4-1,Quilmes Ac
Mon Sep 26 2016,Defensa Y Justicia,3-3,River Plate
Tue Sep 27 2016,Arsenal Sarandi,2-2,Gye La Plata
Tue Sep 27 2016,CA San Martin,0-0,CA Colon
Sat Oct 1 2016,Quilmes Ac,2-1,Olimpo
Sat Oct 1 2016,CD Godoy Cruz,2-1,Union De Santa Fe
Sat Oct 1 2016,Rosario Central,5-0,Arsenal Sarandi
Sat Oct 1 2016,Aldosivi,2-1,Talleres Cordoba
Sat Oct 1 2016,CA Temperley,0-0,Newells Old Boys
Sat Oct 1 2016,Racing Club,2-0,Patronato
Sun Oct 2 2016,River Plate,3-0,Velez Sarsfield
Sun Oct 2 2016,San Lorenzo,2-1,Atletico Rafaela
Sun Oct 2 2016,Belgrano Cordoba,1-1,CA Lanus
Sun Oct 2 2016,Gye La Plata,0-0,Estudiantes
Sun Oct 2 2016,CA Banfield,3-2,CA San Martin
Sun Oct 2 2016,CA Colon,1-0,Defensa Y Justicia
Sun Oct 2 2016,Sarmiento De Junin,0-1,Independiente
Mon Oct 3 2016,Tigre,1-1,Boca Juniors
Tue Oct 4 2016,Atletico Tucuman,0-2,Huracan
Sat Oct 15 2016,Defensa Y Justicia,1-0,CA Banfield
Sat Oct 15 2016,Belgrano Cordoba,0-0,Aldosivi
Sat Oct 15 2016,Velez Sarsfield,2-1,CA Colon
Sat Oct 15 2016,Huracan,1-2,CA Temperley
Sat Oct 15 2016,Atletico Rafaela,3-2,Racing Club
Sat Oct 15 2016,Estudiantes,3-2,Rosario Central
Sat Oct 15 2016,CA San Martin,1-3,Talleres Cordoba
Sun Oct 16 2016,Independiente,0-2,Atletico Tucuman
Sun Oct 16 2016,CA Lanus,3-0,CD Godoy Cruz
Sun Oct 16 2016,Olimpo,1-4,Tigre
Sun Oct 16 2016,Boca Juniors,2-0,Sarmiento De Junin
Sun Oct 16 2016,Newells Old Boys,1-0,Gye La Plata
Sun Oct 16 2016,Arsenal Sarandi,1-3,San Lorenzo
Mon Oct 17 2016,Patronato,2-1,River Plate
Tue Oct 18 2016,Union De Santa Fe,1-1,Quilmes Ac
Sat Oct 22 2016,Sarmiento De Junin,1-1,Olimpo
Sat Oct 22 2016,Talleres Cordoba,2-0,Defensa Y Justicia
Sat Oct 22 2016,Quilmes Ac,1-0,CA Lanus
Sat Oct 22 2016,CD Godoy Cruz,2-0,Belgrano Cordoba
Sat Oct 22 2016,CA Temperley,0-1,Independiente
Sat Oct 22 2016,CA Colon,0-1,Patronato
Sat Oct 22 2016,Racing Club,1-0,Arsenal Sarandi
Sun Oct 23 2016,River Plate,1-0,Atletico Rafaela
Sun Oct 23 2016,Gye La Plata,1-0,Huracan
Sun Oct 23 2016,CA Banfield,1-0,Velez Sarsfield
Sun Oct 23 2016,Rosario Central,0-1,Newells Old Boys
Sun Oct 23 2016,Tigre,3-1,Union De Santa Fe
Sun Oct 23 2016,San Lorenzo,1-2,Estudiantes
Mon Oct 24 2016,Atletico Tucuman,2-2,Boca Juniors
Tue Oct 25 2016,Aldosivi,1-2,CA San Martin
Sat Oct 29 2016,Olimpo,2-1,Atletico Tucuman
Sat Oct 29 2016,Patronato,2-0,CA Banfield
Sat Oct 29 2016,Velez Sarsfield,0-2,Talleres Cordoba
Sat Oct 29 2016,Belgrano Cordoba,0-0,Quilmes Ac
Sat Oct 29 2016,Boca Juniors,4-0,CA Temperley
Sat Oct 29 2016,Independiente,0-0,Gye La Plata
Sat Oct 29 2016,Huracan,1-1,Rosario Central
Sun Oct 30 2016,Estudiantes,2-1,Racing Club
Sun Oct 30 2016,CA Lanus,1-1,Tigre
Sun Oct 30 2016,CD Godoy Cruz,3-1,Aldosivi
Sun Oct 30 2016,Newells Old Boys,2-2,San Lorenzo
Sun Oct 30 2016,Atletico Rafaela,0-2,CA Colon
Mon Oct 31 2016,Arsenal Sarandi,2-2,River Plate
Mon Oct 31 2016,Defensa Y Justicia,0-0,CA San Martin
Tue Nov 1 2016,Union De Santa Fe,1-0,Sarmiento De Junin
Sat Nov 5 2016,CA Temperley,0-0,Olimpo
Sat Nov 5 2016,Quilmes Ac,1-0,CD Godoy Cruz
Sat Nov 5 2016,River Plate,1-1,Estudiantes
Sat Nov 5 2016,Sarmiento De Junin,1-2,CA Lanus
Sat Nov 5 2016,CA Colon,1-0,Arsenal Sarandi
Sat Nov 5 2016,Racing Club,2-1,Newells Old Boys
Sat Nov 5 2016,CA San Martin,2-0,Velez Sarsfield
Sun Nov 6 2016,CA Banfield,1-1,Atletico Rafaela
Sun Nov 6 2016,San Lorenzo,2-0,Huracan
Sun Nov 6 2016,Tigre,2-1,Belgrano Cordoba
Sun Nov 6 2016,Talleres Cordoba,1-0,Patronato
Sun Nov 6 2016,Rosario Central,0-0,Independiente
Mon Nov 7 2016,Gye La Plata,0-3,Boca Juniors
Mon Nov 7 2016,Aldosivi,0-0,Defensa Y Justicia
Wed Nov 9 2016,Atletico Tucuman,1-1,Union De Santa Fe
Sun Nov 13 2016,Velez Sarsfield,2-1,Defensa Y Justicia
Sat Nov 19 2016,Arsenal Sarandi,1-3,CA Banfield
Sat Nov 19 2016,Estudiantes,1-0,CA Colon
Sat Nov 19 2016,CD Godoy Cruz,2-1,Tigre
Sat Nov 19 2016,CA Lanus,1-0,Atletico Tucuman
Sat Nov 19 2016,Union De Santa Fe,2-1,CA Temperley
Sun Nov 20 2016,Huracan,1-1,Racing Club
Sun Nov 20 2016,Quilmes Ac,1-0,Aldosivi
Sun Nov 20 2016,Belgrano Cordoba,1-2,Sarmiento De Junin
Sun Nov 20 2016,Independiente,1-2,San Lorenzo
Sun Nov 20 2016,Boca Juniors,1-1,Rosario Central
Sun Nov 20 2016,Atletico Rafaela,0-1,Talleres Cordoba
Mon Nov 21 2016,Newells Old Boys,1-0,River Plate
Mon Nov 21 2016,Olimpo,0-0,Gye La Plata
Tue Nov 22 2016,Patronato,3-0,CA San Martin
Fri Nov 25 2016,CA Temperley,1-3,CA Lanus
Sat Nov 26 2016,Talleres Cordoba,0-0,Arsenal Sarandi
Sat Nov 26 2016,CA Colon,1-2,Newells Old Boys
Sat Nov 26 2016,Tigre,3-0,Quilmes Ac
Sat Nov 26 2016,CA Banfield,3-2,Estudiantes
