Date,Team 1,FT,Team 2
Fri Jul 11 1997,Velez Sarsfield,1-1,San Lorenzo
Fri Jul 11 1997,Union De Santa Fe,3-3,Estudiantes
Fri Jul 11 1997,Newells Old Boys,2-1,Huracan De Corrientes
Fri Jul 11 1997,Independiente,2-0,CA Lanus
Fri Jul 11 1997,Huracan,2-1,Rosario Central
Fri Jul 11 1997,Gye La Plata,0-1,CA Colon
Fri Jul 11 1997,Ferro Carril Oeste,0-2,River Plate
Fri Jul 11 1997,Deportivo Espanol,0-0,Platense
Fri Jul 11 1997,Boca Juniors,3-2,Racing Club
Fri Jul 11 1997,CA Banfield,3-2,Gye Jujuy
Wed Aug 6 1997,San Lorenzo,1-0,Independiente
Wed Aug 6 1997,Rosario Central,1-0,Deportivo Espanol
Wed Aug 6 1997,River Plate,1-0,Newells Old Boys
Wed Aug 6 1997,Racing Club,1-1,Ferro Carril Oeste
Wed Aug 6 1997,Platense,1-0,Boca Juniors
Wed Aug 6 1997,CA Lanus,2-1,Gye La Plata
Wed Aug 6 1997,Huracan De Corrientes,0-1,Velez Sarsfield
Wed Aug 6 1997,Gye Jujuy,1-1,Huracan
Wed Aug 6 1997,Estudiantes,1-1,CA Banfield
Wed Aug 6 1997,CA Colon,0-0,Union De Santa Fe
Fri Aug 8 1997,Velez Sarsfield,0-2,River Plate
Fri Aug 8 1997,Union De Santa Fe,0-4,CA Lanus
Fri Aug 8 1997,Platense,0-0,Racing Club
Fri Aug 8 1997,Newells Old Boys,1-4,Ferro Carril Oeste
Fri Aug 8 1997,Independiente,2-3,Huracan De Corrientes
Fri Aug 8 1997,Huracan,1-0,Estudiantes
Fri Aug 8 1997,Gye La Plata,1-0,San Lorenzo
Fri Aug 8 1997,Deportivo Espanol,3-1,Gye Jujuy
Fri Aug 8 1997,Boca Juniors,4-3,Rosario Central
Fri Aug 8 1997,CA Banfield,3-1,CA Colon
Wed Aug 13 1997,San Lorenzo,4-3,Union De Santa Fe
Wed Aug 13 1997,Rosario Central,1-2,Platense
Wed Aug 13 1997,River Plate,0-0,Independiente
Wed Aug 13 1997,Racing Club,0-0,Newells Old Boys
Wed Aug 13 1997,CA Lanus,1-0,CA Banfield
Wed Aug 13 1997,Huracan De Corrientes,1-0,Gye La Plata
Wed Aug 13 1997,Gye Jujuy,0-0,Boca Juniors
Wed Aug 13 1997,Ferro Carril Oeste,1-1,Velez Sarsfield
Wed Aug 13 1997,Estudiantes,4-0,Deportivo Espanol
Wed Aug 13 1997,CA Colon,3-2,Huracan
Sun Aug 24 1997,Boca Juniors,4-2,Argentinos Juniors
Sun Aug 24 1997,Deportivo Espanol,0-3,Independiente
Sun Aug 24 1997,Ferro Carril Oeste,5-0,Gye Jujuy
Sun Aug 24 1997,Gimnasia Y Tiro,2-0,Newells Old Boys
Sun Aug 24 1997,Gye La Plata,3-1,San Lorenzo
Sun Aug 24 1997,Huracan,0-2,Estudiantes
Sun Aug 24 1997,CA Lanus,1-3,River Plate
Sun Aug 24 1997,Racing Club,1-1,Velez Sarsfield
Sun Aug 24 1997,Rosario Central,2-0,CA Colon
Sun Aug 24 1997,Union De Santa Fe,2-1,Platense
Sun Aug 31 1997,Argentinos Juniors,1-0,CA Lanus
Sun Aug 31 1997,CA Colon,2-2,Ferro Carril Oeste
Sun Aug 31 1997,Estudiantes,2-2,Gye La Plata
Sun Aug 31 1997,Gye Jujuy,4-0,Deportivo Espanol
Sun Aug 31 1997,Independiente,3-2,Huracan
Sun Aug 31 1997,Newells Old Boys,3-0,Union De Santa Fe
Sun Aug 31 1997,Platense,2-2,Boca Juniors
Sun Aug 31 1997,River Plate,1-3,Rosario Central
Sun Aug 31 1997,San Lorenzo,3-2,Racing Club
Sun Aug 31 1997,Velez Sarsfield,2-1,Gimnasia Y Tiro
Sun Sep 14 1997,Boca Juniors,2-1,Newells Old Boys
Sun Sep 14 1997,Deportivo Espanol,2-0,CA Colon
Sun Sep 14 1997,Ferro Carril Oeste,0-3,River Plate
Sun Sep 14 1997,Gimnasia Y Tiro,1-1,San Lorenzo
Sun Sep 14 1997,Gye La Plata,3-2,Independiente
Sun Sep 14 1997,Huracan,0-0,Gye Jujuy
Sun Sep 14 1997,Platense,1-3,Argentinos Juniors
Sun Sep 14 1997,Racing Club,0-1,Estudiantes
Sun Sep 14 1997,Rosario Central,2-2,CA Lanus
Sun Sep 14 1997,Union De Santa Fe,1-3,Velez Sarsfield
Wed Sep 17 1997,Argentinos Juniors,1-1,Rosario Central
Wed Sep 17 1997,CA Colon,2-1,Huracan
Wed Sep 17 1997,Estudiantes,3-1,Gimnasia Y Tiro
Wed Sep 17 1997,Gye Jujuy,0-1,Gye La Plata
Wed Sep 17 1997,Independiente,2-0,Racing Club
Wed Sep 17 1997,CA Lanus,1-3,Ferro Carril Oeste
Wed Sep 17 1997,Newells Old Boys,0-0,Platense
Wed Sep 17 1997,River Plate,3-0,Deportivo Espanol
Wed Sep 17 1997,San Lorenzo,3-2,Union De Santa Fe
Wed Sep 17 1997,Velez Sarsfield,0-0,Boca Juniors
Sun Sep 21 1997,Boca Juniors,2-1,San Lorenzo
Sun Sep 21 1997,Deportivo Espanol,2-1,CA Lanus
Sun Sep 21 1997,Ferro Carril Oeste,1-1,Rosario Central
Sun Sep 21 1997,Gimnasia Y Tiro,2-2,Independiente
Sun Sep 21 1997,Gye La Plata,0-0,CA Colon
Sun Sep 21 1997,Huracan,0-3,River Plate
Sun Sep 21 1997,Newells Old Boys,2-3,Argentinos Juniors
Sun Sep 21 1997,Platense,0-3,Velez Sarsfield
Sun Sep 21 1997,Racing Club,1-0,Gye Jujuy
Sun Sep 21 1997,Union De Santa Fe,0-5,Estudiantes
Sun Sep 28 1997,Argentinos Juniors,1-0,Ferro Carril Oeste
Sun Sep 28 1997,CA Colon,3-3,Racing Club
Sun Sep 28 1997,Estudiantes,0-0,Boca Juniors
Sun Sep 28 1997,Gye Jujuy,0-0,Gimnasia Y Tiro
Sun Sep 28 1997,Independiente,3-2,Union De Santa Fe
Sun Sep 28 1997,CA Lanus,1-0,Huracan
Sun Sep 28 1997,River Plate,3-1,Gye La Plata
Sun Sep 28 1997,Rosario Central,2-1,Deportivo Espanol
Sun Sep 28 1997,San Lorenzo,2-2,Platense
Sun Sep 28 1997,Velez Sarsfield,5-0,Newells Old Boys
Wed Oct 1 1997,Boca Juniors,2-1,Independiente
Wed Oct 1 1997,Deportivo Espanol,1-1,Ferro Carril Oeste
Wed Oct 1 1997,Gimnasia Y Tiro,0-2,CA Colon
Wed Oct 1 1997,Gye La Plata,2-1,CA Lanus
Wed Oct 1 1997,Huracan,0-1,Rosario Central
Wed Oct 1 1997,Newells Old Boys,2-2,San Lorenzo
Wed Oct 1 1997,Platense,1-0,Estudiantes
Wed Oct 1 1997,Racing Club,2-3,River Plate
Wed Oct 1 1997,Union De Santa Fe,1-1,Gye Jujuy
Wed Oct 1 1997,Velez Sarsfield,0-1,Argentinos Juniors
Sun Oct 5 1997,Argentinos Juniors,0-3,Deportivo Espanol
Sun Oct 5 1997,CA Colon,2-1,Union De Santa Fe
Sun Oct 5 1997,Estudiantes,0-0,Newells Old Boys
Sun Oct 5 1997,Ferro Carril Oeste,2-1,Huracan
Sun Oct 5 1997,Gye Jujuy,0-3,Boca Juniors
Sun Oct 5 1997,Independiente,0-0,Platense
Sun Oct 5 1997,CA Lanus,2-1,Racing Club
Sun Oct 5 1997,River Plate,2-0,Gimnasia Y Tiro
Sun Oct 5 1997,Rosario Central,0-0,Gye La Plata
Sun Oct 5 1997,San Lorenzo,3-2,Velez Sarsfield
Sun Oct 19 1997,Argentinos Juniors,0-1,San Lorenzo
Sun Oct 19 1997,Boca Juniors,2-1,CA Colon
Sun Oct 19 1997,Gimnasia Y Tiro,0-0,CA Lanus
Sun Oct 19 1997,Gye La Plata,2-0,Ferro Carril Oeste
Sun Oct 19 1997,Huracan,4-4,Deportivo Espanol
Sun Oct 19 1997,Newells Old Boys,0-2,Independiente
Sun Oct 19 1997,Platense,0-0,Gye Jujuy
Sun Oct 19 1997,Racing Club,1-4,Rosario Central
Sun Oct 19 1997,Union De Santa Fe,1-1,River Plate
Sun Oct 19 1997,Velez Sarsfield,0-0,Estudiantes
Sat Oct 25 1997,CA Colon,1-1,Platense
Sat Oct 25 1997,Deportivo Espanol,2-3,Gye La Plata
Sat Oct 25 1997,Estudiantes,2-3,San Lorenzo
Sat Oct 25 1997,Ferro Carril Oeste,0-3,Racing Club
Sat Oct 25 1997,Gye Jujuy,1-0,Newells Old Boys
Sat Oct 25 1997,Huracan,2-1,Argentinos Juniors
Sat Oct 25 1997,Independiente,2-5,Velez Sarsfield
Sat Oct 25 1997,CA Lanus,3-3,Union De Santa Fe
Sat Oct 25 1997,River Plate,1-2,Boca Juniors
Sat Oct 25 1997,Rosario Central,2-0,Gimnasia Y Tiro
Sun Nov 2 1997,Argentinos Juniors,3-2,Estudiantes
Sun Nov 2 1997,Boca Juniors,0-1,CA Lanus
Sun Nov 2 1997,Gimnasia Y Tiro,1-1,Ferro Carril Oeste
Sun Nov 2 1997,Gye La Plata,3-0,Huracan
Sun Nov 2 1997,Newells Old Boys,3-2,CA Colon
Sun Nov 2 1997,Platense,2-5,River Plate
Sun Nov 2 1997,Racing Club,1-0,Deportivo Espanol
Sun Nov 2 1997,San Lorenzo,3-1,Independiente
Sun Nov 2 1997,Union De Santa Fe,1-0,Rosario Central
Sun Nov 2 1997,Velez Sarsfield,2-1,Gye Jujuy
Sun Nov 9 1997,CA Colon,1-1,Velez Sarsfield
Sun Nov 9 1997,Deportivo Espanol,3-1,Gimnasia Y Tiro
Sun Nov 9 1997,Ferro Carril Oeste,6-2,Union De Santa Fe
Sun Nov 9 1997,Gye Jujuy,3-3,San Lorenzo
Sun Nov 9 1997,Gye La Plata,0-2,Argentinos Juniors
Sun Nov 9 1997,Huracan,2-0,Racing Club
