Date,Team 1,FT,Team 2
Wed Jul 9 1997,Grazer Ak,0-4,Sturm Graz
Wed Jul 9 1997,Austria Wien,3-0,LASK Linz
Wed Jul 9 1997,FC Admira Wacker,3-2,FC Wacker Innsbruck
Wed Jul 9 1997,Austria Lustenau,2-0,RB Salzburg
Wed Jul 9 1997,SV Ried,2-2,Rapid Wien
Wed Jul 16 1997,Grazer Ak,3-1,Austria Lustenau
Wed Jul 16 1997,Rapid Wien,0-0,FC Admira Wacker
Wed Jul 16 1997,RB Salzburg,0-0,Austria Wien
Wed Jul 16 1997,FC Wacker Innsbruck,1-4,Sturm Graz
Wed Jul 16 1997,LASK Linz,1-1,SV Ried
Wed Jul 23 1997,Rapid Wien,1-0,FC Wacker Innsbruck
Wed Jul 23 1997,FC Admira Wacker,0-4,Grazer Ak
Wed Jul 23 1997,Sturm Graz,4-1,LASK Linz
Wed Jul 23 1997,Austria Lustenau,0-0,Austria Wien
Wed Jul 23 1997,SV Ried,2-0,RB Salzburg
Sat Jul 26 1997,Grazer Ak,3-0,FC Wacker Innsbruck
Sat Jul 26 1997,Austria Wien,3-0,SV Ried
Sat Jul 26 1997,RB Salzburg,5-2,Rapid Wien
Sat Jul 26 1997,Austria Lustenau,1-1,Sturm Graz
Sat Jul 26 1997,LASK Linz,1-0,FC Admira Wacker
Wed Jul 30 1997,Rapid Wien,1-1,Grazer Ak
Wed Jul 30 1997,FC Admira Wacker,2-1,RB Salzburg
Wed Jul 30 1997,Sturm Graz,0-0,Austria Wien
Wed Jul 30 1997,FC Wacker Innsbruck,3-0,LASK Linz
Wed Jul 30 1997,SV Ried,1-1,Austria Lustenau
Sat Aug 2 1997,Grazer Ak,3-0,SV Ried
Sat Aug 2 1997,Austria Wien,0-4,FC Wacker Innsbruck
Sat Aug 2 1997,RB Salzburg,1-2,Sturm Graz
Sat Aug 2 1997,Austria Lustenau,5-0,FC Admira Wacker
Sat Aug 2 1997,LASK Linz,2-0,Rapid Wien
Wed Aug 6 1997,Grazer Ak,1-0,LASK Linz
Wed Aug 6 1997,Rapid Wien,1-0,Austria Lustenau
Wed Aug 6 1997,FC Admira Wacker,1-6,Austria Wien
Wed Aug 6 1997,FC Wacker Innsbruck,2-1,RB Salzburg
Wed Aug 6 1997,SV Ried,1-1,Sturm Graz
Sat Aug 16 1997,Austria Wien,0-3,Rapid Wien
Sat Aug 16 1997,Sturm Graz,4-0,FC Admira Wacker
Sat Aug 16 1997,RB Salzburg,2-1,Grazer Ak
Sat Aug 16 1997,Austria Lustenau,4-1,LASK Linz
Sat Aug 16 1997,SV Ried,2-0,FC Wacker Innsbruck
Sat Aug 23 1997,Grazer Ak,5-1,Austria Wien
Sat Aug 23 1997,Rapid Wien,0-2,Sturm Graz
Sat Aug 23 1997,FC Admira Wacker,0-1,SV Ried
Sat Aug 23 1997,FC Wacker Innsbruck,1-1,Austria Lustenau
Sat Aug 23 1997,LASK Linz,1-1,RB Salzburg
Sat Aug 30 1997,Austria Wien,1-0,Grazer Ak
Sat Aug 30 1997,Sturm Graz,1-0,Rapid Wien
Sat Aug 30 1997,RB Salzburg,1-1,LASK Linz
Sat Aug 30 1997,Austria Lustenau,1-1,FC Wacker Innsbruck
Sat Aug 30 1997,SV Ried,3-1,FC Admira Wacker
Sat Sep 13 1997,Rapid Wien,3-0,SV Ried
Sat Sep 13 1997,Sturm Graz,2-1,Grazer Ak
Sat Sep 13 1997,RB Salzburg,5-1,Austria Lustenau
Sat Sep 13 1997,FC Wacker Innsbruck,2-0,FC Admira Wacker
