Round,Date,Day,Week,Team 1,Team 2,FT,HT
?,1997-08-02,Sat,30,Beauvais,Nimes,5-3,?
?,1997-08-02,Sat,30,Caen,Amiens,1-3,?
?,1997-08-02,Sat,30,Laval,Gueugnon,0-0,?
?,1997-08-02,Sat,30,Louhans-Cuis.,Le Mans,1-0,?
?,1997-08-02,Sat,30,Nice,Red Star 93,1-1,?
?,1997-08-02,Sat,30,Niort,Valence,1-1,?
?,1997-08-02,Sat,30,Sochaux,Martigues,4-1,?
?,1997-08-02,Sat,30,St Etienne,Lille,2-2,?
?,1997-08-02,Sat,30,Toulon,Lorient,0-1,?
?,1997-08-02,Sat,30,Troyes,Nancy,4-2,?
?,1997-08-02,Sat,30,Wasquehal,Mulhouse,2-1,?
?,1997-08-09,Sat,31,Amiens,Laval,2-0,?
?,1997-08-09,Sat,31,Gueugnon,Niort,0-0,?
?,1997-08-09,Sat,31,Le Mans,Beauvais,1-1,?
?,1997-08-09,Sat,31,Lille,Martigues,7-3,?
?,1997-08-09,Sat,31,Mulhouse,Caen,4-2,?
?,1997-08-09,Sat,31,Nancy,Wasquehal,2-1,?
?,1997-08-09,Sat,31,Nimes,St Etienne,3-0,?
?,1997-08-09,Sat,31,Red Star 93,Louhans-Cuis.,1-0,?
?,1997-08-09,Sat,31,Troyes,Toulon,1-0,?
?,1997-08-09,Sat,31,Valence,Sochaux,1-2,?
?,1997-08-11,Mon,32,Lorient,Nice,1-1,?
?,1997-08-15,Fri,32,Toulon,Gueugnon,1-3,?
?,1997-08-16,Sat,32,Beauvais,Red Star 93,2-1,?
?,1997-08-16,Sat,32,Caen,Nancy,2-2,?
?,1997-08-16,Sat,32,Laval,Mulhouse,3-0,?
?,1997-08-16,Sat,32,Louhans-Cuis.,Lorient,1-3,?
?,1997-08-16,Sat,32,Martigues,Nimes,0-0,?
?,1997-08-16,Sat,32,Nice,Valence,0-0,?
?,1997-08-16,Sat,32,Niort,Amiens,0-0,?
?,1997-08-16,Sat,32,Sochaux,Lille,0-0,?
?,1997-08-16,Sat,32,St Etienne,Le Mans,1-2,?
?,1997-08-16,Sat,32,Wasquehal,Troyes,0-4,?
?,1997-08-20,Wed,33,Amiens,Louhans-Cuis.,1-1,?
?,1997-08-20,Wed,33,Gueugnon,Nice,1-2,?
?,1997-08-20,Wed,33,Le Mans,Martigues,0-0,?
?,1997-08-20,Wed,33,Lorient,Sochaux,2-1,?
?,1997-08-20,Wed,33,Mulhouse,Niort,3-0,?
?,1997-08-20,Wed,33,Nancy,Laval,2-0,?
?,1997-08-20,Wed,33,Nimes,Lille,0-0,?
?,1997-08-20,Wed,33,Red Star 93,St Etienne,1-0,?
?,1997-08-20,Wed,33,Troyes,Caen,2-1,?
?,1997-08-20,Wed,33,Valence,Toulon,2-1,?
?,1997-08-20,Wed,33,Wasquehal,Beauvais,3-2,?
?,1997-08-23,Sat,33,Beauvais,Valence,1-2,?
?,1997-08-23,Sat,33,Caen,Wasquehal,6-0,?
?,1997-08-23,Sat,33,Laval,Troyes,2-1,?
?,1997-08-23,Sat,33,Lille,Le Mans,2-0,?
?,1997-08-23,Sat,33,Louhans-Cuis.,Gueugnon,2-1,?
?,1997-08-23,Sat,33,Martigues,Red Star 93,2-0,?
?,1997-08-23,Sat,33,Nice,Amiens,1-1,?
?,1997-08-23,Sat,33,Niort,Nancy,2-1,?
?,1997-08-23,Sat,33,Sochaux,Nimes,1-0,?
?,1997-08-23,Sat,33,St Etienne,Lorient,0-0,?
?,1997-08-23,Sat,33,Toulon,Mulhouse,2-1,?
?,1997-08-29,Fri,34,Amiens,St Etienne,0-0,?
?,1997-08-30,Sat,34,Caen,Sochaux,2-1,?
?,1997-08-30,Sat,34,Gueugnon,Beauvais,1-1,?
?,1997-08-30,Sat,34,Le Mans,Nimes,1-2,?
?,1997-08-30,Sat,34,Lorient,Martigues,5-1,?
?,1997-08-30,Sat,34,Mulhouse,Nice,1-1,?
?,1997-08-30,Sat,34,Nancy,Toulon,3-0,?
?,1997-08-30,Sat,34,Red Star 93,Lille,1-1,?
?,1997-08-30,Sat,34,Troyes,Niort,1-0,?
?,1997-08-30,Sat,34,Valence,Louhans-Cuis.,2-1,?
?,1997-08-30,Sat,34,Wasquehal,Laval,1-2,?
?,1997-09-03,Wed,35,Beauvais,Lorient,1-1,?
?,1997-09-03,Wed,35,Laval,Caen,0-2,?
?,1997-09-03,Wed,35,Lille,Gueugnon,2-0,?
?,1997-09-03,Wed,35,Louhans-Cuis.,Mulhouse,0-0,?
?,1997-09-03,Wed,35,Martigues,Valence,2-0,?
?,1997-09-03,Wed,35,Nice,Nancy,1-1,?
?,1997-09-03,Wed,35,Nimes,Red Star 93,2-2,?
?,1997-09-03,Wed,35,Niort,Wasquehal,3-1,?
?,1997-09-03,Wed,35,Sochaux,Le Mans,0-2,?
?,1997-09-03,Wed,35,St Etienne,Troyes,1-1,?
?,1997-09-03,Wed,35,Toulon,Amiens,1-1,?
?,1997-09-06,Sat,35,Amiens,Nimes,2-0,?
?,1997-09-06,Sat,35,Caen,Niort,0-0,?
?,1997-09-06,Sat,35,Gueugnon,Martigues,3-0,?
?,1997-09-06,Sat,35,Laval,Sochaux,0-1,?
?,1997-09-06,Sat,35,Lorient,Lille,2-0,?
?,1997-09-06,Sat,35,Mulhouse,Beauvais,0-0,?
?,1997-09-06,Sat,35,Nancy,Louhans-Cuis.,3-1,?
?,1997-09-06,Sat,35,Red Star 93,Le Mans,2-1,?
?,1997-09-06,Sat,35,Troyes,Nice,1-1,?
?,1997-09-06,Sat,35,Valence,St Etienne,1-1,?
?,1997-09-06,Sat,35,Wasquehal,Toulon,1-1,?
?,1997-09-13,Sat,36,Beauvais,Nancy,0-0,?
?,1997-09-13,Sat,36,Le Mans,Lorient,2-2,?
?,1997-09-13,Sat,36,Lille,Mulhouse,1-0,?
?,1997-09-13,Sat,36,Louhans-Cuis.,Troyes,1-1,?
?,1997-09-13,Sat,36,Martigues,Amiens,3-2,?
?,1997-09-13,Sat,36,Nice,Wasquehal,1-0,?
?,1997-09-13,Sat,36,Nimes,Valence,1-2,?
?,1997-09-13,Sat,36,Niort,Laval,1-2,?
?,1997-09-13,Sat,36,Sochaux,Red Star 93,1-1,?
?,1997-09-13,Sat,36,St Etienne,Gueugnon,0-1,?
?,1997-09-13,Sat,36,Toulon,Caen,2-1,?
?,1997-09-20,Sat,37,Amiens,Lille,0-0,?
?,1997-09-20,Sat,37,Gueugnon,Nimes,1-0,?
?,1997-09-20,Sat,37,Laval,Toulon,1-1,?
?,1997-09-20,Sat,37,Lorient,Red Star 93,5-2,?
?,1997-09-20,Sat,37,Mulhouse,Martigues,4-1,?
?,1997-09-20,Sat,37,Nancy,St Etienne,2-0,?
?,1997-09-20,Sat,37,Niort,Sochaux,0-0,?
?,1997-09-20,Sat,37,Troyes,Beauvais,0-0,?
?,1997-09-20,Sat,37,Valence,Le Mans,1-0,?
?,1997-09-20,Sat,37,Wasquehal,Louhans-Cuis.,2-1,?
?,1997-09-21,Sun,37,Caen,Nice,0-0,?
?,1997-09-24,Wed,38,Beauvais,Amiens,1-0,?
?,1997-09-24,Wed,38,Le Mans,Gueugnon,2-3,?
?,1997-09-24,Wed,38,Lille,Nancy,2-3,?
?,1997-09-24,Wed,38,Louhans-Cuis.,Caen,0-2,?
?,1997-09-24,Wed,38,Martigues,Troyes,1-4,?
?,1997-09-24,Wed,38,Nimes,Lorient,1-0,?
?,1997-09-24,Wed,38,Red Star 93,Valence,1-1,?
?,1997-09-24,Wed,38,Sochaux,Wasquehal,2-1,?
?,1997-09-24,Wed,38,St Etienne,Mulhouse,2-2,?
?,1997-09-24,Wed,38,Toulon,Niort,1-1,?
?,1997-09-27,Sat,38,Amiens,Le Mans,2-0,?
?,1997-09-27,Sat,38,Caen,Beauvais,0-1,?
?,1997-09-27,Sat,38,Gueugnon,Red Star 93,4-0,?
?,1997-09-27,Sat,38,Laval,Louhans-Cuis.,3-0,?
?,1997-09-27,Sat,38,Mulhouse,Nimes,3-2,?
?,1997-09-27,Sat,38,Niort,Nice,4-2,?
?,1997-09-27,Sat,38,Toulon,Sochaux,0-0,?
?,1997-09-27,Sat,38,Troyes,Lille,1-1,?
?,1997-09-27,Sat,38,Valence,Lorient,3-2,?
?,1997-09-27,Sat,38,Wasquehal,St Etienne,2-1,?
?,1997-09-28,Sun,38,Nancy,Martigues,0-0,?
?,1997-10-03,Fri,39,Le Mans,Mulhouse,0-1,?
?,1997-10-04,Sat,39,Beauvais,Laval,1-1,?
?,1997-10-04,Sat,39,Lille,Valence,1-1,?
?,1997-10-04,Sat,39,Lorient,Gueugnon,3-0,?
?,1997-10-04,Sat,39,Louhans-Cuis.,Niort,1-0,?
?,1997-10-04,Sat,39,Martigues,Wasquehal,1-3,?
