Round,Date,Day,Week,Team 1,Team 2,FT,HT
?,1997-10-04,Sat,39,Nimes,Nancy,0-3,?
?,1997-10-04,Sat,39,Red Star 93,Amiens,2-0,?
?,1997-10-04,Sat,39,Sochaux,Troyes,4-0,?
?,1997-10-04,Sat,39,St Etienne,Caen,3-0,?
?,1997-10-05,Sun,39,Nice,Toulon,1-1,?
?,1997-10-08,Wed,40,Amiens,Lorient,3-0,?
?,1997-10-08,Wed,40,Caen,Martigues,5-0,?
?,1997-10-08,Wed,40,Gueugnon,Valence,1-0,?
?,1997-10-08,Wed,40,Laval,St Etienne,4-1,?
?,1997-10-08,Wed,40,Mulhouse,Red Star 93,2-1,?
?,1997-10-08,Wed,40,Nice,Nimes,3-0,?
?,1997-10-08,Wed,40,Niort,Beauvais,1-1,?
?,1997-10-08,Wed,40,Toulon,Louhans-Cuis.,2-0,?
?,1997-10-08,Wed,40,Troyes,Le Mans,0-0,?
?,1997-10-08,Wed,40,Wasquehal,Lille,1-1,?
?,1997-10-09,Thu,40,Nancy,Sochaux,2-0,?
?,1997-10-15,Wed,41,Beauvais,Toulon,3-2,?
?,1997-10-15,Wed,41,Le Mans,Wasquehal,1-0,?
?,1997-10-15,Wed,41,Lille,Caen,3-0,?
?,1997-10-15,Wed,41,Lorient,Mulhouse,1-1,?
?,1997-10-15,Wed,41,Louhans-Cuis.,Nice,0-1,?
?,1997-10-15,Wed,41,Martigues,Laval,3-2,?
?,1997-10-15,Wed,41,Nimes,Troyes,1-1,?
?,1997-10-15,Wed,41,Red Star 93,Nancy,0-1,?
?,1997-10-15,Wed,41,Sochaux,Gueugnon,2-0,?
?,1997-10-15,Wed,41,Valence,Amiens,3-0,?
?,1997-10-18,Sat,41,Amiens,Gueugnon,2-1,?
?,1997-10-18,Sat,41,Caen,Le Mans,0-0,?
?,1997-10-18,Sat,41,Laval,Lille,1-2,?
?,1997-10-18,Sat,41,Louhans-Cuis.,Sochaux,0-1,?
?,1997-10-18,Sat,41,Mulhouse,Valence,1-1,?
?,1997-10-18,Sat,41,Nancy,Lorient,2-0,?
?,1997-10-18,Sat,41,Nice,Beauvais,2-0,?
?,1997-10-18,Sat,41,Niort,Martigues,0-0,?
?,1997-10-18,Sat,41,Toulon,St Etienne,0-2,?
?,1997-10-18,Sat,41,Troyes,Red Star 93,2-0,?
?,1997-10-18,Sat,41,Wasquehal,Nimes,0-1,?
?,1997-10-24,Fri,42,Lorient,Troyes,3-0,?
?,1997-10-25,Sat,42,Beauvais,Louhans-Cuis.,1-0,?
?,1997-10-25,Sat,42,Gueugnon,Mulhouse,1-0,?
?,1997-10-25,Sat,42,Le Mans,Laval,0-2,?
?,1997-10-25,Sat,42,Lille,Niort,3-0,?
?,1997-10-25,Sat,42,Martigues,Toulon,2-1,?
?,1997-10-25,Sat,42,Nimes,Caen,3-1,?
?,1997-10-25,Sat,42,Red Star 93,Wasquehal,1-1,?
?,1997-10-25,Sat,42,Sochaux,Amiens,3-1,?
?,1997-10-25,Sat,42,Valence,Nancy,1-1,?
?,1997-10-26,Sun,42,St Etienne,Nice,3-2,?
?,1997-10-31,Fri,43,Beauvais,Sochaux,1-1,?
?,1997-10-31,Fri,43,Caen,Red Star 93,1-1,?
?,1997-10-31,Fri,43,Laval,Nimes,2-1,?
?,1997-10-31,Fri,43,Louhans-Cuis.,St Etienne,0-0,?
?,1997-10-31,Fri,43,Mulhouse,Amiens,4-0,?
?,1997-10-31,Fri,43,Nancy,Gueugnon,3-0,?
?,1997-10-31,Fri,43,Nice,Martigues,1-1,?
?,1997-10-31,Fri,43,Niort,Le Mans,3-0,?
?,1997-10-31,Fri,43,Toulon,Lille,1-0,?
?,1997-10-31,Fri,43,Troyes,Valence,2-2,?
?,1997-10-31,Fri,43,Wasquehal,Lorient,1-2,?
?,1997-11-04,Tue,44,St Etienne,Niort,4-2,?
?,1997-11-07,Fri,44,Red Star 93,Laval,1-0,?
?,1997-11-08,Sat,44,Amiens,Nancy,1-1,?
?,1997-11-08,Sat,44,Gueugnon,Troyes,0-1,?
?,1997-11-08,Sat,44,Le Mans,Toulon,5-0,?
?,1997-11-08,Sat,44,Lorient,Caen,3-0,?
?,1997-11-08,Sat,44,Martigues,Louhans-Cuis.,3-1,?
?,1997-11-08,Sat,44,Nimes,Niort,1-1,?
?,1997-11-08,Sat,44,Sochaux,Mulhouse,3-0,?
?,1997-11-08,Sat,44,St Etienne,Beauvais,1-1,?
?,1997-11-08,Sat,44,Valence,Wasquehal,2-1,?
?,1997-11-09,Sun,44,Lille,Nice,2-0,?
?,1997-11-12,Wed,45,Nice,Laval,1-0,?
?,1997-11-14,Fri,45,Beauvais,Martigues,0-0,?
?,1997-11-14,Fri,45,Caen,Valence,1-1,?
?,1997-11-14,Fri,45,Louhans-Cuis.,Lille,2-2,?
?,1997-11-14,Fri,45,Nancy,Mulhouse,2-1,?
?,1997-11-14,Fri,45,Niort,Red Star 93,2-0,?
?,1997-11-14,Fri,45,Toulon,Nimes,0-1,?
?,1997-11-14,Fri,45,Troyes,Amiens,2-1,?
?,1997-11-14,Fri,45,Wasquehal,Gueugnon,1-0,?
?,1997-11-15,Sat,45,Laval,Lorient,0-1,?
?,1997-11-15,Sat,45,Nice,Le Mans,0-2,?
?,1997-11-15,Sat,45,St Etienne,Sochaux,3-2,?
?,1997-11-18,Tue,46,Amiens,Wasquehal,2-0,?
?,1997-11-18,Tue,46,Gueugnon,Caen,2-1,?
?,1997-11-18,Tue,46,Le Mans,Nancy,1-0,?
?,1997-11-18,Tue,46,Lille,Beauvais,3-0,?
?,1997-11-18,Tue,46,Lorient,Niort,2-0,?
?,1997-11-18,Tue,46,Martigues,St Etienne,1-0,?
?,1997-11-18,Tue,46,Mulhouse,Troyes,0-0,?
?,1997-11-18,Tue,46,Nimes,Louhans-Cuis.,0-0,?
?,1997-11-18,Tue,46,Red Star 93,Toulon,3-1,?
?,1997-11-18,Tue,46,Sochaux,Nice,1-1,?
?,1997-11-18,Tue,46,Valence,Laval,2-0,?
?,1997-11-22,Sat,46,Beauvais,Le Mans,1-2,?
?,1997-11-22,Sat,46,Caen,Mulhouse,2-1,?
?,1997-11-22,Sat,46,Laval,Amiens,3-0,?
?,1997-11-22,Sat,46,Louhans-Cuis.,Red Star 93,2-0,?
?,1997-11-22,Sat,46,Martigues,Lille,1-1,?
?,1997-11-22,Sat,46,Nice,Lorient,1-1,?
?,1997-11-22,Sat,46,Niort,Gueugnon,1-0,?
?,1997-11-22,Sat,46,Sochaux,Valence,1-0,?
?,1997-11-22,Sat,46,St Etienne,Nimes,1-1,?
?,1997-11-22,Sat,46,Toulon,Troyes,2-1,?
?,1997-11-22,Sat,46,Wasquehal,Nancy,3-1,?
?,1997-12-02,Tue,48,Lille,Sochaux,0-0,?
?,1997-12-03,Wed,48,Amiens,Niort,1-0,?
?,1997-12-03,Wed,48,Gueugnon,Toulon,1-0,?
?,1997-12-03,Wed,48,Le Mans,St Etienne,3-0,?
?,1997-12-03,Wed,48,Lorient,Louhans-Cuis.,2-1,?
?,1997-12-03,Wed,48,Nimes,Martigues,0-2,?
?,1997-12-03,Wed,48,Red Star 93,Beauvais,1-1,?
?,1997-12-03,Wed,48,Valence,Nice,1-1,?
?,1997-12-06,Sat,48,Beauvais,Wasquehal,0-0,?
?,1997-12-06,Sat,48,Caen,Troyes,2-0,?
?,1997-12-06,Sat,48,Laval,Nancy,0-0,?
?,1997-12-06,Sat,48,Lille,Nimes,2-1,?
?,1997-12-06,Sat,48,Louhans-Cuis.,Amiens,0-1,?
?,1997-12-06,Sat,48,Martigues,Le Mans,0-0,?
?,1997-12-06,Sat,48,Nice,Gueugnon,2-0,?
?,1997-12-06,Sat,48,Niort,Mulhouse,1-0,?
?,1997-12-06,Sat,48,Sochaux,Lorient,0-1,?
?,1997-12-06,Sat,48,St Etienne,Red Star 93,1-0,?
?,1997-12-06,Sat,48,Toulon,Valence,0-0,?
?,1997-12-09,Tue,49,Mulhouse,Laval,0-1,?
?,1997-12-10,Wed,49,Nancy,Caen,3-0,?
?,1997-12-10,Wed,49,Troyes,Wasquehal,1-0,?
?,1997-12-13,Sat,49,Amiens,Nice,2-2,?
?,1997-12-13,Sat,49,Gueugnon,Louhans-Cuis.,1-0,?
?,1997-12-13,Sat,49,Le Mans,Lille,1-1,?
?,1997-12-13,Sat,49,Lorient,St Etienne,4-0,?
?,1997-12-13,Sat,49,Mulhouse,Toulon,4-0,?
?,1997-12-13,Sat,49,Nancy,Niort,1-1,?
?,1997-12-13,Sat,49,Nimes,Sochaux,2-1,?
?,1997-12-13,Sat,49,Red Star 93,Martigues,2-1,?
?,1997-12-13,Sat,49,Troyes,Laval,0-1,?
?,1997-12-13,Sat,49,Valence,Beauvais,1-3,?
?,1997-12-13,Sat,49,Wasquehal,Caen,5-2,?
?,1998-01-09,Fri,1,Martigues,Lorient,0-1,?
?,1998-01-10,Sat,1,Beauvais,Gueugnon,3-2,?
?,1998-01-10,Sat,1,Laval,Wasquehal,2-2,?
?,1998-01-10,Sat,1,Lille,Red Star 93,4-1,?
?,1998-01-10,Sat,1,Louhans-Cuis.,Valence,2-0,?
?,1998-01-10,Sat,1,Nice,Mulhouse,0-0,?
?,1998-01-10,Sat,1,Nimes,Le Mans,1-1,?
?,1998-01-10,Sat,1,Niort,Troyes,2-0,?
?,1998-01-10,Sat,1,Sochaux,Caen,2-0,?
?,1998-01-10,Sat,1,St Etienne,Amiens,2-1,?
?,1998-01-10,Sat,1,Toulon,Nancy,0-0,?
?,1998-01-21,Wed,3,Amiens,Toulon,1-2,?
?,1998-01-21,Wed,3,Caen,Laval,2-0,?
?,1998-01-21,Wed,3,Gueugnon,Lille,4-0,?
?,1998-01-21,Wed,3,Le Mans,Sochaux,0-0,?
?,1998-01-21,Wed,3,Lorient,Beauvais,2-0,?
?,1998-01-21,Wed,3,Mulhouse,Louhans-Cuis.,3-3,?
?,1998-01-21,Wed,3,Nancy,Nice,2-1,?
?,1998-01-21,Wed,3,Red Star 93,Nimes,2-3,?
?,1998-01-21,Wed,3,Troyes,St Etienne,1-2,?
?,1998-01-21,Wed,3,Valence,Martigues,0-0,?
?,1998-01-21,Wed,3,Wasquehal,Niort,2-1,?
?,1998-01-24,Sat,3,Beauvais,Mulhouse,1-1,?
?,1998-01-24,Sat,3,Le Mans,Red Star 93,6-3,?
?,1998-01-24,Sat,3,Lille,Lorient,1-0,?
?,1998-01-24,Sat,3,Louhans-Cuis.,Nancy,1-1,?
?,1998-01-24,Sat,3,Martigues,Gueugnon,2-0,?
?,1998-01-24,Sat,3,Nice,Troyes,0-0,?
?,1998-01-24,Sat,3,Nimes,Amiens,0-0,?
?,1998-01-24,Sat,3,Niort,Caen,0-0,?
?,1998-01-24,Sat,3,Sochaux,Laval,1-1,?
?,1998-01-24,Sat,3,St Etienne,Valence,0-0,?
?,1998-01-24,Sat,3,Toulon,Wasquehal,1-0,?
?,1998-02-04,Wed,5,Amiens,Martigues,2-1,?
?,1998-02-04,Wed,5,Caen,Toulon,1-1,?
?,1998-02-04,Wed,5,Gueugnon,St Etienne,1-1,?
?,1998-02-04,Wed,5,Laval,Niort,0-0,?
?,1998-02-04,Wed,5,Lorient,Le Mans,1-1,?
?,1998-02-04,Wed,5,Mulhouse,Lille,1-3,?
?,1998-02-04,Wed,5,Nancy,Beauvais,0-1,?
?,1998-02-04,Wed,5,Red Star 93,Sochaux,2-0,?
?,1998-02-04,Wed,5,Troyes,Louhans-Cuis.,0-1,?
?,1998-02-04,Wed,5,Valence,Nimes,0-1,?
?,1998-02-04,Wed,5,Wasquehal,Nice,2-1,?
?,1998-02-10,Tue,6,St Etienne,Nancy,0-2,?
?,1998-02-11,Wed,6,Beauvais,Troyes,0-1,?
?,1998-02-11,Wed,6,Le Mans,Valence,1-1,?
?,1998-02-11,Wed,6,Lille,Amiens,0-1,?
?,1998-02-11,Wed,6,Louhans-Cuis.,Wasquehal,5-0,?
?,1998-02-11,Wed,6,Martigues,Mulhouse,1-1,?
?,1998-02-11,Wed,6,Nice,Caen,0-1,?
?,1998-02-11,Wed,6,Nimes,Gueugnon,1-0,?
?,1998-02-11,Wed,6,Red Star 93,Lorient,3-2,?
?,1998-02-11,Wed,6,Sochaux,Niort,1-1,?
?,1998-02-11,Wed,6,Toulon,Laval,1-1,?
?,1998-02-14,Sat,6,Amiens,Beauvais,2-1,?
?,1998-02-14,Sat,6,Caen,Louhans-Cuis.,5-0,?
?,1998-02-14,Sat,6,Gueugnon,Le Mans,1-1,?
?,1998-02-14,Sat,6,Laval,Nice,1-1,?
?,1998-02-14,Sat,6,Lorient,Nimes,4-0,?
?,1998-02-14,Sat,6,Mulhouse,St Etienne,1-2,?
?,1998-02-14,Sat,6,Nancy,Lille,1-1,?
?,1998-02-14,Sat,6,Niort,Toulon,3-0,?
?,1998-02-14,Sat,6,Troyes,Martigues,3-0,?
?,1998-02-14,Sat,6,Valence,Red Star 93,0-0,?
?,1998-02-14,Sat,6,Wasquehal,Sochaux,1-1,?
?,1998-02-20,Fri,7,Le Mans,Amiens,4-2,?
?,1998-02-21,Sat,7,Beauvais,Caen,2-3,?
?,1998-02-21,Sat,7,Lille,Troyes,0-2,?
?,1998-02-21,Sat,7,Lorient,Valence,1-1,?
?,1998-02-21,Sat,7,Louhans-Cuis.,Laval,1-0,?
?,1998-02-21,Sat,7,Martigues,Nancy,0-0,?
?,1998-02-21,Sat,7,Nice,Niort,0-2,?
?,1998-02-21,Sat,7,Nimes,Mulhouse,2-0,?
?,1998-02-21,Sat,7,Red Star 93,Gueugnon,2-0,?
?,1998-02-21,Sat,7,Sochaux,Toulon,4-1,?
?,1998-02-21,Sat,7,St Etienne,Wasquehal,0-0,?
?,1998-03-07,Sat,9,Amiens,Red Star 93,0-0,?
?,1998-03-07,Sat,9,Caen,St Etienne,2-0,?
?,1998-03-07,Sat,9,Gueugnon,Lorient,1-2,?
?,1998-03-07,Sat,9,Laval,Beauvais,2-0,?
?,1998-03-07,Sat,9,Mulhouse,Le Mans,1-2,?
?,1998-03-07,Sat,9,Nancy,Nimes,1-0,?
?,1998-03-07,Sat,9,Niort,Louhans-Cuis.,1-1,?
?,1998-03-07,Sat,9,Toulon,Nice,1-0,?
?,1998-03-07,Sat,9,Troyes,Sochaux,0-1,?
?,1998-03-07,Sat,9,Valence,Lille,3-1,?
?,1998-03-07,Sat,9,Wasquehal,Martigues,1-0,?
?,1998-03-14,Sat,10,Beauvais,Niort,1-1,?
?,1998-03-14,Sat,10,Le Mans,Troyes,1-1,?
?,1998-03-14,Sat,10,Lille,Wasquehal,1-1,?
?,1998-03-14,Sat,10,Lorient,Amiens,0-0,?
?,1998-03-14,Sat,10,Louhans-Cuis.,Toulon,1-0,?
?,1998-03-14,Sat,10,Martigues,Caen,0-2,?
?,1998-03-14,Sat,10,Nimes,Nice,0-0,?
?,1998-03-14,Sat,10,Red Star 93,Mulhouse,2-1,?
?,1998-03-14,Sat,10,Sochaux,Nancy,0-1,?
?,1998-03-14,Sat,10,St Etienne,Laval,3-2,?
?,1998-03-14,Sat,10,Valence,Gueugnon,2-2,?
?,1998-03-24,Tue,12,Amiens,Valence,1-1,?
?,1998-03-24,Tue,12,Caen,Lille,0-2,?
?,1998-03-24,Tue,12,Gueugnon,Sochaux,3-1,?
?,1998-03-24,Tue,12,Laval,Martigues,1-0,?
?,1998-03-24,Tue,12,Mulhouse,Lorient,1-0,?
?,1998-03-24,Tue,12,Nancy,Red Star 93,2-0,?
?,1998-03-24,Tue,12,Nice,Louhans-Cuis.,2-0,?
?,1998-03-24,Tue,12,Niort,St Etienne,1-3,?
?,1998-03-24,Tue,12,Toulon,Beauvais,2-0,?
?,1998-03-24,Tue,12,Troyes,Nimes,1-1,?
?,1998-03-24,Tue,12,Wasquehal,Le Mans,1-0,?
?,1998-03-28,Sat,12,Beauvais,Nice,1-0,?
?,1998-03-28,Sat,12,Gueugnon,Amiens,0-1,?
?,1998-03-28,Sat,12,Le Mans,Caen,2-0,?
?,1998-03-28,Sat,12,Lille,Laval,3-0,?
?,1998-03-28,Sat,12,Lorient,Nancy,2-3,?
?,1998-03-28,Sat,12,Martigues,Niort,0-0,?
?,1998-03-28,Sat,12,Nimes,Wasquehal,2-1,?
?,1998-03-28,Sat,12,Red Star 93,Troyes,0-0,?
?,1998-03-28,Sat,12,Sochaux,Louhans-Cuis.,0-1,?
?,1998-03-28,Sat,12,St Etienne,Toulon,3-1,?
?,1998-03-28,Sat,12,Valence,Mulhouse,1-0,?
?,1998-04-05,Sun,13,Nancy,Valence,2-4,?
?,1998-04-07,Tue,14,Amiens,Sochaux,0-2,?
?,1998-04-07,Tue,14,Caen,Nimes,3-1,?
?,1998-04-07,Tue,14,Laval,Le Mans,2-3,?
?,1998-04-07,Tue,14,Louhans-Cuis.,Beauvais,1-0,?
?,1998-04-07,Tue,14,Mulhouse,Gueugnon,1-2,?
?,1998-04-07,Tue,14,Nice,St Etienne,2-0,?
?,1998-04-07,Tue,14,Niort,Lille,2-0,?
?,1998-04-07,Tue,14,Toulon,Martigues,1-2,?
?,1998-04-07,Tue,14,Troyes,Lorient,0-2,?
?,1998-04-07,Tue,14,Wasquehal,Red Star 93,2-4,?
?,1998-04-18,Sat,15,Amiens,Mulhouse,1-0,?
?,1998-04-18,Sat,15,Gueugnon,Nancy,2-2,?
?,1998-04-18,Sat,15,Le Mans,Niort,1-0,?
?,1998-04-18,Sat,15,Lille,Toulon,0-1,?
?,1998-04-18,Sat,15,Lorient,Wasquehal,1-0,?
?,1998-04-18,Sat,15,Martigues,Nice,0-0,?
?,1998-04-18,Sat,15,Nimes,Laval,1-1,?
?,1998-04-18,Sat,15,Red Star 93,Caen,1-0,?
?,1998-04-18,Sat,15,Sochaux,Beauvais,2-0,?
?,1998-04-18,Sat,15,St Etienne,Louhans-Cuis.,2-2,?
?,1998-04-18,Sat,15,Valence,Troyes,0-1,?
?,1998-04-23,Thu,16,Nice,Lille,2-1,?
?,1998-04-24,Fri,16,Beauvais,St Etienne,0-0,?
?,1998-04-24,Fri,16,Caen,Lorient,1-1,?
?,1998-04-24,Fri,16,Laval,Red Star 93,3-1,?
?,1998-04-24,Fri,16,Louhans-Cuis.,Martigues,3-0,?
?,1998-04-24,Fri,16,Mulhouse,Sochaux,2-2,?
?,1998-04-24,Fri,16,Nancy,Amiens,2-0,?
?,1998-04-24,Fri,16,Niort,Nimes,1-0,?
?,1998-04-24,Fri,16,Toulon,Le Mans,6-1,?
?,1998-04-24,Fri,16,Troyes,Gueugnon,3-0,?
?,1998-04-24,Fri,16,Wasquehal,Valence,1-1,?
?,1998-04-29,Wed,17,Amiens,Troyes,0-2,?
?,1998-04-29,Wed,17,Gueugnon,Wasquehal,2-1,?
?,1998-04-29,Wed,17,Le Mans,Nice,2-0,?
?,1998-04-29,Wed,17,Lille,Louhans-Cuis.,3-1,?
?,1998-04-29,Wed,17,Lorient,Laval,1-1,?
