Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 1 Aug 2003 (30),Lille (1),1-0,1-0,Lyon (1)
?,(Sat) 2 Aug 2003 (30),Auxerre (1),1-2,0-1,Nice (1)
?,(Sat) 2 Aug 2003 (30),Guingamp (1),0-1,0-0,Marseille (1)
?,(Sat) 2 Aug 2003 (30),Lens (1),0-0,0-0,Le Mans (1)
?,(Sat) 2 Aug 2003 (30),Metz (1),0-1,0-1,Ajaccio (1)
?,(Sat) 2 Aug 2003 (30),Monaco (1),2-0,1-0,Bordeaux (1)
?,(Sat) 2 Aug 2003 (30),Montpellier (1),1-1,0-1,Rennes (1)
?,(Sat) 2 Aug 2003 (30),Paris SG (1),0-0,0-0,Bastia (1)
?,(Sat) 2 Aug 2003 (30),Sochaux (1),2-1,1-1,Nantes (1)
?,(Sat) 2 Aug 2003 (30),Toulouse (1),1-1,0-0,Strasbourg (1)
?,(Fri) 8 Aug 2003 (31),Marseille (2),1-0,0-0,Auxerre (2)
?,(Sat) 9 Aug 2003 (31),Bastia (2),0-2,0-1,Metz (2)
?,(Sat) 9 Aug 2003 (31),Bordeaux (2),0-1,0-0,Montpellier (2)
?,(Sat) 9 Aug 2003 (31),Le Mans (2),0-1,0-1,Ajaccio (2)
?,(Sat) 9 Aug 2003 (31),Lille (2),1-0,1-0,Paris SG (2)
?,(Sat) 9 Aug 2003 (31),Lyon (2),3-1,3-0,Monaco (2)
?,(Sat) 9 Aug 2003 (31),Nantes (2),2-0,0-0,Lens (2)
?,(Sat) 9 Aug 2003 (31),Nice (2),1-0,0-0,Sochaux (2)
?,(Sat) 9 Aug 2003 (31),Rennes (2),1-0,1-0,Toulouse (2)
?,(Sat) 9 Aug 2003 (31),Strasbourg (2),2-0,1-0,Guingamp (2)
?,(Sat) 16 Aug 2003 (32),Ajaccio (3),1-3,0-2,Nantes (3)
?,(Sat) 16 Aug 2003 (32),Auxerre (3),3-2,2-1,Strasbourg (3)
?,(Sat) 16 Aug 2003 (32),Guingamp (3),1-3,1-2,Bordeaux (3)
?,(Sat) 16 Aug 2003 (32),Le Mans (3),1-1,1-1,Nice (3)
?,(Sat) 16 Aug 2003 (32),Metz (3),0-1,0-0,Paris SG (3)
?,(Sat) 16 Aug 2003 (32),Monaco (3),2-0,2-0,Bastia (3)
?,(Sat) 16 Aug 2003 (32),Montpellier (3),0-2,0-2,Lyon (3)
?,(Sat) 16 Aug 2003 (32),Sochaux (3),1-1,0-0,Rennes (3)
?,(Sat) 16 Aug 2003 (32),Toulouse (3),0-3,0-1,Lille (3)
?,(Sun) 17 Aug 2003 (32),Lens (3),2-1,1-1,Marseille (3)
?,(Sat) 23 Aug 2003 (33),Bastia (4),1-0,0-0,Montpellier (4)
?,(Sat) 23 Aug 2003 (33),Bordeaux (4),2-0,2-0,Auxerre (4)
?,(Sat) 23 Aug 2003 (33),Lille (4),1-1,0-1,Metz (4)
?,(Sat) 23 Aug 2003 (33),Lyon (4),0-0,0-0,Toulouse (4)
?,(Sat) 23 Aug 2003 (33),Marseille (4),2-0,1-0,Sochaux (4)
?,(Sat) 23 Aug 2003 (33),Nantes (4),1-0,0-0,Le Mans (4)
