Date,Team 1,Team 2,FT,HT
2013-08-02,Arles,Le Havre,2-0,2-0
2013-08-02,Caen,Dijon,3-1,1-0
2013-08-02,Chateauroux,Brest,3-3,0-1
2013-08-02,Clermont,Tours,2-1,1-1
2013-08-02,Istres,Angers,2-4,1-2
2013-08-02,Metz,Laval,1-0,0-0
2013-08-02,Nimes,Creteil,2-3,1-1
2013-08-02,Niort,Troyes,1-1,0-0
2013-08-03,Nancy,Auxerre,0-0,0-0
2013-08-04,Lens,CA Bastia,1-0,0-0
2013-08-09,Auxerre,Nimes,1-1,0-0
2013-08-09,Creteil,Metz,3-2,1-1
2013-08-09,Laval,Caen,1-2,1-1
2013-08-09,Le Havre,Clermont,0-1,0-1
2013-08-09,Tours,Niort,1-1,1-0
2013-08-10,Angers,Chateauroux,1-0,1-0
2013-08-10,CA Bastia,Nancy,1-2,0-1
2013-08-10,Dijon,Lens,1-1,1-1
2013-08-10,Troyes,Arles,1-0,0-0
2013-08-12,Brest,Istres,3-1,1-0
2013-08-16,Caen,Creteil,3-0,2-0
2013-08-16,Chateauroux,Tours,0-4,0-2
2013-08-16,Clermont,Laval,2-1,1-1
2013-08-16,Dijon,Angers,1-3,1-1
2013-08-16,Istres,CA Bastia,1-1,1-1
2013-08-16,Metz,Arles,1-0,1-0
2013-08-16,Nimes,Troyes,3-2,2-1
2013-08-16,Niort,Le Havre,1-1,0-1
2013-08-17,Lens,Auxerre,4-1,3-1
2013-08-19,Nancy,Brest,0-1,0-1
2013-08-23,Arles,Clermont,1-0,0-0
2013-08-23,Auxerre,Chateauroux,2-0,1-0
2013-08-23,CA Bastia,Angers,1-1,0-0
2013-08-23,Creteil,Istres,2-2,2-1
2013-08-23,Le Havre,Nancy,1-1,0-0
2013-08-23,Metz,Niort,1-1,0-0
2013-08-23,Tours,Nimes,3-1,3-0
2013-08-23,Troyes,Caen,2-1,1-0
2013-08-24,Brest,Dijon,0-0,0-0
2013-08-24,Laval,Lens,0-2,0-0
2013-08-30,Angers,Brest,2-1,0-0
2013-08-30,Chateauroux,CA Bastia,2-0,1-0
2013-08-30,Clermont,Creteil,0-0,0-0
2013-08-30,Dijon,Laval,1-0,0-0
2013-08-30,Istres,Auxerre,1-1,1-0
2013-08-30,Lens,Troyes,1-0,0-0
2013-08-30,Nancy,Tours,2-3,0-1
2013-08-30,Nimes,Le Havre,0-0,0-0
2013-08-30,Niort,Arles,1-0,0-0
2013-09-02,Caen,Metz,0-2,0-0
2013-09-13,Arles,Caen,3-2,0-2
2013-09-13,CA Bastia,Dijon,0-0,0-0
2013-09-13,Creteil,Nancy,1-1,0-1
2013-09-13,Laval,Angers,4-1,2-1
2013-09-13,Metz,Nimes,2-2,1-0
2013-09-13,Niort,Clermont,0-0,0-0
2013-09-13,Tours,Istres,2-2,2-1
2013-09-13,Troyes,Chateauroux,3-0,3-0
2013-09-14,Le Havre,Lens,6-2,4-1
2013-09-16,Auxerre,Brest,0-0,0-0
2013-09-20,Brest,CA Bastia,2-0,2-0
2013-09-20,Caen,Niort,3-1,2-0
2013-09-20,Chateauroux,Le Havre,2-2,1-1
2013-09-20,Clermont,Metz,0-0,0-0
2013-09-20,Dijon,Tours,2-0,1-0
2013-09-20,Istres,Laval,3-0,1-0
2013-09-20,Lens,Creteil,1-1,1-1
2013-09-20,Nancy,Troyes,2-1,1-0
2013-09-20,Nimes,Arles,1-2,1-1
2013-09-21,Angers,Auxerre,2-0,1-0
2013-09-23,Tours,Lens,3-1,2-0
2013-09-24,Arles,Chateauroux,1-1,0-1
2013-09-24,Auxerre,CA Bastia,1-0,1-0
2013-09-24,Clermont,Caen,2-2,0-0
2013-09-24,Creteil,Dijon,1-3,0-1
2013-09-24,Laval,Brest,2-1,1-0
2013-09-24,Le Havre,Istres,1-0,1-0
2013-09-24,Metz,Nancy,3-0,1-0
2013-09-24,Niort,Nimes,2-1,1-0
2013-09-24,Troyes,Angers,3-3,0-2
