Date,Team 1,FT,Team 2
Fri Aug 2 2013,CD Godoy Cruz,3-1,Argentinos Juniors
Sat Aug 3 2013,Arsenal Sarandi,1-1,Estudiantes
Sat Aug 3 2013,All Boys,1-1,Atletico Rafaela
Sat Aug 3 2013,Tigre,1-2,Velez Sarsfield
Sun Aug 4 2013,CA Colon,1-1,Racing Club
Sun Aug 4 2013,San Lorenzo,2-1,Olimpo
Sun Aug 4 2013,CA Lanus,3-0,Belgrano Cordoba
Sun Aug 4 2013,Gye La Plata,1-0,River Plate
Mon Aug 5 2013,Rosario Central,2-0,Quilmes Ac
Wed Aug 7 2013,Argentinos Juniors,2-0,CA Colon
Wed Aug 7 2013,Belgrano Cordoba,1-2,Boca Juniors
Thu Aug 8 2013,Estudiantes,1-0,All Boys
Thu Aug 8 2013,Atletico Rafaela,2-1,CA Lanus
Thu Aug 8 2013,Quilmes Ac,1-0,CD Godoy Cruz
Fri Aug 9 2013,Velez Sarsfield,0-0,Arsenal Sarandi
Fri Aug 9 2013,Olimpo,0-0,Tigre
Sat Aug 10 2013,Racing Club,0-3,San Lorenzo
Sat Aug 10 2013,River Plate,1-0,Rosario Central
Wed Aug 14 2013,Boca Juniors,2-3,Newells Old Boys
Fri Aug 16 2013,Arsenal Sarandi,3-1,Olimpo
Sat Aug 17 2013,CA Colon,1-0,Quilmes Ac
Sat Aug 17 2013,Gye La Plata,3-1,Rosario Central
Sun Aug 18 2013,San Lorenzo,0-3,Argentinos Juniors
Sun Aug 18 2013,Newells Old Boys,0-0,Belgrano Cordoba
Sun Aug 18 2013,Tigre,3-1,Racing Club
Sun Aug 18 2013,Boca Juniors,2-1,Atletico Rafaela
Mon Aug 19 2013,CD Godoy Cruz,0-0,River Plate
Mon Aug 19 2013,All Boys,1-1,Velez Sarsfield
Tue Aug 20 2013,CA Lanus,1-1,Estudiantes
Fri Aug 23 2013,Belgrano Cordoba,1-2,Gye La Plata
Fri Aug 23 2013,Atletico Rafaela,0-2,Newells Old Boys
Sat Aug 24 2013,Racing Club,0-2,Arsenal Sarandi
Sat Aug 24 2013,Velez Sarsfield,0-0,CA Lanus
Sat Aug 24 2013,Argentinos Juniors,1-0,Tigre
Sat Aug 24 2013,Rosario Central,1-0,CD Godoy Cruz
Sun Aug 25 2013,Olimpo,1-1,All Boys
Sun Aug 25 2013,River Plate,1-2,CA Colon
Mon Aug 26 2013,Estudiantes,2-0,Boca Juniors
Tue Aug 27 2013,Quilmes Ac,3-2,San Lorenzo
Wed Aug 28 2013,Newells Old Boys,3-0,Gye La Plata
Sat Aug 31 2013,Newells Old Boys,1-1,Estudiantes
Sat Aug 31 2013,Tigre,0-1,Quilmes Ac
Sun Sep 1 2013,All Boys,1-0,Racing Club
Sun Sep 1 2013,Gye La Plata,0-0,CD Godoy Cruz
Sun Sep 1 2013,CA Colon,2-1,Rosario Central
Sun Sep 1 2013,Boca Juniors,2-1,Velez Sarsfield
Mon Sep 2 2013,San Lorenzo,1-0,River Plate
Mon Sep 2 2013,Arsenal Sarandi,0-0,Argentinos Juniors
Mon Sep 2 2013,Belgrano Cordoba,3-2,Atletico Rafaela
Tue Sep 3 2013,CA Lanus,3-0,Olimpo
Sat Sep 7 2013,Velez Sarsfield,3-0,Newells Old Boys
Sat Sep 7 2013,Estudiantes,1-1,Belgrano Cordoba
Sat Sep 7 2013,CD Godoy Cruz,1-0,CA Colon
Sat Sep 7 2013,Argentinos Juniors,1-0,All Boys
Sat Sep 7 2013,Atletico Rafaela,2-1,Gye La Plata
Sun Sep 8 2013,Racing Club,1-1,CA Lanus
Sun Sep 8 2013,Rosario Central,0-2,San Lorenzo
Sun Sep 8 2013,Quilmes Ac,0-1,Arsenal Sarandi
Sun Sep 8 2013,River Plate,3-0,Tigre
Mon Sep 9 2013,Olimpo,3-0,Boca Juniors
Fri Sep 13 2013,CA Lanus,4-0,Argentinos Juniors
Sat Sep 14 2013,Belgrano Cordoba,3-0,Velez Sarsfield
Sat Sep 14 2013,Newells Old Boys,2-1,Olimpo
Sat Sep 14 2013,All Boys,4-0,Quilmes Ac
Sun Sep 15 2013,San Lorenzo,0-0,CD Godoy Cruz
Sun Sep 15 2013,Atletico Rafaela,1-0,Estudiantes
Sun Sep 15 2013,Tigre,2-0,Rosario Central
Sun Sep 15 2013,Boca Juniors,2-0,Racing Club
Mon Sep 16 2013,Arsenal Sarandi,1-1,River Plate
Wed Sep 18 2013,Gye La Plata,1-0,CA Colon
Fri Sep 20 2013,CD Godoy Cruz,2-0,Tigre
Sat Sep 21 2013,Racing Club,0-1,Newells Old Boys
Sat Sep 21 2013,Olimpo,1-1,Belgrano Cordoba
Sun Sep 22 2013,Rosario Central,1-1,Arsenal Sarandi
