Date,Team 1,FT,Team 2
Fri Aug 9 2013,Bayern Muenchen,3-1,Bor Moenchengladbach
Sat Aug 10 2013,Bayer Leverkusen,3-1,SC Freiburg
Sat Aug 10 2013,Hannover 96,2-0,Vfl Wolfsburg
Sat Aug 10 2013,FC Augsburg,0-4,Borussia Dortmund
Sat Aug 10 2013,Hertha BSC Berlin,6-1,Eintracht Frankfurt
Sat Aug 10 2013,1899 Hoffenheim,2-2,1 FC Nuernberg
Sat Aug 10 2013,Eintracht Braunschweig,0-1,Werder Bremen
Sun Aug 11 2013,1 Fsv Mainz 05,3-2,Vfb Stuttgart
Sun Aug 11 2013,FC Schalke 04,3-3,Hamburger SV
Sat Aug 17 2013,Vfb Stuttgart,0-1,Bayer Leverkusen
Sat Aug 17 2013,Vfl Wolfsburg,4-0,FC Schalke 04
Sat Aug 17 2013,Werder Bremen,1-0,FC Augsburg
Sat Aug 17 2013,SC Freiburg,1-2,1 Fsv Mainz 05
Sat Aug 17 2013,Hamburger SV,1-5,1899 Hoffenheim
Sat Aug 17 2013,Eintracht Frankfurt,0-1,Bayern Muenchen
Sat Aug 17 2013,Bor Moenchengladbach,3-0,Hannover 96
Sun Aug 18 2013,1 FC Nuernberg,2-2,Hertha BSC Berlin
Sun Aug 18 2013,Borussia Dortmund,2-1,Eintracht Braunschweig
Fri Aug 23 2013,Borussia Dortmund,1-0,Werder Bremen
Sat Aug 24 2013,Bayern Muenchen,2-0,1 FC Nuernberg
Sat Aug 24 2013,Bayer Leverkusen,4-2,Bor Moenchengladbach
Sat Aug 24 2013,Hannover 96,2-1,FC Schalke 04
Sat Aug 24 2013,1899 Hoffenheim,3-3,SC Freiburg
Sat Aug 24 2013,1 Fsv Mainz 05,2-0,Vfl Wolfsburg
Sat Aug 24 2013,Hertha BSC Berlin,1-0,Hamburger SV
Sun Aug 25 2013,Eintracht Braunschweig,0-2,Eintracht Frankfurt
Sun Aug 25 2013,FC Augsburg,2-1,Vfb Stuttgart
Tue Aug 27 2013,SC Freiburg,1-1,Bayern Muenchen
Sat Aug 31 2013,Bor Moenchengladbach,4-1,Werder Bremen
Sat Aug 31 2013,Hannover 96,4-1,1 Fsv Mainz 05
Sat Aug 31 2013,Vfl Wolfsburg,2-0,Hertha BSC Berlin
Sat Aug 31 2013,1 FC Nuernberg,0-1,FC Augsburg
Sat Aug 31 2013,Hamburger SV,4-0,Eintracht Braunschweig
Sat Aug 31 2013,FC Schalke 04,2-0,Bayer Leverkusen
Sun Sep 1 2013,Vfb Stuttgart,6-2,1899 Hoffenheim
Sun Sep 1 2013,Eintracht Frankfurt,1-2,Borussia Dortmund
Fri Sep 13 2013,Hertha BSC Berlin,0-1,Vfb Stuttgart
Sat Sep 14 2013,Bayern Muenchen,2-0,Hannover 96
Sat Sep 14 2013,Bayer Leverkusen,3-1,Vfl Wolfsburg
Sat Sep 14 2013,Werder Bremen,0-3,Eintracht Frankfurt
Sat Sep 14 2013,1 Fsv Mainz 05,0-1,FC Schalke 04
Sat Sep 14 2013,FC Augsburg,2-1,SC Freiburg
Sat Sep 14 2013,Borussia Dortmund,6-2,Hamburger SV
Sun Sep 15 2013,1899 Hoffenheim,2-1,Bor Moenchengladbach
Sun Sep 15 2013,Eintracht Braunschweig,1-1,1 FC Nuernberg
Fri Sep 20 2013,Bor Moenchengladbach,4-1,Eintracht Braunschweig
Sat Sep 21 2013,Hannover 96,2-1,FC Augsburg
Sat Sep 21 2013,Vfl Wolfsburg,2-1,1899 Hoffenheim
Sat Sep 21 2013,1 FC Nuernberg,1-1,Borussia Dortmund
Sat Sep 21 2013,1 Fsv Mainz 05,1-4,Bayer Leverkusen
Sat Sep 21 2013,Hamburger SV,0-2,Werder Bremen
Sat Sep 21 2013,FC Schalke 04,0-4,Bayern Muenchen
Sun Sep 22 2013,SC Freiburg,1-1,Hertha BSC Berlin
Sun Sep 22 2013,Vfb Stuttgart,1-1,Eintracht Frankfurt
Fri Sep 27 2013,FC Augsburg,2-2,Bor Moenchengladbach
Sat Sep 28 2013,Borussia Dortmund,5-0,SC Freiburg
Sat Sep 28 2013,Bayern Muenchen,1-0,Vfl Wolfsburg
Sat Sep 28 2013,Bayer Leverkusen,2-0,Hannover 96
Sat Sep 28 2013,1899 Hoffenheim,3-3,FC Schalke 04
Sat Sep 28 2013,Hertha BSC Berlin,3-1,1 Fsv Mainz 05
Sat Sep 28 2013,Eintracht Frankfurt,2-2,Hamburger SV
Sun Sep 29 2013,Werder Bremen,3-3,1 FC Nuernberg
Sun Sep 29 2013,Eintracht Braunschweig,0-4,Vfb Stuttgart
Fri Oct 4 2013,Hannover 96,1-1,Hertha BSC Berlin
Sat Oct 5 2013,FC Schalke 04,4-1,FC Augsburg
Sat Oct 5 2013,Bor Moenchengladbach,2-0,Borussia Dortmund
Sat Oct 5 2013,Vfb Stuttgart,1-1,Werder Bremen
Sat Oct 5 2013,Vfl Wolfsburg,0-2,Eintracht Braunschweig
Sat Oct 5 2013,1 Fsv Mainz 05,2-2,1899 Hoffenheim
Sat Oct 5 2013,Bayer Leverkusen,1-1,Bayern Muenchen
Sun Oct 6 2013,1 FC Nuernberg,0-5,Hamburger SV
Sun Oct 6 2013,SC Freiburg,1-1,Eintracht Frankfurt
Fri Oct 18 2013,1899 Hoffenheim,1-2,Bayer Leverkusen
Sat Oct 19 2013,Borussia Dortmund,1-0,Hannover 96
Sat Oct 19 2013,Bayern Muenchen,4-1,1 Fsv Mainz 05
Sat Oct 19 2013,Werder Bremen,0-0,SC Freiburg
Sat Oct 19 2013,Eintracht Braunschweig,2-3,FC Schalke 04
Sat Oct 19 2013,Eintracht Frankfurt,1-1,1 FC Nuernberg
Sat Oct 19 2013,Hertha BSC Berlin,1-0,Bor Moenchengladbach
Sun Oct 20 2013,Hamburger SV,3-3,Vfb Stuttgart
Sun Oct 20 2013,FC Augsburg,1-2,Vfl Wolfsburg
Fri Oct 25 2013,Vfb Stuttgart,1-1,1 FC Nuernberg
Sat Oct 26 2013,Bayern Muenchen,3-2,Hertha BSC Berlin
Sat Oct 26 2013,FC Schalke 04,1-3,Borussia Dortmund
Sat Oct 26 2013,Bayer Leverkusen,2-1,FC Augsburg
Sat Oct 26 2013,Hannover 96,1-4,1899 Hoffenheim
Sat Oct 26 2013,1 Fsv Mainz 05,2-0,Eintracht Braunschweig
Sat Oct 26 2013,Vfl Wolfsburg,3-0,Werder Bremen
Sun Oct 27 2013,SC Freiburg,0-3,Hamburger SV
Sun Oct 27 2013,Bor Moenchengladbach,4-1,Eintracht Frankfurt
Fri Nov 1 2013,Borussia Dortmund,6-1,Vfb Stuttgart
Sat Nov 2 2013,1 FC Nuernberg,0-3,SC Freiburg
Sat Nov 2 2013,1899 Hoffenheim,1-2,Bayern Muenchen
Sat Nov 2 2013,Hamburger SV,0-2,Bor Moenchengladbach
Sat Nov 2 2013,Eintracht Braunschweig,1-0,Bayer Leverkusen
Sat Nov 2 2013,Hertha BSC Berlin,0-2,FC Schalke 04
Sat Nov 2 2013,Eintracht Frankfurt,1-2,Vfl Wolfsburg
Sun Nov 3 2013,FC Augsburg,2-1,1 Fsv Mainz 05
Sun Nov 3 2013,Werder Bremen,3-2,Hannover 96
Fri Nov 8 2013,Hannover 96,0-0,Eintracht Braunschweig
Sat Nov 9 2013,Bayern Muenchen,3-0,FC Augsburg
Sat Nov 9 2013,FC Schalke 04,3-1,Werder Bremen
Sat Nov 9 2013,Bayer Leverkusen,5-3,Hamburger SV
Sat Nov 9 2013,Vfl Wolfsburg,2-1,Borussia Dortmund
Sat Nov 9 2013,1899 Hoffenheim,2-3,Hertha BSC Berlin
Sat Nov 9 2013,Bor Moenchengladbach,3-1,1 FC Nuernberg
Sun Nov 10 2013,1 Fsv Mainz 05,1-0,Eintracht Frankfurt
Sun Nov 10 2013,SC Freiburg,1-3,Vfb Stuttgart
Fri Nov 22 2013,Vfb Stuttgart,0-2,Bor Moenchengladbach
Sat Nov 23 2013,1 FC Nuernberg,1-1,Vfl Wolfsburg
Sat Nov 23 2013,FC Augsburg,2-0,1899 Hoffenheim
Sat Nov 23 2013,Eintracht Braunschweig,0-1,SC Freiburg
Sat Nov 23 2013,Eintracht Frankfurt,3-3,FC Schalke 04
Sat Nov 23 2013,Hertha BSC Berlin,0-1,Bayer Leverkusen
Sat Nov 23 2013,Borussia Dortmund,0-3,Bayern Muenchen
Sun Nov 24 2013,Hamburger SV,3-1,Hannover 96
Sun Nov 24 2013,Werder Bremen,2-3,1 Fsv Mainz 05
Fri Nov 29 2013,Vfl Wolfsburg,1-1,Hamburger SV
Sat Nov 30 2013,Bayern Muenchen,2-0,Eintracht Braunschweig
Sat Nov 30 2013,Bayer Leverkusen,3-0,1 FC Nuernberg
Sat Nov 30 2013,1899 Hoffenheim,4-4,Werder Bremen
Sat Nov 30 2013,1 Fsv Mainz 05,1-3,Borussia Dortmund
Sat Nov 30 2013,Hertha BSC Berlin,0-0,FC Augsburg
Sat Nov 30 2013,FC Schalke 04,3-0,Vfb Stuttgart
Sun Dec 1 2013,Hannover 96,2-0,Eintracht Frankfurt
Sun Dec 1 2013,Bor Moenchengladbach,1-0,SC Freiburg
Fri Dec 6 2013,1 FC Nuernberg,1-1,1 Fsv Mainz 05
Sat Dec 7 2013,Bor Moenchengladbach,2-1,FC Schalke 04
Sat Dec 7 2013,Vfb Stuttgart,4-2,Hannover 96
Sat Dec 7 2013,Werder Bremen,0-7,Bayern Muenchen
Sat Dec 7 2013,Hamburger SV,0-1,FC Augsburg
Sat Dec 7 2013,Eintracht Frankfurt,1-2,1899 Hoffenheim
Sat Dec 7 2013,Borussia Dortmund,0-1,Bayer Leverkusen
Sun Dec 8 2013,SC Freiburg,0-3,Vfl Wolfsburg
Sun Dec 8 2013,Eintracht Braunschweig,0-2,Hertha BSC Berlin
Fri Dec 13 2013,Hertha BSC Berlin,3-2,Werder Bremen
Sat Dec 14 2013,Bayern Muenchen,3-1,Hamburger SV
Sat Dec 14 2013,Hannover 96,3-3,1 FC Nuernberg
Sat Dec 14 2013,1899 Hoffenheim,2-2,Borussia Dortmund
Sat Dec 14 2013,1 Fsv Mainz 05,0-0,Bor Moenchengladbach
Sat Dec 14 2013,FC Augsburg,4-1,Eintracht Braunschweig
Sat Dec 14 2013,Vfl Wolfsburg,3-1,Vfb Stuttgart
Sun Dec 15 2013,FC Schalke 04,2-0,SC Freiburg
Sun Dec 15 2013,Bayer Leverkusen,0-1,Eintracht Frankfurt
Fri Dec 20 2013,Eintracht Frankfurt,1-1,FC Augsburg
Sat Dec 21 2013,Borussia Dortmund,1-2,Hertha BSC Berlin
Sat Dec 21 2013,Werder Bremen,1-0,Bayer Leverkusen
Sat Dec 21 2013,SC Freiburg,2-1,Hannover 96
Sat Dec 21 2013,Hamburger SV,2-3,1 Fsv Mainz 05
Sat Dec 21 2013,Eintracht Braunschweig,1-0,1899 Hoffenheim
Sat Dec 21 2013,1 FC Nuernberg,0-0,FC Schalke 04
Sun Dec 22 2013,Bor Moenchengladbach,2-2,Vfl Wolfsburg
Fri Jan 24 2014,Bor Moenchengladbach,0-2,Bayern Muenchen
Sat Jan 25 2014,Borussia Dortmund,2-2,FC Augsburg
Sat Jan 25 2014,Vfb Stuttgart,1-2,1 Fsv Mainz 05
Sat Jan 25 2014,Vfl Wolfsburg,1-3,Hannover 96
Sat Jan 25 2014,1 FC Nuernberg,4-0,1899 Hoffenheim
Sat Jan 25 2014,SC Freiburg,3-2,Bayer Leverkusen
Sat Jan 25 2014,Eintracht Frankfurt,1-0,Hertha BSC Berlin
Sun Jan 26 2014,Werder Bremen,0-0,Eintracht Braunschweig
Sun Jan 26 2014,Hamburger SV,0-3,FC Schalke 04
Wed Jan 29 2014,Vfb Stuttgart,1-2,Bayern Muenchen
Fri Jan 31 2014,Eintracht Braunschweig,1-2,Borussia Dortmund
Sat Feb 1 2014,FC Schalke 04,2-1,Vfl Wolfsburg
Sat Feb 1 2014,Bayer Leverkusen,2-1,Vfb Stuttgart
Sat Feb 1 2014,1899 Hoffenheim,3-0,Hamburger SV
Sat Feb 1 2014,1 Fsv Mainz 05,2-0,SC Freiburg
Sat Feb 1 2014,FC Augsburg,3-1,Werder Bremen
Sat Feb 1 2014,Hannover 96,3-1,Bor Moenchengladbach
Sun Feb 2 2014,Hertha BSC Berlin,1-3,1 FC Nuernberg
Sun Feb 2 2014,Bayern Muenchen,5-0,Eintracht Frankfurt
Fri Feb 7 2014,Bor Moenchengladbach,0-1,Bayer Leverkusen
Sat Feb 8 2014,Vfl Wolfsburg,3-0,1 Fsv Mainz 05
Sat Feb 8 2014,Werder Bremen,1-5,Borussia Dortmund
Sat Feb 8 2014,1 FC Nuernberg,0-2,Bayern Muenchen
Sat Feb 8 2014,SC Freiburg,1-1,1899 Hoffenheim
Sat Feb 8 2014,Eintracht Frankfurt,3-0,Eintracht Braunschweig
Sat Feb 8 2014,Hamburger SV,0-3,Hertha BSC Berlin
Sun Feb 9 2014,Vfb Stuttgart,1-4,FC Augsburg
Sun Feb 9 2014,FC Schalke 04,2-0,Hannover 96
Fri Feb 14 2014,1 Fsv Mainz 05,2-0,Hannover 96
Sat Feb 15 2014,Borussia Dortmund,4-0,Eintracht Frankfurt
Sat Feb 15 2014,Bayern Muenchen,4-0,SC Freiburg
Sat Feb 15 2014,Werder Bremen,1-1,Bor Moenchengladbach
Sat Feb 15 2014,1899 Hoffenheim,4-1,Vfb Stuttgart
Sat Feb 15 2014,Eintracht Braunschweig,4-2,Hamburger SV
Sat Feb 15 2014,Bayer Leverkusen,1-2,FC Schalke 04
Sun Feb 16 2014,FC Augsburg,0-1,1 FC Nuernberg
Sun Feb 16 2014,Hertha BSC Berlin,1-2,Vfl Wolfsburg
Fri Feb 21 2014,FC Schalke 04,0-0,1 Fsv Mainz 05
Sat Feb 22 2014,Bor Moenchengladbach,2-2,1899 Hoffenheim
Sat Feb 22 2014,Vfb Stuttgart,1-2,Hertha BSC Berlin
Sat Feb 22 2014,1 FC Nuernberg,2-1,Eintracht Braunschweig
Sat Feb 22 2014,SC Freiburg,2-4,FC Augsburg
Sat Feb 22 2014,Hamburger SV,3-0,Borussia Dortmund
Sat Feb 22 2014,Vfl Wolfsburg,3-1,Bayer Leverkusen
Sun Feb 23 2014,Eintracht Frankfurt,0-0,Werder Bremen
Sun Feb 23 2014,Hannover 96,0-4,Bayern Muenchen
Fri Feb 28 2014,Hertha BSC Berlin,0-0,SC Freiburg
Sat Mar 1 2014,Borussia Dortmund,3-0,1 FC Nuernberg
Sat Mar 1 2014,Bayer Leverkusen,0-1,1 Fsv Mainz 05
Sat Mar 1 2014,Werder Bremen,1-0,Hamburger SV
Sat Mar 1 2014,FC Augsburg,1-1,Hannover 96
Sat Mar 1 2014,Eintracht Braunschweig,1-1,Bor Moenchengladbach
Sat Mar 1 2014,Bayern Muenchen,5-1,FC Schalke 04
Sun Mar 2 2014,1899 Hoffenheim,6-2,Vfl Wolfsburg
Sun Mar 2 2014,Eintracht Frankfurt,2-1,Vfb Stuttgart
Sat Mar 8 2014,FC Schalke 04,4-0,1899 Hoffenheim
Sat Mar 8 2014,Bor Moenchengladbach,1-2,FC Augsburg
