Date,Team 1,FT,Team 2
Fri Jul 28 1989,1 FC Kaiserslautern,2-1,Bor Moenchengladbach
Fri Jul 28 1989,KSC Uerdingen 05,3-0,FC 08 Homburg
Sat Jul 29 1989,FC St Pauli,0-0,Werder Bremen
Sat Jul 29 1989,Bayer Leverkusen,1-0,Borussia Dortmund
Sat Jul 29 1989,Bayern Muenchen,3-2,1 FC Nuernberg
Sat Jul 29 1989,Vfb Stuttgart,2-0,Karlsruher SC
Sat Jul 29 1989,Vfl Bochum,0-1,1 FC Koeln
Sat Jul 29 1989,Eintracht Frankfurt,3-1,Waldhof Mannheim
Sat Jul 29 1989,Fortuna Duesseldorf,1-1,Hamburger SV
Fri Aug 4 1989,Borussia Dortmund,3-1,FC St Pauli
Fri Aug 4 1989,Hamburger SV,1-1,Eintracht Frankfurt
Sat Aug 5 1989,Karlsruher SC,0-0,KSC Uerdingen 05
Sat Aug 5 1989,FC 08 Homburg,2-2,1 FC Kaiserslautern
Sat Aug 5 1989,Bor Moenchengladbach,0-0,Bayern Muenchen
Sat Aug 5 1989,1 FC Nuernberg,2-2,Bayer Leverkusen
Sat Aug 5 1989,Werder Bremen,2-2,Fortuna Duesseldorf
Sat Aug 5 1989,Waldhof Mannheim,3-2,Vfl Bochum
Tue Aug 8 1989,Fortuna Duesseldorf,1-2,Eintracht Frankfurt
Wed Aug 9 1989,1 FC Koeln,0-0,Vfb Stuttgart
Wed Aug 9 1989,Bayern Muenchen,1-0,FC 08 Homburg
Fri Aug 11 1989,1 FC Kaiserslautern,5-1,Karlsruher SC
Sat Aug 12 1989,FC St Pauli,0-1,1 FC Nuernberg
Sat Aug 12 1989,Bayer Leverkusen,0-0,Bor Moenchengladbach
Sat Aug 12 1989,KSC Uerdingen 05,2-3,1 FC Koeln
Sat Aug 12 1989,Vfb Stuttgart,1-0,Waldhof Mannheim
Sat Aug 12 1989,Vfl Bochum,3-1,Hamburger SV
Sat Aug 12 1989,Werder Bremen,2-0,Borussia Dortmund
Tue Aug 15 1989,FC 08 Homburg,2-1,Bayer Leverkusen
Tue Aug 15 1989,Bor Moenchengladbach,4-1,FC St Pauli
Tue Aug 15 1989,1 FC Nuernberg,1-1,Werder Bremen
Tue Aug 15 1989,Waldhof Mannheim,1-1,KSC Uerdingen 05
Wed Aug 16 1989,Hamburger SV,1-0,Vfb Stuttgart
Wed Aug 16 1989,1 FC Koeln,4-1,1 FC Kaiserslautern
Wed Aug 16 1989,Karlsruher SC,3-3,Bayern Muenchen
Wed Aug 16 1989,Borussia Dortmund,1-0,Fortuna Duesseldorf
Wed Aug 16 1989,Eintracht Frankfurt,4-0,Vfl Bochum
Tue Aug 22 1989,FC St Pauli,1-1,FC 08 Homburg
Tue Aug 22 1989,Borussia Dortmund,2-1,1 FC Nuernberg
Tue Aug 22 1989,Werder Bremen,0-0,Bor Moenchengladbach
Wed Aug 23 1989,Bayer Leverkusen,1-1,Karlsruher SC
Wed Aug 23 1989,Bayern Muenchen,5-1,1 FC Koeln
Wed Aug 23 1989,1 FC Kaiserslautern,2-3,Waldhof Mannheim
Wed Aug 23 1989,KSC Uerdingen 05,5-2,Hamburger SV
Wed Aug 23 1989,Vfb Stuttgart,1-1,Eintracht Frankfurt
Wed Aug 23 1989,Fortuna Duesseldorf,2-2,Vfl Bochum
Sat Aug 26 1989,Hamburger SV,3-0,1 FC Kaiserslautern
Sat Aug 26 1989,1 FC Koeln,1-1,Bayer Leverkusen
Sat Aug 26 1989,Karlsruher SC,0-0,FC St Pauli
Sat Aug 26 1989,FC 08 Homburg,1-1,Werder Bremen
Sat Aug 26 1989,Bor Moenchengladbach,0-0,Borussia Dortmund
Sat Aug 26 1989,1 FC Nuernberg,3-0,Fortuna Duesseldorf
Sat Aug 26 1989,Vfl Bochum,2-0,Vfb Stuttgart
Sat Aug 26 1989,Eintracht Frankfurt,2-1,KSC Uerdingen 05
Sat Aug 26 1989,Waldhof Mannheim,1-0,Bayern Muenchen
Thu Aug 31 1989,Bayern Muenchen,4-0,Hamburger SV
Fri Sep 1 1989,KSC Uerdingen 05,3-1,Vfl Bochum
Fri Sep 1 1989,Werder Bremen,4-0,Karlsruher SC
Sat Sep 2 1989,FC St Pauli,1-1,1 FC Koeln
Sat Sep 2 1989,Bayer Leverkusen,3-0,Waldhof Mannheim
Sat Sep 2 1989,1 FC Kaiserslautern,2-1,Eintracht Frankfurt
Sat Sep 2 1989,1 FC Nuernberg,2-0,Bor Moenchengladbach
Sat Sep 2 1989,Borussia Dortmund,3-0,FC 08 Homburg
Sat Sep 2 1989,Fortuna Duesseldorf,4-2,Vfb Stuttgart
Fri Sep 8 1989,Bor Moenchengladbach,3-1,Fortuna Duesseldorf
Sat Sep 9 1989,Hamburger SV,0-1,Bayer Leverkusen
Sat Sep 9 1989,1 FC Koeln,4-2,Werder Bremen
Sat Sep 9 1989,Karlsruher SC,2-1,Borussia Dortmund
Sat Sep 9 1989,FC 08 Homburg,0-1,1 FC Nuernberg
Sat Sep 9 1989,Vfb Stuttgart,1-0,KSC Uerdingen 05
Sat Sep 9 1989,Vfl Bochum,2-0,1 FC Kaiserslautern
