Date,Team 1,FT,Team 2
Fri Jul 21 1989,Rapid Wien,3-0,Vse St Poelten
Fri Jul 21 1989,Sturm Graz,3-0,FC Admira Wacker
Fri Jul 21 1989,RB Salzburg,0-0,Grazer Ak
Sat Jul 22 1989,Kremser SC,3-1,First Vienna FC
Sat Jul 22 1989,Vorwaerts Steyr,2-2,FC Wacker Innsbruck
Sat Jul 22 1989,Wiener Sportklub,0-1,Austria Wien
Tue Jul 25 1989,FC Admira Wacker,4-1,Rapid Wien
Tue Jul 25 1989,Austria Wien,3-0,Kremser SC
Tue Jul 25 1989,FC Wacker Innsbruck,2-2,Sturm Graz
Tue Jul 25 1989,Vse St Poelten,2-3,Wiener Sportklub
Wed Jul 26 1989,Grazer Ak,2-0,Vorwaerts Steyr
Wed Jul 26 1989,First Vienna FC,3-2,RB Salzburg
Fri Jul 28 1989,Rapid Wien,0-2,FC Wacker Innsbruck
Fri Jul 28 1989,Vorwaerts Steyr,2-2,First Vienna FC
Fri Jul 28 1989,Vse St Poelten,1-2,FC Admira Wacker
Sat Jul 29 1989,Sturm Graz,0-1,Grazer Ak
Sat Jul 29 1989,RB Salzburg,2-2,Austria Wien
Sat Jul 29 1989,Wiener Sportklub,0-2,Kremser SC
Tue Aug 1 1989,Austria Wien,3-1,Vorwaerts Steyr
Tue Aug 1 1989,FC Wacker Innsbruck,1-1,Vse St Poelten
Tue Aug 1 1989,Grazer Ak,0-3,Rapid Wien
Tue Aug 1 1989,Kremser SC,0-1,RB Salzburg
Tue Aug 1 1989,First Vienna FC,1-1,Sturm Graz
Wed Aug 2 1989,FC Admira Wacker,5-1,Wiener Sportklub
Fri Aug 4 1989,Vorwaerts Steyr,3-1,Kremser SC
Fri Aug 4 1989,Vse St Poelten,2-0,Grazer Ak
Fri Aug 4 1989,Wiener Sportklub,1-2,RB Salzburg
Sat Aug 5 1989,FC Admira Wacker,1-3,FC Wacker Innsbruck
Sat Aug 5 1989,Rapid Wien,4-4,First Vienna FC
Sat Aug 5 1989,Sturm Graz,0-2,Austria Wien
Fri Aug 11 1989,Austria Wien,1-4,Rapid Wien
Fri Aug 11 1989,Kremser SC,1-1,Sturm Graz
Fri Aug 11 1989,RB Salzburg,1-1,Vorwaerts Steyr
Sat Aug 12 1989,FC Wacker Innsbruck,3-1,Wiener Sportklub
Sat Aug 12 1989,Grazer Ak,4-4,FC Admira Wacker
Sat Aug 12 1989,First Vienna FC,4-0,Vse St Poelten
Tue Aug 15 1989,FC Wacker Innsbruck,4-1,Grazer Ak
Tue Aug 15 1989,Rapid Wien,3-1,Kremser SC
Tue Aug 15 1989,Sturm Graz,0-0,RB Salzburg
Tue Aug 15 1989,Vse St Poelten,2-1,Austria Wien
Tue Aug 15 1989,Wiener Sportklub,1-4,Vorwaerts Steyr
Wed Aug 16 1989,FC Admira Wacker,3-3,First Vienna FC
Sat Aug 26 1989,Austria Wien,6-0,FC Admira Wacker
Sat Aug 26 1989,Grazer Ak,0-1,Wiener Sportklub
Sat Aug 26 1989,Kremser SC,1-1,Vse St Poelten
