Date,Team 1,FT,Team 2
Fri Aug 9 2002,Borussia Dortmund,2-2,Hertha BSC Berlin
Sat Aug 10 2002,Vfb Stuttgart,1-1,1 FC Kaiserslautern
Sat Aug 10 2002,FC Schalke 04,1-0,Vfl Wolfsburg
Sat Aug 10 2002,Bor Moenchengladbach,0-0,Bayern Muenchen
Sat Aug 10 2002,1 FC Nuernberg,1-3,Vfl Bochum
Sat Aug 10 2002,Energie Cottbus,1-1,Bayer Leverkusen
Sun Aug 11 2002,Hamburger SV,2-1,Hannover 96
Sun Aug 11 2002,Arminia Bielefeld,3-0,Werder Bremen
Wed Aug 14 2002,TSV 1860 Muenchen,0-2,Hansa Rostock
Sat Aug 17 2002,Bayern Muenchen,6-2,Arminia Bielefeld
Sat Aug 17 2002,Bayer Leverkusen,1-1,Borussia Dortmund
Sat Aug 17 2002,Vfl Bochum,5-0,Energie Cottbus
Sat Aug 17 2002,Hansa Rostock,2-0,1 FC Nuernberg
Sat Aug 17 2002,Hannover 96,1-3,TSV 1860 Muenchen
Sat Aug 17 2002,1 FC Kaiserslautern,1-3,FC Schalke 04
Sat Aug 17 2002,Hertha BSC Berlin,1-1,Vfb Stuttgart
Sun Aug 18 2002,Werder Bremen,2-1,Hamburger SV
Sun Aug 18 2002,Vfl Wolfsburg,1-0,Bor Moenchengladbach
Sat Aug 24 2002,Bayer Leverkusen,2-4,Vfl Bochum
Sat Aug 24 2002,Borussia Dortmund,3-1,Vfb Stuttgart
Sat Aug 24 2002,Hamburger SV,0-3,Bayern Muenchen
Sat Aug 24 2002,Bor Moenchengladbach,3-0,1 FC Kaiserslautern
Sat Aug 24 2002,Arminia Bielefeld,1-0,Vfl Wolfsburg
Sat Aug 24 2002,TSV 1860 Muenchen,3-0,Werder Bremen
Sat Aug 24 2002,Energie Cottbus,0-4,Hansa Rostock
Sun Aug 25 2002,FC Schalke 04,0-0,Hertha BSC Berlin
Sun Aug 25 2002,1 FC Nuernberg,3-1,Hannover 96
Tue Sep 10 2002,Werder Bremen,4-1,1 FC Nuernberg
Tue Sep 10 2002,Bayern Muenchen,3-1,TSV 1860 Muenchen
Tue Sep 10 2002,Vfl Bochum,0-0,Borussia Dortmund
Tue Sep 10 2002,Hertha BSC Berlin,1-2,Bor Moenchengladbach
Wed Sep 11 2002,Vfb Stuttgart,1-1,FC Schalke 04
Wed Sep 11 2002,Vfl Wolfsburg,2-1,Hamburger SV
Wed Sep 11 2002,Hansa Rostock,1-3,Bayer Leverkusen
Wed Sep 11 2002,Hannover 96,1-3,Energie Cottbus
Wed Sep 11 2002,1 FC Kaiserslautern,1-1,Arminia Bielefeld
Sat Sep 14 2002,Bayer Leverkusen,1-3,Hannover 96
Sat Sep 14 2002,Borussia Dortmund,1-1,FC Schalke 04
Sat Sep 14 2002,Bor Moenchengladbach,1-1,Vfb Stuttgart
Sat Sep 14 2002,1 FC Nuernberg,1-2,Bayern Muenchen
Sat Sep 14 2002,Arminia Bielefeld,0-1,Hertha BSC Berlin
Sat Sep 14 2002,TSV 1860 Muenchen,2-2,Vfl Wolfsburg
Sat Sep 14 2002,Energie Cottbus,0-1,Werder Bremen
Sun Sep 15 2002,Vfl Bochum,0-1,Hansa Rostock
Sun Sep 15 2002,Hamburger SV,2-0,1 FC Kaiserslautern
Sat Sep 21 2002,Werder Bremen,3-2,Bayer Leverkusen
Sat Sep 21 2002,Bayern Muenchen,3-1,Energie Cottbus
Sat Sep 21 2002,Vfl Wolfsburg,0-2,1 FC Nuernberg
Sat Sep 21 2002,Hansa Rostock,0-1,Borussia Dortmund
Sat Sep 21 2002,Hannover 96,2-2,Vfl Bochum
Sat Sep 21 2002,1 FC Kaiserslautern,0-0,TSV 1860 Muenchen
Sat Sep 21 2002,Hertha BSC Berlin,2-0,Hamburger SV
Sun Sep 22 2002,Vfb Stuttgart,3-0,Arminia Bielefeld
Sun Sep 22 2002,FC Schalke 04,2-1,Bor Moenchengladbach
Sat Sep 28 2002,Bayer Leverkusen,2-1,Bayern Muenchen
Sat Sep 28 2002,Borussia Dortmund,1-0,Bor Moenchengladbach
Sat Sep 28 2002,Hamburger SV,3-2,Vfb Stuttgart
Sat Sep 28 2002,Hansa Rostock,1-2,Hannover 96
Sat Sep 28 2002,Arminia Bielefeld,2-1,FC Schalke 04
Sat Sep 28 2002,TSV 1860 Muenchen,1-0,Hertha BSC Berlin
