Date,Team 1,FT,Team 2
Sat Sep 14 2002,Inter,1-0,Torino FC
Sat Sep 14 2002,Bologna FC,2-1,As Roma
Sat Sep 14 2002,Modena FC,0-3,AC Milan
Sat Sep 14 2002,Calcio Como,0-2,Empoli FC
Sun Sep 15 2002,Juventus,3-0,Atalanta
Sun Sep 15 2002,Lazio Roma,2-3,Chievo Verona
Sun Sep 15 2002,Udinese Calcio,1-1,Parma FC
Sun Sep 15 2002,Brescia Calcio,1-2,Piacenza Calcio
Sun Sep 15 2002,Ac Perugia Calcio,2-0,Reggina Calcio
Sat Sep 21 2002,AC Milan,3-0,Ac Perugia Calcio
Sat Sep 21 2002,Empoli FC,0-2,Juventus
Sun Sep 22 2002,As Roma,1-2,Modena FC
Sun Sep 22 2002,Parma FC,2-0,Calcio Como
Sun Sep 22 2002,Chievo Verona,1-2,Brescia Calcio
Sun Sep 22 2002,Reggina Calcio,1-2,Inter
Sun Sep 22 2002,Atalanta,2-2,Bologna FC
Sun Sep 22 2002,Piacenza Calcio,2-0,Udinese Calcio
Sun Sep 22 2002,Torino FC,0-1,Lazio Roma
Sat Sep 28 2002,Juventus,2-2,Parma FC
Sat Sep 28 2002,Lazio Roma,1-1,AC Milan
Sun Sep 29 2002,Inter,2-1,Chievo Verona
Sun Sep 29 2002,Udinese Calcio,1-0,Atalanta
Sun Sep 29 2002,Bologna FC,1-0,Piacenza Calcio
Sun Sep 29 2002,Brescia Calcio,2-3,As Roma
Sun Sep 29 2002,Modena FC,2-1,Torino FC
Sun Sep 29 2002,Ac Perugia Calcio,1-3,Empoli FC
Sun Sep 29 2002,Calcio Como,1-1,Reggina Calcio
Sat Oct 5 2002,As Roma,4-1,Udinese Calcio
Sat Oct 5 2002,Reggina Calcio,2-2,Brescia Calcio
Sun Oct 6 2002,AC Milan,6-0,Torino FC
Sun Oct 6 2002,Juventus,1-1,Calcio Como
Sun Oct 6 2002,Parma FC,2-2,Ac Perugia Calcio
Sun Oct 6 2002,Chievo Verona,2-0,Modena FC
Sun Oct 6 2002,Atalanta,0-1,Lazio Roma
Sun Oct 6 2002,Empoli FC,0-0,Bologna FC
Sun Oct 6 2002,Piacenza Calcio,1-4,Inter
Sat Oct 19 2002,Inter,1-1,Juventus
Sat Oct 19 2002,Empoli FC,1-3,As Roma
Sun Oct 20 2002,Lazio Roma,3-0,Ac Perugia Calcio
Sun Oct 20 2002,Udinese Calcio,1-0,Reggina Calcio
Sun Oct 20 2002,Bologna FC,3-0,Brescia Calcio
Sun Oct 20 2002,Atalanta,1-4,AC Milan
Sun Oct 20 2002,Modena FC,2-1,Parma FC
Sun Oct 20 2002,Torino FC,1-0,Chievo Verona
Sun Oct 20 2002,Calcio Como,1-1,Piacenza Calcio
Sat Oct 26 2002,Juventus,1-0,Udinese Calcio
Sat Oct 26 2002,Chievo Verona,3-2,AC Milan
Sun Oct 27 2002,Parma FC,2-1,Atalanta
Sun Oct 27 2002,Inter,2-0,Bologna FC
Sun Oct 27 2002,Lazio Roma,2-2,As Roma
Sun Oct 27 2002,Brescia Calcio,1-1,Calcio Como
Sun Oct 27 2002,Reggina Calcio,2-1,Torino FC
Sun Oct 27 2002,Ac Perugia Calcio,2-0,Modena FC
Sun Oct 27 2002,Piacenza Calcio,1-2,Empoli FC
Sat Nov 2 2002,Udinese Calcio,0-0,Bologna FC
Sat Nov 2 2002,Torino FC,0-2,Brescia Calcio
Sun Nov 3 2002,AC Milan,2-0,Reggina Calcio
Sun Nov 3 2002,As Roma,2-2,Ac Perugia Calcio
Sun Nov 3 2002,Parma FC,0-1,Chievo Verona
Sun Nov 3 2002,Atalanta,2-0,Piacenza Calcio
Sun Nov 3 2002,Modena FC,0-1,Juventus
Sun Nov 3 2002,Empoli FC,1-2,Lazio Roma
Sun Nov 3 2002,Calcio Como,0-2,Inter
Wed Nov 6 2002,AC Milan,1-0,Udinese Calcio
Wed Nov 6 2002,As Roma,2-1,Calcio Como
Wed Nov 6 2002,Parma FC,4-3,Brescia Calcio
Wed Nov 6 2002,Chievo Verona,3-0,Ac Perugia Calcio
Wed Nov 6 2002,Reggina Calcio,0-3,Lazio Roma
Wed Nov 6 2002,Atalanta,1-3,Modena FC
Wed Nov 6 2002,Empoli FC,3-4,Inter
Wed Nov 6 2002,Piacenza Calcio,0-1,Juventus
Wed Nov 6 2002,Torino FC,2-1,Bologna FC
Sat Nov 9 2002,Inter,1-2,Udinese Calcio
Sat Nov 9 2002,Piacenza Calcio,1-1,As Roma
Sun Nov 10 2002,Juventus,2-1,AC Milan
Sun Nov 10 2002,Lazio Roma,0-0,Parma FC
Sun Nov 10 2002,Chievo Verona,4-1,Atalanta
Sun Nov 10 2002,Bologna FC,1-0,Calcio Como
Sun Nov 10 2002,Brescia Calcio,0-2,Empoli FC
Sun Nov 10 2002,Reggina Calcio,0-1,Modena FC
Sun Nov 10 2002,Ac Perugia Calcio,2-1,Torino FC
Sat Nov 16 2002,As Roma,2-2,Inter
