Date,Team 1,FT,Team 2
Sat Jul 27 2002,Estudiantes,1-1,CA Colon
Sat Jul 27 2002,Independiente,2-0,CA Lanus
Sat Jul 27 2002,Rosario Central,1-0,San Lorenzo
Sun Jul 28 2002,Arsenal Sarandi,1-0,Olimpo
Sun Jul 28 2002,Nueva Chicago,0-0,Boca Juniors
Sun Jul 28 2002,River Plate,0-0,Newells Old Boys
Sun Jul 28 2002,Talleres Cordoba,0-0,Gye La Plata
Sun Jul 28 2002,Huracan,1-3,Racing Club
Sun Jul 28 2002,Union De Santa Fe,0-0,CA Banfield
Tue Jul 30 2002,Chacarita Juniors,0-0,Velez Sarsfield
Fri Aug 2 2002,Racing Club,1-1,Arsenal Sarandi
Sat Aug 3 2002,Newells Old Boys,1-0,Huracan
Sat Aug 3 2002,San Lorenzo,1-0,Nueva Chicago
Sun Aug 4 2002,CA Banfield,0-0,Estudiantes
Sun Aug 4 2002,Boca Juniors,3-0,Union De Santa Fe
Sun Aug 4 2002,CA Colon,3-1,Chacarita Juniors
Sun Aug 4 2002,Gye La Plata,1-1,Independiente
Sun Aug 4 2002,CA Lanus,1-6,Rosario Central
Sun Aug 4 2002,Velez Sarsfield,0-1,River Plate
Tue Aug 6 2002,Olimpo,0-0,Talleres Cordoba
Wed Aug 7 2002,CA Banfield,0-1,Boca Juniors
Fri Aug 9 2002,Union De Santa Fe,3-1,San Lorenzo
Sat Aug 10 2002,Independiente,3-1,Olimpo
Sat Aug 10 2002,Huracan,0-4,Velez Sarsfield
Sun Aug 11 2002,Arsenal Sarandi,1-2,Newells Old Boys
Sun Aug 11 2002,Estudiantes,0-1,Chacarita Juniors
Sun Aug 11 2002,Nueva Chicago,1-0,CA Lanus
Sun Aug 11 2002,River Plate,1-0,CA Colon
Sun Aug 11 2002,Rosario Central,5-2,Gye La Plata
Sun Aug 11 2002,Talleres Cordoba,2-0,Racing Club
Fri Aug 16 2002,Velez Sarsfield,1-0,Arsenal Sarandi
Sat Aug 17 2002,CA Colon,2-2,Huracan
Sat Aug 17 2002,CA Lanus,0-0,Union De Santa Fe
Sat Aug 17 2002,San Lorenzo,2-1,CA Banfield
Sun Aug 18 2002,Boca Juniors,3-1,Estudiantes
Sun Aug 18 2002,Chacarita Juniors,1-2,River Plate
Sun Aug 18 2002,Gye La Plata,1-0,Nueva Chicago
Sun Aug 18 2002,Newells Old Boys,4-1,Talleres Cordoba
Sun Aug 18 2002,Olimpo,2-0,Rosario Central
Mon Aug 19 2002,Racing Club,1-4,Independiente
Fri Aug 23 2002,Huracan,0-1,Chacarita Juniors
Sat Aug 24 2002,Independiente,1-1,Newells Old Boys
Sat Aug 24 2002,Talleres Cordoba,0-2,Velez Sarsfield
Sun Aug 25 2002,Arsenal Sarandi,2-3,CA Colon
Sun Aug 25 2002,Boca Juniors,2-2,San Lorenzo
Sun Aug 25 2002,Estudiantes,0-6,River Plate
Sun Aug 25 2002,Nueva Chicago,2-2,Olimpo
Sun Aug 25 2002,Rosario Central,4-0,Racing Club
Sun Aug 25 2002,Union De Santa Fe,2-1,Gye La Plata
Sat Aug 31 2002,Gye La Plata,0-1,CA Banfield
Sat Aug 31 2002,San Lorenzo,3-1,Estudiantes
Sun Sep 1 2002,Chacarita Juniors,0-1,Arsenal Sarandi
Sun Sep 1 2002,CA Colon,0-0,Talleres Cordoba
Sun Sep 1 2002,CA Lanus,1-0,Boca Juniors
Sun Sep 1 2002,Newells Old Boys,0-2,Rosario Central
Sun Sep 1 2002,Olimpo,2-3,Union De Santa Fe
Sun Sep 1 2002,River Plate,1-2,Huracan
Sun Sep 1 2002,Velez Sarsfield,1-2,Independiente
Sat Sep 7 2002,Independiente,7-1,CA Colon
Sat Sep 7 2002,Rosario Central,1-1,Velez Sarsfield
Sat Sep 7 2002,Union De Santa Fe,1-1,Racing Club
Sun Sep 8 2002,Arsenal Sarandi,0-0,River Plate
Sun Sep 8 2002,CA Banfield,2-2,Olimpo
Sun Sep 8 2002,Boca Juniors,2-0,Gye La Plata
Sun Sep 8 2002,Estudiantes,2-1,Huracan
Sun Sep 8 2002,Nueva Chicago,1-2,Newells Old Boys
Sun Sep 8 2002,San Lorenzo,1-1,CA Lanus
Sun Sep 8 2002,Talleres Cordoba,0-3,Chacarita Juniors
Fri Sep 13 2002,Chacarita Juniors,2-6,Independiente
Sat Sep 14 2002,Gye La Plata,0-1,San Lorenzo
Sat Sep 14 2002,Newells Old Boys,0-1,Union De Santa Fe
Sat Sep 14 2002,Huracan,2-2,Arsenal Sarandi
Sun Sep 15 2002,CA Colon,2-1,Rosario Central
Sun Sep 15 2002,CA Lanus,1-0,Estudiantes
Sun Sep 15 2002,Olimpo,0-2,Boca Juniors
Sun Sep 15 2002,Racing Club,1-0,CA Banfield
Sun Sep 15 2002,River Plate,1-1,Talleres Cordoba
Sun Sep 15 2002,Velez Sarsfield,1-1,Nueva Chicago
Fri Sep 20 2002,Rosario Central,0-0,Chacarita Juniors
Sat Sep 21 2002,CA Banfield,2-0,Newells Old Boys
Sat Sep 21 2002,CA Lanus,0-0,Gye La Plata
Sat Sep 21 2002,Union De Santa Fe,0-1,Velez Sarsfield
Sun Sep 22 2002,Boca Juniors,3-4,Racing Club
Sun Sep 22 2002,Estudiantes,1-2,Arsenal Sarandi
Sun Sep 22 2002,Independiente,1-2,River Plate
Sun Sep 22 2002,Nueva Chicago,1-1,CA Colon
Sun Sep 22 2002,San Lorenzo,2-2,Olimpo
Sun Sep 22 2002,Talleres Cordoba,5-0,Huracan
Sat Sep 28 2002,CA Colon,1-0,Union De Santa Fe
Sat Sep 28 2002,Velez Sarsfield,3-0,CA Banfield
Sun Sep 29 2002,Arsenal Sarandi,3-0,Talleres Cordoba
Sun Sep 29 2002,Chacarita Juniors,1-0,Nueva Chicago
Sun Sep 29 2002,Gye La Plata,3-1,Estudiantes
Sun Sep 29 2002,Newells Old Boys,1-1,Boca Juniors
Sun Sep 29 2002,Olimpo,2-0,CA Lanus
Sun Sep 29 2002,Racing Club,1-1,San Lorenzo
Sun Sep 29 2002,River Plate,5-2,Rosario Central
Sun Sep 29 2002,Huracan,0-2,Independiente
Wed Oct 2 2002,CA Banfield,1-1,CA Lanus
Fri Oct 4 2002,Independiente,3-2,Arsenal Sarandi
Sat Oct 5 2002,Gye La Plata,1-1,Olimpo
Sat Oct 5 2002,Rosario Central,2-2,Huracan
Sat Oct 5 2002,San Lorenzo,2-1,Newells Old Boys
Sun Oct 6 2002,CA Banfield,0-0,CA Colon
Sun Oct 6 2002,Boca Juniors,2-0,Velez Sarsfield
Sun Oct 6 2002,CA Lanus,2-1,Racing Club
Sun Oct 6 2002,Nueva Chicago,1-3,River Plate
Sun Oct 6 2002,Talleres Cordoba,2-1,Estudiantes
Mon Oct 7 2002,Union De Santa Fe,1-2,Chacarita Juniors
Fri Oct 11 2002,Velez Sarsfield,3-3,San Lorenzo
Sat Oct 12 2002,Talleres Cordoba,1-4,Independiente
Sun Oct 13 2002,Arsenal Sarandi,4-1,Rosario Central
Sun Oct 13 2002,Chacarita Juniors,1-0,CA Banfield
Sun Oct 13 2002,CA Colon,1-0,Boca Juniors
Sun Oct 13 2002,Estudiantes,6-0,Olimpo
Sun Oct 13 2002,Newells Old Boys,2-2,CA Lanus
Sun Oct 13 2002,Racing Club,1-1,Gye La Plata
