Date,Team 1,FT,Team 2
Sat May 12 2007,Figueirense,3-6,Atletico Paranaense
Sat May 12 2007,Fluminense RJ,2-2,Cruzeiro EC
Sat May 12 2007,Sao Paulo FC,2-0,Goias EC
Sun May 13 2007,Atletico Mineiro,2-1,Clube Nautico
Sun May 13 2007,Internacional,2-3,Botafogo RJ
Sun May 13 2007,Flamengo RJ,2-4,Se Palmeiras
Sun May 13 2007,Parana Clube,3-0,Gremio Porto Alegre
Sun May 13 2007,America RN,0-1,Vasco Da Gama
Sun May 13 2007,Corinthians SP,1-0,Juventude RS
Sun May 13 2007,Sport Club Recife,4-1,Santos FC
Sat May 19 2007,Juventude RS,1-2,Parana Clube
Sat May 19 2007,Atletico Paranaense,2-1,Internacional
Sat May 19 2007,Santos FC,2-3,America RN
Sun May 20 2007,Goias EC,1-3,Flamengo RJ
Sun May 20 2007,Botafogo RJ,2-1,Atletico Mineiro
Sun May 20 2007,Cruzeiro EC,0-3,Corinthians SP
Sun May 20 2007,Se Palmeiras,2-1,Figueirense
Sun May 20 2007,Vasco Da Gama,3-1,Sport Club Recife
Sun May 20 2007,Clube Nautico,1-0,Sao Paulo FC
Sun May 20 2007,Gremio Porto Alegre,2-0,Fluminense RJ
Sat May 26 2007,America RN,0-1,Figueirense
Sat May 26 2007,Corinthians SP,0-0,Atletico Mineiro
Sat May 26 2007,Fluminense RJ,3-0,Internacional
Sun May 27 2007,Atletico Paranaense,0-1,Santos FC
Sun May 27 2007,Clube Nautico,2-2,Vasco Da Gama
Sun May 27 2007,Gremio Porto Alegre,1-0,Sport Club Recife
Sun May 27 2007,Sao Paulo FC,0-0,Se Palmeiras
Sun May 27 2007,Flamengo RJ,2-2,Botafogo RJ
Sun May 27 2007,Cruzeiro EC,3-4,Parana Clube
Sun May 27 2007,Goias EC,3-1,Juventude RS
Sat Jun 2 2007,Figueirense,2-1,Goias EC
Sat Jun 2 2007,Botafogo RJ,3-0,Gremio Porto Alegre
Sat Jun 2 2007,Atletico Mineiro,1-1,Atletico Paranaense
Sun Jun 3 2007,Se Palmeiras,1-3,Cruzeiro EC
Sun Jun 3 2007,Sport Club Recife,2-2,Flamengo RJ
Sun Jun 3 2007,Santos FC,1-1,Corinthians SP
Sun Jun 3 2007,Juventude RS,3-0,America RN
Sun Jun 3 2007,Vasco Da Gama,1-1,Fluminense RJ
Sun Jun 3 2007,Parana Clube,0-1,Sao Paulo FC
Mon Jun 4 2007,Internacional,2-0,Clube Nautico
Sat Jun 9 2007,Clube Nautico,4-4,Parana Clube
Sat Jun 9 2007,Se Palmeiras,1-1,Botafogo RJ
Sat Jun 9 2007,Vasco Da Gama,4-0,Gremio Porto Alegre
Sun Jun 10 2007,America RN,1-2,Corinthians SP
Sun Jun 10 2007,Fluminense RJ,3-0,Sport Club Recife
Sun Jun 10 2007,Figueirense,4-0,Flamengo RJ
Sun Jun 10 2007,Atletico Paranaense,0-3,Goias EC
Sun Jun 10 2007,Cruzeiro EC,2-3,Juventude RS
Sun Jun 10 2007,Sao Paulo FC,0-1,Atletico Mineiro
Sun Jun 10 2007,Internacional,1-0,Santos FC
Thu Jun 14 2007,Botafogo RJ,4-0,Vasco Da Gama
Sat Jun 16 2007,Gremio Porto Alegre,0-2,Cruzeiro EC
Sat Jun 16 2007,Corinthians SP,0-0,Parana Clube
Sat Jun 16 2007,Flamengo RJ,2-2,Internacional
Sun Jun 17 2007,Goias EC,3-1,Se Palmeiras
Sun Jun 17 2007,Atletico Mineiro,4-1,Figueirense
Sun Jun 17 2007,Sao Paulo FC,2-0,Vasco Da Gama
Sun Jun 17 2007,Atletico Paranaense,1-1,Fluminense RJ
Sun Jun 17 2007,Sport Club Recife,2-2,America RN
Sun Jun 17 2007,Botafogo RJ,3-1,Clube Nautico
Sun Jun 17 2007,Juventude RS,0-2,Santos FC
Sat Jun 23 2007,Juventude RS,1-1,Figueirense
Sat Jun 23 2007,Parana Clube,1-0,Sport Club Recife
Sun Jun 24 2007,Se Palmeiras,0-2,Atletico Paranaense
Sun Jun 24 2007,America RN,0-1,Fluminense RJ
Sun Jun 24 2007,Santos FC,0-2,Sao Paulo FC
Sun Jun 24 2007,Cruzeiro EC,4-2,Atletico Mineiro
Sun Jun 24 2007,Clube Nautico,0-2,Goias EC
Sun Jun 24 2007,Internacional,0-2,Gremio Porto Alegre
Thu Jun 28 2007,Sport Club Recife,4-1,Clube Nautico
Thu Jun 28 2007,Figueirense,0-0,Sao Paulo FC
Sat Jun 30 2007,America RN,0-3,Goias EC
Sat Jun 30 2007,Cruzeiro EC,3-1,Vasco Da Gama
Sat Jun 30 2007,Santos FC,0-0,Gremio Porto Alegre
Sat Jun 30 2007,Fluminense RJ,1-2,Botafogo RJ
Sat Jun 30 2007,Parana Clube,2-2,Atletico Paranaense
Sat Jun 30 2007,Internacional,1-1,Atletico Mineiro
Sat Jun 30 2007,Corinthians SP,0-1,Se Palmeiras
Tue Jul 3 2007,Se Palmeiras,2-0,America RN
Tue Jul 3 2007,Figueirense,2-1,Cruzeiro EC
Tue Jul 3 2007,Atletico Paranaense,1-1,Clube Nautico
Tue Jul 3 2007,Gremio Porto Alegre,3-1,Juventude RS
Tue Jul 3 2007,Fluminense RJ,0-0,Parana Clube
Tue Jul 3 2007,Sao Paulo FC,1-0,Internacional
Tue Jul 3 2007,Goias EC,1-1,Botafogo RJ
Wed Jul 4 2007,Sport Club Recife,2-1,Corinthians SP
Wed Jul 4 2007,Atletico Mineiro,1-1,Flamengo RJ
Wed Jul 4 2007,Vasco Da Gama,4-0,Santos FC
Fri Jul 6 2007,Parana Clube,0-1,America RN
Sat Jul 7 2007,Corinthians SP,1-1,Fluminense RJ
Sat Jul 7 2007,Santos FC,4-1,Cruzeiro EC
Sat Jul 7 2007,Atletico Mineiro,0-1,Gremio Porto Alegre
Sat Jul 7 2007,Botafogo RJ,2-0,Atletico Paranaense
Sat Jul 7 2007,Goias EC,3-2,Sport Club Recife
Sat Jul 7 2007,Internacional,2-1,Figueirense
Sat Jul 7 2007,Clube Nautico,0-1,Se Palmeiras
Sat Jul 7 2007,Juventude RS,2-0,Vasco Da Gama
Sat Jul 7 2007,Sao Paulo FC,0-0,Flamengo RJ
Thu Jul 12 2007,Parana Clube,1-2,Figueirense
Thu Jul 12 2007,Juventude RS,1-1,Clube Nautico
Thu Jul 12 2007,Vasco Da Gama,1-0,Atletico Paranaense
Sat Jul 14 2007,America RN,1-2,Internacional
Sat Jul 14 2007,Cruzeiro EC,2-1,Goias EC
Sat Jul 14 2007,Corinthians SP,1-1,Sao Paulo FC
Sat Jul 14 2007,Sport Club Recife,2-0,Atletico Mineiro
Sat Jul 14 2007,Santos FC,3-0,Botafogo RJ
Sat Jul 14 2007,Gremio Porto Alegre,1-1,Se Palmeiras
