Date,Team 1,FT,Team 2
Sat Aug 23 1969,Austria Wien,1-0,SC Wacker Wien
Sat Aug 23 1969,Grazer Ak,0-0,WSG Wattens
Sat Aug 23 1969,Rapid Wien,0-0,First Vienna FC
Sat Aug 23 1969,SC Eisenstadt,0-1,LASK Linz
Sat Aug 23 1969,FC Blau Weiss Linz,3-1,FC Dornbirn 1913
Sat Aug 23 1969,FC Wacker Innsbruck,0-1,Sturm Graz
Sat Aug 23 1969,Sportclub,3-0,Austria Salzburg
Sun Aug 24 1969,Austria Klagenfurt,3-2,SK Admira Vienna
Sat Aug 30 1969,SK Admira Vienna,1-1,SC Eisenstadt
Sat Aug 30 1969,Austria Salzburg,0-1,FC Wacker Innsbruck
Sat Aug 30 1969,LASK Linz,5-0,FC Blau Weiss Linz
Sat Aug 30 1969,Rapid Wien,2-0,Grazer Ak
Sat Aug 30 1969,Sturm Graz,6-3,Austria Wien
Sat Aug 30 1969,First Vienna FC,4-3,SC Wacker Wien
Sat Aug 30 1969,WSG Wattens,4-1,Austria Klagenfurt
Sun Aug 31 1969,FC Dornbirn 1913,2-4,Sportclub
Sat Sep 6 1969,Austria Wien,3-0,Austria Salzburg
Sat Sep 6 1969,Grazer Ak,0-0,First Vienna FC
Sat Sep 6 1969,SC Eisenstadt,0-1,WSG Wattens
Sat Sep 6 1969,FC Blau Weiss Linz,2-0,SK Admira Vienna
Sat Sep 6 1969,FC Wacker Innsbruck,3-1,FC Dornbirn 1913
Sat Sep 6 1969,Sportclub,2-0,LASK Linz
Sun Sep 7 1969,Austria Klagenfurt,0-0,Rapid Wien
Sun Sep 7 1969,SC Wacker Wien,4-1,Sturm Graz
Sun Sep 7 1969,SK Admira Vienna,0-4,Sportclub
Sun Sep 7 1969,Austria Salzburg,5-2,SC Wacker Wien
Sun Sep 7 1969,FC Dornbirn 1913,1-0,Austria Wien
Sun Sep 7 1969,Grazer Ak,0-0,Austria Klagenfurt
Sun Sep 7 1969,LASK Linz,0-1,FC Wacker Innsbruck
Sun Sep 7 1969,Rapid Wien,5-0,SC Eisenstadt
Sun Sep 7 1969,First Vienna FC,2-2,Sturm Graz
Sun Sep 7 1969,WSG Wattens,3-1,FC Blau Weiss Linz
Sat Sep 13 1969,SC Eisenstadt,0-3,Grazer Ak
Sat Sep 13 1969,Sturm Graz,2-0,Austria Salzburg
Sat Sep 13 1969,FC Blau Weiss Linz,1-0,Rapid Wien
Sat Sep 13 1969,FC Wacker Innsbruck,0-2,SK Admira Vienna
Sat Sep 13 1969,Sportclub,1-0,WSG Wattens
Sun Sep 14 1969,Austria Klagenfurt,0-0,First Vienna FC
Sun Sep 14 1969,SC Wacker Wien,3-1,FC Dornbirn 1913
Sat Sep 27 1969,SK Admira Vienna,0-0,Austria Wien
Sat Sep 27 1969,Austria Klagenfurt,1-1,SC Eisenstadt
Sat Sep 27 1969,LASK Linz,2-0,SC Wacker Wien
Sat Sep 27 1969,Rapid Wien,1-2,Sportclub
Sat Sep 27 1969,First Vienna FC,0-0,Austria Salzburg
Sat Sep 27 1969,WSG Wattens,1-0,FC Wacker Innsbruck
Sun Sep 28 1969,FC Dornbirn 1913,1-1,Sturm Graz
Sun Sep 28 1969,Grazer Ak,2-0,FC Blau Weiss Linz
Fri Oct 3 1969,SC Eisenstadt,0-0,First Vienna FC
Sat Oct 4 1969,Austria Salzburg,4-0,FC Dornbirn 1913
Sat Oct 4 1969,FC Blau Weiss Linz,2-1,Austria Klagenfurt
Sat Oct 4 1969,FC Wacker Innsbruck,3-1,Rapid Wien
Sat Oct 4 1969,Sportclub,1-1,Grazer Ak
Sun Oct 5 1969,Austria Wien,3-2,WSG Wattens
Sun Oct 5 1969,Sturm Graz,1-0,LASK Linz
Sun Oct 5 1969,SC Wacker Wien,4-2,SK Admira Vienna
Sat Oct 11 1969,SK Admira Vienna,3-1,Sturm Graz
Sat Oct 11 1969,Grazer Ak,1-1,FC Wacker Innsbruck
Sat Oct 11 1969,LASK Linz,2-0,Austria Salzburg
Sat Oct 11 1969,Rapid Wien,0-6,Austria Wien
Sat Oct 11 1969,SC Eisenstadt,0-1,FC Blau Weiss Linz
Sat Oct 11 1969,WSG Wattens,6-0,SC Wacker Wien
Sun Oct 12 1969,Austria Klagenfurt,0-0,Sportclub
Sun Oct 12 1969,First Vienna FC,2-1,FC Dornbirn 1913
Sat Oct 18 1969,Austria Salzburg,4-0,SK Admira Vienna
Sat Oct 18 1969,Austria Wien,3-1,Grazer Ak
Sat Oct 18 1969,Sturm Graz,1-0,WSG Wattens
Sat Oct 18 1969,FC Blau Weiss Linz,1-1,First Vienna FC
Sat Oct 18 1969,FC Wacker Innsbruck,2-1,Austria Klagenfurt
Sat Oct 18 1969,SC Wacker Wien,2-2,Rapid Wien
Sun Oct 19 1969,FC Dornbirn 1913,1-1,LASK Linz
Sun Oct 19 1969,Sportclub,5-1,SC Eisenstadt
Wed Oct 22 1969,Austria Wien,2-0,LASK Linz
Sat Oct 25 1969,Grazer Ak,3-1,SC Wacker Wien
Sat Oct 25 1969,Rapid Wien,2-1,Sturm Graz
Sat Oct 25 1969,SC Eisenstadt,0-4,FC Wacker Innsbruck
Sat Oct 25 1969,FC Blau Weiss Linz,1-0,Sportclub
Sat Oct 25 1969,WSG Wattens,0-1,Austria Salzburg
Sun Oct 26 1969,SK Admira Vienna,1-0,FC Dornbirn 1913
Sun Oct 26 1969,Austria Klagenfurt,1-2,Austria Wien
Sun Oct 26 1969,First Vienna FC,0-0,LASK Linz
Sat Nov 8 1969,Austria Salzburg,2-1,Rapid Wien
Sat Nov 8 1969,Austria Wien,1-0,SC Eisenstadt
Sat Nov 8 1969,LASK Linz,2-0,SK Admira Vienna
Sat Nov 8 1969,Sturm Graz,1-1,Grazer Ak
Sat Nov 8 1969,FC Wacker Innsbruck,5-0,FC Blau Weiss Linz
Sat Nov 8 1969,SC Wacker Wien,1-1,Austria Klagenfurt
Sun Nov 9 1969,FC Dornbirn 1913,1-1,WSG Wattens
Sun Nov 9 1969,Sportclub,4-1,First Vienna FC
Sat Nov 15 1969,Rapid Wien,6-0,FC Dornbirn 1913
Sat Nov 15 1969,SC Eisenstadt,5-2,SC Wacker Wien
Sat Nov 15 1969,FC Blau Weiss Linz,0-0,Austria Wien
Sat Nov 15 1969,WSG Wattens,1-1,LASK Linz
Sun Nov 16 1969,Austria Klagenfurt,1-1,Sturm Graz
Sun Nov 16 1969,Grazer Ak,4-0,Austria Salzburg
Sun Nov 16 1969,First Vienna FC,2-1,SK Admira Vienna
Sun Nov 16 1969,Sportclub,1-3,FC Wacker Innsbruck
Sat Nov 22 1969,Austria Salzburg,4-0,Austria Klagenfurt
Sat Nov 22 1969,Austria Wien,2-0,Sportclub
Sat Nov 22 1969,LASK Linz,0-1,Rapid Wien
Sat Nov 22 1969,Sturm Graz,0-2,SC Eisenstadt
Sat Nov 22 1969,FC Wacker Innsbruck,3-1,First Vienna FC
Sun Nov 23 1969,SK Admira Vienna,3-1,WSG Wattens
Sun Nov 23 1969,FC Dornbirn 1913,2-0,Grazer Ak
Sun Nov 23 1969,SC Wacker Wien,4-1,FC Blau Weiss Linz
Sat Nov 29 1969,Rapid Wien,1-1,SK Admira Vienna
Sat Nov 29 1969,SC Eisenstadt,1-2,Austria Salzburg
Sat Nov 29 1969,First Vienna FC,0-1,WSG Wattens
Sat Nov 29 1969,FC Blau Weiss Linz,0-2,Sturm Graz
Sat Nov 29 1969,FC Wacker Innsbruck,1-2,Austria Wien
Sun Nov 30 1969,Austria Klagenfurt,4-1,FC Dornbirn 1913
Sun Nov 30 1969,Grazer Ak,0-0,LASK Linz
Sun Nov 30 1969,Sportclub,0-1,SC Wacker Wien
Sat Dec 6 1969,SK Admira Vienna,3-0,Grazer Ak
Sat Dec 6 1969,LASK Linz,2-2,Austria Klagenfurt
Sat Dec 6 1969,WSG Wattens,1-2,Rapid Wien
Sun Dec 7 1969,Austria Salzburg,2-0,FC Blau Weiss Linz
Sun Dec 7 1969,FC Dornbirn 1913,1-1,SC Eisenstadt
Sun Dec 7 1969,Sturm Graz,1-1,Sportclub
Thu Dec 11 1969,Austria Wien,4-1,First Vienna FC
Sun Dec 14 1969,SC Wacker Wien,0-0,FC Wacker Innsbruck
Sat Feb 14 1970,SK Admira Vienna,1-1,Austria Klagenfurt
Sat Feb 14 1970,Austria Salzburg,1-1,Sportclub
Sat Feb 14 1970,LASK Linz,1-3,SC Eisenstadt
Sat Feb 14 1970,Sturm Graz,1-0,FC Wacker Innsbruck
Sat Feb 14 1970,First Vienna FC,1-0,Rapid Wien
Sat Feb 14 1970,SC Wacker Wien,2-4,Austria Wien
Sat Feb 14 1970,WSG Wattens,1-1,Grazer Ak
Sat Feb 21 1970,Austria Wien,1-0,Sturm Graz
Sat Feb 21 1970,Grazer Ak,1-1,Rapid Wien
Sat Feb 21 1970,SC Eisenstadt,3-3,SK Admira Vienna
Sat Feb 21 1970,FC Blau Weiss Linz,1-4,LASK Linz
Sat Feb 21 1970,SC Wacker Wien,4-4,First Vienna FC
Sun Feb 22 1970,FC Wacker Innsbruck,1-1,Austria Salzburg
Sat Feb 28 1970,SK Admira Vienna,1-0,FC Blau Weiss Linz
Sat Feb 28 1970,Austria Salzburg,1-1,Austria Wien
Sat Feb 28 1970,LASK Linz,0-3,Sportclub
Sat Feb 28 1970,Rapid Wien,6-0,Austria Klagenfurt
Sat Feb 28 1970,Sturm Graz,3-1,SC Wacker Wien
Sat Feb 28 1970,First Vienna FC,0-0,Grazer Ak
Sat Feb 28 1970,WSG Wattens,4-2,SC Eisenstadt
Sun Mar 1 1970,FC Dornbirn 1913,0-5,FC Wacker Innsbruck
Sat Mar 7 1970,Austria Wien,3-1,FC Dornbirn 1913
Wed Mar 11 1970,FC Blau Weiss Linz,2-1,WSG Wattens
Sat Mar 14 1970,SK Admira Vienna,2-1,FC Wacker Innsbruck
Sat Mar 14 1970,Austria Salzburg,0-0,Sturm Graz
Sat Mar 14 1970,Grazer Ak,5-3,SC Eisenstadt
Sun Mar 15 1970,FC Dornbirn 1913,1-2,SC Wacker Wien
Sun Mar 15 1970,First Vienna FC,2-0,Austria Klagenfurt
Sat Mar 21 1970,Austria Salzburg,3-1,First Vienna FC
Sat Mar 21 1970,SC Eisenstadt,2-0,Austria Klagenfurt
Sat Mar 21 1970,Sturm Graz,4-1,FC Dornbirn 1913
Sat Mar 21 1970,FC Blau Weiss Linz,1-0,Grazer Ak
Sat Mar 21 1970,FC Wacker Innsbruck,3-3,WSG Wattens
Sat Mar 21 1970,Sportclub,1-0,Rapid Wien
Sun Mar 22 1970,Austria Wien,1-0,SK Admira Vienna
Sun Mar 22 1970,SC Wacker Wien,1-2,LASK Linz
Fri Mar 27 1970,First Vienna FC,1-0,SC Eisenstadt
Sat Mar 28 1970,SK Admira Vienna,4-0,SC Wacker Wien
Sat Mar 28 1970,Austria Klagenfurt,2-0,FC Blau Weiss Linz
Sat Mar 28 1970,FC Dornbirn 1913,1-1,Austria Salzburg
Sat Mar 28 1970,Grazer Ak,0-2,Sportclub
Sat Mar 28 1970,LASK Linz,1-1,Sturm Graz
Sat Mar 28 1970,Rapid Wien,0-2,FC Wacker Innsbruck
Sat Mar 28 1970,WSG Wattens,0-1,Austria Wien
Sat Apr 4 1970,FC Dornbirn 1913,0-0,FC Blau Weiss Linz
Sat Apr 4 1970,Austria Klagenfurt,0-0,WSG Wattens
Wed Apr 15 1970,Sportclub,4-0,FC Dornbirn 1913
Wed Apr 15 1970,SC Eisenstadt,0-3,Rapid Wien
Sat Apr 18 1970,Austria Salzburg,0-1,LASK Linz
Sat Apr 18 1970,Austria Wien,2-2,Rapid Wien
Sat Apr 18 1970,Sturm Graz,1-0,SK Admira Vienna
Sat Apr 18 1970,FC Blau Weiss Linz,2-2,SC Eisenstadt
Sat Apr 18 1970,FC Wacker Innsbruck,1-0,Grazer Ak
Sat Apr 18 1970,SC Wacker Wien,1-0,WSG Wattens
Sun Apr 19 1970,FC Dornbirn 1913,1-1,First Vienna FC
Sun Apr 19 1970,Sportclub,6-1,Austria Klagenfurt
