Date,Team 1,FT,Team 2
Sat Aug 6 1977,Fortuna Duesseldorf,5-1,1 FC Koeln
Sat Aug 6 1977,FC St Pauli,3-1,Werder Bremen
Sat Aug 6 1977,Vfb Stuttgart,3-3,Bayern Muenchen
Sat Aug 6 1977,1 FC Kaiserslautern,2-1,Eintracht Braunschweig
Sat Aug 6 1977,Eintracht Frankfurt,4-0,1 FC Saarbruecken
Sat Aug 6 1977,TSV 1860 Muenchen,0-0,FC Schalke 04
Sat Aug 6 1977,MSV Duisburg,5-2,Hamburger SV
Sat Aug 6 1977,Hertha BSC Berlin,3-1,Borussia Dortmund
Sat Aug 6 1977,Vfl Bochum,0-0,Bor Moenchengladbach
Fri Aug 12 1977,Werder Bremen,2-1,Fortuna Duesseldorf
Fri Aug 12 1977,FC Schalke 04,3-2,Eintracht Frankfurt
Sat Aug 13 1977,Hamburger SV,3-0,TSV 1860 Muenchen
Sat Aug 13 1977,1 FC Saarbruecken,3-3,1 FC Kaiserslautern
Sat Aug 13 1977,Eintracht Braunschweig,3-1,Vfb Stuttgart
Sat Aug 13 1977,Bayern Muenchen,4-2,FC St Pauli
Sat Aug 13 1977,Bor Moenchengladbach,2-1,Hertha BSC Berlin
Sat Aug 13 1977,1 FC Koeln,2-1,Vfl Bochum
Tue Aug 16 1977,1 FC Kaiserslautern,0-0,FC Schalke 04
Wed Aug 17 1977,Fortuna Duesseldorf,4-2,Bayern Muenchen
Wed Aug 17 1977,FC St Pauli,0-1,Eintracht Braunschweig
Wed Aug 17 1977,Vfb Stuttgart,1-0,1 FC Saarbruecken
Wed Aug 17 1977,Eintracht Frankfurt,0-2,Hamburger SV
Wed Aug 17 1977,TSV 1860 Muenchen,0-2,Borussia Dortmund
Wed Aug 17 1977,MSV Duisburg,1-1,Bor Moenchengladbach
Wed Aug 17 1977,1 FC Koeln,7-2,Werder Bremen
Wed Aug 17 1977,Vfl Bochum,5-0,Hertha BSC Berlin
Fri Aug 26 1977,Werder Bremen,1-0,Vfl Bochum
Sat Aug 27 1977,Hamburger SV,3-1,1 FC Kaiserslautern
Sat Aug 27 1977,FC Schalke 04,3-1,Vfb Stuttgart
Sat Aug 27 1977,1 FC Saarbruecken,4-0,FC St Pauli
Sat Aug 27 1977,Eintracht Braunschweig,2-0,Fortuna Duesseldorf
Sat Aug 27 1977,Bor Moenchengladbach,2-1,TSV 1860 Muenchen
Sat Aug 27 1977,Bayern Muenchen,0-3,1 FC Koeln
Sat Aug 27 1977,Hertha BSC Berlin,2-2,MSV Duisburg
Sat Aug 27 1977,Borussia Dortmund,0-2,Eintracht Frankfurt
Tue Aug 30 1977,1 FC Kaiserslautern,4-0,Borussia Dortmund
Wed Aug 31 1977,FC St Pauli,1-1,FC Schalke 04
Wed Aug 31 1977,Vfb Stuttgart,1-2,Hamburger SV
Wed Aug 31 1977,Eintracht Frankfurt,4-2,Bor Moenchengladbach
Wed Aug 31 1977,TSV 1860 Muenchen,2-3,Hertha BSC Berlin
Wed Aug 31 1977,Werder Bremen,1-1,Bayern Muenchen
Wed Aug 31 1977,1 FC Koeln,6-0,Eintracht Braunschweig
Wed Aug 31 1977,Vfl Bochum,1-2,MSV Duisburg
Thu Sep 1 1977,Eintracht Frankfurt,1-3,1 FC Kaiserslautern
Thu Sep 1 1977,Hamburger SV,2-2,Bayern Muenchen
Thu Sep 1 1977,Hertha BSC Berlin,0-0,Fortuna Duesseldorf
Thu Sep 1 1977,Bor Moenchengladbach,2-5,1 FC Koeln
Sat Sep 3 1977,Bor Moenchengladbach,2-2,1 FC Kaiserslautern
Sat Sep 3 1977,Hamburger SV,0-2,FC St Pauli
Sat Sep 3 1977,FC Schalke 04,1-0,Fortuna Duesseldorf
Sat Sep 3 1977,1 FC Saarbruecken,1-0,1 FC Koeln
Sat Sep 3 1977,Eintracht Braunschweig,2-0,Werder Bremen
Sat Sep 3 1977,Bayern Muenchen,1-1,Vfl Bochum
Sat Sep 3 1977,MSV Duisburg,1-1,TSV 1860 Muenchen
Sat Sep 3 1977,Hertha BSC Berlin,2-0,Eintracht Frankfurt
Sat Sep 3 1977,Borussia Dortmund,4-1,Vfb Stuttgart
Fri Sep 9 1977,Werder Bremen,1-1,1 FC Saarbruecken
Fri Sep 9 1977,Eintracht Frankfurt,3-1,MSV Duisburg
Sat Sep 10 1977,Fortuna Duesseldorf,3-1,Hamburger SV
Sat Sep 10 1977,FC St Pauli,3-6,Borussia Dortmund
Sat Sep 10 1977,Vfb Stuttgart,2-0,Bor Moenchengladbach
Sat Sep 10 1977,1 FC Kaiserslautern,2-0,Hertha BSC Berlin
Sat Sep 10 1977,Bayern Muenchen,3-2,Eintracht Braunschweig
Sat Sep 10 1977,1 FC Koeln,2-4,FC Schalke 04
Sat Sep 10 1977,Vfl Bochum,2-0,TSV 1860 Muenchen
Fri Sep 16 1977,MSV Duisburg,3-2,1 FC Kaiserslautern
Sat Sep 17 1977,Bor Moenchengladbach,2-1,FC St Pauli
Sat Sep 17 1977,Hamburger SV,1-0,1 FC Koeln
Sat Sep 17 1977,FC Schalke 04,1-0,Werder Bremen
Sat Sep 17 1977,Eintracht Braunschweig,3-1,Vfl Bochum
Sat Sep 17 1977,TSV 1860 Muenchen,2-4,Eintracht Frankfurt
Sat Sep 17 1977,Hertha BSC Berlin,1-1,Vfb Stuttgart
Sat Sep 17 1977,Borussia Dortmund,1-2,Fortuna Duesseldorf
Sat Sep 17 1977,1 FC Saarbruecken,2-1,Bayern Muenchen
Tue Sep 20 1977,Fortuna Duesseldorf,2-1,1 FC Saarbruecken
Fri Sep 23 1977,Vfb Stuttgart,1-0,MSV Duisburg
Sat Sep 24 1977,Fortuna Duesseldorf,1-3,Bor Moenchengladbach
Sat Sep 24 1977,FC St Pauli,3-0,Hertha BSC Berlin
Sat Sep 24 1977,1 FC Kaiserslautern,1-0,TSV 1860 Muenchen
Sat Sep 24 1977,Eintracht Braunschweig,3-0,1 FC Saarbruecken
Sat Sep 24 1977,Bayern Muenchen,7-1,FC Schalke 04
Sat Sep 24 1977,Werder Bremen,1-2,Hamburger SV
Sat Sep 24 1977,1 FC Koeln,4-1,Borussia Dortmund
Sat Sep 24 1977,Vfl Bochum,0-1,Eintracht Frankfurt
Tue Sep 27 1977,Borussia Dortmund,2-1,MSV Duisburg
Fri Sep 30 1977,MSV Duisburg,4-3,FC St Pauli
Fri Sep 30 1977,Borussia Dortmund,4-1,Werder Bremen
Fri Sep 30 1977,1 FC Saarbruecken,0-1,Vfl Bochum
Sat Oct 1 1977,FC Schalke 04,1-0,Eintracht Braunschweig
Sat Oct 1 1977,TSV 1860 Muenchen,1-2,Vfb Stuttgart
Wed Oct 12 1977,Fortuna Duesseldorf,0-0,MSV Duisburg
Wed Oct 12 1977,FC St Pauli,4-1,TSV 1860 Muenchen
Wed Oct 12 1977,Vfb Stuttgart,2-1,Eintracht Frankfurt
Wed Oct 12 1977,1 FC Saarbruecken,2-1,FC Schalke 04
Wed Oct 12 1977,Eintracht Braunschweig,4-0,Hamburger SV
Wed Oct 12 1977,Bayern Muenchen,3-0,Borussia Dortmund
Wed Oct 12 1977,Werder Bremen,3-2,Bor Moenchengladbach
Wed Oct 12 1977,1 FC Koeln,3-1,Hertha BSC Berlin
Wed Oct 12 1977,Vfl Bochum,0-1,1 FC Kaiserslautern
Sat Oct 22 1977,Bor Moenchengladbach,2-0,Bayern Muenchen
Sat Oct 22 1977,Hamburger SV,1-2,1 FC Saarbruecken
Sat Oct 22 1977,FC Schalke 04,3-1,Vfl Bochum
Sat Oct 22 1977,1 FC Kaiserslautern,0-4,Vfb Stuttgart
Sat Oct 22 1977,Eintracht Frankfurt,5-2,FC St Pauli
Sat Oct 22 1977,TSV 1860 Muenchen,0-1,Fortuna Duesseldorf
Sat Oct 22 1977,MSV Duisburg,1-2,1 FC Koeln
Sat Oct 22 1977,Hertha BSC Berlin,2-0,Werder Bremen
Sat Oct 22 1977,Borussia Dortmund,2-0,Eintracht Braunschweig
Sat Oct 29 1977,Fortuna Duesseldorf,2-1,Eintracht Frankfurt
Sat Oct 29 1977,FC Schalke 04,2-2,Hamburger SV
Sat Oct 29 1977,FC St Pauli,0-3,1 FC Kaiserslautern
Sat Oct 29 1977,Bayern Muenchen,0-2,Hertha BSC Berlin
Sat Oct 29 1977,1 FC Koeln,6-2,TSV 1860 Muenchen
Sat Oct 29 1977,Vfl Bochum,1-0,Vfb Stuttgart
Sat Oct 29 1977,Eintracht Braunschweig,0-6,Bor Moenchengladbach
Sat Oct 29 1977,Werder Bremen,4-2,MSV Duisburg
Sat Oct 29 1977,1 FC Saarbruecken,2-2,Borussia Dortmund
Fri Nov 4 1977,1 FC Kaiserslautern,3-2,Fortuna Duesseldorf
Sat Nov 5 1977,Bor Moenchengladbach,6-1,1 FC Saarbruecken
Sat Nov 5 1977,Hamburger SV,3-1,Vfl Bochum
Sat Nov 5 1977,Vfb Stuttgart,1-0,FC St Pauli
Sat Nov 5 1977,Eintracht Frankfurt,2-2,1 FC Koeln
Sat Nov 5 1977,TSV 1860 Muenchen,0-0,Werder Bremen
Sat Nov 5 1977,MSV Duisburg,6-3,Bayern Muenchen
Sat Nov 5 1977,Hertha BSC Berlin,1-0,Eintracht Braunschweig
Sat Nov 5 1977,Borussia Dortmund,2-1,FC Schalke 04
Sat Nov 12 1977,Fortuna Duesseldorf,1-0,Vfb Stuttgart
Sat Nov 12 1977,FC St Pauli,1-1,Vfl Bochum
Sat Nov 12 1977,FC Schalke 04,1-2,Bor Moenchengladbach
Sat Nov 12 1977,1 FC Saarbruecken,2-2,Hertha BSC Berlin
Sat Nov 12 1977,Eintracht Braunschweig,1-0,MSV Duisburg
Sat Nov 12 1977,Bayern Muenchen,1-3,TSV 1860 Muenchen
Sat Nov 12 1977,Werder Bremen,3-0,Eintracht Frankfurt
Sat Nov 12 1977,1 FC Koeln,4-1,1 FC Kaiserslautern
Sat Nov 12 1977,Borussia Dortmund,2-1,Hamburger SV
Fri Nov 25 1977,MSV Duisburg,5-0,1 FC Saarbruecken
Fri Nov 25 1977,1 FC Kaiserslautern,2-1,Werder Bremen
Sat Nov 26 1977,Bor Moenchengladbach,2-1,Hamburger SV
Sat Nov 26 1977,Vfb Stuttgart,3-0,1 FC Koeln
Sat Nov 26 1977,Eintracht Frankfurt,4-0,Bayern Muenchen
Sat Nov 26 1977,TSV 1860 Muenchen,1-0,Eintracht Braunschweig
Sat Nov 26 1977,FC St Pauli,2-1,Fortuna Duesseldorf
Sat Nov 26 1977,Hertha BSC Berlin,2-1,FC Schalke 04
Sat Nov 26 1977,Vfl Bochum,1-0,Borussia Dortmund
Sat Dec 3 1977,Fortuna Duesseldorf,1-1,Vfl Bochum
Sat Dec 3 1977,Hamburger SV,2-2,Hertha BSC Berlin
Sat Dec 3 1977,FC Schalke 04,0-1,MSV Duisburg
Sat Dec 3 1977,1 FC Saarbruecken,1-1,TSV 1860 Muenchen
Sat Dec 3 1977,Eintracht Braunschweig,1-1,Eintracht Frankfurt
Sat Dec 3 1977,Bayern Muenchen,4-2,1 FC Kaiserslautern
Sat Dec 3 1977,Werder Bremen,0-1,Vfb Stuttgart
Sat Dec 3 1977,1 FC Koeln,4-1,FC St Pauli
Sat Dec 3 1977,Borussia Dortmund,3-3,Bor Moenchengladbach
Fri Dec 9 1977,Bor Moenchengladbach,2-2,Vfl Bochum
Sat Dec 10 1977,1 FC Koeln,1-0,Fortuna Duesseldorf
Sat Dec 10 1977,Werder Bremen,4-0,FC St Pauli
Sat Dec 10 1977,Bayern Muenchen,2-0,Vfb Stuttgart
Sat Dec 10 1977,Eintracht Braunschweig,3-1,1 FC Kaiserslautern
Sat Dec 10 1977,1 FC Saarbruecken,0-0,Eintracht Frankfurt
Sat Dec 10 1977,FC Schalke 04,2-1,TSV 1860 Muenchen
Sat Dec 10 1977,Hamburger SV,4-1,MSV Duisburg
Sat Dec 10 1977,Borussia Dortmund,1-1,Hertha BSC Berlin
Sat Dec 17 1977,Fortuna Duesseldorf,2-0,Werder Bremen
Sat Dec 17 1977,Eintracht Frankfurt,3-0,FC Schalke 04
Sat Dec 17 1977,TSV 1860 Muenchen,2-2,Hamburger SV
Sat Dec 17 1977,1 FC Kaiserslautern,2-1,1 FC Saarbruecken
Sat Dec 17 1977,Vfb Stuttgart,5-0,Eintracht Braunschweig
Sat Dec 17 1977,FC St Pauli,0-0,Bayern Muenchen
Sat Dec 17 1977,Hertha BSC Berlin,2-1,Bor Moenchengladbach
Sat Dec 17 1977,Vfl Bochum,0-0,1 FC Koeln
Sat Dec 17 1977,MSV Duisburg,1-2,Borussia Dortmund
Sat Jan 7 1978,FC Schalke 04,3-0,1 FC Kaiserslautern
Sat Jan 7 1978,Bayern Muenchen,0-0,Fortuna Duesseldorf
Sat Jan 7 1978,Eintracht Braunschweig,2-0,FC St Pauli
Sat Jan 7 1978,1 FC Saarbruecken,1-1,Vfb Stuttgart
Sat Jan 7 1978,Hamburger SV,0-0,Eintracht Frankfurt
Sat Jan 7 1978,Borussia Dortmund,1-3,TSV 1860 Muenchen
Sat Jan 7 1978,Bor Moenchengladbach,1-3,MSV Duisburg
Sat Jan 7 1978,Werder Bremen,0-2,1 FC Koeln
Sat Jan 7 1978,Hertha BSC Berlin,4-3,Vfl Bochum
Sat Jan 14 1978,Vfl Bochum,2-0,Werder Bremen
Sat Jan 14 1978,1 FC Kaiserslautern,3-0,Hamburger SV
Sat Jan 14 1978,Vfb Stuttgart,6-1,FC Schalke 04
Sat Jan 14 1978,FC St Pauli,1-3,1 FC Saarbruecken
Sat Jan 14 1978,Fortuna Duesseldorf,2-0,Eintracht Braunschweig
Sat Jan 14 1978,TSV 1860 Muenchen,1-1,Bor Moenchengladbach
Sat Jan 14 1978,1 FC Koeln,2-0,Bayern Muenchen
Sat Jan 14 1978,MSV Duisburg,2-1,Hertha BSC Berlin
Sat Jan 14 1978,Eintracht Frankfurt,2-1,Borussia Dortmund
Sat Jan 21 1978,Borussia Dortmund,4-0,1 FC Kaiserslautern
Sat Jan 21 1978,FC Schalke 04,4-1,FC St Pauli
Sat Jan 21 1978,Hamburger SV,2-0,Vfb Stuttgart
Sat Jan 21 1978,Bor Moenchengladbach,2-0,Eintracht Frankfurt
Sat Jan 21 1978,Hertha BSC Berlin,4-1,TSV 1860 Muenchen
Sat Jan 21 1978,Bayern Muenchen,3-1,Werder Bremen
Sat Jan 21 1978,Eintracht Braunschweig,1-0,1 FC Koeln
Sat Jan 21 1978,MSV Duisburg,0-0,Vfl Bochum
Sat Jan 21 1978,1 FC Saarbruecken,1-1,Fortuna Duesseldorf
Sat Jan 28 1978,1 FC Kaiserslautern,0-3,Bor Moenchengladbach
Sat Jan 28 1978,FC St Pauli,2-3,Hamburger SV
Sat Jan 28 1978,Fortuna Duesseldorf,1-1,FC Schalke 04
Sat Jan 28 1978,1 FC Koeln,3-1,1 FC Saarbruecken
Sat Jan 28 1978,Werder Bremen,2-1,Eintracht Braunschweig
Sat Jan 28 1978,Vfl Bochum,2-1,Bayern Muenchen
Sat Jan 28 1978,TSV 1860 Muenchen,4-0,MSV Duisburg
Sat Jan 28 1978,Eintracht Frankfurt,0-5,Hertha BSC Berlin
Sat Jan 28 1978,Vfb Stuttgart,4-1,Borussia Dortmund
Sat Feb 4 1978,1 FC Saarbruecken,1-1,Werder Bremen
Sat Feb 4 1978,MSV Duisburg,3-0,Eintracht Frankfurt
