Date,Team 1,FT,Team 2
Sat Aug 11 2018,Velez Sarsfield,2-0,Newells Old Boys
Sat Aug 11 2018,Tigre,2-2,San Lorenzo
Sat Aug 11 2018,Gye La Plata,1-0,Argentinos Juniors
Sat Aug 11 2018,Union De Santa Fe,1-0,Aldosivi
Sat Aug 11 2018,Patronato,0-0,CA Colon
Sun Aug 12 2018,Belgrano Cordoba,0-0,CA San Martin
Sun Aug 12 2018,Boca Juniors,1-0,Talleres Cordoba
Sun Aug 12 2018,CD Godoy Cruz,1-0,Estudiantes
Sun Aug 12 2018,CA Lanus,2-2,Defensa Y Justicia
Sun Aug 12 2018,Rosario Central,1-0,CA Banfield
Mon Aug 13 2018,Huracan,0-0,River Plate
Tue Aug 14 2018,Atletico Tucuman,2-2,Racing Club
Sat Aug 18 2018,Talleres Cordoba,0-1,Rosario Central
Sat Aug 18 2018,Newells Old Boys,2-2,Independiente
Sat Aug 18 2018,Defensa Y Justicia,1-1,Atletico Tucuman
Sat Aug 18 2018,CA Banfield,1-0,Gye La Plata
Sat Aug 18 2018,Argentinos Juniors,0-0,CD Godoy Cruz
Sun Aug 19 2018,River Plate,0-0,Belgrano Cordoba
Sun Aug 19 2018,CA San Martin,1-0,Patronato
Sun Aug 19 2018,CA Colon,2-2,Tigre
Sun Aug 19 2018,Aldosivi,2-1,Huracan
Sun Aug 19 2018,San Lorenzo,2-2,CA Lanus
Mon Aug 20 2018,Racing Club,2-0,Velez Sarsfield
Mon Aug 20 2018,Estudiantes,2-0,Boca Juniors
Mon Aug 20 2018,San Martin Tucuman,1-1,Union De Santa Fe
Sat Aug 25 2018,Patronato,0-3,Racing Club
Sat Aug 25 2018,Belgrano Cordoba,2-1,Estudiantes
Sat Aug 25 2018,Independiente,0-1,Defensa Y Justicia
Sat Aug 25 2018,Atletico Tucuman,2-1,CA Colon
Sat Aug 25 2018,Gye La Plata,0-2,Talleres Cordoba
Sat Aug 25 2018,Tigre,2-2,CA San Martin
Sun Aug 26 2018,River Plate,0-0,Argentinos Juniors
Sun Aug 26 2018,Velez Sarsfield,1-1,CA Banfield
Sun Aug 26 2018,CA Lanus,0-1,Aldosivi
Sun Aug 26 2018,Rosario Central,2-0,San Martin Tucuman
Mon Aug 27 2018,Huracan,0-0,Boca Juniors
Tue Aug 28 2018,CD Godoy Cruz,2-1,Newells Old Boys
Tue Aug 28 2018,Union De Santa Fe,1-1,San Lorenzo
Sat Sep 1 2018,Argentinos Juniors,2-0,CA Lanus
Sat Sep 1 2018,CA San Martin,1-2,Huracan
Sat Sep 1 2018,Defensa Y Justicia,1-1,Belgrano Cordoba
Sat Sep 1 2018,CA Banfield,1-0,Patronato
Sat Sep 1 2018,Talleres Cordoba,1-0,CD Godoy Cruz
Sun Sep 2 2018,San Lorenzo,1-1,River Plate
Sun Sep 2 2018,Racing Club,2-0,Rosario Central
Sun Sep 2 2018,Estudiantes,2-2,Independiente
Sun Sep 2 2018,Aldosivi,0-2,Tigre
Sun Sep 2 2018,CA Colon,0-0,Union De Santa Fe
Mon Sep 3 2018,Boca Juniors,3-0,Velez Sarsfield
Tue Sep 4 2018,Newells Old Boys,1-2,Atletico Tucuman
Tue Sep 4 2018,San Martin Tucuman,1-1,Gye La Plata
Sat Sep 15 2018,Estudiantes,0-2,Aldosivi
Sat Sep 15 2018,Atletico Tucuman,3-0,Tigre
Sat Sep 15 2018,Independiente,3-0,CA Colon
Sat Sep 15 2018,River Plate,4-1,CA San Martin
Sat Sep 15 2018,Belgrano Cordoba,0-0,Newells Old Boys
Sun Sep 16 2018,Argentinos Juniors,0-1,Boca Juniors
Sun Sep 16 2018,Patronato,0-2,Gye La Plata
Sun Sep 16 2018,Velez Sarsfield,1-0,San Martin Tucuman
Sun Sep 16 2018,Union De Santa Fe,2-1,Talleres Cordoba
Sun Sep 16 2018,CA Lanus,0-1,Racing Club
Mon Sep 17 2018,CD Godoy Cruz,1-0,San Lorenzo
Tue Sep 18 2018,Huracan,3-0,CA Banfield
Tue Sep 18 2018,Rosario Central,0-1,Defensa Y Justicia
Sat Sep 22 2018,San Lorenzo,3-2,Patronato
Sat Sep 22 2018,CA Colon,3-1,CD Godoy Cruz
Sat Sep 22 2018,Newells Old Boys,2-0,CA Lanus
Sat Sep 22 2018,Talleres Cordoba,1-1,Velez Sarsfield
Sun Sep 23 2018,CA Banfield,1-1,Independiente
Sun Sep 23 2018,Tigre,0-2,Huracan
Sun Sep 23 2018,San Martin Tucuman,0-0,Argentinos Juniors
Sun Sep 23 2018,Gye La Plata,1-1,Rosario Central
Sun Sep 23 2018,CA San Martin,1-3,Atletico Tucuman
Sun Sep 23 2018,Boca Juniors,0-2,River Plate
Mon Sep 24 2018,Aldosivi,2-0,Belgrano Cordoba
Tue Sep 25 2018,Racing Club,1-0,Union De Santa Fe
Fri Sep 28 2018,Independiente,0-0,Tigre
Sat Sep 29 2018,CA Lanus,1-5,River Plate
Sun Sep 30 2018,Argentinos Juniors,0-2,Racing Club
Sun Sep 30 2018,Patronato,2-1,Talleres Cordoba
Sun Sep 30 2018,Union De Santa Fe,1-0,Gye La Plata
Sun Sep 30 2018,Belgrano Cordoba,0-1,Huracan
Mon Oct 1 2018,Boca Juniors,3-1,CA Colon
Tue Oct 2 2018,CD Godoy Cruz,0-1,Defensa Y Justicia
Tue Oct 2 2018,Velez Sarsfield,2-0,Aldosivi
Tue Oct 2 2018,San Martin Tucuman,1-1,CA Banfield
Sat Oct 6 2018,Aldosivi,2-0,San Martin Tucuman
Sat Oct 6 2018,Gye La Plata,1-0,CD Godoy Cruz
Sat Oct 6 2018,CA San Martin,3-1,Velez Sarsfield
Sun Oct 7 2018,Patronato,1-2,Independiente
Sun Oct 7 2018,CA Banfield,2-0,San Lorenzo
Sun Oct 7 2018,Atletico Tucuman,0-0,CA Lanus
Sun Oct 7 2018,Rosario Central,0-4,Union De Santa Fe
Sun Oct 7 2018,Talleres Cordoba,3-0,Belgrano Cordoba
Mon Oct 8 2018,Racing Club,2-2,Boca Juniors
Tue Oct 9 2018,Tigre,1-0,Estudiantes
Tue Oct 9 2018,CA Colon,1-0,Newells Old Boys
Sat Oct 20 2018,Defensa Y Justicia,2-0,Talleres Cordoba
Sat Oct 20 2018,Velez Sarsfield,1-0,Gye La Plata
Sat Oct 20 2018,CA Colon,1-0,River Plate
Sat Oct 20 2018,CD Godoy Cruz,2-0,Aldosivi
Sat Oct 20 2018,CA Lanus,3-1,Patronato
Sat Oct 20 2018,Boca Juniors,0-0,Rosario Central
Sun Oct 21 2018,Newells Old Boys,2-0,Tigre
Sun Oct 21 2018,Estudiantes,1-1,Atletico Tucuman
Sun Oct 21 2018,Argentinos Juniors,0-1,Union De Santa Fe
Sun Oct 21 2018,Independiente,3-1,Huracan
Mon Oct 22 2018,San Martin Tucuman,2-1,Racing Club
Tue Oct 23 2018,Belgrano Cordoba,1-1,CA Banfield
Tue Oct 23 2018,San Lorenzo,2-1,CA San Martin
Thu Oct 25 2018,Estudiantes,1-0,Newells Old Boys
Sat Oct 27 2018,Tigre,1-1,CA Lanus
Sat Oct 27 2018,Huracan,3-2,CA Colon
Sat Oct 27 2018,River Plate,1-0,Aldosivi
Sat Oct 27 2018,Gye La Plata,2-1,Boca Juniors
Sun Oct 28 2018,Talleres Cordoba,0-0,San Martin Tucuman
Sun Oct 28 2018,Union De Santa Fe,0-3,CD Godoy Cruz
Sun Oct 28 2018,Racing Club,2-1,San Lorenzo
Sun Oct 28 2018,Patronato,2-1,Rosario Central
Sun Oct 28 2018,Velez Sarsfield,1-0,Belgrano Cordoba
Sun Oct 28 2018,CA Banfield,0-2,Estudiantes
Mon Oct 29 2018,Atletico Tucuman,4-2,Independiente
Mon Oct 29 2018,Newells Old Boys,2-0,Argentinos Juniors
Tue Oct 30 2018,CA San Martin,0-1,Defensa Y Justicia
Fri Nov 2 2018,Belgrano Cordoba,2-0,Gye La Plata
Sat Nov 3 2018,Union De Santa Fe,2-2,Patronato
Sat Nov 3 2018,Aldosivi,1-4,CA Banfield
Sat Nov 3 2018,CD Godoy Cruz,1-0,Atletico Tucuman
Sat Nov 3 2018,Estudiantes,1-0,River Plate
Sun Nov 4 2018,Boca Juniors,4-1,Tigre
Sun Nov 4 2018,Argentinos Juniors,0-2,Independiente
Sun Nov 4 2018,Rosario Central,1-1,CA Colon
Sun Nov 4 2018,San Lorenzo,0-1,Talleres Cordoba
Sun Nov 4 2018,Racing Club,1-0,Newells Old Boys
Mon Nov 5 2018,San Martin Tucuman,2-0,CA San Martin
Mon Nov 5 2018,Defensa Y Justicia,3-2,Velez Sarsfield
Tue Nov 6 2018,CA Lanus,0-1,Huracan
Thu Nov 8 2018,Independiente,4-0,San Martin Tucuman
Fri Nov 9 2018,Talleres Cordoba,0-0,Aldosivi
Sat Nov 10 2018,Atletico Tucuman,2-1,Rosario Central
Sun Nov 11 2018,CA Colon,1-1,Estudiantes
Sun Nov 11 2018,Independiente,2-1,Belgrano Cordoba
Sun Nov 11 2018,Gye La Plata,0-3,Racing Club
Sun Nov 11 2018,CA Banfield,0-0,CA Lanus
Mon Nov 12 2018,Tigre,2-1,Argentinos Juniors
Mon Nov 12 2018,Huracan,2-1,CD Godoy Cruz
Mon Nov 12 2018,Newells Old Boys,0-0,Defensa Y Justicia
Tue Nov 13 2018,Velez Sarsfield,0-0,San Lorenzo
Tue Nov 13 2018,Patronato,3-3,San Martin Tucuman
Sat Nov 17 2018,Boca Juniors,1-0,Patronato
