Date,Team 1,FT,Team 2
Fri Jul 27 2018,Austria Wien,2-1,FC Wacker Innsbruck
Sat Jul 28 2018,Sturm Graz,3-2,Tsv Hartberg
Sat Jul 28 2018,Scr Altach,2-3,SV Mattersburg
Sun Jul 29 2018,RB Salzburg,3-1,LASK Linz
Sun Jul 29 2018,FC Admira Wacker,0-3,Rapid Wien
Sun Jul 29 2018,SKN St Poelten,4-3,Wolfsberger AC
Sat Aug 4 2018,Rapid Wien,1-1,Scr Altach
Sat Aug 4 2018,SV Mattersburg,0-2,RB Salzburg
Sat Aug 4 2018,FC Wacker Innsbruck,2-3,Sturm Graz
Sun Aug 5 2018,LASK Linz,0-0,SKN St Poelten
Sun Aug 5 2018,Tsv Hartberg,0-1,FC Admira Wacker
Sun Aug 5 2018,Wolfsberger AC,1-0,Austria Wien
Sat Aug 11 2018,RB Salzburg,2-0,Austria Wien
Sat Aug 11 2018,Scr Altach,1-2,FC Wacker Innsbruck
Sat Aug 11 2018,Tsv Hartberg,4-2,SV Mattersburg
Sun Aug 12 2018,SKN St Poelten,2-0,Sturm Graz
Sun Aug 12 2018,Rapid Wien,0-0,Wolfsberger AC
Sun Aug 12 2018,FC Admira Wacker,0-1,LASK Linz
Sat Aug 18 2018,RB Salzburg,2-0,Tsv Hartberg
Sat Aug 18 2018,SV Mattersburg,0-6,Wolfsberger AC
Sat Aug 18 2018,FC Wacker Innsbruck,0-2,SKN St Poelten
Sun Aug 19 2018,Sturm Graz,1-1,Scr Altach
Sun Aug 19 2018,LASK Linz,2-1,Rapid Wien
Sun Aug 19 2018,Austria Wien,4-0,FC Admira Wacker
Sat Aug 25 2018,Scr Altach,2-3,RB Salzburg
Sat Aug 25 2018,Wolfsberger AC,1-1,Sturm Graz
Sat Aug 25 2018,SKN St Poelten,0-0,Austria Wien
Sun Aug 26 2018,Rapid Wien,2-1,FC Wacker Innsbruck
Sun Aug 26 2018,FC Admira Wacker,0-0,SV Mattersburg
