Date,Team 1,FT,Team 2
Fri Aug 24 2018,Bayern Muenchen,3-1,1899 Hoffenheim
Sat Aug 25 2018,Hertha BSC Berlin,1-0,1 FC Nuernberg
Sat Aug 25 2018,Werder Bremen,1-1,Hannover 96
Sat Aug 25 2018,SC Freiburg,0-2,Eintracht Frankfurt
Sat Aug 25 2018,Vfl Wolfsburg,2-1,FC Schalke 04
Sat Aug 25 2018,Fortuna Duesseldorf,1-2,FC Augsburg
Sat Aug 25 2018,Bor Moenchengladbach,2-0,Bayer Leverkusen
Sun Aug 26 2018,1 Fsv Mainz 05,1-0,Vfb Stuttgart
Sun Aug 26 2018,Borussia Dortmund,4-1,RB Leipzig
Fri Aug 31 2018,Hannover 96,0-0,Borussia Dortmund
Sat Sep 1 2018,1899 Hoffenheim,3-1,SC Freiburg
Sat Sep 1 2018,Bayer Leverkusen,1-3,Vfl Wolfsburg
Sat Sep 1 2018,Eintracht Frankfurt,1-2,Werder Bremen
Sat Sep 1 2018,FC Augsburg,1-1,Bor Moenchengladbach
Sat Sep 1 2018,1 FC Nuernberg,1-1,1 Fsv Mainz 05
Sat Sep 1 2018,Vfb Stuttgart,0-3,Bayern Muenchen
Sun Sep 2 2018,RB Leipzig,1-1,Fortuna Duesseldorf
Sun Sep 2 2018,FC Schalke 04,0-2,Hertha BSC Berlin
Fri Sep 14 2018,Borussia Dortmund,3-1,Eintracht Frankfurt
Sat Sep 15 2018,Bayern Muenchen,3-1,Bayer Leverkusen
Sat Sep 15 2018,RB Leipzig,3-2,Hannover 96
Sat Sep 15 2018,1 Fsv Mainz 05,2-1,FC Augsburg
Sat Sep 15 2018,Vfl Wolfsburg,2-2,Hertha BSC Berlin
Sat Sep 15 2018,Fortuna Duesseldorf,2-1,1899 Hoffenheim
Sat Sep 15 2018,Bor Moenchengladbach,2-1,FC Schalke 04
Sun Sep 16 2018,Werder Bremen,1-1,1 FC Nuernberg
Sun Sep 16 2018,SC Freiburg,3-3,Vfb Stuttgart
Fri Sep 21 2018,Vfb Stuttgart,0-0,Fortuna Duesseldorf
Sat Sep 22 2018,1899 Hoffenheim,1-1,Borussia Dortmund
Sat Sep 22 2018,Hertha BSC Berlin,4-2,Bor Moenchengladbach
Sat Sep 22 2018,FC Augsburg,2-3,Werder Bremen
Sat Sep 22 2018,Vfl Wolfsburg,1-3,SC Freiburg
Sat Sep 22 2018,1 FC Nuernberg,2-0,Hannover 96
Sat Sep 22 2018,FC Schalke 04,0-2,Bayern Muenchen
Sun Sep 23 2018,Bayer Leverkusen,1-0,1 Fsv Mainz 05
Sun Sep 23 2018,Eintracht Frankfurt,1-1,RB Leipzig
Tue Sep 25 2018,Werder Bremen,3-1,Hertha BSC Berlin
Tue Sep 25 2018,Bayern Muenchen,1-1,FC Augsburg
Tue Sep 25 2018,Hannover 96,1-3,1899 Hoffenheim
Tue Sep 25 2018,SC Freiburg,1-0,FC Schalke 04
Wed Sep 26 2018,Fortuna Duesseldorf,1-2,Bayer Leverkusen
Wed Sep 26 2018,Borussia Dortmund,7-0,1 FC Nuernberg
Wed Sep 26 2018,RB Leipzig,2-0,Vfb Stuttgart
Wed Sep 26 2018,Bor Moenchengladbach,3-1,Eintracht Frankfurt
Wed Sep 26 2018,1 Fsv Mainz 05,0-0,Vfl Wolfsburg
Fri Sep 28 2018,Hertha BSC Berlin,2-0,Bayern Muenchen
Sat Sep 29 2018,FC Schalke 04,1-0,1 Fsv Mainz 05
Sat Sep 29 2018,1899 Hoffenheim,1-2,RB Leipzig
Sat Sep 29 2018,Vfb Stuttgart,2-1,Werder Bremen
Sat Sep 29 2018,Vfl Wolfsburg,2-2,Bor Moenchengladbach
Sat Sep 29 2018,1 FC Nuernberg,3-0,Fortuna Duesseldorf
Sat Sep 29 2018,Bayer Leverkusen,2-4,Borussia Dortmund
Sun Sep 30 2018,Eintracht Frankfurt,4-1,Hannover 96
Sun Sep 30 2018,FC Augsburg,4-1,SC Freiburg
Fri Oct 5 2018,Werder Bremen,2-0,Vfl Wolfsburg
Sat Oct 6 2018,Borussia Dortmund,4-3,FC Augsburg
Sat Oct 6 2018,Hannover 96,3-1,Vfb Stuttgart
Sat Oct 6 2018,1 Fsv Mainz 05,0-0,Hertha BSC Berlin
Sat Oct 6 2018,Fortuna Duesseldorf,0-2,FC Schalke 04
Sat Oct 6 2018,Bayern Muenchen,0-3,Bor Moenchengladbach
Sun Oct 7 2018,SC Freiburg,0-0,Bayer Leverkusen
Sun Oct 7 2018,1899 Hoffenheim,1-2,Eintracht Frankfurt
Sun Oct 7 2018,RB Leipzig,6-0,1 FC Nuernberg
Fri Oct 19 2018,Eintracht Frankfurt,7-1,Fortuna Duesseldorf
Sat Oct 20 2018,Bayer Leverkusen,2-2,Hannover 96
Sat Oct 20 2018,Vfb Stuttgart,0-4,Borussia Dortmund
Sat Oct 20 2018,FC Augsburg,0-0,RB Leipzig
Sat Oct 20 2018,Vfl Wolfsburg,1-3,Bayern Muenchen
Sat Oct 20 2018,1 FC Nuernberg,1-3,1899 Hoffenheim
Sat Oct 20 2018,FC Schalke 04,0-2,Werder Bremen
Sun Oct 21 2018,Hertha BSC Berlin,1-1,SC Freiburg
Sun Oct 21 2018,Bor Moenchengladbach,4-0,1 Fsv Mainz 05
Fri Oct 26 2018,SC Freiburg,3-1,Bor Moenchengladbach
Sat Oct 27 2018,Borussia Dortmund,2-2,Hertha BSC Berlin
Sat Oct 27 2018,Hannover 96,1-2,FC Augsburg
Sat Oct 27 2018,1 Fsv Mainz 05,1-2,Bayern Muenchen
Sat Oct 27 2018,Fortuna Duesseldorf,0-3,Vfl Wolfsburg
Sat Oct 27 2018,1899 Hoffenheim,4-0,Vfb Stuttgart
Sun Oct 28 2018,1 FC Nuernberg,1-1,Eintracht Frankfurt
Sun Oct 28 2018,RB Leipzig,0-0,FC Schalke 04
Sun Oct 28 2018,Werder Bremen,2-6,Bayer Leverkusen
Fri Nov 2 2018,Vfb Stuttgart,0-3,Eintracht Frankfurt
Sat Nov 3 2018,Bayern Muenchen,1-1,SC Freiburg
Sat Nov 3 2018,FC Schalke 04,3-1,Hannover 96
Sat Nov 3 2018,Bayer Leverkusen,1-4,1899 Hoffenheim
Sat Nov 3 2018,FC Augsburg,2-2,1 FC Nuernberg
Sat Nov 3 2018,Vfl Wolfsburg,0-1,Borussia Dortmund
Sat Nov 3 2018,Hertha BSC Berlin,0-3,RB Leipzig
Sun Nov 4 2018,Bor Moenchengladbach,3-0,Fortuna Duesseldorf
Sun Nov 4 2018,1 Fsv Mainz 05,2-1,Werder Bremen
Fri Nov 9 2018,Hannover 96,2-1,Vfl Wolfsburg
Sat Nov 10 2018,1899 Hoffenheim,2-1,FC Augsburg
Sat Nov 10 2018,Werder Bremen,1-3,Bor Moenchengladbach
Sat Nov 10 2018,SC Freiburg,1-3,1 Fsv Mainz 05
Sat Nov 10 2018,Fortuna Duesseldorf,4-1,Hertha BSC Berlin
Sat Nov 10 2018,1 FC Nuernberg,0-2,Vfb Stuttgart
Sat Nov 10 2018,Borussia Dortmund,3-2,Bayern Muenchen
