Date,Team 1,FT,Team 2
Fri Aug 10 2018,Manchester United,2-1,Leicester City
Sat Aug 11 2018,Newcastle United,1-2,Tottenham Hotspur
Sat Aug 11 2018,Afc Bournemouth,2-0,Cardiff City
Sat Aug 11 2018,Fulham FC,0-2,Crystal Palace
Sat Aug 11 2018,Huddersfield Town,0-3,Chelsea FC
Sat Aug 11 2018,Watford FC,2-0,Brighton Hove Albion
Sat Aug 11 2018,Wolverhampton Wanderers,2-2,Everton FC
Sun Aug 12 2018,Liverpool FC,4-0,West Ham United
Sun Aug 12 2018,Southampton FC,0-0,Burnley FC
Sun Aug 12 2018,Arsenal FC,0-2,Manchester City
Sat Aug 18 2018,Cardiff City,0-0,Newcastle United
Sat Aug 18 2018,Everton FC,2-1,Southampton FC
Sat Aug 18 2018,Leicester City,2-0,Wolverhampton Wanderers
Sat Aug 18 2018,Tottenham Hotspur,3-1,Fulham FC
Sat Aug 18 2018,West Ham United,1-2,Afc Bournemouth
Sat Aug 18 2018,Chelsea FC,3-2,Arsenal FC
Sun Aug 19 2018,Burnley FC,1-3,Watford FC
Sun Aug 19 2018,Manchester City,6-1,Huddersfield Town
Sun Aug 19 2018,Brighton Hove Albion,3-2,Manchester United
Mon Aug 20 2018,Crystal Palace,0-2,Liverpool FC
Sat Aug 25 2018,Wolverhampton Wanderers,1-1,Manchester City
Sat Aug 25 2018,Afc Bournemouth,2-2,Everton FC
Sat Aug 25 2018,Arsenal FC,3-1,West Ham United
Sat Aug 25 2018,Huddersfield Town,0-0,Cardiff City
Sat Aug 25 2018,Southampton FC,1-2,Leicester City
Sat Aug 25 2018,Liverpool FC,1-0,Brighton Hove Albion
Sun Aug 26 2018,Watford FC,2-1,Crystal Palace
Sun Aug 26 2018,Fulham FC,4-2,Burnley FC
Sun Aug 26 2018,Newcastle United,1-2,Chelsea FC
Mon Aug 27 2018,Manchester United,0-3,Tottenham Hotspur
Sat Sep 1 2018,Leicester City,1-2,Liverpool FC
Sat Sep 1 2018,Brighton Hove Albion,2-2,Fulham FC
Sat Sep 1 2018,Chelsea FC,2-0,Afc Bournemouth
Sat Sep 1 2018,Crystal Palace,0-2,Southampton FC
Sat Sep 1 2018,Everton FC,1-1,Huddersfield Town
Sat Sep 1 2018,West Ham United,0-1,Wolverhampton Wanderers
Sat Sep 1 2018,Manchester City,2-1,Newcastle United
Sun Sep 2 2018,Cardiff City,2-3,Arsenal FC
Sun Sep 2 2018,Burnley FC,0-2,Manchester United
Sun Sep 2 2018,Watford FC,2-1,Tottenham Hotspur
Sat Sep 15 2018,Tottenham Hotspur,1-2,Liverpool FC
Sat Sep 15 2018,Afc Bournemouth,4-2,Leicester City
Sat Sep 15 2018,Chelsea FC,4-1,Cardiff City
Sat Sep 15 2018,Huddersfield Town,0-1,Crystal Palace
Sat Sep 15 2018,Manchester City,3-0,Fulham FC
Sat Sep 15 2018,Newcastle United,1-2,Arsenal FC
Sat Sep 15 2018,Watford FC,1-2,Manchester United
Sun Sep 16 2018,Wolverhampton Wanderers,1-0,Burnley FC
Sun Sep 16 2018,Everton FC,1-3,West Ham United
Mon Sep 17 2018,Southampton FC,2-2,Brighton Hove Albion
Sat Sep 22 2018,Fulham FC,1-1,Watford FC
Sat Sep 22 2018,Burnley FC,4-0,Afc Bournemouth
Sat Sep 22 2018,Cardiff City,0-5,Manchester City
Sat Sep 22 2018,Crystal Palace,0-0,Newcastle United
Sat Sep 22 2018,Leicester City,3-1,Huddersfield Town
Sat Sep 22 2018,Liverpool FC,3-0,Southampton FC
Sat Sep 22 2018,Manchester United,1-1,Wolverhampton Wanderers
Sat Sep 22 2018,Brighton Hove Albion,1-2,Tottenham Hotspur
Sun Sep 23 2018,West Ham United,0-0,Chelsea FC
Sun Sep 23 2018,Arsenal FC,2-0,Everton FC
Sat Sep 29 2018,West Ham United,3-1,Manchester United
Sat Sep 29 2018,Arsenal FC,2-0,Watford FC
Sat Sep 29 2018,Everton FC,3-0,Fulham FC
Sat Sep 29 2018,Huddersfield Town,0-2,Tottenham Hotspur
Sat Sep 29 2018,Manchester City,2-0,Brighton Hove Albion
Sat Sep 29 2018,Newcastle United,0-2,Leicester City
Sat Sep 29 2018,Wolverhampton Wanderers,2-0,Southampton FC
Sat Sep 29 2018,Chelsea FC,1-1,Liverpool FC
Sun Sep 30 2018,Cardiff City,1-2,Burnley FC
Mon Oct 1 2018,Afc Bournemouth,2-1,Crystal Palace
Fri Oct 5 2018,Brighton Hove Albion,1-0,West Ham United
Sat Oct 6 2018,Burnley FC,1-1,Huddersfield Town
Sat Oct 6 2018,Crystal Palace,0-1,Wolverhampton Wanderers
Sat Oct 6 2018,Leicester City,1-2,Everton FC
Sat Oct 6 2018,Tottenham Hotspur,1-0,Cardiff City
Sat Oct 6 2018,Watford FC,0-4,Afc Bournemouth
Sat Oct 6 2018,Manchester United,3-2,Newcastle United
Sun Oct 7 2018,Fulham FC,1-5,Arsenal FC
Sun Oct 7 2018,Southampton FC,0-3,Chelsea FC
Sun Oct 7 2018,Liverpool FC,0-0,Manchester City
Sat Oct 20 2018,Chelsea FC,2-2,Manchester United
Sat Oct 20 2018,Afc Bournemouth,0-0,Southampton FC
Sat Oct 20 2018,Cardiff City,4-2,Fulham FC
Sat Oct 20 2018,Manchester City,5-0,Burnley FC
Sat Oct 20 2018,Newcastle United,0-1,Brighton Hove Albion
Sat Oct 20 2018,West Ham United,0-1,Tottenham Hotspur
Sat Oct 20 2018,Wolverhampton Wanderers,0-2,Watford FC
Sat Oct 20 2018,Huddersfield Town,0-1,Liverpool FC
Sun Oct 21 2018,Everton FC,2-0,Crystal Palace
Mon Oct 22 2018,Arsenal FC,3-1,Leicester City
Sat Oct 27 2018,Brighton Hove Albion,1-0,Wolverhampton Wanderers
Sat Oct 27 2018,Fulham FC,0-3,Afc Bournemouth
Sat Oct 27 2018,Liverpool FC,4-1,Cardiff City
Sat Oct 27 2018,Southampton FC,0-0,Newcastle United
Sat Oct 27 2018,Watford FC,3-0,Huddersfield Town
Sat Oct 27 2018,Leicester City,1-1,West Ham United
Sun Oct 28 2018,Burnley FC,0-4,Chelsea FC
Sun Oct 28 2018,Crystal Palace,2-2,Arsenal FC
Sun Oct 28 2018,Manchester United,2-1,Everton FC
Mon Oct 29 2018,Tottenham Hotspur,0-1,Manchester City
Sat Nov 3 2018,Afc Bournemouth,1-2,Manchester United
Sat Nov 3 2018,Cardiff City,0-1,Leicester City
Sat Nov 3 2018,Everton FC,3-1,Brighton Hove Albion
Sat Nov 3 2018,Newcastle United,1-0,Watford FC
Sat Nov 3 2018,West Ham United,4-2,Burnley FC
Sat Nov 3 2018,Arsenal FC,1-1,Liverpool FC
Sat Nov 3 2018,Wolverhampton Wanderers,2-3,Tottenham Hotspur
Sun Nov 4 2018,Manchester City,6-1,Southampton FC
Sun Nov 4 2018,Chelsea FC,3-1,Crystal Palace
Mon Nov 5 2018,Huddersfield Town,1-0,Fulham FC
Sat Nov 10 2018,Cardiff City,2-1,Brighton Hove Albion
Sat Nov 10 2018,Huddersfield Town,1-1,West Ham United
Sat Nov 10 2018,Leicester City,0-0,Burnley FC
Sat Nov 10 2018,Newcastle United,2-1,Afc Bournemouth
Sat Nov 10 2018,Southampton FC,1-1,Watford FC
Sat Nov 10 2018,Crystal Palace,0-1,Tottenham Hotspur
Sun Nov 11 2018,Liverpool FC,2-0,Fulham FC
Sun Nov 11 2018,Chelsea FC,0-0,Everton FC
