Date,Team 1,FT,Team 2
Sat Aug 28 1948,Rapid Wien,1-1,SC Wacker Wien
Sun Aug 29 1948,Austria Wien,2-1,FC Wien
Sun Aug 29 1948,SK Admira Vienna,3-2,First Vienna FC
Sun Aug 29 1948,SCR Hochstädt,0-2,Favoritner AC
Wed Sep 1 1948,Sportclub,1-1,SC Rapid Oberlaa
Sat Sep 4 1948,SC Rapid Oberlaa,0-2,Austria Wien
Sun Sep 5 1948,First Vienna FC,5-1,Rapid Wien
Sun Sep 5 1948,SC Wacker Wien,0-2,Sportclub
Sun Sep 5 1948,Favoritner AC,2-3,SK Admira Vienna
Sun Sep 5 1948,FC Wien,2-0,SCR Hochstädt
Wed Sep 8 1948,SC Wacker Wien,4-0,SCR Hochstädt
Sat Sep 11 1948,Sportclub,3-0,FC Wien
Sat Sep 11 1948,SCR Hochstädt,3-2,SC Rapid Oberlaa
Sun Sep 12 1948,Austria Wien,6-2,First Vienna FC
Sun Sep 12 1948,SK Admira Vienna,1-2,SC Wacker Wien
Sun Sep 12 1948,Rapid Wien,2-0,Favoritner AC
Sat Sep 18 1948,SC Rapid Oberlaa,1-5,Rapid Wien
Sun Sep 19 1948,First Vienna FC,2-4,Sportclub
Sun Sep 19 1948,FC Wien,3-2,SK Admira Vienna
Sun Sep 19 1948,FC Wien,2-4,Austria Wien
Sat Sep 25 1948,FC Wien,2-2,Favoritner AC
Sun Sep 26 1948,Austria Wien,1-1,SK Admira Vienna
Sun Sep 26 1948,SCR Hochstädt,0-4,First Vienna FC
Sun Sep 26 1948,Rapid Wien,1-1,Sportclub
Sun Sep 26 1948,SC Wacker Wien,4-3,SC Rapid Oberlaa
Sat Oct 9 1948,SK Admira Vienna,5-1,SCR Hochstädt
Sat Oct 9 1948,SC Rapid Oberlaa,2-1,Favoritner AC
Sun Oct 10 1948,Sportclub,1-0,Austria Wien
Sun Oct 10 1948,First Vienna FC,1-2,SC Wacker Wien
Sun Oct 10 1948,Rapid Wien,5-1,FC Wien
Sat Oct 16 1948,First Vienna FC,4-2,SC Rapid Oberlaa
Sat Oct 16 1948,Favoritner AC,4-3,Sportclub
Sun Oct 17 1948,SK Admira Vienna,3-2,Rapid Wien
Sun Oct 17 1948,Austria Wien,10-2,SCR Hochstädt
Sat Oct 23 1948,Sportclub,4-0,SCR Hochstädt
Sat Oct 23 1948,SC Rapid Oberlaa,1-7,SK Admira Vienna
Sun Oct 24 1948,Rapid Wien,1-2,Austria Wien
Sun Oct 24 1948,SC Wacker Wien,3-3,Favoritner AC
Sun Oct 24 1948,First Vienna FC,1-2,FC Wien
Sat Nov 6 1948,SCR Hochstädt,2-2,Rapid Wien
Sat Nov 6 1948,Favoritner AC,2-3,First Vienna FC
Sun Nov 7 1948,Austria Wien,0-1,SC Wacker Wien
Sun Nov 7 1948,SK Admira Vienna,8-1,Sportclub
Sun Nov 7 1948,FC Wien,6-0,SC Rapid Oberlaa
Sun Nov 28 1948,FC Wien,1-1,SC Wacker Wien
Sat Feb 26 1949,First Vienna FC,1-1,SK Admira Vienna
Sat Feb 26 1949,SC Rapid Oberlaa,1-2,Sportclub
Sun Feb 27 1949,SC Wacker Wien,1-2,Rapid Wien
Sun Feb 27 1949,Favoritner AC,2-0,SCR Hochstädt
Sun Feb 27 1949,FC Wien,3-0,Austria Wien
Sat Mar 5 1949,Sportclub,2-3,SC Wacker Wien
Sat Mar 5 1949,SCR Hochstädt,0-2,FC Wien
Sun Mar 6 1949,Austria Wien,4-0,SC Rapid Oberlaa
Sun Mar 6 1949,SK Admira Vienna,8-4,Favoritner AC
Mon Mar 7 1949,Rapid Wien,2-1,First Vienna FC
Sat Mar 12 1949,FC Wien,3-1,Sportclub
Sat Mar 12 1949,SC Rapid Oberlaa,3-3,SCR Hochstädt
Sun Mar 13 1949,SC Wacker Wien,3-1,SK Admira Vienna
Sun Mar 13 1949,First Vienna FC,2-1,Austria Wien
Sun Mar 13 1949,Favoritner AC,2-8,Rapid Wien
Sat Mar 26 1949,Sportclub,1-1,First Vienna FC
Sat Mar 26 1949,SCR Hochstädt,0-3,SC Wacker Wien
Sun Mar 27 1949,Rapid Wien,4-0,SC Rapid Oberlaa
Sun Mar 27 1949,SK Admira Vienna,3-1,FC Wien
Sun Mar 27 1949,Austria Wien,1-0,Favoritner AC
Sat Apr 9 1949,Favoritner AC,4-0,FC Wien
Sat Apr 9 1949,SC Rapid Oberlaa,0-2,SC Wacker Wien
Sun Apr 10 1949,SK Admira Vienna,1-5,Austria Wien
Sun Apr 10 1949,Sportclub,1-3,Rapid Wien
Sun Apr 10 1949,First Vienna FC,7-0,SCR Hochstädt
Sat Apr 23 1949,Austria Wien,3-2,Sportclub
Sat Apr 23 1949,SCR Hochstädt,0-8,SK Admira Vienna
Sun Apr 24 1949,FC Wien,1-6,Rapid Wien
Sun Apr 24 1949,SC Wacker Wien,1-0,First Vienna FC
Sun Apr 24 1949,Favoritner AC,2-0,SC Rapid Oberlaa
Thu Apr 28 1949,Rapid Wien,4-1,SK Admira Vienna
Sat May 14 1949,Rapid Wien,9-1,SCR Hochstädt
Sat May 14 1949,Sportclub,0-4,SK Admira Vienna
Sun May 15 1949,SC Wacker Wien,3-10,Austria Wien
Sun May 15 1949,First Vienna FC,2-1,Favoritner AC
Wed May 25 1949,Sportclub,4-0,Favoritner AC
Thu May 26 1949,SC Rapid Oberlaa,0-2,FC Wien
Sat May 28 1949,Favoritner AC,4-1,SC Wacker Wien
Sat May 28 1949,FC Wien,3-3,First Vienna FC
Sun May 29 1949,Austria Wien,5-3,Rapid Wien
Sun May 29 1949,SK Admira Vienna,9-0,SC Rapid Oberlaa
Sun May 29 1949,SCR Hochstädt,0-2,Wiener Sportklub
Wed Jun 1 1949,SCR Hochstädt,2-9,Austria Wien
Sat Jun 11 1949,SC Wacker Wien,0-3,FC Wien
Sat Jun 11 1949,SC Rapid Oberlaa,0-3,First Vienna FC
