Date,Team 1,FT,Team 2
Sat Jul 3 1948,Vfb Stuttgart,9-3,Rot Weiss Frankfurt
Sat Jul 3 1948,TSV 1860 Muenchen,8-1,VFL Neckarau
Sun Jul 4 1948,Kickers Offenbach,1-2,Stuttgarter Kickers
Sun Jul 4 1948,1 FC Schweinfurt 05,0-1,Eintracht Frankfurt
Sun Jul 4 1948,Sportfreunde Stuttgart,1-3,SSV Ulm 1846
Sun Jul 4 1948,FSV Frankfurt,1-0,VFB Muehlburg
Sun Jul 18 1948,Tus Koblenz,2-1,Hamburger SV
Sun Jul 18 1948,1 FC Kaiserslautern,5-1,TSV 1860 Muenchen
Sun Jul 18 1948,1 FC Union Berlin,0-7,FC St Pauli
Sun Jul 25 1948,1 FC Nuernberg,3-2,FC St Pauli
Sun Jul 25 1948,1 FC Kaiserslautern,5-1,Tus Koblenz
Sun Aug 8 1948,1 FC Nuernberg,2-1,1 FC Kaiserslautern
Sat Aug 28 1948,Eintracht Frankfurt,3-1,1 FC Nuernberg
Sun Sep 12 1948,Kickers Offenbach,2-1,TSV 1860 Muenchen
Sun Sep 12 1948,Bayern Muenchen,1-1,1 FC Schweinfurt 05
Sun Sep 12 1948,FSV Frankfurt,2-2,Stuttgarter Kickers
Sun Sep 12 1948,Vfb Stuttgart,1-1,TSV Schwaben Augsburg
Sun Sep 12 1948,VFB Muehlburg,1-1,Eintracht Frankfurt
Sun Sep 12 1948,VFR Mannheim,3-3,1 FC Nuernberg
Sun Sep 12 1948,SSV Ulm 1846,1-2,FC Roedelheim 02
Sun Sep 12 1948,FC Augsburg,1-2,Waldhof Mannheim
Sun Sep 12 1948,Borussia Dortmund,4-2,Spvgg Erkenschwick
Sun Sep 12 1948,Rot Weiss Oberhausen,6-1,Sportfreunde Katernberg
Sun Sep 12 1948,Hamborn 07,4-2,TSG Vohwinkel 80
Sun Sep 12 1948,FC Schalke 04,2-3,SV Rhenania Wuerselen
Sun Sep 12 1948,Preussen Munster,1-0,Fortuna Duesseldorf
Sat Sep 18 1948,Eintracht Frankfurt,0-2,FC Augsburg
Sun Sep 19 1948,TSV 1860 Muenchen,4-1,Vfb Stuttgart
Sun Sep 19 1948,1 FC Schweinfurt 05,2-1,SSV Ulm 1846
Sun Sep 19 1948,Stuttgarter Kickers,4-0,VFB Muehlburg
Sun Sep 19 1948,TSV Schwaben Augsburg,3-0,FSV Frankfurt
Sun Sep 19 1948,1 FC Nuernberg,2-2,Bayern Muenchen
Sun Sep 19 1948,FC Roedelheim 02,1-2,VFR Mannheim
Sun Sep 19 1948,Waldhof Mannheim,2-2,Kickers Offenbach
Sun Sep 19 1948,Rot Weiss Oberhausen,0-3,Alemannia Aachen
Sun Sep 19 1948,TSG Vohwinkel 80,2-1,Sportfreunde Katernberg
Sun Sep 19 1948,Rot Weiss Essen,1-0,Preussen Munster
Sun Sep 19 1948,SV Rhenania Wuerselen,1-2,Hamborn 07
Sun Sep 19 1948,Spvgg Erkenschwick,0-2,FC Schalke 04
Sun Sep 19 1948,Fortuna Duesseldorf,3-2,STV Horst Emscher
Sun Sep 26 1948,Vfb Stuttgart,1-1,Eintracht Frankfurt
Sun Sep 26 1948,SSV Ulm 1846,0-1,TSV 1860 Muenchen
Sun Sep 26 1948,VFB Muehlburg,1-1,Waldhof Mannheim
Sun Sep 26 1948,FSV Frankfurt,1-0,FC Roedelheim 02
Sun Sep 26 1948,FC Augsburg,2-1,1 FC Schweinfurt 05
Sun Sep 26 1948,Bayern Muenchen,3-0,TSV Schwaben Augsburg
Sun Sep 26 1948,VFR Mannheim,1-1,Stuttgarter Kickers
Sun Sep 26 1948,Kickers Offenbach,4-1,1 FC Nuernberg
Sun Sep 26 1948,Borussia Dortmund,5-2,FC Schalke 04
Sun Sep 26 1948,Sportfreunde Katernberg,1-2,SV Rhenania Wuerselen
Sun Sep 26 1948,STV Horst Emscher,0-2,Rot Weiss Essen
Sun Sep 26 1948,Alemannia Aachen,4-0,TSG Vohwinkel 80
Sun Sep 26 1948,Hamborn 07,5-1,Spvgg Erkenschwick
Sun Sep 26 1948,Preussen Munster,0-3,Rot Weiss Oberhausen
Sun Oct 3 1948,TSV 1860 Muenchen,2-1,FC Augsburg
Sun Oct 3 1948,FC Roedelheim 02,1-5,VFB Muehlburg
Sun Oct 3 1948,1 FC Schweinfurt 05,3-0,VFR Mannheim
Sun Oct 3 1948,Stuttgarter Kickers,6-1,SSV Ulm 1846
Sun Oct 3 1948,TSV Schwaben Augsburg,0-3,Kickers Offenbach
Sun Oct 3 1948,1 FC Nuernberg,2-1,FSV Frankfurt
Sun Oct 3 1948,Waldhof Mannheim,2-3,Vfb Stuttgart
Sun Oct 3 1948,Eintracht Frankfurt,4-1,Bayern Muenchen
Sun Oct 3 1948,Alemannia Aachen,1-1,Rot Weiss Essen
Sat Oct 9 1948,Bayern Muenchen,5-3,FC Roedelheim 02
Sun Oct 10 1948,SSV Ulm 1846,1-0,Eintracht Frankfurt
Sun Oct 10 1948,Kickers Offenbach,3-1,1 FC Schweinfurt 05
Sun Oct 10 1948,FSV Frankfurt,4-2,Waldhof Mannheim
Sun Oct 10 1948,FC Augsburg,0-2,1 FC Nuernberg
Sun Oct 10 1948,VFR Mannheim,1-0,TSV 1860 Muenchen
Sun Oct 10 1948,VFB Muehlburg,0-1,TSV Schwaben Augsburg
Sun Oct 10 1948,SV Rhenania Wuerselen,3-0,Alemannia Aachen
Sun Oct 10 1948,TSG Vohwinkel 80,2-1,Preussen Munster
Sun Oct 10 1948,Spvgg Erkenschwick,4-0,Sportfreunde Katernberg
Sun Oct 10 1948,Rot Weiss Oberhausen,5-0,STV Horst Emscher
Sun Oct 10 1948,Rot Weiss Essen,3-0,Fortuna Duesseldorf
Sun Oct 10 1948,Borussia Dortmund,5-0,Hamborn 07
Sun Oct 17 1948,Alemannia Aachen,0-1,Spvgg Erkenschwick
Sun Oct 17 1948,Preussen Munster,2-1,SV Rhenania Wuerselen
Sun Oct 17 1948,Hamborn 07,4-1,FC Schalke 04
Sun Oct 17 1948,Sportfreunde Katernberg,1-1,Borussia Dortmund
Sun Oct 17 1948,STV Horst Emscher,2-2,TSG Vohwinkel 80
Sun Oct 17 1948,Fortuna Duesseldorf,1-3,Rot Weiss Oberhausen
Sat Oct 23 1948,Eintracht Frankfurt,1-3,Kickers Offenbach
Sun Oct 24 1948,FC Roedelheim 02,4-3,FC Augsburg
Sun Oct 24 1948,1 FC Nuernberg,3-2,Stuttgarter Kickers
Sun Oct 24 1948,Waldhof Mannheim,3-1,Bayern Muenchen
Sun Oct 24 1948,TSV Schwaben Augsburg,3-0,SSV Ulm 1846
Sun Oct 24 1948,1 FC Schweinfurt 05,2-4,FSV Frankfurt
Sun Oct 24 1948,TSV 1860 Muenchen,4-4,VFB Muehlburg
Sun Oct 24 1948,Vfb Stuttgart,3-1,VFR Mannheim
Sun Oct 24 1948,FC Schalke 04,1-2,Sportfreunde Katernberg
Sun Oct 24 1948,TSG Vohwinkel 80,1-2,Fortuna Duesseldorf
Sun Oct 24 1948,Spvgg Erkenschwick,3-0,Preussen Munster
Sun Oct 24 1948,Borussia Dortmund,8-1,Alemannia Aachen
Sun Oct 24 1948,SV Rhenania Wuerselen,1-1,STV Horst Emscher
Sun Oct 24 1948,Rot Weiss Oberhausen,0-0,Rot Weiss Essen
Sun Oct 31 1948,FC Augsburg,0-4,TSV Schwaben Augsburg
Sun Oct 31 1948,Stuttgarter Kickers,2-1,Vfb Stuttgart
Sun Oct 31 1948,TSV 1860 Muenchen,0-2,Bayern Muenchen
Sun Oct 31 1948,VFB Muehlburg,3-0,SSV Ulm 1846
Sun Oct 31 1948,Eintracht Frankfurt,3-2,FSV Frankfurt
Sun Oct 31 1948,Kickers Offenbach,5-0,FC Roedelheim 02
Sun Oct 31 1948,Waldhof Mannheim,1-2,VFR Mannheim
Sun Oct 31 1948,1 FC Schweinfurt 05,1-1,1 FC Nuernberg
Sun Oct 31 1948,Rot Weiss Essen,0-0,TSG Vohwinkel 80
Sun Oct 31 1948,Preussen Munster,0-4,Borussia Dortmund
Sun Oct 31 1948,STV Horst Emscher,6-0,Spvgg Erkenschwick
Sun Oct 31 1948,Fortuna Duesseldorf,0-0,SV Rhenania Wuerselen
Sun Oct 31 1948,Alemannia Aachen,1-1,FC Schalke 04
Sat Nov 6 1948,FC Roedelheim 02,0-2,1 FC Schweinfurt 05
