Date,Team 1,FT,Team 2
Fri Aug 22 2008,Vitoria Guimaraes,1-1,Vitoria Setubal
Sat Aug 23 2008,Pacos De Ferreira,0-2,Sporting Braga
Sat Aug 23 2008,Sporting CP,3-1,CD Trofense
Sun Aug 24 2008,Estrela Amadora,1-0,Academica De Coimbra
Sun Aug 24 2008,Naval 1 De Maio,1-0,CS Maritimo
Sun Aug 24 2008,Leixoes SC,1-3,CD Nacional
Sun Aug 24 2008,FC Porto,2-0,Os Belenenses
Sun Aug 24 2008,Rio Ave FC,1-1,Sl Benfica
Fri Aug 29 2008,Os Belenenses,2-2,Pacos De Ferreira
Sat Aug 30 2008,Sl Benfica,1-1,FC Porto
Sun Aug 31 2008,Academica De Coimbra,1-0,Rio Ave FC
Sun Aug 31 2008,CD Nacional,2-1,Naval 1 De Maio
Sun Aug 31 2008,CD Trofense,1-2,Leixoes SC
Sun Aug 31 2008,Vitoria Setubal,1-0,Estrela Amadora
Mon Sep 1 2008,CS Maritimo,0-1,Vitoria Guimaraes
Mon Sep 1 2008,Sporting Braga,0-1,Sporting CP
Sat Sep 20 2008,Sporting CP,2-0,Os Belenenses
Sun Sep 21 2008,Estrela Amadora,0-0,CS Maritimo
Sun Sep 21 2008,Naval 1 De Maio,3-1,CD Trofense
Sun Sep 21 2008,Leixoes SC,2-0,Sporting Braga
Sun Sep 21 2008,Rio Ave FC,0-0,FC Porto
Sun Sep 21 2008,Academica De Coimbra,1-0,Vitoria Setubal
Mon Sep 22 2008,Vitoria Guimaraes,0-2,CD Nacional
Mon Sep 22 2008,Pacos De Ferreira,3-4,Sl Benfica
Fri Sep 26 2008,FC Porto,2-0,Pacos De Ferreira
Sat Sep 27 2008,Sporting Braga,1-1,Naval 1 De Maio
Sat Sep 27 2008,Vitoria Setubal,1-0,Rio Ave FC
Sat Sep 27 2008,Sl Benfica,2-0,Sporting CP
Sun Sep 28 2008,CS Maritimo,2-0,Academica De Coimbra
Sun Sep 28 2008,CD Nacional,1-2,Estrela Amadora
Sun Sep 28 2008,CD Trofense,1-3,Vitoria Guimaraes
Mon Sep 29 2008,Os Belenenses,0-1,Leixoes SC
Sat Oct 4 2008,Naval 1 De Maio,1-1,Os Belenenses
Sun Oct 5 2008,Academica De Coimbra,1-1,CD Nacional
Sun Oct 5 2008,Estrela Amadora,1-0,CD Trofense
Sun Oct 5 2008,Rio Ave FC,3-2,Pacos De Ferreira
Sun Oct 5 2008,Sporting CP,1-2,FC Porto
Mon Oct 6 2008,Vitoria Guimaraes,0-0,Sporting Braga
Mon Oct 6 2008,Leixoes SC,1-1,Sl Benfica
Tue Oct 7 2008,Vitoria Setubal,0-2,CS Maritimo
Fri Oct 24 2008,CD Trofense,0-0,Academica De Coimbra
