Round,Date,Team 1,Team 2,FT,HT
?,(Sat) Aug/9 2008 (31),Auxerre (1),Nantes (1),2-1,1-0
?,(Sat) Aug/9 2008 (31),Bordeaux (1),Caen (1),2-1,0-1
?,(Sat) Aug/9 2008 (31),Le Havre (1),Nice (1),1-0,0-0
?,(Sat) Aug/9 2008 (31),Le Mans (1),Lorient (1),0-1,0-0
?,(Sat) Aug/9 2008 (31),Monaco (1),Paris SG (1),1-0,0-0
?,(Sat) Aug/9 2008 (31),Nancy (1),Lille (1),0-0,0-0
?,(Sat) Aug/9 2008 (31),Rennes (1),Marseille (1),4-4,1-3
?,(Sat) Aug/9 2008 (31),Sochaux (1),Grenoble (1),1-2,0-0
?,(Sat) Aug/9 2008 (31),Valenciennes (1),St Etienne (1),1-0,1-0
?,(Sun) Aug/10 2008 (31),Lyon (1),Toulouse (1),3-0,1-0
?,(Sat) Aug/16 2008 (32),Caen (2),Valenciennes (2),3-1,3-1
?,(Sat) Aug/16 2008 (32),Lille (2),Le Mans (2),1-3,0-2
?,(Sat) Aug/16 2008 (32),Nantes (2),Monaco (2),1-1,0-1
?,(Sat) Aug/16 2008 (32),Nice (2),Nancy (2),2-1,1-1
?,(Sat) Aug/16 2008 (32),Paris SG (2),Bordeaux (2),1-0,0-0
?,(Sat) Aug/16 2008 (32),St Etienne (2),Sochaux (2),2-1,2-0
?,(Sat) Aug/16 2008 (32),Toulouse (2),Le Havre (2),2-1,0-1
?,(Sun) Aug/17 2008 (32),Grenoble (2),Rennes (2),1-0,1-0
?,(Sun) Aug/17 2008 (32),Lorient (2),Lyon (2),0-0,0-0
?,(Sun) Aug/17 2008 (32),Marseille (2),Auxerre (2),4-0,1-0
?,(Sat) Aug/23 2008 (33),Le Havre (3),Marseille (3),0-1,0-0
?,(Sat) Aug/23 2008 (33),Le Mans (3),St Etienne (3),1-0,1-0
?,(Sat) Aug/23 2008 (33),Lyon (3),Grenoble (3),2-0,2-0
?,(Sat) Aug/23 2008 (33),Monaco (3),Caen (3),1-1,0-0
?,(Sat) Aug/23 2008 (33),Nancy (3),Toulouse (3),0-0,0-0
?,(Sat) Aug/23 2008 (33),Sochaux (3),Paris SG (3),1-1,0-0
?,(Sat) Aug/23 2008 (33),Valenciennes (3),Lorient (3),3-1,2-0
?,(Sun) Aug/24 2008 (33),Auxerre (3),Nice (3),0-1,0-1
?,(Sun) Aug/24 2008 (33),Bordeaux (3),Nantes (3),2-0,1-0
?,(Sun) Aug/24 2008 (33),Rennes (3),Lille (3),2-1,0-1
?,(Sat) Aug/30 2008 (34),Caen (4),Paris SG (4),0-1,0-1
?,(Sat) Aug/30 2008 (34),Grenoble (4),Monaco (4),1-0,1-0
?,(Sat) Aug/30 2008 (34),Lorient (4),Auxerre (4),0-2,0-1
?,(Sat) Aug/30 2008 (34),Marseille (4),Sochaux (4),2-1,1-0
?,(Sat) Aug/30 2008 (34),Nancy (4),Le Havre (4),2-1,0-1
?,(Sat) Aug/30 2008 (34),Nantes (4),Le Mans (4),1-4,1-2
?,(Sat) Aug/30 2008 (34),Nice (4),Valenciennes (4),2-0,0-0
?,(Sun) Aug/31 2008 (34),Lille (4),Bordeaux (4),2-1,1-1
?,(Sun) Aug/31 2008 (34),St Etienne (4),Lyon (4),0-1,0-0
?,(Sun) Aug/31 2008 (34),Toulouse (4),Rennes (4),0-0,0-0
?,(Sat) Sep/13 2008 (36),Auxerre (5),Nancy (5),1-1,0-0
?,(Sat) Sep/13 2008 (36),Bordeaux (5),Marseille (5),1-1,1-1
?,(Sat) Sep/13 2008 (36),Le Mans (5),Toulouse (5),1-2,1-2
?,(Sat) Sep/13 2008 (36),Lyon (5),Nice (5),3-2,1-2
?,(Sat) Sep/13 2008 (36),Monaco (5),Lorient (5),2-0,1-0
?,(Sat) Sep/13 2008 (36),Rennes (5),Le Havre (5),1-1,1-1
?,(Sat) Sep/13 2008 (36),Valenciennes (5),Grenoble (5),1-1,0-0
?,(Sun) Sep/14 2008 (36),Caen (5),St Etienne (5),2-0,1-0
?,(Sun) Sep/14 2008 (36),Paris SG (5),Nantes (5),1-0,1-0
?,(Sun) Sep/14 2008 (36),Sochaux (5),Lille (5),1-1,0-0
?,(Sat) Sep/20 2008 (37),Grenoble (6),Bordeaux (6),0-1,0-0
?,(Sat) Sep/20 2008 (37),Le Havre (6),Lyon (6),0-1,0-1
?,(Sat) Sep/20 2008 (37),Lille (6),Auxerre (6),3-2,1-0
?,(Sat) Sep/20 2008 (37),Lorient (6),Caen (6),1-1,1-0
?,(Sat) Sep/20 2008 (37),Nantes (6),Valenciennes (6),2-0,1-0
?,(Sat) Sep/20 2008 (37),Nice (6),Le Mans (6),2-2,2-0
?,(Sat) Sep/20 2008 (37),Toulouse (6),Sochaux (6),2-1,1-0
?,(Sun) Sep/21 2008 (37),Marseille (6),Monaco (6),0-0,0-0
?,(Sun) Sep/21 2008 (37),Nancy (6),Rennes (6),0-0,0-0
?,(Sun) Sep/21 2008 (37),St Etienne (6),Paris SG (6),1-0,1-0
?,(Sat) Sep/27 2008 (38),Auxerre (7),Le Havre (7),3-0,1-0
?,(Sat) Sep/27 2008 (38),Caen (7),Nantes (7),3-0,3-0
?,(Sat) Sep/27 2008 (38),Le Mans (7),Marseille (7),1-1,1-1
?,(Sat) Sep/27 2008 (38),Lyon (7),Nancy (7),2-1,2-1
?,(Sat) Sep/27 2008 (38),Paris SG (7),Grenoble (7),0-1,0-0
?,(Sat) Sep/27 2008 (38),Rennes (7),Nice (7),1-0,0-0
?,(Sat) Sep/27 2008 (38),Sochaux (7),Lorient (7),1-1,0-1
?,(Sun) Sep/28 2008 (38),Bordeaux (7),St Etienne (7),1-1,0-1
?,(Sun) Sep/28 2008 (38),Monaco (7),Lille (7),0-2,0-0
?,(Sun) Sep/28 2008 (38),Valenciennes (7),Toulouse (7),0-1,0-0
?,(Sat) Oct/4 2008 (39),Grenoble (8),Nantes (8),0-1,0-0
?,(Sat) Oct/4 2008 (39),Le Havre (8),Le Mans (8),1-2,1-0
?,(Sat) Oct/4 2008 (39),Lille (8),Valenciennes (8),1-0,0-0
