Date,Team 1,FT,Team 2
Fri Aug 17 2007,SC Heerenveen,0-0,Willem II
Sat Aug 18 2007,NAC Breda,0-3,FC Groningen
Sat Aug 18 2007,AZ Alkmaar,4-0,VVV Venlo
Sat Aug 18 2007,Sbv Excelsior,0-2,FC Twente
Sat Aug 18 2007,NEC Nijmegen,1-1,Roda JC Kerkrade
Sun Aug 19 2007,De Graafschap,1-8,AFC Ajax
Sun Aug 19 2007,FC Utrecht,0-3,Feyenoord
Sun Aug 19 2007,Sparta Rotterdam,1-2,Vitesse
Sun Aug 19 2007,Heracles Almelo,0-2,PSV Eindhoven
Fri Aug 24 2007,Roda JC Kerkrade,2-1,Heracles Almelo
Sat Aug 25 2007,Willem II,2-2,Sparta Rotterdam
Sat Aug 25 2007,PSV Eindhoven,5-0,NEC Nijmegen
Sat Aug 25 2007,VVV Venlo,3-1,Sbv Excelsior
Sat Aug 25 2007,Vitesse,1-0,AZ Alkmaar
Sun Aug 26 2007,Feyenoord,5-0,NAC Breda
Sun Aug 26 2007,FC Twente,2-2,FC Utrecht
Sun Aug 26 2007,AFC Ajax,4-1,SC Heerenveen
Sun Aug 26 2007,FC Groningen,0-2,De Graafschap
Fri Aug 31 2007,AZ Alkmaar,3-0,Sbv Excelsior
Sat Sep 1 2007,SC Heerenveen,3-3,Sparta Rotterdam
Sat Sep 1 2007,NAC Breda,4-1,Heracles Almelo
Sat Sep 1 2007,Feyenoord,2-0,Willem II
Sat Sep 1 2007,FC Twente,0-0,PSV Eindhoven
Sun Sep 2 2007,Vitesse,1-0,NEC Nijmegen
Sun Sep 2 2007,VVV Venlo,3-5,Roda JC Kerkrade
Sun Sep 2 2007,FC Utrecht,2-2,De Graafschap
Sun Sep 2 2007,AFC Ajax,2-2,FC Groningen
Fri Sep 14 2007,FC Groningen,0-2,FC Utrecht
Sat Sep 15 2007,PSV Eindhoven,1-0,Vitesse
Sat Sep 15 2007,Sbv Excelsior,2-5,SC Heerenveen
Sat Sep 15 2007,Heracles Almelo,0-1,AFC Ajax
Sat Sep 15 2007,De Graafschap,3-2,VVV Venlo
Sun Sep 16 2007,Roda JC Kerkrade,1-3,Feyenoord
Sun Sep 16 2007,Sparta Rotterdam,2-2,AZ Alkmaar
Sun Sep 16 2007,Willem II,1-3,FC Twente
Sun Sep 16 2007,NEC Nijmegen,0-1,NAC Breda
Fri Sep 21 2007,VVV Venlo,1-3,NAC Breda
Sat Sep 22 2007,Willem II,1-0,Roda JC Kerkrade
Sat Sep 22 2007,Sparta Rotterdam,1-1,Heracles Almelo
Sat Sep 22 2007,Vitesse,0-2,De Graafschap
Sun Sep 23 2007,AZ Alkmaar,2-3,AFC Ajax
Sun Sep 23 2007,SC Heerenveen,2-3,FC Utrecht
Sun Sep 23 2007,FC Twente,3-0,NEC Nijmegen
Sun Sep 23 2007,PSV Eindhoven,4-0,Feyenoord
Sun Sep 23 2007,Sbv Excelsior,1-3,FC Groningen
Sat Sep 29 2007,NAC Breda,1-1,PSV Eindhoven
Sat Sep 29 2007,Roda JC Kerkrade,3-3,Sbv Excelsior
Sat Sep 29 2007,FC Groningen,1-0,Sparta Rotterdam
Sat Sep 29 2007,Feyenoord,2-0,SC Heerenveen
Sun Sep 30 2007,NEC Nijmegen,1-0,Willem II
Sun Sep 30 2007,FC Utrecht,2-4,Vitesse
Sun Sep 30 2007,AFC Ajax,6-1,VVV Venlo
Sun Sep 30 2007,Heracles Almelo,2-1,AZ Alkmaar
Sun Sep 30 2007,De Graafschap,0-0,FC Twente
Fri Oct 5 2007,VVV Venlo,1-2,FC Utrecht
Sat Oct 6 2007,NAC Breda,1-0,De Graafschap
Sat Oct 6 2007,PSV Eindhoven,3-0,Willem II
Sat Oct 6 2007,Sbv Excelsior,2-0,NEC Nijmegen
Sun Oct 7 2007,Sparta Rotterdam,2-2,AFC Ajax
Sun Oct 7 2007,FC Twente,0-1,Roda JC Kerkrade
Sun Oct 7 2007,Vitesse,0-1,Feyenoord
Sun Oct 7 2007,SC Heerenveen,9-0,Heracles Almelo
Sun Oct 7 2007,AZ Alkmaar,2-2,FC Groningen
Fri Oct 19 2007,De Graafschap,4-0,Sparta Rotterdam
Sat Oct 20 2007,AFC Ajax,0-0,NEC Nijmegen
Sat Oct 20 2007,PSV Eindhoven,3-1,VVV Venlo
Sat Oct 20 2007,Feyenoord,1-0,Sbv Excelsior
Sat Oct 20 2007,Heracles Almelo,2-2,Vitesse
Sun Oct 21 2007,AZ Alkmaar,0-1,SC Heerenveen
Sun Oct 21 2007,Willem II,0-0,NAC Breda
Sun Oct 21 2007,Roda JC Kerkrade,1-1,FC Utrecht
Sun Oct 21 2007,FC Groningen,1-0,FC Twente
Fri Oct 26 2007,Vitesse,1-0,Willem II
Sat Oct 27 2007,Roda JC Kerkrade,1-0,De Graafschap
Sat Oct 27 2007,VVV Venlo,0-4,SC Heerenveen
Sat Oct 27 2007,FC Twente,2-0,Feyenoord
Sat Oct 27 2007,Sbv Excelsior,1-1,Heracles Almelo
Sun Oct 28 2007,FC Utrecht,0-1,AFC Ajax
Sun Oct 28 2007,Sparta Rotterdam,1-4,PSV Eindhoven
Sun Oct 28 2007,NAC Breda,2-3,AZ Alkmaar
Sun Oct 28 2007,NEC Nijmegen,5-1,FC Groningen
Fri Nov 2 2007,Willem II,1-2,VVV Venlo
Sat Nov 3 2007,SC Heerenveen,2-1,PSV Eindhoven
Sat Nov 3 2007,AZ Alkmaar,4-0,NEC Nijmegen
Sat Nov 3 2007,Sbv Excelsior,4-3,Sparta Rotterdam
Sun Nov 4 2007,FC Utrecht,0-1,NAC Breda
Sun Nov 4 2007,Feyenoord,2-0,De Graafschap
Sun Nov 4 2007,AFC Ajax,4-2,Roda JC Kerkrade
Sun Nov 4 2007,Heracles Almelo,0-3,FC Twente
Sun Nov 4 2007,FC Groningen,0-0,Vitesse
Fri Nov 9 2007,NEC Nijmegen,3-0,Heracles Almelo
Sat Nov 10 2007,Willem II,1-4,FC Utrecht
Sat Nov 10 2007,VVV Venlo,2-0,Sparta Rotterdam
Sat Nov 10 2007,FC Twente,1-1,NAC Breda
Sat Nov 10 2007,De Graafschap,1-1,Sbv Excelsior
Sun Nov 11 2007,Feyenoord,2-2,AFC Ajax
Sun Nov 11 2007,PSV Eindhoven,1-1,AZ Alkmaar
Sun Nov 11 2007,Vitesse,0-1,SC Heerenveen
Sun Nov 11 2007,Roda JC Kerkrade,5-1,FC Groningen
Fri Nov 23 2007,NAC Breda,0-0,Roda JC Kerkrade
Sat Nov 24 2007,SC Heerenveen,2-3,De Graafschap
Sat Nov 24 2007,AZ Alkmaar,2-0,Willem II
