Date,Team 1,FT,Team 2
Fri Aug 20 1999,Vitoria Setubal,1-1,Vitoria Guimaraes
Sat Aug 21 1999,Boavista Porto,1-1,FC Porto
Sat Aug 21 1999,CD Santa Clara,2-2,Sporting CP
Sun Aug 22 1999,Rio Ave FC,1-1,Sl Benfica
Sun Aug 22 1999,FC Alverca,3-2,Sporting Braga
Sun Aug 22 1999,Estrela Amadora,0-3,Os Belenenses
Sun Aug 22 1999,SC Salgueiros,1-0,CS Maritimo
Sun Aug 22 1999,Sporting Farense,2-1,Uniao Leiria
Sun Aug 22 1999,Gil Vicente,3-0,Campomaiorense
Fri Aug 27 1999,Vitoria Guimaraes,3-0,Sporting Farense
Sat Aug 28 1999,FC Porto,0-0,FC Alverca
Sun Aug 29 1999,Sl Benfica,1-0,SC Salgueiros
Sun Aug 29 1999,Sporting Braga,0-1,Rio Ave FC
Sun Aug 29 1999,CS Maritimo,0-0,CD Santa Clara
Sun Aug 29 1999,Uniao Leiria,1-1,Estrela Amadora
Sun Aug 29 1999,Os Belenenses,1-1,Gil Vicente
Sun Aug 29 1999,Campomaiorense,0-1,Boavista Porto
Mon Aug 30 1999,Sporting CP,2-1,Vitoria Setubal
Fri Sep 10 1999,Boavista Porto,1-0,Os Belenenses
Sat Sep 11 1999,Sporting Braga,0-1,FC Porto
Sun Sep 12 1999,Rio Ave FC,4-1,SC Salgueiros
Sun Sep 12 1999,Estrela Amadora,2-2,Vitoria Guimaraes
Sun Sep 12 1999,Vitoria Setubal,4-2,CS Maritimo
Sun Sep 12 1999,CD Santa Clara,0-3,Sl Benfica
Sun Sep 12 1999,Sporting Farense,0-3,Sporting CP
Sun Sep 12 1999,Gil Vicente,2-0,Uniao Leiria
Mon Sep 13 1999,FC Alverca,1-0,Campomaiorense
Fri Sep 17 1999,Campomaiorense,2-4,Sporting Braga
Sat Sep 18 1999,FC Porto,4-1,Rio Ave FC
Sat Sep 18 1999,Uniao Leiria,0-0,Boavista Porto
Sun Sep 19 1999,CS Maritimo,3-0,Sporting Farense
Sun Sep 19 1999,Vitoria Guimaraes,1-0,Gil Vicente
Sun Sep 19 1999,Os Belenenses,4-2,FC Alverca
Sun Sep 19 1999,SC Salgueiros,2-0,CD Santa Clara
Mon Sep 20 1999,Sl Benfica,3-0,Vitoria Setubal
Mon Sep 20 1999,Sporting CP,1-1,Estrela Amadora
Fri Sep 24 1999,FC Porto,2-0,Campomaiorense
Sat Sep 25 1999,Sporting Farense,0-1,Sl Benfica
Sat Sep 25 1999,Gil Vicente,1-1,Sporting CP
Sun Sep 26 1999,Sporting Braga,0-0,Os Belenenses
Sun Sep 26 1999,Rio Ave FC,0-5,CD Santa Clara
Sun Sep 26 1999,Boavista Porto,2-0,Vitoria Guimaraes
Sun Sep 26 1999,FC Alverca,0-0,Uniao Leiria
Sun Sep 26 1999,Estrela Amadora,1-1,CS Maritimo
Sun Sep 26 1999,Vitoria Setubal,1-2,SC Salgueiros
Sat Oct 2 1999,Vitoria Guimaraes,1-0,FC Alverca
Sat Oct 2 1999,Campomaiorense,1-1,Rio Ave FC
