Date,Team 1,Team 2,FT,HT
1999-07-31,Ajaccio,Lorient,0-1,0-1
1999-07-31,Chateauroux,Valence,3-3,0-2
1999-07-31,Creteil,Niort,1-1,1-0
1999-07-31,Guingamp,Amiens,2-3,2-0
1999-07-31,Laval,Lille,0-1,0-1
1999-07-31,Louhans-Cuis.,Cannes,0-1,0-0
1999-07-31,Nice,Gueugnon,1-1,0-0
1999-07-31,Nimes,Sochaux,2-1,1-0
1999-07-31,Toulouse,Caen,0-1,0-1
1999-07-31,Wasquehal,Le Mans,1-2,0-1
1999-08-05,Lorient,Chateauroux,1-1,1-0
1999-08-07,Amiens,Laval,1-1,0-0
1999-08-07,Caen,Wasquehal,0-0,0-0
1999-08-07,Cannes,Toulouse,0-2,0-1
1999-08-07,Gueugnon,Ajaccio,2-2,1-2
1999-08-07,Guingamp,Creteil,0-2,0-1
1999-08-07,Le Mans,Niort,2-2,2-1
1999-08-07,Lille,Nimes,1-0,0-0
1999-08-07,Sochaux,Nice,2-1,1-1
1999-08-07,Valence,Louhans-Cuis.,3-0,0-0
1999-08-13,Ajaccio,Sochaux,0-2,0-0
1999-08-13,Chateauroux,Gueugnon,0-1,0-0
1999-08-13,Creteil,Le Mans,1-1,1-0
1999-08-13,Laval,Guingamp,0-2,0-0
1999-08-13,Louhans-Cuis.,Lorient,0-1,0-1
1999-08-13,Nimes,Amiens,2-2,1-1
1999-08-13,Niort,Caen,0-0,0-0
1999-08-13,Toulouse,Valence,2-0,1-0
1999-08-13,Wasquehal,Cannes,0-2,0-1
1999-08-14,Nice,Lille,0-0,0-0
1999-08-17,Amiens,Nice,4-1,2-1
1999-08-17,Caen,Le Mans,1-1,1-0
1999-08-17,Cannes,Niort,2-1,1-1
1999-08-17,Gueugnon,Louhans-Cuis.,0-1,0-0
1999-08-17,Guingamp,Nimes,1-0,0-0
1999-08-17,Laval,Creteil,1-0,0-0
1999-08-17,Lille,Ajaccio,4-2,0-0
1999-08-17,Lorient,Toulouse,1-1,1-0
1999-08-17,Sochaux,Chateauroux,1-2,0-0
1999-08-17,Valence,Wasquehal,1-0,1-0
1999-08-20,Nice,Guingamp,0-0,0-0
1999-08-21,Ajaccio,Amiens,1-3,0-0
1999-08-21,Chateauroux,Lille,2-3,0-0
1999-08-21,Creteil,Caen,2-1,2-1
1999-08-21,Le Mans,Cannes,2-1,1-0
1999-08-21,Louhans-Cuis.,Sochaux,2-2,1-2
1999-08-21,Nimes,Laval,0-0,0-0
1999-08-21,Niort,Valence,1-1,1-1
1999-08-21,Toulouse,Gueugnon,2-0,1-0
1999-08-21,Wasquehal,Lorient,1-0,0-0
1999-08-27,Amiens,Chateauroux,1-0,0-0
1999-08-27,Cannes,Caen,1-0,1-0
1999-08-27,Gueugnon,Wasquehal,1-1,1-1
1999-08-27,Guingamp,Ajaccio,1-1,0-1
1999-08-27,Laval,Nice,1-1,0-1
1999-08-27,Lille,Louhans-Cuis.,1-0,0-0
1999-08-27,Lorient,Niort,2-0,2-0
1999-08-27,Nimes,Creteil,2-1,1-0
1999-08-27,Valence,Le Mans,0-0,0-0
1999-08-28,Sochaux,Toulouse,0-2,0-2
1999-09-03,Ajaccio,Laval,1-0,0-0
1999-09-03,Caen,Valence,1-0,0-0
1999-09-03,Chateauroux,Guingamp,2-3,2-1
1999-09-03,Creteil,Cannes,1-1,0-0
1999-09-03,Le Mans,Lorient,2-1,0-0
1999-09-03,Louhans-Cuis.,Amiens,0-0,0-0
1999-09-03,Nice,Nimes,1-1,0-1
1999-09-03,Niort,Gueugnon,1-0,1-0
1999-09-03,Toulouse,Lille,0-2,0-1
1999-09-03,Wasquehal,Sochaux,0-0,0-0
1999-09-07,Amiens,Toulouse,1-1,1-1
1999-09-07,Gueugnon,Le Mans,2-1,1-0
1999-09-07,Guingamp,Louhans-Cuis.,2-2,1-1
1999-09-07,Laval,Chateauroux,4-0,2-0
1999-09-07,Lille,Wasquehal,1-0,1-0
1999-09-07,Lorient,Caen,1-2,1-2
1999-09-07,Nice,Creteil,2-0,0-0
1999-09-07,Nimes,Ajaccio,1-0,0-0
1999-09-07,Sochaux,Niort,1-0,1-0
1999-09-07,Valence,Cannes,0-0,0-0
1999-09-11,Ajaccio,Nice,1-0,0-0
1999-09-11,Caen,Gueugnon,2-2,1-1
1999-09-11,Cannes,Lorient,1-0,1-0
1999-09-11,Chateauroux,Nimes,0-0,0-0
1999-09-11,Creteil,Valence,2-1,1-1
1999-09-11,Le Mans,Sochaux,2-1,1-0
1999-09-11,Louhans-Cuis.,Laval,2-0,1-0
1999-09-11,Niort,Lille,0-3,0-0
1999-09-11,Toulouse,Guingamp,1-2,0-1
1999-09-11,Wasquehal,Amiens,0-0,0-0
1999-09-18,Ajaccio,Creteil,2-0,1-0
1999-09-18,Amiens,Niort,0-0,0-0
1999-09-18,Gueugnon,Cannes,1-1,1-1
1999-09-18,Guingamp,Wasquehal,3-1,1-1
1999-09-18,Lille,Le Mans,2-0,0-0
1999-09-18,Lorient,Valence,3-1,1-1
1999-09-18,Nice,Chateauroux,0-0,0-0
1999-09-18,Nimes,Louhans-Cuis.,2-1,1-0
1999-09-18,Sochaux,Caen,1-2,1-1
1999-09-19,Laval,Toulouse,0-3,0-1
1999-09-24,Caen,Lille,1-0,1-0
1999-09-24,Creteil,Lorient,0-1,0-0
1999-09-25,Cannes,Sochaux,1-3,1-0
1999-09-25,Chateauroux,Ajaccio,1-0,0-0
1999-09-25,Le Mans,Amiens,1-1,1-1
1999-09-25,Louhans-Cuis.,Nice,0-0,0-0
1999-09-25,Niort,Guingamp,3-3,2-2
1999-09-25,Toulouse,Nimes,0-1,0-0
1999-09-25,Wasquehal,Laval,1-1,0-0
1999-09-26,Valence,Gueugnon,0-1,0-0
1999-10-01,Ajaccio,Louhans-Cuis.,3-0,0-0
1999-10-01,Amiens,Caen,0-4,0-2
1999-10-01,Chateauroux,Creteil,0-0,0-0
1999-10-01,Gueugnon,Lorient,3-0,2-0
1999-10-01,Guingamp,Le Mans,3-1,2-1
1999-10-01,Laval,Niort,3-1,1-0
1999-10-01,Lille,Cannes,2-0,2-0
1999-10-01,Nice,Toulouse,2-0,0-0
1999-10-01,Nimes,Wasquehal,1-2,1-1
1999-10-01,Sochaux,Valence,2-0,0-0
1999-10-07,Lorient,Sochaux,0-0,0-0
1999-10-08,Caen,Guingamp,1-2,1-1
1999-10-08,Cannes,Amiens,1-0,1-0
1999-10-08,Creteil,Gueugnon,1-4,1-2
1999-10-08,Le Mans,Laval,0-0,0-0
1999-10-08,Louhans-Cuis.,Chateauroux,1-3,0-1
1999-10-08,Niort,Nimes,0-1,0-1
1999-10-08,Toulouse,Ajaccio,4-1,0-0
1999-10-08,Valence,Lille,2-2,1-1
1999-10-08,Wasquehal,Nice,2-2,0-2
1999-10-14,Chateauroux,Toulouse,0-3,0-1
1999-10-16,Ajaccio,Wasquehal,2-1,0-0
1999-10-16,Amiens,Valence,0-0,0-0
1999-10-16,Guingamp,Cannes,2-1,0-0
1999-10-16,Laval,Caen,1-1,1-1
1999-10-16,Lille,Lorient,1-0,0-0
1999-10-16,Louhans-Cuis.,Creteil,1-2,0-1
1999-10-16,Nice,Niort,0-0,0-0
1999-10-16,Nimes,Le Mans,1-2,0-1
1999-10-16,Sochaux,Gueugnon,0-1,0-0
1999-10-23,Caen,Nimes,2-1,1-1
1999-10-23,Cannes,Laval,0-0,0-0
1999-10-23,Creteil,Sochaux,0-0,0-0
1999-10-23,Gueugnon,Lille,0-1,0-1
1999-10-23,Le Mans,Nice,0-0,0-0
1999-10-23,Lorient,Amiens,2-0,0-0
1999-10-23,Niort,Ajaccio,1-0,0-0
1999-10-23,Toulouse,Louhans-Cuis.,2-0,0-0
1999-10-23,Valence,Guingamp,1-1,0-1
1999-10-23,Wasquehal,Chateauroux,0-0,0-0
1999-10-30,Ajaccio,Le Mans,0-1,0-0
1999-10-30,Amiens,Gueugnon,1-1,1-1
1999-10-30,Chateauroux,Niort,1-0,0-0
1999-10-30,Guingamp,Lorient,3-0,3-0
1999-10-30,Laval,Valence,3-2,1-2
1999-10-30,Lille,Sochaux,0-1,0-1
1999-10-30,Louhans-Cuis.,Wasquehal,2-1,2-0
1999-10-30,Nice,Caen,0-0,0-0
1999-10-30,Nimes,Cannes,1-1,1-0
1999-10-30,Toulouse,Creteil,1-1,0-0
1999-11-06,Caen,Ajaccio,1-1,1-0
1999-11-06,Cannes,Nice,0-1,0-0
1999-11-06,Creteil,Lille,1-0,0-0
1999-11-06,Gueugnon,Guingamp,1-1,0-0
1999-11-06,Le Mans,Chateauroux,2-1,1-1
1999-11-06,Lorient,Laval,0-0,0-0
1999-11-06,Niort,Louhans-Cuis.,1-0,1-0
1999-11-06,Sochaux,Amiens,3-2,1-0
1999-11-06,Valence,Nimes,0-2,0-0
1999-11-06,Wasquehal,Toulouse,0-1,0-1
1999-11-09,Ajaccio,Cannes,1-0,0-0
1999-11-09,Amiens,Lille,0-1,0-0
1999-11-09,Chateauroux,Caen,0-0,0-0
1999-11-09,Guingamp,Sochaux,1-2,1-0
1999-11-09,Laval,Gueugnon,2-1,1-0
1999-11-09,Louhans-Cuis.,Le Mans,0-1,0-0
1999-11-09,Nice,Valence,0-0,0-0
1999-11-09,Nimes,Lorient,1-2,0-1
1999-11-09,Toulouse,Niort,1-1,0-1
1999-11-09,Wasquehal,Creteil,1-0,1-0
1999-11-12,Caen,Louhans-Cuis.,6-1,4-0
1999-11-12,Cannes,Chateauroux,0-1,0-0
1999-11-12,Creteil,Amiens,2-0,0-0
1999-11-12,Gueugnon,Nimes,3-1,1-0
1999-11-12,Le Mans,Toulouse,1-1,0-0
1999-11-12,Lille,Guingamp,2-0,1-0
