Round,Date,Team 1,Team 2,FT,HT
?,(Fri) Jul/30 1999 (30),Bordeaux (1),Bastia (1),3-2,1-0
?,(Fri) Jul/30 1999 (30),Monaco (1),St Etienne (1),2-2,2-1
?,(Sat) Jul/31 1999 (30),Auxerre (1),Nancy (1),2-1,1-0
?,(Sat) Jul/31 1999 (30),Lyon (1),Montpellier (1),1-2,0-1
?,(Sat) Jul/31 1999 (30),Marseille (1),Sedan (1),3-0,2-0
?,(Sat) Jul/31 1999 (30),Metz (1),Rennes (1),0-0,0-0
?,(Sat) Jul/31 1999 (30),Nantes (1),Le Havre (1),1-0,0-0
?,(Sat) Jul/31 1999 (30),Paris SG (1),Troyes (1),1-0,0-0
?,(Sat) Jul/31 1999 (30),Strasbourg (1),Lens (1),1-0,0-0
?,(Thu) Aug/5 1999 (31),Le Havre (2),Marseille (2),0-0,0-0
?,(Thu) Aug/5 1999 (31),Troyes (2),Lyon (2),1-2,0-1
?,(Fri) Aug/6 1999 (31),Bastia (2),Strasbourg (2),3-0,1-0
?,(Fri) Aug/6 1999 (31),Lens (2),Monaco (2),1-0,0-0
?,(Fri) Aug/6 1999 (31),Sedan (2),Nancy (2),3-1,2-0
?,(Fri) Aug/6 1999 (31),St Etienne (2),Nantes (2),0-2,0-1
?,(Sat) Aug/7 1999 (31),Metz (2),Auxerre (2),3-0,2-0
?,(Sat) Aug/7 1999 (31),Montpellier (2),Bordeaux (2),2-2,2-1
?,(Sat) Aug/7 1999 (31),Rennes (2),Paris SG (2),1-3,1-1
?,(Sat) Aug/14 1999 (32),Auxerre (3),Sedan (3),3-1,2-0
?,(Sat) Aug/14 1999 (32),Bordeaux (3),Troyes (3),4-0,1-0
?,(Sat) Aug/14 1999 (32),Monaco (3),Bastia (3),4-0,1-0
?,(Sat) Aug/14 1999 (32),Nancy (3),Le Havre (3),3-0,0-0
?,(Sat) Aug/14 1999 (32),Nantes (3),Lens (3),0-1,0-0
?,(Sat) Aug/14 1999 (32),Paris SG (3),Metz (3),2-1,2-1
?,(Sat) Aug/14 1999 (32),Strasbourg (3),Montpellier (3),2-0,0-0
?,(Sun) Aug/15 1999 (32),Lyon (3),Rennes (3),2-2,1-0
?,(Sun) Aug/15 1999 (32),Marseille (3),St Etienne (3),3-3,1-1
?,(Fri) Aug/20 1999 (33),Le Havre (4),Sedan (4),2-1,1-0
?,(Fri) Aug/20 1999 (33),Metz (4),Lyon (4),0-1,0-0
?,(Fri) Aug/20 1999 (33),Montpellier (4),Monaco (4),2-3,1-0
?,(Fri) Aug/20 1999 (33),Paris SG (4),Auxerre (4),1-1,0-1
?,(Fri) Aug/20 1999 (33),Rennes (4),Bordeaux (4),2-1,1-1
?,(Fri) Aug/20 1999 (33),St Etienne (4),Nancy (4),2-1,0-1
?,(Fri) Aug/20 1999 (33),Troyes (4),Strasbourg (4),2-1,1-0
?,(Sun) Aug/22 1999 (33),Bastia (4),Nantes (4),2-1,0-1
?,(Sun) Aug/22 1999 (33),Lens (4),Marseille (4),0-0,0-0
?,(Sat) Aug/28 1999 (34),Auxerre (5),Le Havre (5),2-1,0-1
?,(Sat) Aug/28 1999 (34),Bordeaux (5),Metz (5),0-0,0-0
?,(Sat) Aug/28 1999 (34),Marseille (5),Bastia (5),1-1,0-1
?,(Sat) Aug/28 1999 (34),Nancy (5),Lens (5),2-1,1-0
?,(Sat) Aug/28 1999 (34),Nantes (5),Montpellier (5),3-0,1-0
?,(Sat) Aug/28 1999 (34),Sedan (5),St Etienne (5),3-2,1-2
?,(Sat) Aug/28 1999 (34),Strasbourg (5),Rennes (5),2-1,1-1
?,(Sun) Aug/29 1999 (34),Lyon (5),Paris SG (5),1-0,0-0
?,(Sun) Aug/29 1999 (34),Monaco (5),Troyes (5),3-0,2-0
?,(Sat) Sep/11 1999 (36),Bastia (6),Nancy (6),1-1,0-0
?,(Sat) Sep/11 1999 (36),Lens (6),Sedan (6),0-3,0-2
?,(Sat) Sep/11 1999 (36),Lyon (6),Auxerre (6),0-0,0-0
?,(Sat) Sep/11 1999 (36),Metz (6),Strasbourg (6),0-0,0-0
?,(Sat) Sep/11 1999 (36),Montpellier (6),Marseille (6),3-1,0-1
?,(Sat) Sep/11 1999 (36),St Etienne (6),Le Havre (6),3-3,2-1
?,(Sat) Sep/11 1999 (36),Troyes (6),Nantes (6),1-0,0-0
?,(Sun) Sep/12 1999 (36),Paris SG (6),Bordeaux (6),2-1,1-0
?,(Sun) Sep/12 1999 (36),Rennes (6),Monaco (6),2-1,1-1
?,(Sat) Sep/18 1999 (37),Auxerre (7),St Etienne (7),2-1,0-0
?,(Sat) Sep/18 1999 (37),Bordeaux (7),Lyon (7),1-3,0-2
?,(Sun) Sep/19 1999 (37),Le Havre (7),Lens (7),1-1,1-1
?,(Sun) Sep/19 1999 (37),Marseille (7),Troyes (7),1-0,1-0
?,(Sun) Sep/19 1999 (37),Monaco (7),Metz (7),2-2,1-0
?,(Sun) Sep/19 1999 (37),Nancy (7),Montpellier (7),1-2,0-1
?,(Sun) Sep/19 1999 (37),Nantes (7),Rennes (7),3-0,2-0
?,(Sun) Sep/19 1999 (37),Sedan (7),Bastia (7),2-0,1-0
?,(Sun) Sep/19 1999 (37),Strasbourg (7),Paris SG (7),1-1,0-0
?,(Sat) Sep/25 1999 (38),Bastia (8),Le Havre (8),1-1,1-1
?,(Sat) Sep/25 1999 (38),Bordeaux (8),Auxerre (8),1-0,1-0
?,(Sat) Sep/25 1999 (38),Lyon (8),Strasbourg (8),0-0,0-0
?,(Sat) Sep/25 1999 (38),Metz (8),Nantes (8),2-1,1-0
