Date,Team 1,FT,Team 2
Sat Sep 4 1976,Athletic Bilbao,1-0,Racing Santander
Sat Sep 4 1976,Sevilla FC,0-0,Elche CF
Sat Sep 4 1976,Real Zaragoza,1-1,Real Sociedad
Sun Sep 5 1976,Ud Salamanca,0-1,Real Madrid
Sun Sep 5 1976,Burgos CF,1-2,Espanyol Barcelona
Sun Sep 5 1976,Hercules CF,1-0,Real Betis
Sun Sep 5 1976,Valencia CF,2-0,Celta Vigo
Sun Sep 5 1976,FC Barcelona,4-0,Ud Las Palmas
Sun Sep 5 1976,Atletico Madrid,2-0,Malaga CF
Sat Sep 11 1976,Real Betis,0-1,Sevilla FC
Sat Sep 11 1976,Elche CF,0-0,Burgos CF
Sat Sep 11 1976,Ud Las Palmas,1-0,Hercules CF
Sat Sep 11 1976,Real Sociedad,2-2,Valencia CF
Sat Sep 11 1976,Malaga CF,1-0,Ud Salamanca
Sun Sep 12 1976,Espanyol Barcelona,2-0,Real Zaragoza
Sun Sep 12 1976,Celta Vigo,1-0,Atletico Madrid
Sun Sep 12 1976,Real Madrid,2-3,Athletic Bilbao
Sun Sep 12 1976,Racing Santander,1-0,FC Barcelona
Sun Sep 19 1976,Hercules CF,2-0,Racing Santander
Sun Sep 19 1976,Valencia CF,4-1,Espanyol Barcelona
Sun Sep 19 1976,Atletico Madrid,2-1,Ud Salamanca
Sun Sep 19 1976,Real Zaragoza,5-3,Elche CF
Sun Sep 19 1976,Athletic Bilbao,1-1,Malaga CF
Sun Sep 19 1976,FC Barcelona,3-1,Real Madrid
Sun Sep 19 1976,Celta Vigo,1-0,Real Sociedad
Sun Sep 19 1976,Burgos CF,2-1,Real Betis
Sun Sep 19 1976,Sevilla FC,2-1,Ud Las Palmas
Sat Sep 25 1976,Real Sociedad,2-0,Atletico Madrid
Sat Sep 25 1976,Malaga CF,1-0,FC Barcelona
Sun Sep 26 1976,Racing Santander,2-0,Sevilla FC
Sun Sep 26 1976,Ud Las Palmas,4-1,Burgos CF
Sun Sep 26 1976,Real Madrid,4-0,Hercules CF
Sun Sep 26 1976,Real Betis,2-1,Real Zaragoza
