Round,Date,Day,Week,Team 1,Team 2,FT,HT
?,2009-08-08,Sat,31,Auxerre,Sochaux,0-1,0-1
?,2009-08-08,Sat,31,Grenoble,Marseille,0-2,0-1
?,2009-08-08,Sat,31,Le Mans,Lyon,2-2,1-1
?,2009-08-08,Sat,31,Monaco,Toulouse,1-0,1-0
?,2009-08-08,Sat,31,Montpellier,Paris SG,1-1,0-0
?,2009-08-08,Sat,31,Rennes,Boulogne,3-0,2-0
?,2009-08-08,Sat,31,St Etienne,Nice,0-2,0-1
?,2009-08-08,Sat,31,Valenciennes,Nancy,1-3,1-1
?,2009-08-09,Sun,31,Bordeaux,Lens,4-1,1-1
?,2009-08-09,Sun,31,Lille,Lorient,1-2,0-1
?,2009-08-15,Sat,32,Lens,Auxerre,2-0,1-0
?,2009-08-15,Sat,32,Lorient,Montpellier,2-2,0-0
?,2009-08-15,Sat,32,Lyon,Valenciennes,1-0,1-0
?,2009-08-15,Sat,32,Nancy,Monaco,4-0,2-0
?,2009-08-15,Sat,32,Paris SG,Le Mans,3-1,1-1
?,2009-08-15,Sat,32,Sochaux,Bordeaux,2-3,0-2
?,2009-08-15,Sat,32,Toulouse,St Etienne,3-1,1-1
?,2009-08-16,Sun,32,Boulogne,Grenoble,2-1,2-0
?,2009-08-16,Sun,32,Marseille,Lille,1-0,1-0
?,2009-08-16,Sun,32,Nice,Rennes,1-1,1-1
?,2009-08-22,Sat,33,Auxerre,Lyon,0-3,0-2
?,2009-08-22,Sat,33,Le Mans,Nancy,2-1,1-0
?,2009-08-22,Sat,33,Monaco,Lorient,2-0,2-0
?,2009-08-22,Sat,33,Montpellier,Sochaux,2-0,0-0
?,2009-08-22,Sat,33,Rennes,Marseille,1-1,1-0
?,2009-08-22,Sat,33,St Etienne,Boulogne,0-1,0-1
?,2009-08-22,Sat,33,Valenciennes,Paris SG,2-3,0-1
?,2009-08-23,Sun,33,Bordeaux,Nice,4-0,1-0
?,2009-08-23,Sun,33,Grenoble,Lens,1-2,1-1
?,2009-08-23,Sun,33,Lille,Toulouse,1-1,1-0
?,2009-08-29,Sat,34,Boulogne,Auxerre,0-0,0-0
?,2009-08-29,Sat,34,Lens,Rennes,2-2,1-1
?,2009-08-29,Sat,34,Lorient,Le Mans,1-0,0-0
?,2009-08-29,Sat,34,Lyon,Nancy,3-1,1-0
?,2009-08-29,Sat,34,Nice,Montpellier,0-3,0-1
?,2009-08-29,Sat,34,Sochaux,Monaco,1-0,1-0
?,2009-08-29,Sat,34,St Etienne,Grenoble,1-0,1-0
?,2009-08-30,Sun,34,Marseille,Bordeaux,0-0,0-0
?,2009-08-30,Sun,34,Paris SG,Lille,3-0,1-0
?,2009-08-30,Sun,34,Toulouse,Valenciennes,0-1,0-0
?,2009-09-12,Sat,36,Bordeaux,Grenoble,1-0,1-0
?,2009-09-12,Sat,36,Le Mans,Marseille,1-2,0-1
?,2009-09-12,Sat,36,Lille,Sochaux,1-0,0-0
