Round,Date,Team 1,Team 2,FT,HT
?,(Fri) Aug/7 2009 (31),Ajaccio (1),Guingamp (1),0-1,0-0
?,(Fri) Aug/7 2009 (31),Angers (1),Dijon (1),3-0,0-0
?,(Fri) Aug/7 2009 (31),Brest (1),Laval (1),2-1,1-1
?,(Fri) Aug/7 2009 (31),Clermont (1),Arles (1),1-2,1-1
?,(Fri) Aug/7 2009 (31),Istres (1),Bastia (1),1-0,0-0
?,(Fri) Aug/7 2009 (31),Sedan (1),Le Havre (1),1-1,0-1
?,(Fri) Aug/7 2009 (31),Strasbourg (1),Chateauroux (1),1-2,1-1
?,(Fri) Aug/7 2009 (31),Tours (1),Nimes (1),0-0,0-0
?,(Fri) Aug/7 2009 (31),Vannes (1),Metz (1),3-0,1-0
?,(Mon) Aug/10 2009 (32),Caen (1),Nantes (1),1-0,1-0
?,(Thu) Aug/13 2009 (32),Laval (2),Strasbourg (2),3-2,1-1
?,(Fri) Aug/14 2009 (32),Arles (2),Ajaccio (2),2-1,0-0
?,(Fri) Aug/14 2009 (32),Bastia (2),Caen (2),1-2,0-1
?,(Fri) Aug/14 2009 (32),Chateauroux (2),Sedan (2),1-0,1-0
?,(Fri) Aug/14 2009 (32),Dijon (2),Tours (2),2-2,0-1
?,(Fri) Aug/14 2009 (32),Guingamp (2),Angers (2),0-0,0-0
?,(Fri) Aug/14 2009 (32),Le Havre (2),Brest (2),1-0,1-0
?,(Fri) Aug/14 2009 (32),Metz (2),Istres (2),2-0,0-0
?,(Fri) Aug/14 2009 (32),Nantes (2),Clermont (2),3-2,1-1
?,(Fri) Aug/14 2009 (32),Nimes (2),Vannes (2),1-1,0-0
?,(Mon) Aug/17 2009 (33),Brest (3),Metz (3),2-1,0-0
?,(Tue) Aug/18 2009 (33),Angers (3),Chateauroux (3),0-3,0-2
?,(Tue) Aug/18 2009 (33),Bastia (3),Nimes (3),6-1,2-1
?,(Tue) Aug/18 2009 (33),Caen (3),Dijon (3),1-0,1-0
?,(Tue) Aug/18 2009 (33),Clermont (3),Laval (3),0-0,0-0
?,(Tue) Aug/18 2009 (33),Sedan (3),Ajaccio (3),1-3,1-1
?,(Tue) Aug/18 2009 (33),Strasbourg (3),Arles (3),1-1,1-0
?,(Tue) Aug/18 2009 (33),Tours (3),Le Havre (3),2-0,2-0
?,(Tue) Aug/18 2009 (33),Vannes (3),Nantes (3),1-1,0-1
?,(Fri) Aug/21 2009 (33),Ajaccio (4),Strasbourg (4),2-2,0-1
