Date,Team 1,FT,Team 2
Sat Aug 15 1970,Rot Weiss Essen,2-0,Hannover 96
Sat Aug 15 1970,Werder Bremen,1-1,1 FC Koeln
Sat Aug 15 1970,Vfb Stuttgart,1-1,Bayern Muenchen
Sat Aug 15 1970,Hertha BSC Berlin,5-3,1 FC Kaiserslautern
Sat Aug 15 1970,Bor Moenchengladbach,2-0,Kickers Offenbach
Sat Aug 15 1970,MSV Duisburg,2-2,Rot Weiss Oberhausen
Sat Aug 15 1970,Borussia Dortmund,3-0,Arminia Bielefeld
Sat Aug 15 1970,Eintracht Braunschweig,3-3,FC Schalke 04
Sat Aug 15 1970,Eintracht Frankfurt,0-0,Hamburger SV
Sat Aug 22 1970,1 FC Koeln,3-1,Eintracht Braunschweig
Sat Aug 22 1970,FC Schalke 04,1-0,MSV Duisburg
Sat Aug 22 1970,Arminia Bielefeld,0-0,Rot Weiss Essen
Sat Aug 22 1970,Rot Weiss Oberhausen,1-2,Vfb Stuttgart
Sat Aug 22 1970,1 FC Kaiserslautern,1-0,Borussia Dortmund
Sat Aug 22 1970,Hamburger SV,2-2,Bor Moenchengladbach
Sat Aug 22 1970,Kickers Offenbach,2-1,Werder Bremen
Sat Aug 22 1970,Bayern Muenchen,1-0,Hertha BSC Berlin
Sat Aug 22 1970,Hannover 96,1-2,Eintracht Frankfurt
Fri Aug 28 1970,Borussia Dortmund,0-0,Bayern Muenchen
Fri Aug 28 1970,Eintracht Frankfurt,1-1,Arminia Bielefeld
Fri Aug 28 1970,Eintracht Braunschweig,1-0,Werder Bremen
Fri Aug 28 1970,Bor Moenchengladbach,0-0,Hannover 96
Fri Aug 28 1970,Rot Weiss Essen,4-0,1 FC Kaiserslautern
Fri Aug 28 1970,Vfb Stuttgart,1-1,FC Schalke 04
Fri Aug 28 1970,Hertha BSC Berlin,3-1,Rot Weiss Oberhausen
Sat Sep 5 1970,1 FC Kaiserslautern,2-0,Eintracht Frankfurt
Sat Sep 5 1970,Kickers Offenbach,0-2,Eintracht Braunschweig
Sat Sep 5 1970,Werder Bremen,0-2,MSV Duisburg
Sat Sep 5 1970,Hannover 96,0-3,Hamburger SV
Sat Sep 5 1970,Bayern Muenchen,2-2,Rot Weiss Essen
Sat Sep 5 1970,Arminia Bielefeld,0-2,Bor Moenchengladbach
Sat Sep 5 1970,1 FC Koeln,2-1,Vfb Stuttgart
Sat Sep 5 1970,FC Schalke 04,0-1,Hertha BSC Berlin
