Date,Team 1,FT,Team 2
Tue Sep 1 1903,Derby County,4-1,Birmingham City
Tue Sep 1 1903,Everton FC,3-1,Blackburn Rovers
Tue Sep 1 1903,Stoke City,4-1,Bury FC
Tue Sep 1 1903,Sunderland Afc,4-1,Notts County
Wed Sep 2 1903,Newcastle United,1-1,Aston Villa
Wed Sep 2 1903,West Bromwich Albion,0-1,Sheffield Wednesday
Sat Sep 5 1903,Birmingham City,1-3,Sheffield United
Sat Sep 5 1903,Blackburn Rovers,2-2,Bury FC
Sat Sep 5 1903,Derby County,2-1,Wolverhampton Wanderers
Sat Sep 5 1903,Everton FC,3-1,Notts County
Sat Sep 5 1903,Nottingham Forest,2-1,Liverpool FC
Sat Sep 5 1903,Sheffield Wednesday,4-1,Middlesbrough FC
Sat Sep 5 1903,Stoke City,1-2,Manchester City
Sat Sep 5 1903,Sunderland Afc,6-1,Aston Villa
Sat Sep 5 1903,West Bromwich Albion,1-2,Newcastle United
Mon Sep 7 1903,Birmingham City,3-3,Nottingham Forest
Sat Sep 12 1903,Aston Villa,3-1,West Bromwich Albion
Sat Sep 12 1903,Bury FC,2-2,Nottingham Forest
Sat Sep 12 1903,Liverpool FC,1-3,Sheffield Wednesday
Sat Sep 12 1903,Manchester City,2-1,Derby County
Sat Sep 12 1903,Middlesbrough FC,2-3,Sunderland Afc
Sat Sep 12 1903,Newcastle United,3-1,Birmingham City
Sat Sep 12 1903,Notts County,1-0,Stoke City
Sat Sep 12 1903,Sheffield United,2-1,Everton FC
Sat Sep 12 1903,Wolverhampton Wanderers,1-0,Blackburn Rovers
Sat Sep 19 1903,Birmingham City,2-2,Aston Villa
Sat Sep 19 1903,Derby County,0-1,Notts County
Sat Sep 19 1903,Everton FC,4-1,Newcastle United
Sat Sep 19 1903,Manchester City,4-1,Wolverhampton Wanderers
Sat Sep 19 1903,Nottingham Forest,0-1,Blackburn Rovers
Sat Sep 19 1903,Sheffield Wednesday,1-1,Bury FC
Sat Sep 19 1903,Stoke City,3-4,Sheffield United
Sat Sep 19 1903,Sunderland Afc,2-1,Liverpool FC
Sat Sep 19 1903,West Bromwich Albion,0-0,Middlesbrough FC
Sat Sep 26 1903,Aston Villa,3-1,Everton FC
Sat Sep 26 1903,Blackburn Rovers,0-0,Sheffield Wednesday
Sat Sep 26 1903,Bury FC,3-1,Sunderland Afc
Sat Sep 26 1903,Liverpool FC,1-3,West Bromwich Albion
Sat Sep 26 1903,Middlesbrough FC,3-1,Birmingham City
Sat Sep 26 1903,Newcastle United,1-0,Stoke City
Sat Sep 26 1903,Notts County,0-3,Manchester City
Sat Sep 26 1903,Sheffield United,3-2,Derby County
Sat Sep 26 1903,Wolverhampton Wanderers,3-2,Nottingham Forest
Thu Oct 1 1903,Notts County,4-2,Liverpool FC
Sat Oct 3 1903,Birmingham City,1-2,Liverpool FC
Sat Oct 3 1903,Derby County,1-3,Newcastle United
Sat Oct 3 1903,Everton FC,2-0,Middlesbrough FC
Sat Oct 3 1903,Manchester City,0-1,Sheffield United
Sat Oct 3 1903,Notts County,0-2,Wolverhampton Wanderers
Sat Oct 3 1903,Sheffield Wednesday,2-1,Nottingham Forest
Sat Oct 3 1903,Stoke City,2-0,Aston Villa
Sat Oct 3 1903,Sunderland Afc,2-0,Blackburn Rovers
Sat Oct 3 1903,West Bromwich Albion,3-2,Bury FC
Sat Oct 10 1903,Aston Villa,3-0,Derby County
Sat Oct 10 1903,Blackburn Rovers,2-0,West Bromwich Albion
Sat Oct 10 1903,Bury FC,1-0,Birmingham City
Sat Oct 10 1903,Liverpool FC,2-2,Everton FC
Sat Oct 10 1903,Middlesbrough FC,2-0,Stoke City
Sat Oct 10 1903,Newcastle United,1-0,Manchester City
Sat Oct 10 1903,Nottingham Forest,3-0,Sunderland Afc
Sat Oct 10 1903,Sheffield United,3-1,Notts County
Sat Oct 10 1903,Wolverhampton Wanderers,2-1,Sheffield Wednesday
Sat Oct 17 1903,Birmingham City,2-1,Blackburn Rovers
Sat Oct 17 1903,Derby County,2-2,Middlesbrough FC
Sat Oct 17 1903,Everton FC,2-1,Bury FC
Sat Oct 17 1903,Manchester City,1-0,Aston Villa
Sat Oct 17 1903,Notts County,3-2,Newcastle United
Sat Oct 17 1903,Sheffield United,7-2,Wolverhampton Wanderers
Sat Oct 17 1903,Stoke City,5-2,Liverpool FC
Sat Oct 17 1903,Sunderland Afc,0-1,Sheffield Wednesday
Sat Oct 17 1903,West Bromwich Albion,1-1,Nottingham Forest
Sat Oct 24 1903,Aston Villa,4-0,Notts County
Sat Oct 24 1903,Blackburn Rovers,0-2,Everton FC
Sat Oct 24 1903,Bury FC,2-2,Stoke City
Sat Oct 24 1903,Liverpool FC,3-1,Derby County
Sat Oct 24 1903,Middlesbrough FC,6-0,Manchester City
Sat Oct 24 1903,Newcastle United,0-1,Sheffield United
Sat Oct 24 1903,Nottingham Forest,0-1,Birmingham City
Sat Oct 24 1903,Sheffield Wednesday,1-0,West Bromwich Albion
Sat Oct 24 1903,Wolverhampton Wanderers,2-1,Sunderland Afc
Sat Oct 31 1903,Birmingham City,0-0,Sheffield Wednesday
Sat Oct 31 1903,Derby County,2-2,Bury FC
Sat Oct 31 1903,Everton FC,0-2,Nottingham Forest
Sat Oct 31 1903,Manchester City,3-2,Liverpool FC
Sat Oct 31 1903,Newcastle United,3-0,Wolverhampton Wanderers
Sat Oct 31 1903,Notts County,3-2,Middlesbrough FC
Sat Oct 31 1903,Sheffield United,1-2,Aston Villa
Sat Oct 31 1903,Stoke City,6-2,Blackburn Rovers
Sat Oct 31 1903,West Bromwich Albion,1-1,Sunderland Afc
Sat Nov 7 1903,Aston Villa,3-1,Newcastle United
Sat Nov 7 1903,Blackburn Rovers,2-1,Derby County
Sat Nov 7 1903,Bury FC,1-3,Manchester City
Sat Nov 7 1903,Liverpool FC,2-1,Notts County
