Date,Team 1,FT,Team 2
Sun Aug 24 1947,Racing Club De France,1-4,Lille OSC
Sun Aug 24 1947,FC Sete,1-2,Red Star Olympique Audonien
Sun Aug 24 1947,RC Roubaix,3-1,As Cannes
Sun Aug 24 1947,Stade Francais,2-2,FC Sochaux
Sun Aug 24 1947,Olympique Ales,0-2,RC Strasbourg
Sun Aug 24 1947,Olympique Marseille,3-2,Toulouse FC
Sun Aug 24 1947,Stade Reims,5-0,As Nancy
Sun Aug 24 1947,Stade Rennes,1-3,As Saint Etienne
Sun Aug 24 1947,FC Metz,1-0,Montpellier HSC
Sun Aug 31 1947,Lille OSC,4-0,RC Roubaix
Sun Aug 31 1947,Montpellier HSC,2-0,FC Sochaux
Sun Aug 31 1947,As Cannes,1-1,FC Metz
Sun Aug 31 1947,Red Star Olympique Audonien,1-3,Racing Club De France
Sun Aug 31 1947,As Saint Etienne,3-3,Olympique Ales
Sun Aug 31 1947,Toulouse FC,4-0,Stade Francais
Sun Aug 31 1947,RC Strasbourg,3-1,FC Sete
Sun Aug 31 1947,Stade Reims,1-0,Stade Rennes
Sun Aug 31 1947,As Nancy,4-0,Olympique Marseille
Sun Sep 7 1947,Racing Club De France,2-2,As Saint Etienne
Sun Sep 7 1947,FC Sete,2-0,Stade Rennes
Sun Sep 7 1947,RC Roubaix,3-2,RC Strasbourg
Sun Sep 7 1947,FC Sochaux,1-2,Lille OSC
Sun Sep 7 1947,Toulouse FC,0-0,As Cannes
Sun Sep 7 1947,FC Metz,2-0,Red Star Olympique Audonien
Sun Sep 7 1947,Olympique Marseille,5-1,Stade Francais
Sun Sep 7 1947,As Nancy,2-2,Montpellier HSC
Sun Sep 7 1947,Olympique Ales,0-1,Stade Reims
Sun Sep 14 1947,Stade Francais,2-3,As Nancy
Sun Sep 14 1947,Stade Reims,3-0,Olympique Marseille
Sun Sep 14 1947,RC Strasbourg,1-2,Racing Club De France
Sun Sep 14 1947,As Cannes,3-0,FC Sochaux
Sun Sep 14 1947,As Saint Etienne,3-1,FC Sete
Sun Sep 14 1947,Red Star Olympique Audonien,1-1,RC Roubaix
Sun Sep 14 1947,Stade Rennes,4-1,Olympique Ales
