Date,Team 1,FT,Team 2
Sat Aug 30 1947,FC Wien,1-0,SK Admira Vienna
Sun Aug 31 1947,Austria Wien,6-6,First Vienna FC
Sun Aug 31 1947,Wiener AC,1-4,SC Wacker Wien
Sun Aug 31 1947,Rapid Wien,6-3,SC Rapid Oberlaa
Sun Aug 31 1947,Favoritner AC,2-1,Sportclub
Sat Sep 6 1947,Sportclub,4-3,FC Wien
Sat Sep 6 1947,SC Rapid Oberlaa,2-1,Austria Wien
Sun Sep 7 1947,SC Wacker Wien,2-4,Rapid Wien
Sun Sep 7 1947,First Vienna FC,4-1,Favoritner AC
Sun Sep 7 1947,SK Admira Vienna,2-3,Wiener AC
Sat Sep 20 1947,FC Wien,4-0,First Vienna FC
Sat Sep 20 1947,Favoritner AC,2-2,SK Admira Vienna
Sun Sep 21 1947,Austria Wien,1-3,SC Wacker Wien
Sun Sep 21 1947,Wiener AC,2-3,SC Rapid Oberlaa
Sun Sep 21 1947,Rapid Wien,1-0,Sportclub
Sat Sep 27 1947,SC Rapid Oberlaa,0-0,Favoritner AC
Sat Sep 27 1947,SK Admira Vienna,0-9,Austria Wien
Sat Sep 27 1947,Sportclub,2-0,Wiener AC
Sun Sep 28 1947,SC Wacker Wien,0-1,FC Wien
Sun Sep 28 1947,First Vienna FC,3-4,Rapid Wien
Sat Oct 11 1947,FC Wien,3-1,Wiener AC
Sun Oct 12 1947,Austria Wien,3-0,Sportclub
Sun Oct 12 1947,SC Rapid Oberlaa,0-7,First Vienna FC
Sun Oct 12 1947,Rapid Wien,5-0,Favoritner AC
Sun Oct 12 1947,SK Admira Vienna,0-4,SC Wacker Wien
Sat Oct 18 1947,Favoritner AC,1-3,Austria Wien
Sat Oct 18 1947,FC Wien,3-0,SC Rapid Oberlaa
Sun Oct 19 1947,SC Wacker Wien,7-0,First Vienna FC
Sun Oct 19 1947,Wiener AC,0-5,Rapid Wien
Sun Oct 19 1947,Sportclub,1-1,SK Admira Vienna
Sat Oct 25 1947,Favoritner AC,1-2,Wiener AC
Sat Oct 25 1947,SC Rapid Oberlaa,0-1,SC Wacker Wien
Sun Oct 26 1947,Austria Wien,7-0,FC Wien
Sun Oct 26 1947,First Vienna FC,5-1,Sportclub
Sun Oct 26 1947,Rapid Wien,1-2,SK Admira Vienna
Sat Nov 1 1947,Wiener AC,0-7,Austria Wien
Sat Nov 1 1947,SK Admira Vienna,2-0,First Vienna FC
Sun Nov 2 1947,FC Wien,0-1,Rapid Wien
Sun Nov 2 1947,SC Wacker Wien,5-1,Favoritner AC
Sun Nov 2 1947,Sportclub,3-1,SC Rapid Oberlaa
Sat Nov 22 1947,Favoritner AC,1-4,FC Wien
Sat Nov 22 1947,Sportclub,3-1,SC Wacker Wien
Sat Nov 22 1947,SC Rapid Oberlaa,0-5,SK Admira Vienna
Sun Nov 23 1947,First Vienna FC,4-0,Wiener AC
Sun Nov 23 1947,Rapid Wien,7-2,Austria Wien
Sat Feb 28 1948,SC Rapid Oberlaa,2-3,Rapid Wien
Sat Feb 28 1948,Sportclub,2-0,Favoritner AC
Sat Feb 28 1948,First Vienna FC,4-3,Austria Wien
Sat Feb 28 1948,SC Wacker Wien,10-1,First Vienna FC
Sat Feb 28 1948,SK Admira Vienna,1-1,FC Wien
Sat Mar 6 1948,Austria Wien,10-1,SC Rapid Oberlaa
Sat Mar 6 1948,FC Wien,1-3,Sportclub
Sat Mar 6 1948,Favoritner AC,1-2,First Vienna FC
Sun Mar 7 1948,Rapid Wien,0-1,SC Wacker Wien
Sun Mar 7 1948,Wiener AC,1-2,SK Admira Vienna
Sat Mar 13 1948,SC Rapid Oberlaa,1-0,Wiener AC
Sat Mar 13 1948,First Vienna FC,2-3,FC Wien
Sat Mar 13 1948,SK Admira Vienna,2-0,Favoritner AC
Sun Mar 14 1948,SC Wacker Wien,0-2,Austria Wien
Sun Mar 14 1948,Sportclub,1-2,Rapid Wien
Sat Apr 3 1948,FC Wien,1-3,SC Wacker Wien
Sat Apr 3 1948,Wiener AC,1-5,Sportclub
Sun Apr 4 1948,Rapid Wien,2-1,First Vienna FC
Sun Apr 4 1948,Favoritner AC,0-1,SC Rapid Oberlaa
Sun Apr 4 1948,Austria Wien,1-2,SK Admira Vienna
Sat Apr 10 1948,Wiener AC,1-1,FC Wien
Sat Apr 10 1948,First Vienna FC,3-2,SC Rapid Oberlaa
Sun Apr 11 1948,Sportclub,2-2,Austria Wien
Sun Apr 11 1948,Favoritner AC,2-2,Rapid Wien
Sun Apr 11 1948,SC Wacker Wien,2-2,SK Admira Vienna
Sat Apr 24 1948,SC Rapid Oberlaa,0-2,FC Wien
Sat Apr 24 1948,SK Admira Vienna,1-3,Sportclub
Sun Apr 25 1948,Austria Wien,6-3,Favoritner AC
Sun Apr 25 1948,Rapid Wien,4-0,Wiener AC
Sun Apr 25 1948,First Vienna FC,0-6,SC Wacker Wien
Sat May 8 1948,Wiener AC,1-2,Favoritner AC
Sat May 8 1948,SC Wacker Wien,7-1,SC Rapid Oberlaa
Sat May 8 1948,Sportclub,2-2,First Vienna FC
Sun May 9 1948,FC Wien,1-1,Austria Wien
Sun May 9 1948,SK Admira Vienna,0-6,Rapid Wien
Sat May 22 1948,SC Rapid Oberlaa,2-3,Sportclub
Sat May 22 1948,First Vienna FC,0-1,SK Admira Vienna
Sun May 23 1948,Austria Wien,8-2,Wiener AC
Sun May 23 1948,Rapid Wien,0-2,FC Wien
Sun May 23 1948,Favoritner AC,1-3,SC Wacker Wien
Wed May 26 1948,FC Wien,2-3,Favoritner AC
Wed Jun 2 1948,FC Wien,2-3,Favoritner AC
Sat Jun 5 1948,SC Wacker Wien,1-0,Sportclub
Sat Jun 5 1948,Wiener AC,2-4,First Vienna FC
Sun Jun 6 1948,Austria Wien,2-2,Rapid Wien
