Date,Team 1,FT,Team 2
Sun Sep 21 1947,Sporting Gijon,1-1,Espanyol Barcelona
Sun Sep 21 1947,Real Sociedad,0-2,Valencia CF
Sun Sep 21 1947,Sevilla FC,1-1,Atletico Madrid
Sun Sep 21 1947,FC Barcelona,2-1,Real Oviedo
Sun Sep 21 1947,Real Madrid,2-2,Cd Alcoyano
Sun Sep 21 1947,Ce Sabadell,2-2,Gimnastic
Sun Sep 21 1947,Celta Vigo,5-1,Athletic Bilbao
Sun Sep 28 1947,Real Oviedo,1-2,Celta Vigo
Sun Sep 28 1947,Valencia CF,3-1,Sporting Gijon
Sun Sep 28 1947,Athletic Bilbao,1-3,Real Sociedad
Sun Sep 28 1947,Espanyol Barcelona,0-1,Sevilla FC
Sun Sep 28 1947,Cd Alcoyano,0-2,FC Barcelona
Sun Sep 28 1947,Gimnastic,3-3,Real Madrid
Sun Sep 28 1947,Atletico Madrid,8-0,Ce Sabadell
Sun Oct 5 1947,Ce Sabadell,1-1,Real Madrid
Sun Oct 5 1947,Sporting Gijon,1-2,Athletic Bilbao
Sun Oct 5 1947,Atletico Madrid,5-2,Espanyol Barcelona
Sun Oct 5 1947,Sevilla FC,3-0,Valencia CF
Sun Oct 5 1947,Real Sociedad,1-2,Real Oviedo
Sun Oct 5 1947,Celta Vigo,2-0,Cd Alcoyano
Sun Oct 5 1947,FC Barcelona,1-1,Gimnastic
Sun Oct 12 1947,Real Madrid,1-1,FC Barcelona
Sun Oct 12 1947,Gimnastic,2-2,Celta Vigo
Sun Oct 12 1947,Espanyol Barcelona,2-3,Ce Sabadell
Sun Oct 12 1947,Real Oviedo,0-0,Sporting Gijon
Sun Oct 12 1947,Valencia CF,3-1,Atletico Madrid
Sun Oct 12 1947,Cd Alcoyano,3-1,Real Sociedad
Sun Oct 12 1947,Athletic Bilbao,2-2,Sevilla FC
Sun Oct 26 1947,Real Sociedad,3-1,Gimnastic
Sun Oct 26 1947,Celta Vigo,4-1,Real Madrid
Sun Oct 26 1947,Ce Sabadell,2-4,FC Barcelona
Sun Oct 26 1947,Atletico Madrid,1-1,Athletic Bilbao
Sun Oct 26 1947,Espanyol Barcelona,1-3,Valencia CF
Sun Oct 26 1947,Sevilla FC,5-1,Real Oviedo
Sun Oct 26 1947,Sporting Gijon,1-1,Cd Alcoyano
Sun Nov 2 1947,Valencia CF,4-1,Ce Sabadell
Sun Nov 2 1947,Gimnastic,5-0,Sporting Gijon
Sun Nov 2 1947,FC Barcelona,1-1,Celta Vigo
Sun Nov 2 1947,Real Madrid,3-0,Real Sociedad
Sun Nov 2 1947,Cd Alcoyano,1-1,Sevilla FC
Sun Nov 2 1947,Athletic Bilbao,1-2,Espanyol Barcelona
Sun Nov 2 1947,Real Oviedo,2-2,Atletico Madrid
Sun Nov 9 1947,Atletico Madrid,3-2,Cd Alcoyano
Sun Nov 9 1947,Valencia CF,3-0,Athletic Bilbao
Sun Nov 9 1947,Sevilla FC,3-1,Gimnastic
Sun Nov 9 1947,Sporting Gijon,2-0,Real Madrid
Sun Nov 9 1947,Espanyol Barcelona,3-1,Real Oviedo
Sun Nov 9 1947,Real Sociedad,0-0,FC Barcelona
Sun Nov 9 1947,Ce Sabadell,2-0,Celta Vigo
Sun Nov 16 1947,FC Barcelona,4-0,Sporting Gijon
Sun Nov 16 1947,Athletic Bilbao,3-1,Ce Sabadell
Sun Nov 16 1947,Celta Vigo,2-0,Real Sociedad
Sun Nov 16 1947,Real Madrid,2-1,Sevilla FC
Sun Nov 16 1947,Gimnastic,2-1,Atletico Madrid
Sun Nov 16 1947,Real Oviedo,1-0,Valencia CF
Sun Nov 16 1947,Cd Alcoyano,1-0,Espanyol Barcelona
Sun Nov 23 1947,Sevilla FC,4-0,FC Barcelona
Sun Nov 23 1947,Ce Sabadell,4-2,Real Sociedad
Sun Nov 23 1947,Sporting Gijon,3-1,Celta Vigo
Sun Nov 23 1947,Athletic Bilbao,5-1,Real Oviedo
Sun Nov 23 1947,Valencia CF,1-0,Cd Alcoyano
Sun Nov 23 1947,Espanyol Barcelona,1-0,Gimnastic
Sun Nov 23 1947,Atletico Madrid,5-0,Real Madrid
Sun Nov 30 1947,Real Sociedad,3-2,Sporting Gijon
Sun Nov 30 1947,Celta Vigo,1-1,Sevilla FC
Sun Nov 30 1947,Real Oviedo,4-2,Ce Sabadell
Sun Nov 30 1947,Gimnastic,1-0,Valencia CF
Sun Nov 30 1947,Cd Alcoyano,0-4,Athletic Bilbao
Sun Nov 30 1947,FC Barcelona,2-1,Atletico Madrid
Sun Dec 7 1947,Valencia CF,4-2,Real Madrid
Sun Dec 7 1947,Espanyol Barcelona,2-1,FC Barcelona
Sun Dec 7 1947,Sevilla FC,5-0,Real Sociedad
Sun Dec 7 1947,Atletico Madrid,3-1,Celta Vigo
Sun Dec 7 1947,Ce Sabadell,5-0,Sporting Gijon
Sun Dec 7 1947,Real Oviedo,4-3,Cd Alcoyano
Sun Dec 7 1947,Athletic Bilbao,7-0,Gimnastic
Sun Dec 14 1947,Celta Vigo,4-0,Espanyol Barcelona
Sun Dec 14 1947,Ce Sabadell,3-2,Cd Alcoyano
Sun Dec 14 1947,Gimnastic,3-0,Real Oviedo
Sun Dec 14 1947,Sporting Gijon,3-1,Sevilla FC
Sun Dec 14 1947,FC Barcelona,1-1,Valencia CF
Sun Dec 14 1947,Real Sociedad,3-1,Atletico Madrid
Thu Dec 18 1947,Real Madrid,3-1,Espanyol Barcelona
Sun Dec 21 1947,Cd Alcoyano,2-1,Gimnastic
Sun Dec 21 1947,Real Oviedo,7-1,Real Madrid
Sun Dec 21 1947,Athletic Bilbao,3-2,FC Barcelona
Sun Dec 21 1947,Espanyol Barcelona,2-0,Real Sociedad
Sun Dec 21 1947,Valencia CF,7-1,Celta Vigo
Sun Dec 21 1947,Atletico Madrid,5-3,Sporting Gijon
Sun Dec 21 1947,Sevilla FC,3-0,Ce Sabadell
Sun Dec 28 1947,Real Madrid,5-1,Athletic Bilbao
Sun Jan 4 1948,Real Oviedo,2-2,FC Barcelona
Sun Jan 4 1948,Atletico Madrid,5-3,Sevilla FC
Sun Jan 4 1948,Valencia CF,2-1,Real Sociedad
Sun Jan 4 1948,Athletic Bilbao,5-0,Celta Vigo
Sun Jan 4 1948,Espanyol Barcelona,5-1,Sporting Gijon
