Date,Team 1,FT,Team 2
Fri Aug 25 2006,FC Porto,2-1,Uniao Leiria
Sat Aug 26 2006,Sporting CP,3-2,Boavista Porto
Sat Aug 26 2006,SC Beira Mar,2-2,CD Aves
Sat Aug 26 2006,Sporting Braga,2-1,Pacos De Ferreira
Sun Aug 27 2006,Naval 1 De Maio,2-0,Estrela Amadora
Sun Aug 27 2006,CS Maritimo,1-0,CD Nacional
Mon Aug 28 2006,Vitoria Setubal,1-1,Academica De Coimbra
Fri Sep 8 2006,CD Aves,0-1,Sporting Braga
Sat Sep 9 2006,Boavista Porto,3-0,Sl Benfica
Sat Sep 9 2006,CD Nacional,0-1,Sporting CP
Sun Sep 10 2006,Os Belenenses,2-0,Vitoria Setubal
Sun Sep 10 2006,Academica De Coimbra,1-2,Naval 1 De Maio
Sun Sep 10 2006,Estrela Amadora,0-3,FC Porto
Sun Sep 10 2006,Pacos De Ferreira,2-1,CS Maritimo
Mon Sep 11 2006,Uniao Leiria,2-2,SC Beira Mar
Sat Sep 16 2006,Sporting CP,0-1,Pacos De Ferreira
Sun Sep 17 2006,Academica De Coimbra,1-1,Os Belenenses
Sun Sep 17 2006,SC Beira Mar,2-0,Estrela Amadora
Sun Sep 17 2006,Sl Benfica,1-0,CD Nacional
Sun Sep 17 2006,CS Maritimo,0-0,CD Aves
Sun Sep 17 2006,Naval 1 De Maio,0-2,FC Porto
Mon Sep 18 2006,Sporting Braga,0-1,Uniao Leiria
Tue Sep 19 2006,Vitoria Setubal,1-0,Boavista Porto
Fri Sep 22 2006,Pacos De Ferreira,1-1,Sl Benfica
Fri Sep 22 2006,FC Porto,3-0,SC Beira Mar
Sat Sep 23 2006,Estrela Amadora,0-0,Sporting Braga
Sat Sep 23 2006,CD Aves,0-2,Sporting CP
Sat Sep 23 2006,Os Belenenses,0-0,Naval 1 De Maio
Sun Sep 24 2006,Boavista Porto,2-2,Academica De Coimbra
Sun Sep 24 2006,CD Nacional,1-0,Vitoria Setubal
Mon Sep 25 2006,Uniao Leiria,1-0,CS Maritimo
Fri Sep 29 2006,Naval 1 De Maio,2-1,SC Beira Mar
Sat Sep 30 2006,Os Belenenses,0-2,Boavista Porto
Sun Oct 1 2006,Academica De Coimbra,1-3,CD Nacional
Sun Oct 1 2006,Sl Benfica,4-1,CD Aves
Sun Oct 1 2006,CS Maritimo,2-1,Estrela Amadora
Mon Oct 2 2006,Vitoria Setubal,1-1,Pacos De Ferreira
Mon Oct 2 2006,Sporting CP,2-0,Uniao Leiria
Mon Oct 2 2006,Sporting Braga,2-1,FC Porto
Fri Oct 13 2006,SC Beira Mar,0-3,Sporting Braga
Sat Oct 14 2006,Uniao Leiria,0-4,Sl Benfica
Sat Oct 14 2006,FC Porto,3-0,CS Maritimo
Sun Oct 15 2006,Estrela Amadora,0-1,Sporting CP
Sun Oct 15 2006,CD Aves,1-2,Vitoria Setubal
Sun Oct 15 2006,Pacos De Ferreira,1-1,Academica De Coimbra
Sun Oct 15 2006,CD Nacional,2-1,Os Belenenses
Mon Oct 16 2006,Boavista Porto,0-1,Naval 1 De Maio
Fri Oct 20 2006,Os Belenenses,2-0,Pacos De Ferreira
Sat Oct 21 2006,Boavista Porto,0-4,CD Nacional
Sun Oct 22 2006,Academica De Coimbra,2-0,CD Aves
