Date,Team 1,FT,Team 2
Sat Aug 13 1994,Criciuma EC,1-1,Corinthians SP
Sat Aug 13 1994,Sport Club Recife,1-1,Flamengo RJ
Sun Aug 14 1994,Bragantino,0-0,Gremio Porto Alegre
Sun Aug 14 1994,Paysandu SC,0-0,Sao Paulo FC
Sun Aug 14 1994,Botafogo RJ,1-1,EC Vitoria Ba
Sun Aug 14 1994,EC Bahia,0-0,Vasco Da Gama
Sun Aug 14 1994,Santos FC,1-0,Clube do Remo
Sun Aug 14 1994,Guarani FC,2-0,Cruzeiro EC
Sun Aug 14 1994,Se Palmeiras,4-1,Parana Clube
Sun Aug 14 1994,Fluminense RJ,3-1,Clube Nautico
Sun Aug 14 1994,Internacional,2-0,Uniao Sao Joao Esporte Clube
Wed Aug 17 1994,Flamengo RJ,2-1,Bragantino
Wed Aug 17 1994,Gremio Porto Alegre,2-1,Criciuma EC
Wed Aug 17 1994,Corinthians SP,1-1,Sport Club Recife
Wed Aug 17 1994,Portuguesa,0-0,Botafogo RJ
Wed Aug 17 1994,Vasco Da Gama,3-1,Guarani FC
Wed Aug 17 1994,Cruzeiro EC,0-0,Santos FC
Wed Aug 17 1994,Clube do Remo,1-1,EC Bahia
Wed Aug 17 1994,Uniao Sao Joao Esporte Clube,1-0,Fluminense RJ
Wed Aug 17 1994,Clube Nautico,1-3,Se Palmeiras
Wed Aug 17 1994,Parana Clube,1-1,Internacional
Thu Aug 18 1994,Sao Paulo FC,1-0,Atletico Mineiro
Thu Aug 18 1994,EC Vitoria Ba,0-1,Paysandu SC
Sat Aug 20 1994,Botafogo RJ,4-0,Sao Paulo FC
Sat Aug 20 1994,Santos FC,2-0,Vasco Da Gama
Sun Aug 21 1994,Corinthians SP,2-2,Gremio Porto Alegre
Sun Aug 21 1994,Criciuma EC,1-1,Flamengo RJ
Sun Aug 21 1994,Bragantino,0-1,Sport Club Recife
Sun Aug 21 1994,Portuguesa,1-0,EC Vitoria Ba
Sun Aug 21 1994,EC Bahia,0-2,Guarani FC
Sun Aug 21 1994,Clube do Remo,2-1,Cruzeiro EC
Sun Aug 21 1994,Internacional,0-2,Se Palmeiras
Sun Aug 21 1994,Fluminense RJ,2-1,Parana Clube
Sun Aug 21 1994,Clube Nautico,0-1,Uniao Sao Joao Esporte Clube
Wed Aug 24 1994,Gremio Porto Alegre,2-0,Flamengo RJ
Wed Aug 24 1994,Bragantino,0-1,Corinthians SP
Wed Aug 24 1994,Sport Club Recife,1-1,Criciuma EC
Wed Aug 24 1994,Paysandu SC,0-0,Portuguesa
Wed Aug 24 1994,Botafogo RJ,2-1,Atletico Mineiro
Wed Aug 24 1994,Cruzeiro EC,1-1,Vasco Da Gama
Wed Aug 24 1994,Guarani FC,1-0,Clube do Remo
Wed Aug 24 1994,Santos FC,3-0,EC Bahia
